연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2020/12","LG생활건강","051900","STK","1620000","1649000","1522000","1.409539","0.067703",,,"0.000022247","71463.3372","0","681493","32452","1076888270850","51280393850"
"2020/12","대한제강","084010","STK","10400","11000","9210","3.482718","2.027709",,,"0.000773389","202364.7413","9.52381","5404650","257364","55213445010","2629211667"
"2020/12","한화시스템","272210","STK","17300","17300","12150","4.410131","1.306968",,,"0.000104185","1037453.993","4.761905","42255695","2012176","633808456850","30181355088"
"2020/12","NH프라임리츠","338100","STK","4265","4355","4265","0.345056","0.909371",,,"0.000884564","276767.5694","19.047619","1401061","66717","6019029775","286620465"
"2020/12","CS홀딩스","000590","STK","59000","60100","56200","1.294586","-0.064011",,,"0.005604286","6204.8026","9.52381","73474","3499","4235044200","201668771"
"2020/12","동양2우B","001527","STK","12100","13500","11750","1.946185","4.070893",,,"0.16994354","2063.7792","4.761905","66588","3171","863428150","41115626"
"2020/12","동부건설","005960","STK","13550","14100","12150","2.364584","1.207083",,,"0.000769738","95719.9294","19.047619","3542207","168677","47818316300","2277062681"
"2020/12","코리아써키트","007810","STK","14900","14900","13750","1.890172","0.662041",,,"0.000261462","421868.1782","14.285714","10864471","517356","155094040050","7385430479"
"2020/12","코리아써키트2우B","00781K","STK","7480","7480","6540","1.447887","-0.447995",,,"0.072430666","4089.8537","4.761905","62064","2955","433015300","20619776"
"2020/12","한화솔루션우","009835","STK","63400","71100","59400","2.622049","1.154487",,,"0.000817086","26611.9556","0","849991","40476","56784229500","2704010929"
"2020/12","세우글로벌","013000","STK","3000","3395","2830","2.701529","-0.471762",,,"0.000701464","572419.8469","9.52381","23128603","1101362","72793242090","3466344861"
"2020/12","예스코홀딩스","015360","STK","35000","36800","35000","1.653282","0.649606",,,"0.005651049","13015.415","4.761905","236165","11246","8625308700","410728986"
"2020/12","한국카본","017960","STK","13450","13450","12400","1.843249","-1.403133",,,"0.000118364","791292.6042","4.761905","26114257","1243536","343783397950","16370637998"
"2020/12","동성케미컬","102260","STK","4945","5240","4445","2.407768","1.657258",,,"0.001229591","502577.4119","0","5600964","266713","27217660810","1296079086"
"2020/12","미원홀딩스","107590","STK","77300","77300","67300","1.11182","0.644298",,,"0.006342007","3882.5438","0","52007","2477","3793373700","180636843"
"2020/12","만도","204320","STK","58800","59200","51900","3.495912","0.917198",,,"0.000038713","712154.7967","9.52381","23889734","1137606","1334399728750","63542844226"
"2020/12","경방","000050","STK","12400","12400","11700","1.093988","2.291231",,,"0.001926283","41859.7487","14.285714","1004934","47854","12122400250","577257155"
"2020/12","태원물산","001420","STK","3995","4005","3860","1.182096","2.595515",,,"0.005860703","94297.6841","4.761905","1056023","50287","4217715340","200843588"
"2020/12","세방우","004365","STK","7030","7200","6230","2.061171","8.207756",,,"0.047935282","10485.6515","19.047619","196688","9366","1307818490","62277071"
"2020/12","화승인더","006060","STK","7130","7330","6830","1.41525","-0.406284",,,"0.000429153","694160.1347","0","8130476","387166","57801187510","2752437500"
"2020/12","대현","016090","STK","1895","1925","1835","1.197244","2.020396",,,"0.002228223","323816.7616","9.52381","4161783","198180","7826643410","372697305"
"2020/12","우신시스템","017370","STK","3565","3755","3390","2.322246","0.837543",,,"0.002782067","265400.0796","0","5171976","246285","18996922615","904615363"
"2020/12","코웨이","021240","STK","72700","72700","69600","1.162357","-1.524617",,,"0.000068502","267781.7601","4.761905","4605247","219297","326805935572","15562187408"
"2020/12","디씨엠","024090","STK","12250","12250","11700","0.983836","0.4845",,,"0.006908608","14846.4682","14.285714","244053","11622","2937803600","139895410"
"2020/12","LG화학","051910","STK","824000","846000","793000","1.885173","-0.28605",,,"0.000004719","517816.4909","4.761905","8148365","388017","6588412463567","313733926837"
"2020/12","유니퀘스트","077500","STK","14700","14700","11700","3.777963","4.466811",,,"0.000168888","738087.9918","4.761905","22209023","1057573","296356666850","14112222231"
"2020/12","AJ네트웍스","095570","STK","4615","4725","4365","1.843515","-0.378058",,,"0.001582375","225519.149","9.52381","5278001","251333","24397481065","1161784813"
"2020/12","한국패러랠","168490","STK","1900","1915","1890","0.375365","0.131866",,,"0.005545305","67178.7323","38.095238","750975","35761","1428915740","68043607"
"2020/12","제이알글로벌리츠","348950","STK","5160","5390","5100","0.848012","0.403109",,,"0.000237966","894947.5421","19.047619","12522630","596316","65253607320","3107314634"
"2020/12","롯데지주","004990","STK","35300","35600","33950","1.542646","-0.17008",,,"0.000164806","291642.2421","4.761905","4310669","205270","149736004350","7130285921"
"2020/12","금강공업","014280","STK","5370","5370","4420","2.662643","0.744504",,,"0.002034607","152626.4282","9.52381","7511555","357693","39017704015","1857985905"
"2020/12","CJ CGV","079160","STK","25200","25200","22900","2.711756","0.164426",,,"0.000135267","922547.009","0","14992960","713950","359023564250","17096360202"
"2020/12","KPX홀딩스","092230","STK","60400","65400","60400","1.977473","0.6597",,,"0.00074848","45753.3104","0","971416","46258","62968967300","2998522252"
"2020/12","이연제약","102460","STK","22100","24450","20850","3.122485","0.417589",,,"0.000401","383473.7379","0","6248049","297526","145332837800","6920611324"
"2020/12","코오롱인더","120110","STK","41050","41450","39350","1.489466","-0.350784",,,"0.000147784","251241.298","0","4292668","204413","173578823600","8265658267"
"2020/12","현대코퍼레이션홀딩스","227840","STK","11250","11950","11200","1.723931","2.619748",,,"0.001945335","49539.2554","14.285714","994064","47336","11472892100","546328195"
"2020/12","화천기공","000850","STK","32400","33200","32200","1.207869","2.124395",,,"0.006342554","10215.0559","9.52381","102532","4882","3342939350","159187588"
