종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","32500","0","0.00","304344917500"
"068400","AJ렌터카","KOSPI","서비스업","8350","-120","-1.42","184921605000"
"006840","AK홀딩스","KOSPI","서비스업","56000","700","1.27","741863416000"
"027410","BGF리테일","KOSPI","유통업","81800","-1400","-1.68","4052995725000"
"138930","BNK금융지주","KOSPI","기타금융","8680","-90","-1.03","2829117935280"
"001460","BYC","KOSPI","섬유의복","397000","1000","0.25","247972155000"
"001465","BYC우","KOSPI","섬유의복","173000","-1000","-0.57","37261605000"
"001040","CJ","KOSPI","서비스업","187000","2000","1.08","5456098626000"
"079160","CJ CGV","KOSPI","서비스업","70400","1600","2.33","1489756435200"
"000120","CJ대한통운","KOSPI","운수창고업","179000","3500","1.99","4083409576000"
"011150","CJ씨푸드","KOSPI","음식료품","3470","5","0.14","124679782310"
"011155","CJ씨푸드1우","KOSPI","음식료품","16950","-100","-0.59","3390000000"
"001045","CJ우","KOSPI","서비스업","74600","0","0.00","168612635800"
"097950","CJ제일제당","KOSPI","음식료품","357500","1500","0.42","4705378535000"
"097955","CJ제일제당 우","KOSPI","음식료품","173000","0","0.00","229645909000"
"037560","CJ헬로비전","KOSPI","서비스업","9370","140","1.52","725677125050"
"000590","CS홀딩스","KOSPI","서비스업","80700","800","1.00","93166697400"
"139130","DGB금융지주","KOSPI","기타금융","9770","-50","-0.51","1651649314580"
"004840","DRB동일","KOSPI","서비스업","12350","-400","-3.14","228598500000"
"155660","DSR","KOSPI","섬유의복","9300","-120","-1.27","148800000000"
"069730","DSR제강","KOSPI","철강금속","8820","50","0.57","127008000000"
"017940","E1","KOSPI","유통업","62700","100","0.16","430122000000"
"007700","F&F","KOSPI","섬유의복","17450","400","2.35","268730000000"
"114090","GKL","KOSPI","서비스업","20450","-250","-1.21","1264948451500"
"078930","GS","KOSPI","서비스업","54100","300","0.56","5026721949800"
"006360","GS건설","KOSPI","건설업","26500","450","1.73","1881500000000"
"001250","GS글로벌","KOSPI","유통업","3095","5","0.16","255441999580"
"007070","GS리테일","KOSPI","유통업","47600","400","0.85","3665200000000"
"078935","GS우","KOSPI","서비스업","34250","-250","-0.72","61130290500"
"001500","HMC투자증권","KOSPI","증권","9500","-80","-0.84","278702554500"
"003560","IHQ","KOSPI","서비스업","1865","15","0.81","267732044440"
"175330","JB금융지주","KOSPI","기타금융","5780","-60","-1.03","898439864940"
"234080","JW생명과학","KOSPI","의약품","27350","0","0.00","216537525950"
"001060","JW중외제약","KOSPI","의약품","52700","200","0.38","987739025200"
"001067","JW중외제약2우B","KOSPI","의약품","39650","-950","-2.34","3283218250"
"001065","JW중외제약우","KOSPI","의약품","25250","-300","-1.17","3983515750"
"096760","JW홀딩스","KOSPI","서비스업","8880","0","0.00","544418867280"
"105560","KB금융","KOSPI","기타금융","42800","-500","-1.15","17895173783600"
"002550","KB손해보험","KOSPI","보험","26150","-200","-0.76","1569000000000"
"021960","KB캐피탈","KOSPI","기타금융","26800","50","0.19","575989030400"
"002380","KCC","KOSPI","화학","359500","-6500","-1.78","3795066423500"
"009070","KCTC","KOSPI","운수창고업","3315","-10","-0.30","99450000000"
"009440","KC그린홀딩스","KOSPI","서비스업","7540","10","0.13","169159749200"
"119650","KC코트렐","KOSPI","기계","5960","-20","-0.33","77480000000"
"092220","KEC","KOSPI","전기전자","1000","-5","-0.50","89047384000"
"109070","KGP","KOSPI","종이목재","800","9","1.14","51420692000"
"001390","KG케미칼","KOSPI","화학","14750","-50","-0.34","170760278000"
"001940","KISCO홀딩스","KOSPI","서비스업","61200","500","0.82","226150891200"
"083420","KPX그린케미칼","KOSPI","화학","4645","-5","-0.11","92900000000"
"025000","KPX케미칼","KOSPI","화학","59400","800","1.37","287496000000"
"092230","KPX홀딩스","KOSPI","서비스업","65800","-100","-0.15","277981706800"
"000040","KR모터스","KOSPI","운수장비","863","-2","-0.23","151999736062"
"044450","KSS해운","KOSPI","운수창고업","8090","20","0.25","187573769200"
"030200","KT","KOSPI","통신업","29400","-200","-0.68","7676687155200"
"033780","KT&G","KOSPI","기타제조업","101000","-2000","-1.94","13866542197000"
"030210","KTB투자증권","KOSPI","증권","2925","-50","-1.68","176418719100"
"058850","KTcs","KOSPI","서비스업","2480","5","0.20","105858800000"
"093050","LF","KOSPI","섬유의복","21550","-250","-1.15","630122000000"
"003550","LG","KOSPI","서비스업","60000","300","0.50","10353427860000"
"034220","LG디스플레이","KOSPI","전기전자","31450","-350","-1.10","11253303765000"
"001120","LG상사","KOSPI","유통업","29250","50","0.17","1133730000000"
"068870","LG생명과학","KOSPI","의약품","67500","0","0.00","1118946825000"
"068875","LG생명과학우","KOSPI","의약품","44000","0","0.00","10393504000"
"051900","LG생활건강","KOSPI","화학","857000","6000","0.71","13384794829000"
"051905","LG생활건강우","KOSPI","화학","563000","14000","2.55","1182129411000"
"003555","LG우","KOSPI","서비스업","39050","-100","-0.26","129438136850"
"032640","LG유플러스","KOSPI","통신업","11450","-150","-1.29","4999200083450"
"011070","LG이노텍","KOSPI","전기전자","88400","400","0.45","2092172258800"
"066570","LG전자","KOSPI","전기전자","51600","100","0.19","8444227202400"
"066575","LG전자우","KOSPI","전기전자","25650","600","2.40","440820694800"
"108670","LG하우시스","KOSPI","화학","95700","-400","-0.42","858206019000"
"108675","LG하우시스우","KOSPI","화학","56400","100","0.18","58223412000"
"051910","LG화학","KOSPI","화학","261000","0","0.00","17296757100000"
