종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","47100","550","1.18","441066018900"
"068400","AJ렌터카","KOSPI","서비스업","11900","0","0.00","263540970000"
"006840","AK홀딩스","KOSPI","서비스업","63200","1200","1.94","837245855200"
"027410","BGF리테일","KOSPI","유통업","171500","7500","4.57","4248734826000"
"138930","BNK금융지주","KOSPI","기타금융","8420","50","0.60","2154974771320"
"001460","BYC","KOSPI","섬유의복","459500","-5500","-1.18","287010592500"
"001465","BYC우","KOSPI","섬유의복","193500","-6500","-3.25","41676997500"
"001040","CJ","KOSPI","서비스업","251000","-5000","-1.95","7312570748000"
"079160","CJ CGV","KOSPI","서비스업","126000","1000","0.80","2666325438000"
"000120","CJ대한통운","KOSPI","운수창고업","191000","-1000","-0.52","4357157704000"
"011150","CJ씨푸드","KOSPI","음식료품","3490","105","3.10","125398397770"
"011155","CJ씨푸드1우","KOSPI","음식료품","17600","300","1.73","3520000000"
"001045","CJ우","KOSPI","서비스업","131000","5500","4.38","296089213000"
"097950","CJ제일제당","KOSPI","음식료품","377500","-5500","-1.44","4967219745000"
"097955","CJ제일제당 우","KOSPI","음식료품","218500","5000","2.34","290044110500"
"037560","CJ헬로비전","KOSPI","서비스업","12650","50","0.40","979702842250"
"000590","CS홀딩스","KOSPI","서비스업","79300","-400","-0.50","91550422600"
"139130","DGB금융지주","KOSPI","기타금융","10050","50","0.50","1698984197700"
"004840","DRB동일","KOSPI","서비스업","12900","-300","-2.27","232329000000"
"155660","DSR","KOSPI","섬유의복","4090","65","1.61","65440000000"
"069730","DSR제강","KOSPI","철강금속","3800","-30","-0.78","54720000000"
"017940","E1","KOSPI","유통업","61400","600","0.99","421204000000"
"007700","F&F","KOSPI","섬유의복","17750","500","2.90","273350000000"
"114090","GKL","KOSPI","서비스업","24200","-100","-0.41","1496907214000"
"078930","GS","KOSPI","서비스업","50700","0","0.00","4710809664600"
"006360","GS건설","KOSPI","건설업","19750","-250","-1.25","1402250000000"
"001250","GS글로벌","KOSPI","유통업","5490","-40","-0.72","123710364360"
"007070","GS리테일","KOSPI","유통업","53800","1900","3.66","4142600000000"
"078935","GS우","KOSPI","서비스업","33450","-50","-0.15","59702429700"
"001500","HMC투자증권","KOSPI","증권","10000","-100","-0.99","293371110000"
"003560","IHQ","KOSPI","서비스업","2055","10","0.49","294501538305"
"175330","JB금융지주","KOSPI","기타금융","5500","-50","-0.90","854916826500"
"001060","JW중외제약","KOSPI","의약품","36500","-250","-0.68","651559018000"
"001067","JW중외제약2우B","KOSPI","의약품","44900","-950","-2.07","3543014100"
"001065","JW중외제약우","KOSPI","의약품","25800","-250","-0.96","3876811200"
"096760","JW홀딩스","KOSPI","서비스업","8800","-200","-2.22","498255920800"
"105560","KB금융","KOSPI","기타금융","33150","-200","-0.60","12807558622950"
"002550","KB손해보험","KOSPI","보험","29200","0","0.00","1752000000000"
"002380","KCC","KOSPI","화학","417500","3000","0.72","4407344177500"
"009070","KCTC","KOSPI","운수창고업","3170","105","3.43","95100000000"
"009440","KC그린홀딩스","KOSPI","서비스업","9160","-150","-1.61","205504416800"
"119650","KC코트렐","KOSPI","기계","7120","-90","-1.25","71200000000"
"092220","KEC","KOSPI","전기전자","1120","-5","-0.44","66133070080"
"109070","KGP","KOSPI","종이목재","2945","15","0.51","110015943865"
"001390","KG케미칼","KOSPI","화학","15500","150","0.98","177922485000"
"001940","KISCO홀딩스","KOSPI","서비스업","62200","900","1.47","229846167200"
"083420","KPX그린케미칼","KOSPI","화학","4120","215","5.51","82400000000"
