종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068400","AJ렌터카","KOSPI","서비스업","9350","170","1.85","207067905000"
"006840","AK홀딩스","KOSPI","서비스업","22200","50","0.23","165587957400"
"138930","BS금융지주","KOSPI","기타금융","13200","50","0.38","2552614666800"
"001460","BYC","KOSPI","섬유의복","184000","0","0.00","114929160000"
"001465","BYC우","KOSPI","섬유의복","68400","-1000","-1.44","14732334000"
"001040","CJ","KOSPI","서비스업","118500","-500","-0.42","3438291957000"
"079160","CJ CGV","KOSPI","서비스업","32150","450","1.42","662851274700"
"000120","CJ대한통운","KOSPI","운수창고업","100500","-1500","-1.47","2292640572000"
"011150","CJ씨푸드","KOSPI","음식료품","3015","35","1.17","108331280595"
"011155","CJ씨푸드1우","KOSPI","음식료품","4900","10","0.20","980000000"
"001045","CJ우","KOSPI","서비스업","25650","-200","-0.77","57974719950"
"097950","CJ제일제당","KOSPI","음식료품","355500","2500","0.71","4651729231500"
"097955","CJ제일제당 우","KOSPI","음식료품","68900","800","1.17","91460133700"
"037560","CJ헬로비전","KOSPI","서비스업","13950","800","6.08","966217385250"
"000590","CS홀딩스","KOSPI","서비스업","33650","700","2.12","38848319300"
"139130","DGB금융지주","KOSPI","기타금융","14550","50","0.34","1950473390700"
"004840","DRB동일","KOSPI","화학","6750","40","0.60","83013349500"
"069730","DSR제강","KOSPI","철강금속","2950","20","0.68","42480000000"
"017940","E1","KOSPI","유통업","69200","700","1.02","474712000000"
"007700","F&F","KOSPI","섬유의복","5920","-90","-1.50","91168000000"
"114090","GKL","KOSPI","서비스업","28650","-650","-2.22","1772164945500"
"078930","GS","KOSPI","서비스업","72000","900","1.27","6689907216000"
"006360","GS건설","KOSPI","건설업","57300","600","1.06","2922300000000"
"001250","GS글로벌","KOSPI","유통업","11900","50","0.42","268151791600"
"007070","GS리테일","KOSPI","유통업","29950","600","2.04","2306150000000"
"078935","GS우","KOSPI","서비스업","22650","-150","-0.66","40426308900"
"035000","GⅡR","KOSPI","서비스업","6620","-80","-1.19","109676247580"
"001500","HMC투자증권","KOSPI","증권","14200","350","2.53","416586976200"
"011420","IB스포츠","KOSPI","서비스업","1600","20","1.27","31395878400"
"003560","IHQ","KOSPI","서비스업","1925","5","0.26","78877294650"
"005560","JS전선","KOSPI","전기전자","9900","100","1.02","112648536000"
"001060","JW중외제약","KOSPI","의약품","14150","350","2.54","161082694400"
"001067","JW중외제약2우B","KOSPI","의약품","16800","100","0.60","1146784800"
"001065","JW중외제약우","KOSPI","의약품","12200","250","2.09","1583755200"
"096760","JW홀딩스","KOSPI","서비스업","2320","25","1.09","113628739600"
"105560","KB금융","KOSPI","기타금융","37900","300","0.80","14642729164700"
"002380","KCC","KOSPI","화학","297000","-6000","-1.98","3124440000000"
"009070","KCTC","KOSPI","운수창고업","15750","150","0.96","47250000000"
