종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"004310","현대약품","KOSPI","의약품","1710","-5","-0.29","47880000000"
"126560","현대에이치씨엔","KOSPI","서비스업","5180","120","2.37","438886999600"
"017800","현대엘리베이","KOSPI","기계","47800","350","0.74","651634121400"
"011210","현대위아","KOSPI","운수장비","190000","1500","0.80","4888722610000"
"004020","현대제철","KOSPI","철강금속","86300","-100","-0.12","7362639192500"
"009540","현대중공업","KOSPI","운수장비","257000","1000","0.39","19532000000000"
"003450","현대증권","KOSPI","증권","5850","30","0.52","994500000000"
"003457","현대증권2우B","KOSPI","증권","5840","110","1.92","389017175200"
"005380","현대차","KOSPI","운수장비","236500","7000","3.05","52095387283500"
"005387","현대차2우B","KOSPI","운수장비","130500","2500","1.95","4908609382500"
"005389","현대차3우B","KOSPI","운수장비","114500","2000","1.78","283765235500"
"005385","현대차우","KOSPI","운수장비","125000","2500","2.04","3138747750000"
"011720","현대피앤씨","KOSPI","화학","242","0","0.00","8376262026"
"010520","현대하이스코","KOSPI","철강금속","41500","0","0.00","3328300000000"
"001450","현대해상","KOSPI","보험","32500","450","1.40","2905500000000"
"057050","현대홈쇼핑","KOSPI","유통업","186000","1000","0.54","2232000000000"
"003010","혜인","KOSPI","유통업","3475","10","0.29","44129365550"
"008770","호텔신라","KOSPI","유통업","66500","-600","-0.89","2610000046500"
"008775","호텔신라우","KOSPI","유통업","24850","-50","-0.20","18684193150"
"002460","화성산업","KOSPI","건설업","5990","30","0.50","74580292000"
"013520","화승알앤에이","KOSPI","운수장비","15000","-50","-0.33","96841815000"
"006060","화승인더","KOSPI","화학","1220","-55","-4.31","67490400000"
"010690","화신","KOSPI","운수장비","11400","-50","-0.44","398092674000"
"010460","화인자산관리","KOSPI","기타금융","30800","50","0.16","293314991200"
"010660","화천기계","KOSPI","기계","26550","-150","-0.56","58410000000"
"000850","화천기공","KOSPI","기계","49950","0","0.00","109890000000"
"016580","환인제약","KOSPI","의약품","10500","-200","-1.87","195300735000"
"032560","황금에스티","KOSPI","철강금속","4160","-40","-0.95","58240000000"
"004800","효성","KOSPI","화학","70300","100","0.14","2468757086500"
"094280","효성ITX","KOSPI","서비스업","5740","-50","-0.86","66344068000"
"093370","후성","KOSPI","화학","3315","60","1.84","281191404195"
"037270","휘닉스컴","KOSPI","서비스업","3720","75","2.06","44175000000"
"081660","휠라코리아","KOSPI","유통업","79000","1000","1.28","785103106000"
"005870","휴니드","KOSPI","전기전자","3500","0","0.00","35616052500"
"079980","휴비스","KOSPI","화학","10500","50","0.48","362250000000"
"005010","휴스틸","KOSPI","철강금속","18550","-100","-0.54","128340345350"
"069260","휴켐스","KOSPI","화학","24000","400","1.69","981086112000"
"000540","흥국화재","KOSPI","보험","4180","-40","-0.95","268534256100"
"000547","흥국화재2우B","KOSPI","보험","5970","0","0.00","916992000"
"000545","흥국화재우","KOSPI","보험","2080","-50","-2.35","1597440000"
"003280","흥아해운","KOSPI","운수창고업","1275","50","4.08","108009623250"
