종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068400","AJ렌터카","KOSPI","서비스업","16300","-100","-0.61","360984690000"
"006840","AK홀딩스","KOSPI","서비스업","80200","300","0.38","1062454392200"
"027410","BGF리테일","KOSPI","유통업","76500","1000","1.32","1884966120000"
"138930","BS금융지주","KOSPI","기타금융","14500","-400","-2.68","3398508535500"
"001460","BYC","KOSPI","섬유의복","261500","1500","0.58","163336822500"
"001465","BYC우","KOSPI","섬유의복","174500","4000","2.35","37584682500"
"001040","CJ","KOSPI","서비스업","156000","3000","1.96","4537170612000"
"079160","CJ CGV","KOSPI","서비스업","54000","0","0.00","1142710902000"
"000120","CJ대한통운","KOSPI","운수창고업","196000","6000","3.16","4471219424000"
"011150","CJ씨푸드","KOSPI","음식료품","2475","-25","-1.00","88928663175"
"011155","CJ씨푸드1우","KOSPI","음식료품","6280","-10","-0.16","1256000000"
"001045","CJ우","KOSPI","서비스업","76100","1700","2.28","172002970300"
"097950","CJ제일제당","KOSPI","음식료품","306500","-6500","-2.08","4026888337000"
"097955","CJ제일제당 우","KOSPI","음식료품","162500","-7500","-4.41","215707862500"
"037560","CJ헬로비전","KOSPI","서비스업","9740","-70","-0.71","754332465100"
"000590","CS홀딩스","KOSPI","서비스업","83500","700","0.85","96399247000"
"139130","DGB금융지주","KOSPI","기타금융","11300","-350","-3.00","1514800640200"
"004840","DRB동일","KOSPI","서비스업","12700","-200","-1.55","222250000000"
"155660","DSR","KOSPI","섬유의복","3665","35","0.96","58640000000"
"069730","DSR제강","KOSPI","철강금속","3160","-10","-0.32","45504000000"
"017940","E1","KOSPI","유통업","69100","-2000","-2.81","474026000000"
"007700","F&F","KOSPI","섬유의복","15000","-200","-1.32","231000000000"
"114090","GKL","KOSPI","서비스업","32250","-350","-1.07","1994845357500"
"078930","GS","KOSPI","서비스업","40000","-200","-0.50","3716615120000"
"006360","GS건설","KOSPI","건설업","23250","-50","-0.21","1650750000000"
"001250","GS글로벌","KOSPI","유통업","8550","-70","-0.81","192663682200"
"007070","GS리테일","KOSPI","유통업","25650","350","1.38","1975050000000"
"078935","GS우","KOSPI","서비스업","28550","-450","-1.55","50956782300"
"035000","GⅡR","KOSPI","서비스업","7690","-100","-1.28","127403375210"
"001500","HMC투자증권","KOSPI","증권","10150","-100","-0.98","297771676650"
"011420","IB월드와이드","KOSPI","서비스업","1680","0","0.00","32965672320"
"003560","IHQ","KOSPI","서비스업","3150","130","4.30","137554789050"
"175330","JB금융지주","KOSPI","기타금융","6090","40","0.66","770409037230"
"001060","JW중외제약","KOSPI","의약품","14400","-150","-1.03","212702083200"
"001067","JW중외제약2우B","KOSPI","의약품","15800","-500","-3.07","1188049400"
"001065","JW중외제약우","KOSPI","의약품","11350","0","0.00","1624377950"
"096760","JW홀딩스","KOSPI","서비스업","2375","-25","-1.04","128125243625"
"105560","KB금융","KOSPI","기타금융","36150","-1200","-3.21","13966613701950"
"002380","KCC","KOSPI","화학","520000","-10000","-1.89","5470400000000"
"009070","KCTC","KOSPI","운수창고업","2945","-5","-0.17","88350000000"
"009440","KC그린홀딩스","KOSPI","서비스업","10550","300","2.93","236689039000"
"119650","KC코트렐","KOSPI","기계","6870","30","0.44","68700000000"
"092220","KEC","KOSPI","전기전자","1165","5","0.43","68790202360"
"109070","KGP","KOSPI","종이목재","595","-9","-1.49","11826851890"
"001390","KG케미칼","KOSPI","화학","16600","0","0.00","180249323800"
"001940","KISCO홀딩스","KOSPI","서비스업","49200","800","1.65","181807579200"
"083420","KPX그린케미칼","KOSPI","화학","5950","-50","-0.83","119000000000"
"025000","KPX케미칼","KOSPI","화학","58700","-200","-0.34","284108000000"
"092230","KPX홀딩스","KOSPI","서비스업","74700","-1000","-1.32","315581056200"
"000040","KR모터스","KOSPI","운수장비","1035","52","5.29","123518327265"
"044450","KSS해운","KOSPI","운수창고업","12550","50","0.40","145491397000"
"030200","KT","KOSPI","통신업","31250","50","0.16","8159744000000"
"033780","KT&G","KOSPI","기타제조업","76100","-400","-0.52","10447959021700"
"030210","KTB투자증권","KOSPI","증권","1815","-25","-1.36","109470076980"
"058850","KTcs","KOSPI","서비스업","2950","-40","-1.34","125920750000"
"093050","LF","KOSPI","섬유의복","29900","-400","-1.32","874276000000"
"003550","LG","KOSPI","서비스업","61200","-1700","-2.70","10560496417200"
"034220","LG디스플레이","KOSPI","전기전자","33650","-300","-0.88","12040498305000"
"001120","LG상사","KOSPI","유통업","28700","-150","-0.52","1112412000000"
"068870","LG생명과학","KOSPI","의약품","36300","50","0.14","601744737000"
