연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2018/12","KSS해운","044450","STK","6480","7170","6440","1.766143","4.358616",,,"0.004033875","60208.312","10.526316","688629","36244","4598792150","242041692"
"2018/12","평화산업","090080","STK","2465","2630","1935","5.849308","8.922638",,,"0.001406166","1660244.039","10.526316","78909594","4153137","196831908050","10359574108"
"2018/12","티웨이항공","091810","STK","7480","8420","7460","2.062245","4.139409",,,"0.001337871","142473.5629","5.263158","2392069","125898","18727990650","985683718"
"2018/12","동양피스톤","092780","STK","4885","4940","3955","3.906378","1.322153",,,"0.006125441","210581.3092","0","3786160","199272","17702200250","931694750"
"2018/12","만도","204320","STK","28950","31600","28550","2.475232","-0.37311",,,"0.000168987","427142.115","10.526316","6430109","338427","192211284750","10116383408"
"2018/12","성보화학","003080","STK","5720","6170","5720","1.11387","10.799175",,,"0.004602681","35509.5327","15.789474","392129","20638","2352863610","123834927"
"2018/12","유안타증권우","003475","STK","2180","2230","2140","0.892747","-0.349546",,,"0.106199051","17146.5986","0","176601","9295","384843735","20254933"
"2018/12","한창","005110","STK","1815","2140","1765","4.891973","0.442094",,,"0.000708863","1569400.9479","0","87067160","4582482","173007659280","9105666278"
"2018/12","윌비스","008600","STK","1315","1500","1210","3.670821","-1.148983",,,"0.001310564","2748140.769","0","56538516","2975711","81223642870","4274928572"
"2018/12","아남전자","008700","STK","2590","2625","2345","3.269224","-0.399023",,,"0.000927084","900161.4677","0","22244757","1170777","55906764265","2942461277"
"2018/12","SIMPAC","009160","STK","2440","2565","2295","2.020427","-0.649491",,,"0.009091347","74627.2927","0","1721376","90599","4207603215","221452801"
"2018/12","삼성중공업","010140","STK","7410","8150","7140","2.836315","2.262995",,,"0.00007305","3687282.2736","0","66507487","3500394","514633097320","27085952491"
"2018/12","극동유화","014530","STK","3295","3420","3290","1.007841","1.314333",,,"0.007650787","92633.7118","0","1495168","78693","5185248590","272907821"
"2018/12","유니드","014830","STK","42000","45500","41600","1.777246","0.717402",,,"0.00270283","23119.8686","0","270054","14213","11721296350","616910334"
