연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2019/12","NICE","034310","STK","20900","20900","19550","1.218311","-0.801907",,,"0.001743298","43005.3678","5","773187","38659","15489162225","774458111"
"2019/12","키움증권","039490","STK","79500","80100","71600","1.509139","3.14635",,,"0.00031541","70084.8351","15","788559","39428","60165722200","3008286110"
"2019/12","크라운제과우","26490K","STK","7770","7940","7400","1.278107","2.354512",,,"0.023798557","8182.0251","15","136301","6815","1048648650","52432433"
"2019/12","영풍","000670","STK","645000","659000","621000","1.832533","0.883139",,,"0.001824042","1243.4812","0","24472","1224","15543998000","777199900"
"2019/12","한국쉘석유","002960","STK","323000","342500","323000","1.240963","10.027017",,,"0.001017952","3946.7354","15","40680","2034","13583762000","679188100"
"2019/12","LG","003550","STK","73800","75400","70800","1.011217","0.596928",,,"0.000051507","498610.2827","5","4282167","214108","316667318189","15833365909"
"2019/12","DRB동일","004840","STK","5260","5420","5260","0.819984","-1.292726",,,"0.017571788","8190.3265","30","210321","10516","1118073240","55903662"
"2019/12","빙그레","005180","STK","56000","56000","53100","1.007429","0.391984",,,"0.001121635","23276.3885","5","287667","14383","15687498900","784374945"
"2019/12","한일현대시멘트","006390","STK","30450","32400","29150","1.73931","-0.883687",,,"0.004340644","13324.3348","5","227418","11371","6975375300","348768765"
"2019/12","일정실업","008500","STK","18200","18600","18000","0.837961","2.805224",,,"0.551103733","232.9955","20","3645","182","66084250","3304213"
"2019/12","동양철관","008970","STK","1040","1070","1020","1.164536","1.173677",,,"0.002129123","332215.5709","30","7236052","361803","7536748795","376837440"
"2019/12","금호석유우","011785","STK","32900","34050","30900","1.589122","1.143618",,,"0.002849924","33952.0856","5","348380","17419","11437743050","571887153"
"2019/12","미래산업","025560","STK","133","160","126","3.217433","3.570941",,,"0.001113569","9783807.383","5","355260492","17763025","50354038374","2517701919"
"2019/12","대우조선해양","042660","STK","27850","28150","25850","1.542313","-0.311297",,,"0.000289481","201390.4377","5","2751299","137565","74965618850","3748280943"
"2019/12","대성산업","128820","STK","3505","3530","3145","1.54685","0.186693",,,"0.006983262","72073.5205","5","1021004","51050","3440254540","172012727"
"2019/12","한진칼우","18064K","STK","62500","62500","36100","11.121416","2.606301",,,"0.001395096","42510.649","0","4597605","229880","264081700050","13204085003"
"2019/12","넷마블","251270","STK","92400","92400","86500","1.336873","-0.26711",,,"0.000094936","261860.6919","5","2652086","132604","237658411600","11882920580"
"2019/12","동아타이어","282690","STK","12350","12400","12150","0.611911","0.000991",,,"0.03219144","3286.078","40","86910","4346","1063569650","53178483"
"2019/12","대성에너지","117580","STK","5240","5440","5240","0.608783","6.166572",,,"0.009811031","22486.8169","20","194616","9731","1037446330","51872317"
"2019/12","KC코트렐","119650","STK","6850","7220","6660","1.756697","1.516018",,,"0.0017244","228586.3065","0","2232196","111610","15750467610","787523381"
"2019/12","부국증권우","001275","STK","18650","19400","18650","0.926359","15.161504",,,"0.025646709","2472.2542","35","27606","1380","526042000","26302100"
"2019/12","제일연마","001560","STK","7780","8120","6530","4.533217","8.31857",,,"0.022937017","37482.7401","5","3406798","170340","27473316790","1373665840"
"2019/12","대한항공우","003495","STK","19800","24000","14650","9.44793","5.870644",,,"0.002905797","52685.1171","20","6118473","305924","131514302250","6575715113"
"2019/12","쌍용차","003620","STK","2075","2145","1810","4.025992","-0.690587",,,"0.002745175","312792.9524","0","13531831","676592","27810846950","1390542348"
"2019/12","삼영화학","003720","STK","998","1030","990","1.074181","0.314147",,,"0.024551345","63695.9551","5","816283","40814","815261146","40763057"
"2019/12","NPC","004250","STK","3745","3870","3670","1.127818","0.172249",,,"0.026276677","13956.048","5","186705","9335","703858440","35192922"
"2019/12","원림","005820","STK","18150","18150","16950","1.613035","0.573436",,,"0.123205965","586.5932","15","15358","768","266149750","13307488"
"2019/12","미래에셋증권","006800","STK","7550","7780","7240","1.229668","1.412606",,,"0.000092204","2609044.7308","0","29229600","1461480","221410083260","11070504163"
"2019/12","한국특강","007280","STK","1630","1850","1565","4.293295","1.436866",,,"0.010784231","118361.1357","0","7563301","378165","13072947255","653647363"
"2019/12","호텔신라우","008775","STK","52900","52900","49100","1.059264","0.348203",,,"0.003163061","8148.1279","0","125764","6288","6412638900","320631945"
"2019/12","한신기계","011700","STK","1670","1685","1580","0.901365","-0.35439",,,"0.003574325","183125.9725","15","2529807","126490","4148900390","207445020"
"2019/12","인디에프","014990","STK","2370","2560","2290","3.288058","-0.761543",,,"0.001570319","422714.4105","0","14777639","738882","35834810110","1791740506"
"2019/12","미래에셋생명","085620","STK","4135","4320","4065","1.398668","0.946407",,,"0.005918287","94554.9162","0","997619","49881","4187472260","209373613"
"2019/12","케이탑리츠","145270","STK","957","975","916","1.167241","3.034755",,,"0.001153479","1002710.2359","30","20193216","1009661","19327938361","966396918"
"2019/12","이노션","214320","STK","70900","70900","64500","1.240662","4.080547",,,"0.000394287","68507.8655","10","799426","39971","54083308090","2704165405"
"2019/12","금호에이치티","214330","STK","5880","5960","4555","6.035718","6.591249",,,"0.002017878","284097.1111","5","20746035","1037302","123051906380","6152595319"
"2019/12","현대오토에버","307950","STK","50400","50400","48400","1.092564","1.621139",,,"0.000695644","39164.685","15","514228","25711","25433904050","1271695203"
