,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,유보이익대총자산비율,자기자본비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
45,(주)플레이위드,23770,12-Dec,정보통신업,871.57,-137.43,-10.36,-1.44,-1.58,2.1,-886.54,-1.3,2.31,-4.69,0.13,-93.5,3.41,0.38,917.79,107.69,181.19,107.69,6.58,0.004564644356228044,0.16,-17.62,10490453.0,53.4,46.6,4.65,0.0,0.9017482869708452,-0.28932427903876046,0.09825171302915485,0.8744399312403383,0.7923728283998626,7.9236693463263475,-63.52652984418555,403.85078037160883,0.4263291721867679,-0.04364222830338321,-0.2170722185228408,0.027620598022867482,-31.7358375869693,-71.42090378820163
1,(주)씨앤케이인터내셔널,39530,13-Dec,광업,4.88,-34.27,-14.89,-53.92,-393.8,-10.42,-338.38,-2.65,0.12,-2.7,0.19,-6.99,16.78,22.59,5.17,867.63,64.39,812.26,35.64,0.09397215908717735,4.0,-6.65,3281717.0,0.19,99.81,0.0,13.86,0.049193588177754245,-1.2152552964818872,0.9508064118222458,0.439175590095063,0.6280972094344517,7.265361082879533,19.607597590195258,79.78068205439051,-46.76345997271108,-0.08491500254645487,-1.371340069146763,0.0002156092136254491,-332.94048521422695,70.76427334987912
3,(주)아이디에스,78780,13-Dec,제조업,79.07,-8.21,-4.14,-16.61,-3.23,0.92,-16.89,-7.58,22.64,-5.56,1.66,-23.7,7.85,5.35,83.91,84.44,672.56,83.33,-6.69,0.03252057279771415,3.92,-13.65,214655737.0,-1.09,101.09,32.03,78.12,0.4562437037004756,0.08640178053318996,0.5437562962995244,0.026267828099092456,1.1714277912704822,8.069143812053865,-24.88145702989416,-20.0110140413713,-1.7478226727649537,-0.061808389243259376,-0.3218088807773374,0.019154185336489115,-306.6871529848068,-496.34017032009046
5,(주)아이팩토리,53810,13-Dec,제조업,261.74,-20.68,5.68,4.68,-0.04,8.1,11.6,3.5,6.08,4.39,0.66,-88.37,14.17,1.58,298.57,68.2,158.0,67.9,-20.88,0.04434461166668372,0.79,-13.72,36218489.0,14.73,85.27,50.92,113.87,0.749103446967693,-0.9283616262650863,0.25089655303230696,0.15087294226989978,2.2006703392103444,7.76885332331985,563.9412574707837,78.1184174519139,53.8078544650304,-0.0023987801340379085,-0.16240451250236512,0.06439765144175547,97.4387928047572,61.67422994413272
7,(주)엘아이에스,138690,13-Dec,제조업,105.06,-7.52,0.17,0.28,-4.04,0.8,62.48,0.15,11.51,18.45,0.91,-14.31,6.07,3.1,122.26,101.98,573.7,79.34,0.94,0.10939648244134396,1.73,-6.82,42059956.0,15.38,84.62,40.24,8.69,0.5500714047675731,-0.026026215485977052,0.4499286163846946,0.22042284114610106,1.1512138626689747,7.674643066493077,-7.147789523162762,-4.544064845272566,106.44003264170779,-0.060424814441824,-0.13034445010458337,0.014966727071613947,81.91638921152366,77.49854660857419
9,(주)영진코퍼레이션,53330,13-Dec,제조업,145.99,-16.36,-22.52,-23.34,-2.61,1.41,-112.84,-14.84,3.53,-3.31,0.89,-33.07,2.8,12.69,174.62,132.81,162.95,131.6,17.44,7.291803553848026e-05,1.58,-14.51,28140321.0,2.51,97.49,27.8,109.74,0.635862621297068,-0.1081747018720125,0.3641373552867355,0.09003060057488328,0.8073445362004524,7.630483648280569,26.561560747695488,357.0113978717586,41.56746702016208,-0.0575872307945394,-0.2584465025133206,0.022031688545141807,55.986635961460976,50.59696892430553
11,(주)우전,52270,13-Dec,제조업,58.58,0.38,3.46,8.5,2.56,-0.43,113.93,4.03,24.97,10.78,1.19,0.85,7.37,12.73,90.15,168.15,1127.72,156.43,20.99,0.07073550416116112,2.57,0.45,365842144.0,11.06,88.94,30.3,43.77,0.47409588629183036,0.3050041963590144,0.5259041137081697,0.09565237240682692,0.9165044901552072,8.497179498832832,1.0377469287730312,-4.05907141445947,25.83840463649476,0.017776069768825172,0.00977664849925661,0.006947155474694403,-51.80283427759448,-87.1082111319819
13,(주)코데즈컴바인,47770,13-Dec,제조업,253.89,-13.17,-1.21,-1.71,-5.11,1.58,64.36,-1.25,5.65,10.55,0.9,-40.65,5.09,6.09,273.4,85.33,145.34,33.65,-9.97,0.0026998702453715348,1.26,-11.81,142737969.0,41.14,58.86,34.01,2.45,0.7321892115721045,-0.02476349621312674,0.2678107884278955,0.5150231470646749,1.567532348785369,8.138816951997864,-33.7509033694995,-33.381798613142124,-24.520030273006753,-0.09285006240041095,-0.16637723604092383,0.018176728841295,-106.08052662755121,-24.11536888648816
15,(주)코세스,89890,13-Dec,제조업,174.64,-31.18,-9.73,-10.71,-12.97,1.16,-12.76,-7.42,8.43,-4.82,0.76,-56.61,5.61,1.97,226.09,80.52,338.86,47.26,-10.43,0.058542290941082854,1.31,-23.73,33924903.0,8.89,91.11,42.43,3.65,0.6933328734595023,0.11071547921599996,0.3066671490245507,0.3159008000700842,1.8546294616783625,7.648125399323664,-42.51321524575186,-13.406840874045212,-55.7712163441787,-0.17278466240343085,-0.4086049388134312,0.013324814580476478,-228.96644692305915,-266.9416201790139
17,(주)한프,66110,13-Dec,제조업,408.91,-62.55,3.74,3.07,-5.76,1.52,-17.66,2.49,5.63,-9.91,0.6,-105.83,2.44,1.11,434.62,53.62,158.01,34.13,-35.47,0.003880739918439269,0.94,-37.71,43093574.0,-2.69,102.69,45.91,3.99,0.8129523654250796,-0.1057844266283252,0.1870476191006736,0.12134159492085757,3.1537377089649685,7.810390482369254,-68.88774025047026,-19.18042190489986,-17.098816171550325,-0.08936635411060628,-0.585764845963758,0.015524355345431578,-230.0112614357814,-1168.254637436762
