회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),현금및현금성자산(*)(IFRS),금융비용(IFRS),부채(*)(IFRS),자본(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),비유동자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),기타(영업)비용(*)(IFRS),이익잉여금(결손금)(*)(IFRS)
(주)시스웍,269620,2019/12,13481466,48969239,1705589,14508223,0,10321539,38647700,2922279,22037660,387290,0,23825919
(주)시큐브,131090,2019/12,18216685,37478122,5190450,17760482,0,5941588,31536534,6765824,7474281,5090925,0,25343885
(주)시티랩스,139050,2019/12,19097657,82805602,-18253472,2907762,0,44229093,38576509,2694469,71450836,-1585581,0,-27136400
(주)신진에스엠,138070,2019/12,38505624,101988850,2433276,5394919,0,30865423,71123428,4493737,58297305,2845523,0,55423299
(주)신테카바이오,226330,2019/12,461374,47946292,-22966267,17217056,0,1835643,46110649,5655532,2290040,-5194158,0,-31571023
(주)신화콘텍,187270,2019/12,41613551,84063897,-2725526,5081298,0,37021541,47042356,7306715,52982044,2452951,0,23853819
(주)심텍,222800,2019/12,848246657,709597553,-66217377,4959542,0,617058752,92538802,77623216,488165530,15163199,0,38332715
(주)심텍홀딩스,036710,2019/12,4019018,126153562,-1165090,1575421,0,11487149,114666413,3344423,124357168,674595,0,65000058
(주)싸이맥스,160980,2019/12,74288393,141538188,5682142,11395377,0,37431310,104106877,9002726,79929979,5202080,0,54075802
(주)싸이토젠,217330,2019/12,798925,19716116,-4140794,10065183,0,1796078,17920039,4301503,5434921,-4488206,0,-17771764
(주)썸에이지,208640,2019/12,3531537,32775596,-10199889,13664692,0,7299611,25475985,8515884,5995540,-4984348,0,-44897809
(주)쎄노텍,222420,2019/12,28207532,85262664,-2154632,1196181,0,50383342,34879322,6483444,58997868,-112521,0,21413111
(주)쎄니트,037760,2019/12,68034838,111978660,-304956,2077056,0,49952420,62026240,3182166,85144784,4526005,0,7793970
(주)쎄트렉아이,099320,2019/12,63126204,88358446,7169646,13443496,0,24956547,63401899,3621466,44985257,8199405,0,49818624
(주)쎌바이오텍,049960,2019/12,44005368,112132723,8886775,7925182,0,3181704,108951019,25677666,42090502,7295863,0,109182378
(주)쏠리드,050890,2019/12,161767640,269365848,10125335,43270306,0,141038319,128327528,41480855,153392028,-1247348,0,33871946
(주)씨씨에스충북방송,066790,2019/12,20321890,32950970,-1416652,1485894,0,8435757,24515213,4627713,23648193,631944,0,-26145586
(주)씨에스,065770,2019/12,32156921,27205598,-339633,661175,0,5316315,21889283,5498150,5732175,-720657,0,-15635969
