회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),유동부채비율(IFRS),매출액순이익률(IFRS),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 부채비율(IFRS),이자보상배율(이자비용)(IFRS),금융비용 대 총비용비율(IFRS),설비투자효율(IFRS),CASH FLOW 대 총자본비율(IFRS),자본금회전률(IFRS),총자본투자효율(IFRS),총자본회전률(IFRS),자기자본순이익률(IFRS),매출채권회전률(IFRS),유형자산회전율(IFRS),부채비율(IFRS),유동비율(IFRS),자기자본배율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),현금비율(IFRS),타인자본회전률(IFRS),총자본순이익률(IFRS),부채(*)(IFRS연결),자산(*)(IFRS연결),현금및현금성자산(*)(IFRS연결),자본(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(결손금)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),당기순이익(손실)(IFRS연결),이자비용(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),유동자산(*)(IFRS연결),재고자산(*)(IFRS연결),매출원가(*)(IFRS연결),매출총이익(손실)(IFRS연결),부채(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),자본(*)(IFRS),비유동자산(*)(IFRS),이익잉여금(결손금)(*)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),이자비용(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),유동자산(*)(IFRS),재고자산(*)(IFRS),매출원가(*)(IFRS),매출총이익(손실)(IFRS)
(주)국순당,43650,Dec-12,7.22,5.21,6.3,41.32,172.69,-1.19,38.39,3.57,13.29,14.82,0.57,3.46,9.81,1.44,9.45,631.95,2094.75,515.25,35.08,372.47,6.56,2.95,6.9,4.45,6.82,45.71,999999999,-1.13,37.84,3.86,12.9,13.79,0.58,2.84,10.25,1.52,9.22,632.3,2086.49,516.35,33.63,378.97,6.23,2.58,18103728,209729554,51514086,191625826,122329029,158828650,118697826,6185532,32722,47556086,5650758,700000,200000,300000,87400525,16139074,65490982,53206843,17184003,203489729,48720964,186305726,122201827,158066372,115146725,5122888,0,44745714,6794416,0,0,0,81287902,14906288,63606595,51540130
(주)국순당,43650,Dec-13,7.04,5.79,5.84,24.58,9.21,-1.13,41.24,2.65,11.11,15.06,0.46,2.89,8.88,1.22,12.1,733.62,2124.5,615.55,39.81,389.06,4.76,2.68,6.45,2.44,7.99,44.6,999999999,-1.06,35.57,3.78,10.77,12.38,0.47,1.26,8.96,1.32,9.26,703.45,2082.91,590.3,35.63,388.18,5.59,1.15,23547445,218115221,53321435,194567775,117569597,161697303,99173525,5742772,156475,40558345,1441447,4190000,0,300000,100545624,16182543,57173733,41999792,17213771,203199593,46576427,185985822,118794745,157846640,96140591,2346882,0,39366006,1187809,0,0,0,84404848,13577007,55586775,40553815
(주)국순당,43650,Dec-14,7.22,3.77,3.83,17,9.17,-0.67,41.26,1.62,10.29,13.66,0.42,1.73,8.22,1.21,10.5,698.29,2150.98,590.46,39.12,263.47,4.16,1.59,7.28,2.24,7.08,33.32,999999999,-0.97,38.23,3.07,9.99,11.82,0.44,1.07,8.3,1.32,10.14,634.49,2092.45,547.06,35.31,208.6,4.93,0.98,20669149,217479839,37463095,196810690,118188258,163629839,91863604,3463226,118046,35092859,1082245,220000,0,690000,99291581,15332903,55688500,36175104,18944456,205782935,28362456,186838479,119514589,158478212,89173752,1997559,0,34075319,881757,0,0,0,86268346,11886783,54216676,34957076
(주)국순당,43650,Dec-15,5.42,-4.56,-3.92,-16.5,-334.84,-1.94,26.4,-1.4,8.67,8.43,0.36,-1.93,6.36,1.1,9.3,905.17,2163.53,766.73,39.93,351.48,3.96,-1.63,6.14,-6.48,0.36,1.53,999999999,-2.23,21.66,0.13,8.39,6.46,0.37,-2.6,6.36,1.21,9.35,725.29,2084.39,622.16,35.12,240.64,4.12,-2.37,18420650,216587928,37751657,198167277,119366781,159329509,77443124,-3529405,24482,35623752,-8197632,660000,0,0,97221146,14869710,50017004,27426120,17410245,203528460,27506931,186118215,120622957,153034612,74955341,-4854598,0,34620628,-8305751,0,0,0,82905503,11788376,48640465,26314877
(주)국순당,43650,Dec-16,5.56,-3.96,-6.36,-23.35,-327.25,-1.23,28.34,-2.08,7.81,8.63,0.32,-1.39,6.45,1.04,9.79,790.47,2121.96,652.43,34.96,229.28,3.73,-1.29,5.19,-3.23,-2.02,-8.17,999999999,-3.14,25.89,-0.69,7.66,7.26,0.34,-1.2,6.57,1.17,9.22,755.95,2051.58,640.93,31.18,192.05,3.99,-1.1,18986190,213004831,24730729,194018641,127743830,155909120,69701266,-2760688,19825,34162515,-6487771,0,300000,660000,85261001,14890028,42026522,27674744,16888868,200077411,18267448,183188543,128171323,150051623,68425801,-2212642,0,32883560,-5456865,0,0,0,71906088,10940127,40999107,27426695
(주)국순당,43650,Dec-17,5.52,15.44,-1.82,-5.52,-12.28,-2.28,53.49,-0.47,7.03,12.82,0.28,4.88,7.28,1.02,9.33,708.73,2433.16,591.98,30.73,295.3,3.17,4.26,5.55,16.39,17.09,60.1,999999999,-28.66,20.1,4.92,6.73,4.75,0.29,5.25,7.32,1.14,8.91,709.77,2147.41,614.56,31.08,287.17,3.54,4.82,20660503,242199755,36104178,221539252,155547847,164766785,62761236,9687855,347165,28037773,-4263332,640000,520000,0,86651908,14274110,38986795,23774441,17086381,208832133,30565158,191745752,133287777,158825549,60087461,9847390,0,26733827,-3584872,0,0,0,75544356,10134104,36938506,23148955
(주)나노트로닉스,10670,Dec-10,38.95,-30.03,-6.53,-5.62,-0.8,4.8,-214.1,-2.92,3.23,-5.81,0.45,-23.96,1.28,12.48,108.45,356.46,346.4,317.46,47.92,33.08,1.03,-13.47,15.7,-19.27,-25.71,-24.18,0.41,6.45,63.8,-10.33,2.83,0.18,0.43,-12.57,2.12,160.84,74.59,470.96,402.63,389.09,33.35,68.95,1.28,-8.32,23626344,45411614,2806585,21785270,15167477,7172598,20331036,-6104505,1733640,8516458,-1381622,0,5700000,0,30244138,3309025,13196200,7134836,18888693,44210591,2740367,25321897,25491612,7242933,17767345,-3424108,1444617,5541125,588475,0,2000000,0,18718979,3254144,11637746,6129600
(주)나노트로닉스,10670,Dec-11,137.83,-9.94,-21.32,-12.9,0.21,8.17,265.56,-7.52,2.72,4.26,0.36,-8.09,0.87,17.03,139.61,129.2,322.22,117.95,16.8,2.28,0.66,-3.62,101.34,-5.46,-30.12,-20.35,0.46,8.2,1420.5,-10.3,2.7,4.01,0.36,-3.72,1.19,127.79,102.59,104.79,389.24,92.38,2.4,2.19,0.77,-1.98,28291430,48556005,636334,20264575,12470312,5584666,17113850,-1700903,2071005,5155816,433403,0,6220778,15609658,36085692,3142591,11524632,5589218,25112948,49592390,542977,24479442,23594994,6400478,16968670,-926377,1775617,4799708,825344,0,3520778,15609658,25997396,3078900,11343618,5625052
(주)나노트로닉스,10670,Dec-12,121.44,-16.38,-14.29,-9.74,1.4,8.64,266.99,-5.38,2.93,2.22,0.39,-14.7,0.88,32.19,123.72,128.9,330.81,116.35,15.69,11.65,0.68,-6.36,102.12,-25.77,-19.12,-13.71,1.96,7.97,-1840.22,-6.98,2.89,-2.69,0.38,-19.64,1.07,176.68,103.63,108.08,369.83,93.45,4.05,12.02,0.74,-9.67,28527665,51585217,3263283,23057552,15491910,2346433,19429585,-3183343,2382352,5858538,3338256,0,9278958,14074429,36093307,3516535,10232791,9196794,26712746,52490396,3164004,25777649,24039800,1437343,19147210,-4935076,2156303,4597678,4217184,0,7658958,14074429,28450596,3852672,10332348,8814862
(주)네이처셀,7390,Dec-10,,,,,,,,,,,,,,,,,,,,,,,3902.22,-0.9,-1.54,-1.89,0.69,3.03,58.69,-1.86,2.42,18.38,1.05,-5.6,5.35,3.84,6307.43,89.74,3.12,51.25,-6.25,2.54,1.27,-0.94,,,,,,,,,,,,,,,,,,,24066513,24448071,378354,381558,11087204,-15620140,29562875,-265273,1043747,2142337,717071,5000000,9506970,219270,13360867,5730436,26703467,2859408
