,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),총자산부채비율,순이익률,현금비율,이자비용/부채,유보이익대총자산비율,자기자본비율,매출액대판매관리비,고정비율,총자산영업이익율,log총자산,총자본증가율(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),차입금의존도(IFRS연결),매출액총이익률(IFRS연결),재고자산회전률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업이익증가율,순이익증가율,업종,규모,층화,label
534,(주)케이씨티,89150,17-Dec,서비스업,9.17,7.28,1.45,1.81,5.67,1.55,408.12,0.65,3.26,10.84,0.44,5.12,22.17,16.31,55.46,281.91,471.36,243.02,10.73,196.23,1.2,3.22,0.3567461901518309,0.0322240531631461,0.1157015122389504,0.0209001020194307,0.3387371229470514,0.6432538098481692,0.1278715320957512,0.8337773867911152,0.0438902559935583,7.798207860605717,-0.85,-4.7,6.75,20.69,22.71,18.08,77.29,22.68749806200692,31.147574816739137,1,0,1,0
923,참좋은여행(주),94850,17-Dec,서비스업,92.82,21.53,34.58,27.51,46.78,-0.15,4925.84,13.54,8.07,25.95,0.39,17.82,24.24,28.95,96.91,95.26,1047.18,95.26,-2.23,48.44,0.74,8.39,0.4921579741672976,0.0838764287954907,0.2283526849005732,0.0041413221967421,0.2364688952318417,0.5078420258327024,0.7099350976455299,0.5509548847891647,0.1025685579188149,8.159388999701578,-0.97,-6.78,-23.14,19.05,97.32,11.43,2.68,75.27612760524389,76.1676350681926,1,0,1,0
680,(주)현대이지웰,90850,17-Dec,서비스업,173.45,3.81,6.32,6.67,15.31,0.26,177.58,4.59,11.8,23.14,0.84,9.29,19.5,7.47,221.38,134.35,504.91,120.5,18.54,34.21,1.28,3.2,0.6888392034648637,0.0320337933344461,0.1846156544891876,0.0062217702626114,0.2253869399027496,0.311160808993799,0.4274866297389322,0.2749293481692418,0.0624094101123291,7.904528569113968,37.16,74.81,11.57,9.47,50.17,13.38,49.83,616.859036006972,774.4635661925337,1,0,1,0
662,(주)한국경제티브이,39340,17-Dec,서비스업,25.56,18.88,11.92,31.32,120.45,-3.48,1259.62,6.48,5.64,25.09,0.6,13.77,7.47,23.68,26.1,90.65,822.24,90.65,-1.89,23.71,3.24,11.24,0.2069626498332558,0.1124333152246425,0.0480594532146205,0.0037687520637963,0.6526639894820341,0.7930373501667441,0.8599070346482588,0.8162364821693621,0.0834085745251665,8.076401792813385,20.94,-51.54,-13.86,6.71,0.0,0.0,0.0,-36.820041254648174,1.6717546046336769,1,0,1,0
661,(주)한국가구,4590,17-Dec,서비스업,11.85,10.01,7.49,23.08,53.43,-0.32,32.83,3.7,36.51,12.91,0.52,6.27,4.74,1.4,19.11,399.37,6203.15,255.26,29.78,146.15,3.08,5.21,0.1604189410882378,0.0520856920751276,0.1453723269862882,0.0073878260381081,0.6272579749640781,0.8395810589117623,0.2189471218228157,0.6027421395399485,0.0667425054469437,8.044640863196795,11.12,5.87,-4.74,4.17,34.72,3.6,65.28,-6.069811555320284,-4.527892837350789,1,0,1,0
599,(주)투비소프트,79970,17-Dec,서비스업,106.07,-65.01,-3.14,-2.5,-8.82,0.52,-401.87,-1.29,4.96,-8.07,0.45,-57.97,2.61,13.71,106.7,61.35,513.49,54.37,-19.83,9.04,0.91,-29.33,0.5161998013204092,-0.2933484362807804,0.0463734983033365,0.0261448262961388,-0.0967019581139717,0.4838002090817724,0.6594244037413668,0.6851691486809737,-0.1144521670688931,7.982875562917771,22.11,-12.25,0.7,43.04,40.58,22.92,59.42,-490.3300926337666,-5158.803676767594,1,0,1,0
844,에이치엘비테라퓨틱스(주),115450,17-Dec,서비스업,38.18,-30.4,-21.5,-19.72,-6.68,2.38,-4.61,-5.88,1.52,-0.68,0.3,-13.32,7.92,1.83,42.49,74.74,332.31,63.83,-6.77,32.18,1.03,-9.12,0.2981749905694568,-0.0912056031440017,0.0862220178849278,0.0402523935484862,-0.7044521348746908,0.7018250094305432,0.4111709412223571,0.7997082431685809,-0.0785315402280099,7.797344612603921,21.42,34.61,-3.15,22.52,14.94,9.58,85.06,-11.127216374474514,3.373523487097697,1,0,1,0
573,(주)큐로컴,40350,17-Dec,서비스업,49.62,-214.11,-32.22,-9.7,-1.95,7.2,-5031.25,-3.47,0.26,-12.71,0.11,-26.97,5.97,61.29,55.7,46.52,143.14,44.83,-17.04,8.08,0.33,-23.8,0.3577511351560826,-0.2380343014822416,0.0257651010955722,0.0693646089908087,-0.906567400282138,0.6422488648439173,0.5945471277069465,0.8517534954012836,-0.0458170120317325,8.07081263655439,6.56,-65.86,-33.19,28.47,18.24,16.26,81.76,-2.298161114928409,-17.43951882309788,1,0,1,0
441,(주)이글벳,44960,17-Dec,서비스업,42.15,4.55,4.16,7.96,6.71,1.11,34.99,2.86,5.85,17.86,0.71,4.89,5.58,1.27,55.95,155.54,547.0,70.06,15.01,5.58,2.11,3.24,0.3587639853073836,0.0324216226724234,0.0150952658096275,0.0251804018318769,0.229219402765098,0.6412360146926164,0.2245629664016331,0.5795988394516902,0.0570461963682031,7.696948923007664,7.77,20.16,18.41,25.18,30.47,3.42,69.53,142.82065068869937,-30.381086234524247,1,0,1,0
448,(주)이루온,65440,17-Dec,서비스업,115.49,-4.83,5.42,6.4,-0.53,0.9,82.94,3.95,4.58,21.27,0.73,-8.88,3.01,2.76,161.45,141.43,240.01,133.67,18.3,21.88,1.23,-3.55,0.6175212234195018,-0.0354842205996925,0.097281175730704,0.0239884152328185,-0.1865281023704617,0.3824787765804981,0.3172966885782078,0.3752919561074321,-0.0076573853219834,7.680690247839014,1.6,7.52,-33.51,33.1,30.69,26.78,69.31,-174.0505711415919,-62.42333251529018,1,0,1,0
