,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
86,(주)씨엘인터내셔널,37340,14-Dec,제조업,57.17,-26.07,-12.51,-17.48,-2.96,3.17,79.12,-8.23,0.97,12.52,0.67,-32.86,3.86,4.35,89.01,127.5,76.73,98.01,8.32,17.73,1.46,-17.48,46.14,53.86,33.14,7.27,0.470940177,0.053769549,-1.073869894,0.586187009,1.161274341,7.516973625,-0.482560958,-13.25542004,-47.66696035,-0.083712989,-0.380668507,0.028302072,-476.3836315,63.38354859,2,0,2,1
87,(주)아이앤씨테크놀로지,52860,14-Dec,제조업,4.59,-291.02,-160.32,-53.64,-45.07,-0.93,-45.03,-11.86,0.77,-10.42,0.07,-23.56,9.5,0.31,28.39,630.99,799.1,496.59,19.0,8.83,0.35,-19.72,-11.59,111.59,13.18,1.46,0.221150671,0.017083279,0.049487149,2.072598261,0.994066712,7.857097588,-21.14373244,-51.38695948,-26.62934197,-0.148291166,-1.031488049,0.003290589,-27.17586771,-25.60096499,2,0,2,1
88,(주)에스에스컴텍,36500,14-Dec,제조업,141.02,-5.96,4.31,4.09,-0.2,2.16,30.13,2.57,15.77,8.07,0.64,-17.57,3.15,2.33,169.07,133.64,620.52,86.13,17.63,28.3,1.07,-3.81,11.85,88.15,35.76,3.48,0.628343537,0.148328876,-0.061954547,0.124430535,0.806018324,8.341740676,-3.075562954,16.29820358,-23.13525312,-0.003789305,-0.063964518,0.018687819,-110.2446314,-87.78554661,2,1,5,1
89,(주)에이디칩스,54630,14-Dec,제조업,62.95,-15.5,-7.85,-29.16,-13.91,0.79,52.63,-15.77,6.16,15.89,1.73,-70.87,9.54,6.55,117.75,228.69,90.12,143.0,37.2,68.67,3.55,-26.87,19.11,80.89,38.98,6.81,0.54076357,0.198518105,-1.452945915,0.322988403,0.737899669,7.115122363,-36.85225145,-28.70919963,-39.16326568,-0.228576308,-0.55050213,0.016435129,-74.85783039,8.792990055,2,0,2,1
90,(주)에이티세미콘,89530,14-Dec,제조업,193.33,-13.0,17.91,19.29,1.19,3.55,38.69,13.86,6.21,25.92,0.82,-31.92,8.4,1.18,255.42,38.78,215.92,35.34,-33.3,0.48,1.24,-10.7,14.59,85.41,59.33,82.71,0.718641553,0.002630422,-0.073752998,0.094607943,2.804519128,8.288883876,-19.38970235,61.83060138,113.8459546,0.042212219,-0.160904618,0.035583128,466.7931061,-46.08506404,2,1,5,1
91,(주)엔에스브이,95300,14-Dec,제조업,118.7,-10.07,8.53,10.45,-1.76,2.74,32.03,6.64,9.23,13.43,0.78,-21.21,3.8,2.04,174.3,124.36,431.96,50.3,10.54,0.74,1.23,-7.83,5.52,94.48,44.1,2.32,0.635438179,0.003211535,0.041514426,0.115995681,1.266896989,7.718534596,-2.64457857,-12.64141472,-17.93027928,-0.047324903,-0.124224877,0.026948582,61.33349238,50.65722013,2,0,2,1
92,(주)유씨아이,38340,14-Dec,제조업,49.0,-47.67,-34.32,-101.95,-3.13,2.26,-154.87,-37.84,1.92,-31.66,0.87,-123.58,4.33,5.23,59.02,180.6,69.83,155.42,24.83,21.09,1.31,-41.34,5.88,94.12,15.5,17.8,0.371151654,0.064986664,-1.415400941,0.184467582,0.705333442,7.350418852,170.8530546,-35.52852721,-81.76427506,-0.109023816,-0.625099471,0.034795623,8.939478784,-67.37340174,2,0,2,1
93,(주)인포피아,36220,14-Dec,제조업,48.71,-12.0,-1.98,-2.38,-3.03,1.98,23.56,-1.15,12.68,10.74,0.57,-11.79,2.62,1.23,93.74,160.94,1127.21,116.38,15.32,6.5,1.34,-6.81,36.78,63.22,32.54,5.17,0.483841743,0.016345014,0.152559272,0.444605874,1.153394643,7.977149779,-22.44098248,-8.161993451,8.042267845,-0.043541981,-0.16093368,0.014378163,33.35077864,26.92973934,2,0,2,1
94,(주)케이엑스하이텍,52900,14-Dec,제조업,39.04,3.6,-2.18,-8.68,4.31,1.38,73.97,-2.93,6.04,33.87,1.19,12.45,7.35,2.76,51.01,160.0,200.05,134.27,15.51,21.42,1.82,4.28,18.19,81.81,17.26,15.31,0.337799016,0.055385146,-0.236460224,0.118717356,0.885465635,7.735991806,459.8938361,-32.63027708,1.165252369,0.075158553,0.065391174,0.017451727,1514.739905,1103.214697,2,0,2,1
95,(주)티에스엠텍,66350,14-Dec,제조업,476.97,-11.2,2.83,2.38,-1.97,3.42,11.58,2.04,44.4,3.49,0.73,-47.95,1.86,2.49,613.7,92.6,846.06,68.06,-4.94,1.49,0.88,-8.19,3.5,96.5,61.83,4.21,0.859885141,0.009976557,0.011215811,0.116391543,2.720125174,8.514825336,-28.87190672,-0.257246303,15.92843644,-0.059508645,-0.09877074,0.030131734,-15.49548823,-10.39199593,2,1,5,1
