,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율,업종,규모,층화,label
54,(주)뉴인텍,12340,19-Dec,제조업,65.11,-2.02,1.64,3.92,0.34,1.39,62.69,1.79,2.59,25.76,1.18,-5.33,6.15,2.65,84.29,148.97,179.8,103.41,17.3,41.32,2.14,-2.39,11.28,88.72,20.9,6.62,0.457386204,0.145974914,-0.529877152,0.107827363,0.473697244,7.697024635,17.22,31.22,8.67,0.005918417,-0.023877591,0.031548755,1194.617893,72.05734253,2,0,2,0
162,(주)멕아이씨에스,58110,19-Dec,제조업,260.91,-13.13,-9.29,-5.78,-0.16,9.04,41.32,-4.81,4.8,22.37,0.52,-31.4,4.08,0.96,493.19,74.92,150.85,40.6,-11.03,5.54,0.65,-6.85,43.01,56.99,67.5,3.36,0.83142012,0.024376323,-0.240726728,0.446555447,0.670458485,7.395332405,1.68,-0.59,47.39,-0.0085754,-0.068546834,0.0677361,88.43200128,38.7153766,2,0,2,0
372,(주)에스피시스템스,317830,19-Dec,제조업,58.53,4.14,-1.22,-1.36,2.92,0.68,35.94,-0.66,42.98,12.0,0.59,5.22,2.98,1.59,94.15,195.25,3736.71,186.28,28.71,40.17,1.11,2.46,18.56,81.44,23.66,19.34,0.484926486,0.121091185,0.322975579,0.154120632,0.411393067,7.771520112,22.11,46.98,-31.82,0.018726791,0.024592452,0.012002597,-75.76378532,-59.14200186,2,0,2,0
483,(주)위지트,36090,19-Dec,제조업,33.45,-17.65,8.27,8.14,-0.96,3.93,23.22,2.51,0.82,5.67,0.31,-7.11,4.38,1.29,44.56,71.38,173.82,47.84,-6.62,18.42,0.95,-5.42,15.04,84.96,24.24,5.82,0.308254938,0.042626114,0.150797162,0.183836558,0.834823844,8.018264896,2.25,-38.6,-29.27,-0.01025276,-0.05418331,0.033031319,-121.647687,-187.6369183,2,0,2,0
227,(주)서남,294630,19-Dec,제조업,38.6,-298.61,-186.76,-58.06,-102.31,0.43,-25.64,-25.08,0.17,-10.76,0.13,-64.38,2.03,0.28,76.03,198.23,71.36,100.7,21.54,79.53,0.35,-39.82,-109.14,209.14,16.61,0.7,0.431905409,0.174390063,-4.44861209,2.033179534,0.565339119,7.022276898,-1.37,-18.36,-70.88,-0.416628155,-0.39815488,0.010674148,-175.168395,-191.1756995,2,0,2,0
856,램테크놀러지(주),171010,19-Dec,제조업,54.61,7.31,7.67,10.6,4.61,2.37,40.34,4.97,7.02,19.19,0.75,11.64,16.26,1.33,88.26,165.26,536.52,123.76,18.93,99.16,1.43,5.51,20.23,79.77,40.11,5.71,0.468828926,0.287631033,0.092149014,0.098748024,0.520657428,7.826315031,39.28,172.87,33.09,0.078028295,0.055120531,0.032169047,111.2911402,111.7064041,2,0,2,0
1041,제이엠티(주),94970,19-Dec,제조업,25.04,1.15,25.6,129.97,141.18,-0.23,79.05,29.74,9.94,23.09,1.04,1.74,9.91,3.76,29.67,298.22,659.94,266.84,38.28,112.55,3.32,1.19,11.3,88.7,0.0,11.03,0.228837628,0.217365265,0.558565818,0.088655195,0.424070173,7.855296045,-19.28,-27.45,-43.37,0.025316673,0.011925998,0.000572956,-84.73401129,-91.07955975,2,0,2,0
528,(주)이엘피,63760,19-Dec,제조업,7.85,10.91,26.02,152.86,197.45,-1.94,208.57,12.75,15.22,16.92,0.49,5.98,3.51,5.92,9.1,1056.22,2844.96,972.69,68.83,459.75,4.41,5.32,28.05,71.95,1.23,7.25,0.083438754,0.330942052,0.697067154,0.197245741,0.239700648,7.882009813,-1.08,-1.67,-26.53,0.040576375,0.053164905,0.00185952,-79.48545571,-72.52578538,2,0,2,0
374,(주)에쎈테크,43340,19-Dec,제조업,50.53,-0.95,5.66,19.32,0.88,0.93,84.68,6.82,1.44,25.65,1.14,-1.71,4.43,3.97,54.59,183.5,77.08,83.1,27.29,7.63,3.13,-1.09,7.27,92.73,24.0,3.54,0.353112046,0.024950504,-0.156480188,0.064077827,0.400201176,7.632404688,-10.58,-9.32,-12.05,0.009857383,-0.010854013,0.030855611,-83.39356044,-124.5006193,2,0,2,0
517,(주)이랜시스,264850,19-Dec,제조업,59.85,2.09,2.44,5.69,15.32,0.49,108.51,2.74,19.33,24.24,1.12,4.52,5.05,3.18,92.58,181.19,894.72,137.07,25.24,7.2,2.33,2.35,17.62,82.38,28.24,8.18,0.480733284,0.022381502,0.324841504,0.097824587,0.43684725,7.668495008,0.0,0.0,0.0,0.175826,0.046951896,0.02387874,93738.48249,69681.23556,2,0,2,0
