,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),총자산부채비율,순이익률,현금비율,이자비용/부채,유보이익대총자산비율,자기자본비율,매출액대판매관리비,고정비율,총자산영업이익율,log총자산,총자본증가율(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),차입금의존도(IFRS연결),매출액총이익률(IFRS연결),재고자산회전률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업이익증가율,순이익증가율,업종,규모,층화,label
402,(주)엔바이오니아,317870,19-Dec,제조업,21.82,10.16,26.09,29.52,4.2,3.07,53.06,8.41,3.02,16.2,0.4,7.25,12.57,0.98,39.85,380.25,579.34,331.53,43.73,176.51,0.93,4.1,0.2849434616964958,0.0410065015152985,0.2754421204596716,0.0303538707956375,-0.1630224715019314,0.7150565051271558,0.2961336867208201,0.4066249186557408,0.0554422678337647,7.479171417128483,67.2,139.74,13.76,17.21,43.35,4.7,56.65,-37.09426979,52.52509965,2,0,2,0
720,(주)팬젠,222110,19-Dec,제조업,102.61,-310.19,-160.91,-22.44,-6.57,5.48,-62.14,-11.86,0.6,-10.99,0.07,-39.4,5.23,0.41,112.1,135.44,382.22,131.21,17.14,23.08,0.15,-21.11,0.5285312089758654,-0.2110589500852913,0.1116430112894017,0.0617619620384927,-0.8811128559190495,0.4714687910241346,2.040954712217869,0.3447935939515705,-0.1883994161429661,7.591987214808491,-14.31,-17.05,-49.27,44.48,-72.79,4.49,172.79,-162.12860429898873,-93.03083760571526,2,0,2,0
500,(주)유에스티,263770,19-Dec,제조업,31.35,4.86,2.02,7.25,7.43,0.47,42.0,1.73,22.09,14.88,0.8,5.64,6.05,2.38,31.42,267.27,1957.23,159.28,39.9,0.61,2.62,3.9,0.2390900700443907,0.0390462113149717,0.0014590223377476,0.0256492129044322,0.3573640029031174,0.7609099463592558,0.0558620741940375,0.3624770851310704,0.058527936451314,7.785059598425338,-11.99,-14.8,5.55,19.17,12.86,2.65,87.14,11.00797579,123.4611727,2,0,2,0
926,아이쓰리시스템(주),214430,19-Dec,제조업,23.75,0.35,15.5,35.73,-29.85,-0.3,70.93,8.78,14.48,25.17,0.57,0.26,5.98,1.66,32.6,309.55,1928.15,162.08,37.53,72.07,2.38,0.2,0.2458398917722134,0.001960526798866,0.1290744465394163,0.0036792657471091,0.4612833527858116,0.7541601191512358,0.1371900553312221,0.4456384502614287,-0.026121099276354,7.961640207984695,-0.41,-12.31,-25.02,9.81,9.1,2.11,90.9,-126.65201187509705,-98.16190771111253,2,0,2,0
572,(주)제일바이오,52670,19-Dec,제조업,9.06,8.89,14.38,109.08,440.39,-1.18,106.07,9.54,3.06,16.27,0.69,6.67,8.45,4.23,9.58,981.16,421.57,728.38,72.83,193.75,8.1,6.1,0.0874608309073035,0.0610020153631502,0.1601409979106257,0.0004159377044359,0.3696297060165336,0.9125391690926964,0.1895558623605972,0.1890226362007601,0.0155300670240974,7.539680339180508,7.17,22.48,-17.34,0.31,21.22,3.37,78.78,-62.93301404716598,96.39990578689573,2,0,2,0
179,(주)바이오솔루션,86820,19-Dec,제조업,5.85,-7.85,-8.61,-20.61,-35.51,-7.46,121.74,-1.48,2.24,7.63,0.17,-1.44,2.89,3.0,7.72,1593.06,1197.09,1574.22,81.03,53.7,2.36,-1.33,0.0716280021053332,-0.0133280825517483,0.0291441721654226,0.0140031131044018,-0.245246052905569,0.9283719978946668,0.8746672382786703,0.1353978912232667,-0.0356860865812815,7.714392434480255,-2.0,-7.62,-15.61,1.47,66.44,14.53,33.56,-272.4320701,-151.7612968,2,0,2,0
89,(주)동운아나텍,94170,19-Dec,제조업,69.46,12.06,-10.67,-19.94,-1.77,1.88,2789.6,-10.82,7.7,37.02,1.14,29.12,5.05,97.97,118.58,235.17,327.45,142.08,42.95,63.12,2.18,13.8,0.5424979119560465,0.1380251429122123,0.2005770691767999,0.0490805571859664,0.3241851447330516,0.4575020880439536,0.3216573408569909,0.2527396787269401,-0.0457371110288209,7.732723441104157,29.68,40.62,17.27,36.58,28.17,4.3,71.83,65.15097888898707,219.15514387125052,2,0,2,0
438,(주)오스테오닉,226400,19-Dec,제조업,36.42,4.47,-9.59,-4.58,0.35,8.81,55.5,-2.05,2.64,14.51,0.23,1.74,1.13,1.01,80.67,297.54,684.68,228.99,39.82,50.92,0.57,1.04,0.4465178282634574,0.0103550532228439,0.1026490232049721,0.0710504929892734,-0.1737260748935123,0.5534821717365427,0.4076243924938564,0.4002441485823758,0.009956926501162,7.718645505377589,18.91,5.78,22.86,35.55,45.06,1.94,54.94,253.1076025803411,1430.8304540596255,2,0,2,0
1087,하이즈항공(주),221840,19-Dec,제조업,24.05,5.03,5.16,6.38,2.96,0.83,50.75,2.77,8.33,25.75,0.55,4.89,8.05,1.04,76.75,317.82,864.25,275.11,29.63,149.61,1.28,2.77,0.4342377369816275,0.0276721851014195,0.2035349792444696,0.0225069900951677,0.0755965214196541,0.5657622630183725,0.0911333340073621,0.5676373097033384,0.0286153012156112,8.137638636139062,5.19,15.86,42.53,34.7,14.31,9.1,85.69,213.69695123898128,479.08056180249395,2,0,2,0
336,(주)알로이스,297570,19-Dec,제조업,27.98,-13.32,-3.78,-21.38,42.24,0.17,-220.47,-5.22,17.42,-2.36,1.38,-24.33,2.82,128.99,32.27,461.26,953.43,395.89,76.42,40.19,5.66,-18.4,0.2439474607829723,-0.3679136280458089,0.0850220492106716,0.0369223566186132,-0.0108725923071889,0.7560524934575368,0.1282690519233906,0.024214320981779,0.3804198799362479,7.339518816322274,0.0,0.0,0.0,15.62,26.6,9.99,73.4,inf,#NAME?,2,0,2,0
