,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율(IFRS연결),매출액순이익률(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),유형자산회전율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),총자산부채비율,순이익률,현금비율,이자비용/부채,유보이익대총자산비율,자기자본비율,매출액대판매관리비,고정비율,총자산영업이익율,log총자산,총자본증가율(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),차입금의존도(IFRS연결),매출액총이익률(IFRS연결),재고자산회전률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업이익증가율,순이익증가율,업종,규모,층화,label
807,글로벌텍스프리(주),204620,19-Dec,서비스업,28.18,9.72,8.29,9.24,2.58,2.96,356.69,3.92,4.22,22.16,0.5,7.91,0.0,10.88,73.57,495.16,390.62,495.16,64.15,365.05,1.3,4.87,0.4238612075620546,0.0486621945895077,0.5926434893787562,0.0585167281239453,0.1522938331644069,0.5761387924379454,0.8840894912627064,0.1961302851628374,0.0580437318046364,8.102215488214265,12.81,2.36,43.89,18.2,0.0,0.0,0.0,895.3342222,-30.57519029,1,0,1,0
480,(주)위메이드플레이,123420,19-Dec,서비스업,10.76,3.51,8.4,38.09,16.24,-3.78,562.06,4.56,17.64,18.41,0.55,2.16,10.28,23.02,13.6,833.67,2858.79,833.67,69.5,113.5,4.94,1.92,0.1197246489757595,0.0192425114026129,0.1075130884068638,0.0099681488398165,0.8146489613446811,0.8802753574594318,0.967270517602376,0.2103044388611008,0.0179432427487753,8.191438538799432,1.89,25.91,-1.84,2.11,0.0,0.0,0.0,-67.71813036607297,-70.14104577494139,1,0,1,0
777,(주)현대이지웰,90850,19-Dec,서비스업,142.52,5.7,6.99,10.69,23.95,-0.03,106.59,6.38,15.63,26.73,0.95,15.55,33.42,3.45,148.0,106.87,660.1,101.16,3.95,37.77,1.52,5.43,0.5967674497804446,0.0542669303276642,0.2170560378551065,0.0072444315173715,0.262124222233798,0.4032325502195554,0.3793709128144424,0.3858097935694709,0.1088236456001036,7.955242834762325,9.1,18.48,12.66,4.92,49.37,36.61,50.63,34.365417097889825,177.93019524760828,1,0,1,0
181,(주)바이오톡스텍,86040,19-Dec,서비스업,71.11,-6.6,8.71,7.77,-0.23,1.55,54.1,3.74,3.55,19.75,0.42,-5.15,6.51,1.15,92.9,77.44,413.94,74.25,-8.32,24.24,0.92,-2.77,0.4815997780094113,-0.027660135390482,0.0893531396585761,0.0200956662942677,0.0014067181201446,0.5184002219905888,0.2127469850038178,0.7145429261239171,-0.0021217839947501,7.7794198807388035,-4.69,8.29,-20.65,28.97,20.77,30.84,79.23,-107.91111396007433,-148.90773740730523,1,0,1,0
447,(주)와이비엠넷,57030,19-Dec,서비스업,69.78,2.97,10.56,18.88,4.46,0.4,119.53,8.38,7.37,31.15,0.78,4.24,10.8,2.77,79.75,112.01,516.67,96.26,4.66,34.89,1.74,2.33,0.4436734717909598,0.0233042801574722,0.1354634251412213,0.017128591780543,0.2599425350966119,0.5563265414105011,0.3961853860876946,0.5651547939943703,0.0343321443172272,7.879378004675162,-2.04,-7.67,-4.04,21.24,43.99,12.32,56.01,160.77836496712567,382.367767723371,1,0,1,0
222,(주)삼화네트웍스,46390,19-Dec,서비스업,14.69,1.33,1.3,8.42,7.24,-0.26,667.69,1.63,6.3,19.95,1.1,2.08,18.97,47.03,24.04,430.2,405.52,430.2,39.11,167.73,3.78,1.47,0.1937819895520916,0.0146955723361408,0.1986741021056657,0.0016699025254617,0.1570531925995294,0.8062180104479084,0.0379038645940905,0.4904399700654356,0.0035373277040551,7.636525877907314,-20.99,-43.57,331.55,0.47,4.11,0.0,95.89,2262.4384115806397,525.8001559114578,1,0,1,0
150,(주)매커스,93520,19-Dec,서비스업,91.46,8.35,7.72,9.11,34.83,0.01,284.66,4.39,7.11,12.39,0.61,9.11,6.67,13.38,92.93,191.12,653.51,148.4,43.19,37.75,1.37,5.1,0.4816902716577809,0.0510170393567203,0.1789592520250889,0.0040652782898653,0.4587028817707519,0.5183097382311698,0.1289429291669003,0.0940203157019804,0.0632059293702986,8.004849790665158,16.08,18.6,-35.86,1.79,23.24,4.11,76.76,-54.05494055763855,-48.406601683622306,1,0,1,0
1050,참좋은여행(주),94850,19-Dec,서비스업,48.82,36.88,15.82,20.06,8.85,-0.29,3622.63,6.74,8.87,36.45,0.41,25.44,1020.2,61.06,50.61,243.19,1381.48,240.35,46.41,145.02,1.04,15.3,0.3360231879814909,0.1530110305130322,0.4700694899277128,0.0135236991275434,0.4251579945412983,0.6639768120185091,0.8849695587615746,0.2117418045492018,0.0477191228398548,8.163288691693982,-5.14,65.39,-4.55,0.72,0.0,53.15,0.0,-44.45866486653707,123.6131558930458,1,0,1,0
116,(주)디지틀조선일보,33130,19-Dec,서비스업,9.8,10.23,16.93,66.65,31.03,-3.16,1102.08,6.67,1.82,23.18,0.41,4.54,6.32,16.29,11.13,653.54,414.09,651.56,48.83,123.34,4.34,4.16,0.1001227099423427,0.0415990737040827,0.1088109340078484,0.012121300631097,0.4494801323540253,0.8998772900576573,0.1683529044113258,0.4234525581600294,0.0352739015776953,7.93375891027346,6.46,1.7,-14.71,2.59,25.51,210.73,74.49,-53.85297300423334,-32.627375678730616,1,0,1,0
214,(주)사람인에이치알,143240,19-Dec,서비스업,17.07,27.21,20.81,100.31,821.08,-3.2,729.06,14.9,16.07,62.65,0.8,25.35,14.91,9.05,17.45,381.26,1908.5,381.26,40.88,28.37,5.46,21.66,0.1485383188715128,0.2165640925182667,0.0412289038003392,0.001939860813338,0.5499785234278461,0.8514616811284872,0.7082988460837485,0.4458783494035562,0.2321555394295183,8.116169130850473,25.08,52.08,8.61,0.56,0.0,0.0,0.0,44.59584386885574,52.745029130025166,1,0,1,0
585,(주)지란지교시큐리티,208350,19-Dec,서비스업,25.34,7.41,9.33,25.58,20.38,-0.54,225.19,5.76,14.28,33.45,0.65,8.21,3.67,6.32,29.09,266.12,1051.09,266.12,32.6,81.51,3.2,4.84,0.2253466755454062,0.0483544299181416,0.1599695960379995,0.0088595849488501,0.0859931045219724,0.7746533244545938,0.3296718142652753,0.477686195323672,0.0367719388340081,7.993292602981078,11.89,0.72,13.12,8.79,38.6,0.0,61.4,23.112757666248683,48.878707563101806,1,0,1,0
741,(주)플리토,300080,19-Dec,서비스업,4.65,-300.77,-183.98,-158.15,-16.77,3.46,-458.67,-13.83,1.09,-21.23,0.13,-125.49,6.12,3.11,9.58,2222.56,928.48,2222.56,90.12,375.19,0.19,-39.31,0.0874419833186694,-0.3930788155376181,0.1593035147125658,0.0328741586562138,-0.8024904505643409,0.9125580166813304,3.89008068420122,0.056304744099584,-0.3777074688246922,7.421780290287293,565.5,586.94,-43.37,3.39,0.0,0.0,0.0,-243.6638929,-58.74060765,1,0,1,0
622,(주)케이엔엔,58400,19-Dec,서비스업,5.72,11.43,17.26,88.68,352.25,-2.48,56.38,5.84,1.07,17.85,0.34,4.17,5.14,1.01,7.05,514.03,295.8,514.03,22.12,104.06,4.78,3.9,0.0658805158483973,0.038970671969945,0.0555951286884975,0.0014207478739626,0.5631366797643427,0.9341194841516026,0.2869731487067096,0.725385190918399,0.0356961160168896,8.322548861209556,1.58,6.18,10.93,0.14,39.16,0.0,60.84,-4.6130705052558225,3.6479204618806507,1,0,1,0
964,에이치엘비테라퓨틱스(주),115450,19-Dec,서비스업,78.99,-29.14,-7.69,-7.15,-4.71,1.82,-92.73,-3.25,4.76,-6.09,0.48,-24.77,5.51,6.46,83.35,103.2,511.26,97.69,1.38,71.87,1.32,-13.9,0.4545811564256535,-0.1390093811670814,0.3096220122207291,0.0418113581368884,-0.4052614823637507,0.5454188435743466,0.2430164976245877,0.5554146786938164,-0.0714571635153893,8.144633379703905,29.6,59.69,27.2,34.95,9.32,15.41,90.68,-188.8408827917875,-509.4705694482844,1,0,1,0
524,(주)이스트소프트,47560,19-Dec,서비스업,79.52,-23.35,5.67,4.88,-1.43,1.71,42.7,2.9,13.92,21.36,0.61,-36.66,9.0,1.28,146.93,137.39,765.26,129.83,12.04,69.65,0.94,-14.14,0.5950290947608771,-0.1413662251549427,0.2242995932106601,0.027070761540292,-0.008139673580111,0.4049708978074161,1.0411556341182455,0.557544962384044,-0.0249125356624518,8.128911427633179,44.51,39.35,6.52,29.54,0.0,28.24,0.0,-239.37736183815085,-910.2830439014369,1,0,1,0
111,(주)디와이디,219550,19-Dec,서비스업,63.61,-6.0,-10.14,-22.84,-3.85,0.16,369.62,-9.34,8.47,5.66,0.92,-9.56,7.79,60.16,69.17,148.91,536.01,102.62,18.39,3.79,2.25,-5.53,0.4088614843920223,-0.0685857976911922,0.0142696230795652,0.0381336758239619,0.3317912288676074,0.5911385347544068,0.3759596098884028,0.4400412337499468,-0.0418371972150324,7.717912209630089,0.0,0.0,0.0,34.77,33.93,5.29,66.07,-132.9691673,-172.2159985,1,0,1,0
265,(주)수산아이앤티,50960,19-Dec,서비스업,3.57,18.14,33.15,156.05,1784.85,-5.31,56.81,6.67,4.74,11.66,0.21,3.9,3.57,0.96,4.46,1615.86,2255.47,1586.47,51.83,52.15,5.82,3.76,0.042733925407899,0.0376256639857744,0.0178291031506606,0.0005680587437433,0.5603095770762021,0.9572660745921008,0.8256465668638873,0.4475277601199628,0.0361562991893816,7.900541832853306,6.35,10.17,-1.65,0.14,0.0,26.29,0.0,5.266857801367325,-6.956599773407966,1,0,1,0
559,(주)제넥신,95700,19-Dec,서비스업,7.62,-146.06,-272.61,-50.29,-9.71,6.8,-33.79,-8.6,0.97,-2.02,0.03,-5.35,5.37,0.23,20.64,423.26,2499.1,423.26,20.43,84.16,0.2,-4.5,0.1710531838277144,-0.0450463053931325,0.056979270200009,0.0793482528998222,-0.4937529894987608,0.8289468161722856,4.5995887833765146,0.7324874885839512,-0.1215192550029731,8.554097310228705,-4.44,-46.02,-12.25,10.99,65.94,0.0,34.06,-16.944427639091604,51.53869343606495,1,0,1,0
508,(주)이글루코퍼레이션,67920,19-Dec,서비스업,21.72,2.62,7.89,54.3,105.57,-0.95,3045.82,10.03,13.74,69.73,1.31,4.26,17.33,55.94,22.66,457.55,878.35,457.39,63.32,101.96,8.03,3.42,0.1847585584004484,0.0342179376430339,0.1805772535061481,0.001702244175334,0.3140122865686581,0.8152414415995516,0.9776093252036324,0.1896725025696735,0.0292322504179769,7.773918424126999,5.46,5.06,16.83,0.43,0.0,1313.78,0.0,-43.205716315075385,-77.54958959339758,1,0,1,0
169,(주)모비스,250060,19-Dec,서비스업,13.01,-4.61,-3.7,-5.02,-19.87,-0.77,298.33,-1.06,3.78,22.2,0.35,-2.35,26.99,4.03,26.65,487.61,803.54,487.18,39.81,109.28,2.01,-1.6,0.2104011737327979,-0.0159642817912502,0.1122426449035789,0.0143371861873055,-0.0350137443305165,0.789598826267202,0.6467027113707928,0.4991650976716456,-0.0492415096887178,7.628482564064818,54.03,24.53,386.56,4.77,50.46,770.26,49.54,-17.17145867,-58.19749987,1,0,1,0
1096,한국정보인증(주),53300,19-Dec,서비스업,26.03,16.76,24.55,43.66,418.34,-4.12,248.79,9.58,2.73,16.47,0.41,8.65,23.65,4.16,28.12,330.11,546.95,329.95,46.76,24.09,1.91,6.81,0.2194602616743529,0.0680643443930038,0.0489568479853104,0.0009931355699064,0.4292732207091961,0.7805397291674907,0.7823966201543743,0.3292382484575398,0.0883789062918909,8.038191946345426,8.52,5.09,9.49,1.13,0.0,1316.35,0.0,2.880355128024168,-9.050825095624171,1,0,1,0
719,(주)팬엔터테인먼트,68050,19-Dec,서비스업,40.16,2.82,-19.57,-26.5,2.34,1.07,14.7,-10.16,5.85,7.63,0.56,2.4,5.39,0.99,62.15,104.02,695.59,95.56,1.0,7.55,1.63,1.58,0.383293239675981,0.0157765136998484,0.018697863740882,0.0185532514246215,0.0298898402647324,0.6167067732265186,0.0589902081761779,0.7423606299733169,0.014955491957236,7.889326145593023,17.14,79.35,204.41,30.76,8.57,20.56,91.43,254.97999864397585,209.220645549272,1,0,1,0
921,씨제이바이오사이언스(주),311690,19-Dec,서비스업,7.47,-90.85,-47.47,-78.65,-99.69,-1.71,-0.45,-6.73,2.72,-0.02,0.21,-20.88,25.4,3.61,9.36,1372.75,1620.11,1368.46,86.95,232.28,1.93,-18.66,0.0855556294838257,-0.1866079942139985,0.1586784668040744,0.0183378907360095,-0.1251392983963476,0.9144443705161742,1.503588479985148,0.0622220496680414,-0.1940430902608542,7.528163291466092,162.9,175.93,21.9,2.19,55.89,39.13,44.11,-32.6609565,-38.62147722,1,0,1,0
658,(주)큐로홀딩스,51780,19-Dec,서비스업,67.81,-35.43,-3.04,-3.26,0.28,8.19,3.55,-1.59,0.73,0.92,0.51,-34.12,7.84,3.06,95.16,82.65,55.23,57.41,-6.03,5.84,0.97,-18.09,0.4875966037844992,-0.1809185801311311,0.0203052169374654,0.1054506644920176,-1.943946162838046,0.5124033962155007,0.234373768305002,0.7128222685352037,0.0155112516650857,7.692265968135133,-4.64,-34.44,2.12,43.12,26.48,6.33,73.52,237.4610114272761,25.7450190792433,1,0,1,0
154,(주)메드팩토,235980,19-Dec,서비스업,1.81,0.0,0.0,-758.39,-53.6,-1.39,-241.03,-18.84,0.0,-11.17,0.0,-17.17,0.0,0.0,2.55,5323.93,1558.71,5323.93,92.44,12.13,0.0,-16.75,0.0248430065279182,-0.2402336902986588,0.002145832202856,0.0168928125373275,-0.813933406165498,0.9751569934720816,179.375527,0.057903789051589,-0.2353072300235727,7.906871882570155,0.0,0.0,0.0,0.99,0.0,0.0,0.0,-30.27367861,64.03294662,1,0,1,0
601,(주)초록뱀컴퍼니,52300,19-Dec,서비스업,24.28,-98.26,-10.78,-3.5,-0.96,14.9,-179.16,-1.36,1.18,-8.79,0.12,-20.04,2.47,2.53,63.77,81.75,504.65,81.54,-2.7,3.9,0.3,-11.96,0.3893916656208395,-0.1195532180338004,0.0057770799746193,0.0656133479912465,-0.0932107501081663,0.6106083343791604,0.2971454907984616,0.8788140653947654,-0.0254397831221722,8.153604904600583,-7.42,-3.41,-65.34,26.55,8.81,302.08,91.19,-4.408498839737495,-298.04296192679146,1,0,1,0
772,(주)헥토파이낸셜,234340,19-Dec,서비스업,52.21,19.65,18.01,20.15,1787.9,-2.26,1048.88,6.98,14.89,15.87,0.46,15.54,18.33,25.37,52.96,254.82,2387.77,254.82,52.84,138.18,1.12,9.1,0.3462531252321649,0.0909664912830702,0.4716052411289957,0.0001279767715601,0.3754341331046882,0.6537468747678351,0.7951095824838375,0.1303145698575987,0.0948732912146993,8.22849230800163,48.54,42.58,14.69,0.1,0.0,0.0,0.0,1.996294042,7.369287526,1,0,1,0
854,라온시큐어(주),42510,19-Dec,서비스업,52.01,8.32,11.44,12.32,3.1,1.54,395.22,6.81,1.91,27.41,0.78,10.15,3.11,13.38,123.65,327.05,136.39,327.05,52.8,198.08,1.72,6.45,0.5528722495774645,0.0645048578776851,0.460648260359568,0.0386283181827544,0.2386752289990008,0.4471277504225355,0.5266400869761334,0.2394328370343409,0.0540266827187713,7.708580497400328,86.5,90.12,23.7,30.39,59.63,0.0,40.37,-47.27588698366524,-33.09138115367231,1,0,1,0
952,에스지에이클라우드서비스(주),224880,19-Dec,서비스업,0.0,-64.07,1.43,2.14,-6.49,2.42,-20605.36,4.38,7.92,-136.11,1.53,0.0,3.61,126.59,0.0,45.52,0.0,44.71,-109.88,11.73,1.24,-97.84,2.046627704521784,-0.9783500273140008,0.2365330241515514,0.051480470662533,-2.628167508400967,-1.0466277045217836,0.3467124758388474,0.0819099573564957,-0.4110491289711758,6.8035168611725645,-66.77,-50.7,-23.79,130.22,7.75,23.04,92.25,-124.87608719994611,-189.2188354862341,1,0,1,0
764,(주)한네트,52600,19-Dec,서비스업,65.52,4.36,20.12,18.2,2.19,3.03,93.49,8.19,4.49,17.66,0.4,3.19,12.45,2.04,81.78,193.26,606.67,193.22,33.62,162.63,0.86,1.73,0.4498714747702758,0.0172880638655865,0.5862421088545288,0.0284715382682489,0.4129374682858753,0.5501285252297242,0.0847533397600026,0.3033712038053593,0.0285953525966593,7.804555269576942,-5.18,-0.52,-4.5,38.03,15.69,5591.06,84.31,-8.355231903039934,2.913434843259405,1,0,1,0
688,(주)티로보틱스,117730,19-Dec,제조업,79.26,-6.54,3.6,3.88,-2.84,2.01,46.92,2.37,18.78,14.12,0.74,-10.37,5.82,2.67,157.76,171.07,1065.35,122.98,21.85,68.98,1.33,-4.81,0.6120372518078472,-0.0481129143547537,0.2121000050399992,0.0362852734434006,-0.0555607620489031,0.3879627481921528,0.2563901606960767,0.4739562579721676,-0.0570174143352099,7.89328615171584,26.13,-5.49,-22.5,40.37,17.88,4.35,82.12,-170.8561415,-164.9561287,2,0,2,0
758,(주)한국비엔씨,256840,19-Dec,제조업,41.26,-30.57,21.39,17.16,5.59,1.46,8.13,7.62,3.82,1.21,0.36,-19.59,3.89,1.03,79.85,269.45,596.73,245.05,38.87,196.87,0.8,-10.89,0.4439951157004938,-0.2177944021527564,0.4516654635491689,0.037930893555805,-0.0040703705588451,0.5560048842995062,0.4612071712475449,0.3818433843443862,0.094177446268794,7.695472254999647,0.0,0.0,0.0,31.82,59.34,6.36,40.66,inf,#NAME?,2,0,2,0
54,(주)뉴인텍,12340,19-Dec,제조업,65.11,-2.02,1.64,3.92,0.34,1.39,62.69,1.79,2.59,25.76,1.18,-5.33,6.15,2.65,84.29,148.97,179.8,103.41,17.3,41.32,2.14,-2.39,0.4573862036029348,-0.0238775909336511,0.1459749144436177,0.031548755255131,-0.5298771517469316,0.5426137963970652,0.107827363498772,0.473697243512264,0.0059184170836184,7.697024635427874,17.22,31.22,8.67,20.9,11.28,6.62,88.72,1194.6178927315357,72.05734252639309,2,0,2,0
162,(주)멕아이씨에스,58110,19-Dec,제조업,260.91,-13.13,-9.29,-5.78,-0.16,9.04,41.32,-4.81,4.8,22.37,0.52,-31.4,4.08,0.96,493.19,74.92,150.85,40.6,-11.03,5.54,0.65,-6.85,0.8314201203814321,-0.0685468344504915,0.0243763225169035,0.0677360997173201,-0.2407267279680313,0.1685798796185678,0.446555447404195,0.6704584854036628,-0.0085753995032431,7.395332404991594,1.68,-0.59,47.39,67.5,43.01,3.36,56.99,88.43200127866739,38.71537659791597,2,0,2,0
372,(주)에스피시스템스,317830,19-Dec,제조업,58.53,4.14,-1.22,-1.36,2.92,0.68,35.94,-0.66,42.98,12.0,0.59,5.22,2.98,1.59,94.15,195.25,3736.71,186.28,28.71,40.17,1.11,2.46,0.4849264859745673,0.0245924516254568,0.1210911851589569,0.012002597045621,0.3229755789700917,0.5150735140254327,0.1541206324174981,0.4113930666707643,0.0187267910797434,7.771520112246606,22.11,46.98,-31.82,23.66,18.56,19.34,81.44,-75.76378532,-59.14200186,2,0,2,0
483,(주)위지트,36090,19-Dec,제조업,33.45,-17.65,8.27,8.14,-0.96,3.93,23.22,2.51,0.82,5.67,0.31,-7.11,4.38,1.29,44.56,71.38,173.82,47.84,-6.62,18.42,0.95,-5.42,0.3082549384901557,-0.0541833103006782,0.0426261143139494,0.0330313187685151,0.1507971621895506,0.6917450615098443,0.1838365584480029,0.8348238441875513,-0.0102527595425657,8.018264895903755,2.25,-38.6,-29.27,24.24,15.04,5.82,84.96,-121.64768698426111,-187.63691827813636,2,0,2,0
227,(주)서남,294630,19-Dec,제조업,38.6,-298.61,-186.76,-58.06,-102.31,0.43,-25.64,-25.08,0.17,-10.76,0.13,-64.38,2.03,0.28,76.03,198.23,71.36,100.7,21.54,79.53,0.35,-39.82,0.4319054089897255,-0.398154880191133,0.1743900627075272,0.0106741479259103,-4.448612089609976,0.5680945910102744,2.033179533733198,0.5653391192066217,-0.4166281547334864,7.022276898492459,-1.37,-18.36,-70.88,16.61,-109.14,0.7,209.14,-175.168395,-191.1756995,2,0,2,0
856,램테크놀러지(주),171010,19-Dec,제조업,54.61,7.31,7.67,10.6,4.61,2.37,40.34,4.97,7.02,19.19,0.75,11.64,16.26,1.33,88.26,165.26,536.52,123.76,18.93,99.16,1.43,5.51,0.4688289260131905,0.0551205309673764,0.2876310332830621,0.0321690473861575,0.0921490140880409,0.5311710739868095,0.0987480244564852,0.5206574284846067,0.0780282946068973,7.826315030736683,39.28,172.87,33.09,40.11,20.23,5.71,79.77,111.29114019289278,111.70640412619497,2,0,2,0
1041,제이엠티(주),94970,19-Dec,제조업,25.04,1.15,25.6,129.97,141.18,-0.23,79.05,29.74,9.94,23.09,1.04,1.74,9.91,3.76,29.67,298.22,659.94,266.84,38.28,112.55,3.32,1.19,0.228837628251888,0.011925997781368,0.2173652646564989,0.0005729561015851,0.5585658184974361,0.7711623717481119,0.0886551950059855,0.4240701727212058,0.0253166731370222,7.855296045449324,-19.28,-27.45,-43.37,0.0,11.3,11.03,88.7,-84.73401129019395,-91.07955975338298,2,0,2,0
528,(주)이엘피,63760,19-Dec,제조업,7.85,10.91,26.02,152.86,197.45,-1.94,208.57,12.75,15.22,16.92,0.49,5.98,3.51,5.92,9.1,1056.22,2844.96,972.69,68.83,459.75,4.41,5.32,0.0834387541846257,0.0531649045672742,0.3309420517668746,0.0018595200886504,0.6970671538422385,0.9165612326936716,0.1972457414339707,0.2397006477777747,0.0405763748589912,7.882009813228487,-1.08,-1.67,-26.53,1.23,28.05,7.25,71.95,-79.48545570658986,-72.52578538052299,2,0,2,0
