일자,기관,개인,외국인,기타,전체
"2022/01/27","1319744","157078","3920081","0","5396903"
"2022/01/26","960696","133131","2965960","0","4059787"
"2022/01/25","1174506","94635","2857674","0","4126815"
"2022/01/24","621942","98788","2952202","0","3672932"
"2022/01/21","1343475","76719","2527195","0","3947389"
"2022/01/20","794532","82786","2152664","0","3029982"
"2022/01/19","1274444","81818","2439368","0","3795630"
"2022/01/18","846282","71027","2503555","0","3420864"
"2022/01/17","425049","74441","3013382","0","3512872"
"2022/01/14","1256048","70491","2885074","0","4211613"
"2022/01/13","1399161","84765","4049761","0","5533687"
"2022/01/12","775405","64264","2994986","135","3834790"
"2022/01/11","952193","78616","3584331","234","4615374"
"2022/01/10","1350046","49673","2332621","81","3732421"
"2022/01/07","1256175","112065","2419942","60","3788242"
"2022/01/06","1159228","78748","2792921","73","4030970"
"2022/01/05","799460","67994","2896709","153","3764316"
"2022/01/04","642203","98756","2599701","3","3340663"
"2022/01/03","690033","78157","1923052","0","2691242"
"2021/12/30","1966469","63916","1972176","0","4002561"
"2021/12/29","2446471","142276","2919397","0","5508144"
"2021/12/28","527733","129215","2611629","0","3268577"
"2021/12/27","128507","55787","1341960","0","1526254"
"2021/12/24","249337","76803","1386363","0","1712503"
"2021/12/23","351832","129708","2974915","0","3456455"
"2021/12/22","683398","89301","2393197","0","3165896"
"2021/12/21","587719","135789","2489034","0","3212542"
"2021/12/20","598568","96851","2351302","0","3046721"
"2021/12/17","1261913","60580","2231379","0","3553872"
"2021/12/16","351960","89409","1844920","0","2286289"
"2021/12/15","578610","108793","2359720","0","3047123"
"2021/12/14","561166","60409","2168398","0","2789973"
"2021/12/13","844256","74724","2286172","0","3205152"
"2021/12/10","3685612","71341","2789785","0","6546738"
"2021/12/09","1217522","76938","2880065","0","4174525"
"2021/12/08","625270","87367","2584855","91","3297583"
"2021/12/07","623448","70381","2733668","99","3427596"
"2021/12/06","1683859","87606","3018519","100","4790084"
"2021/12/03","753433","93128","2718419","0","3564980"
"2021/12/02","690002","106727","3486201","115","4283045"
"2021/12/01","777090","103643","2894761","0","3775494"
"2021/11/30","1009863","84743","5081330","0","6175936"
"2021/11/29","1257994","66357","2541686","0","3866037"
"2021/11/26","2096005","104695","2945654","0","5146354"
"2021/11/25","1208385","64620","2589976","0","3862981"
"2021/11/24","986027","103786","3321834","0","4411647"
"2021/11/23","1162936","64396","2455025","1","3682358"
"2021/11/22","779607","92992","3497713","0","4370312"
"2021/11/19","783916","47729","2739727","0","3571372"
"2021/11/18","565423","63746","3439776","0","4068945"
"2021/11/17","858561","72199","4510908","0","5441668"
"2021/11/16","1655209","94236","3323575","0","5073020"
"2021/11/15","1319514","80554","3962055","0","5362123"
"2021/11/12","1749408","105705","3383208","0","5238321"
"2021/11/11","1772599","90549","2637208","0","4500356"
"2021/11/10","2120797","57186","2876986","0","5054969"
