공시의무발생일,종목코드,종목명,성명(법인명),생년월일(사업자번호 등),국적,주소,대리인성명,최초의무발생일
"2022/07/06","049480","오픈베이스","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/01/26"
"2022/07/06","122870","와이지엔터테인먼트","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/05/26"
"2022/07/06","240810","원익IPS","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/12/08"
"2022/07/06","240810","원익IPS","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/06/22"
"2022/07/06","112040","위메이드","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/04/11"
"2022/07/06","102710","이엔에프테크놀로지","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2022/06/14"
"2022/07/06","001840","이화공영","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/01/14"
"2022/07/06","068330","일신바이오","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2020/09/25"
"2022/07/06","049630","재영솔루텍","한양증권(주)","1168115073","대한민국","서울 영등포구 여의도동 **-**","한양증권(주)","2022/03/17"
"2022/07/06","033100","제룡전기","메릴린치인터내셔날","5946","영국","* King Edward Street, London, England, EC*A *HQ United Kingdom","메릴린치 인터내셔날 엘엘씨 증권 서울지점","2022/07/06"
"2022/07/06","082270","젬백스","모간스탠리 인터내셔날 피엘씨","2844","영국","** Cabot Square, Canary Wharf London, England","Morgan Stanley Asia Limited","2021/09/10"
"2022/07/06","082270","젬백스","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2021/07/27"
"2022/07/06","036930","주성엔지니어링","골드만삭스인터내셔널","000821","영국","Plumtree Court, ** Shoe Lane, London","골드만삭스증권회사 서울지점","2022/02/14"
