일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"2022/04/19","42612","15200","27412","191162","22.29","3561895700","1270677000","2291218700","15980609600","22.29"
"2022/04/18","50989","33232","17757","505559","10.09","4293794300","2800856200","1492938100","42556731600","10.09"
"2022/04/15","126746","70187","56559","365239","34.70","10420802600","5777344900","4643457700","30047987100","34.68"
"2022/04/14","33235","17515","15720","372786","8.92","2784863700","1466910600","1317953100","31251578500","8.91"
"2022/04/13","8810","6420","2390","128515","6.86","727018800","529827400","197191400","10600777000","6.86"
"2022/04/12","14318","11373","2945","215903","6.63","1178002600","936099400","241903200","17742186300","6.64"
"2022/04/11","34352","24370","9982","181124","18.97","2837367400","2014921800","822445600","14951946800","18.98"
"2022/04/08","45522","42364","3158","228922","19.89","3753752700","3493076800","260675900","18899078500","19.86"
"2022/04/07","61864","48134","13730","377557","16.39","5168889300","4018012200","1150877100","31555895300","16.38"
"2022/04/06","43984","33836","10148","271536","16.20","3729331400","2868823600","860507800","23033079400","16.19"
"2022/04/05","41559","27110","14449","386742","10.75","3523281500","2296226300","1227055200","32855152800","10.72"
"2022/04/04","48366","29323","19043","600477","8.05","4100652300","2488402800","1612249500","50909484900","8.05"
"2022/04/01","42797","35571","7226","787133","5.44","3548166500","2948302800","599863700","65167319300","5.44"
"2022/03/31","35086","34292","794","200973","17.46","2837944600","2773509800","64434800","16274293200","17.44"
"2022/03/30","41781","30615","11166","312744","13.36","3388578800","2481031200","907547600","25376384500","13.35"
"2022/03/29","40312","33191","7121","394533","10.22","3222799000","2656476300","566322700","31631719300","10.19"
"2022/03/28","52713","43233","9480","241625","21.82","4148813000","3402782200","746030800","19024373600","21.81"
"2022/03/25","18717","15042","3675","135742","13.79","1483506400","1192317300","291189100","10764011200","13.78"
"2022/03/24","55116","49196","5920","246016","22.40","4358103200","3890489500","467613700","19445956400","22.41"
"2022/03/23","53488","46994","6494","230356","23.22","4260903200","3743770600","517132600","18358715500","23.21"
"2022/03/22","68688","50931","17757","263628","26.05","5466965700","4054426900","1412538800","20982123500","26.06"
"2022/03/21","38788","25271","13517","332166","11.68","3114065800","2026564100","1087501700","26684246400","11.67"
"2022/03/18","55395","27167","28228","364871","15.18","4438964500","2178039300","2260925200","29213975600","15.19"
"2022/03/17","32552","23054","9498","459680","7.08","2621198400","1856597900","764600500","37026990600","7.08"
"2022/03/16","80867","67174","13693","640593","12.62","6378729000","5297021900","1081707100","50628069300","12.60"
"2022/03/15","196823","182683","14140","712938","27.61","15346896200","14246337100","1100559100","55602184600","27.60"
"2022/03/14","265927","241719","24208","1150533","23.11","21414851500","19479631600","1935219900","93004596700","23.03"
"2022/03/11","102973","79302","23671","942715","10.92","8701527200","6700040300","2001486900","79643330000","10.93"
"2022/03/10","212513","162823","49690","897952","23.67","17484265100","13416314600","4067950500","74062874900","23.61"
"2022/03/08","75857","72694","3163","329622","23.01","6047665700","5796480200","251185500","26258013000","23.03"
"2022/03/07","69442","63949","5493","337085","20.60","5606587300","5163711300","442876000","27215855800","20.60"
"2022/03/04","14799","13947","852","252504","5.86","1199695200","1130658600","69036600","20452689900","5.87"
"2022/03/03","37796","20935","16861","217375","17.39","3047691800","1688172700","1359519100","17532834600","17.38"
"2022/03/02","121425","96707","24718","309754","39.20","9727204500","7748789300","1978415200","24842020700","39.16"
"2022/02/28","30186","25229","4957","262246","11.51","2415178700","2018805000","396373700","20993362400","11.50"
"2022/02/25","67907","47435","20472","434988","15.61","5445673700","3801043400","1644630300","34956216400","15.58"
"2022/02/24","26924","21484","5440","392848","6.85","2150288100","1717270600","433017500","31440271800","6.84"
"2022/02/23","25169","20678","4491","238785","10.54","2045232800","1679941500","365291300","19407590100","10.54"
"2022/02/22","32682","26165","6517","371878","8.79","2651053200","2123241900","527811300","30122351700","8.80"
"2022/02/21","26419","19524","6895","370835","7.12","2145526700","1585122500","560404200","30040236500","7.14"
"2022/02/18","24498","24208","290","295751","8.28","1966428100","1943220100","23208000","23796861800","8.26"
"2022/02/17","91982","50091","41891","804841","11.43","7433349000","4042755000","3390594000","64999272900","11.44"
"2022/02/16","36685","23345","13340","558973","6.56","2941616700","1876743900","1064872800","44794458800","6.57"
"2022/02/15","40640","12862","27778","312626","13.00","3176832200","1006390600","2170441600","24466277300","12.98"
"2022/02/14","73819","48070","25749","381069","19.37","5802871100","3779503700","2023367400","29947538000","19.38"
"2022/02/11","101216","36717","64499","493505","20.51","8038072400","2911546700","5126525700","39141087500","20.54"
"2022/02/10","279604","68470","211134","848493","32.95","22241180100","5445421200","16795758900","67588406300","32.91"
"2022/02/09","52584","47084","5500","422719","12.44","4137028000","3704299200","432728800","33299238800","12.42"
"2022/02/08","151458","145950","5508","944471","16.04","11811211400","11380623900","430587500","73939252200","15.97"
"2022/02/07","157812","64540","93272","724368","21.79","12095629200","4957126700","7138502500","55675029600","21.73"
"2022/02/04","70985","43356","27629","640799","11.08","5323971500","3280767100","2043204400","47923162600","11.11"
"2022/02/03","120487","40496","79991","376178","32.03","8664748200","2909231300","5755516900","27152893500","31.91"
"2022/01/28","107019","75215","31804","421519","25.39","7589456300","5342011400","2247444900","29874803300","25.40"
"2022/01/27","133801","110112","23689","568186","23.55","9356439000","7698435100","1658003900","39704109100","23.57"
"2022/01/26","64074","44289","19785","261054","24.54","4557906700","3155155400","1402751300","18579119800","24.53"
"2022/01/25","111072","70284","40788","377909","29.39","7949984300","5033034700","2916949600","27102888700","29.33"
"2022/01/24","120833","75814","45019","332581","36.33","8915264300","5595031100","3320233200","24557300400","36.30"
"2022/01/21","97387","66698","30689","265485","36.68","7251927900","4965117500","2286810400","19773449200","36.68"
"2022/01/20","105644","71940","33704","274611","38.47","7803807300","5316206500","2487600800","20297134700","38.45"
"2022/01/19","138979","106171","32808","350980","39.60","10227640200","7815546700","2412093500","25817011500","39.62"
"2022/01/18","67986","52548","15438","225607","30.13","5073077600","3916817700","1156259900","16878324700","30.06"
"2022/01/17","53464","39817","13647","333985","16.01","4035719100","3002642100","1033077000","25254557500","15.98"
"2022/01/14","76910","62183","14727","345615","22.25","5945433600","4806376500","1139057100","26801034300","22.18"
"2022/01/13","186748","137211","49537","712530","26.21","14454877700","10622135500","3832742200","55276662600","26.15"
"2022/01/12","21994","19172","2822","243458","9.03","1666675700","1453506300","213169400","18436252500","9.04"
"2022/01/11","99110","74312","24798","297206","33.35","7369689100","5522845700","1846843400","22117459400","33.32"
"2022/01/10","348316","224433","123883","699036","49.83","25634048200","16520086500","9113961700","51538672900","49.74"
"2022/01/07","39857","18551","21306","188948","21.09","3061759800","1424726200","1637033600","14531124700","21.07"
"2022/01/06","21505","9566","11939","157644","13.64","1651043500","735666400","915377100","12095150100","13.65"
"2022/01/05","19393","3720","15673","182149","10.65","1494807600","286586300","1208221300","14046386400","10.64"
"2022/01/04","16967","8260","8707","145830","11.63","1320875900","642649000","678226900","11356619600","11.63"
"2022/01/03","13999","9536","4463","124557","11.24","1093723500","744822900","348900600","9734890400","11.24"
"2021/12/30","23165","16215","6950","174843","13.25","1802314000","1262156100","540157900","13606688300","13.25"
"2021/12/29","29409","21514","7895","260374","11.29","2307622900","1688931200","618691700","20444017400","11.29"
"2021/12/28","19408","14396","5012","225898","8.59","1507397900","1118250600","389147300","17568333200","8.58"
"2021/12/27","13213","10563","2650","168546","7.84","1030952900","824335700","206617200","13144432100","7.84"
"2021/12/24","16532","10782","5750","234944","7.04","1288205500","840323400","447882100","18302996800","7.04"
"2021/12/23","62533","55741","6792","247005","25.32","4834295400","4309690100","524605300","19127085100","25.27"
"2021/12/22","27397","14310","13087","292162","9.38","2117904400","1106445800","1011458600","22609782400","9.37"
"2021/12/21","40971","14598","26373","244294","16.77","3106113000","1107634900","1998478100","18520856000","16.77"
"2021/12/20","61267","31672","29595","191639","31.97","4625609900","2393762300","2231847600","14476596900","31.95"
"2021/12/17","29442","19932","9510","161115","18.27","2251006500","1525159700","725846800","12314434400","18.28"
"2021/12/16","34141","7889","26252","176707","19.32","2591717700","598803800","1992913900","13422126300","19.31"
"2021/12/15","24016","16693","7323","121144","19.82","1833411400","1273609400","559802000","9250859200","19.82"
"2021/12/14","33908","17244","16664","161175","21.04","2594468700","1321772100","1272696600","12314282400","21.07"
"2021/12/13","46909","22672","24237","183985","25.50","3615906900","1747632900","1868274000","14187881700","25.49"
"2021/12/10","109161","56621","52540","319455","34.17","8385616900","4354890500","4030726400","24552941300","34.15"
"2021/12/09","84876","74934","9942","433282","19.59","6629592800","5854421100","775171700","33860572900","19.58"
"2021/12/08","97953","91706","6247","367766","26.63","7567494600","7082786000","484708600","28408162300","26.64"
"2021/12/07","73476","69496","3980","464050","15.83","5698299800","5388905800","309394000","36039699100","15.81"
"2021/12/06","42083","38984","3099","233985","17.99","3177632600","2944392700","233239900","17685778100","17.97"
"2021/12/03","71476","61888","9588","479691","14.90","5400993000","4680277200","720715800","36289120400","14.88"
"2021/12/02","25075","24290","785","321662","7.80","1813267300","1755583300","57684000","23410286800","7.75"
"2021/12/01","15630","7058","8572","447766","3.49","1114529400","505202700","609326700","31947560400","3.49"
"2021/11/30","140096","121494","18602","931600","15.04","9943584600","8613987100","1329597500","66269647600","15.00"
"2021/11/29","78104","66216","11888","673110","11.60","5666864500","4803227500","863637000","48856496300","11.60"
"2021/11/26","225715","117532","108183","1015851","22.22","16974294600","8818118600","8156176000","76392265100","22.22"
"2021/11/25","59867","48677","11190","278934","21.46","4671167700","3798136700","873031000","21753884900","21.47"
"2021/11/24","36795","31259","5536","201576","18.25","2896036600","2460632700","435403900","15861446300","18.26"
