적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2022/05/03","2022/05/04","2022/05/04","131290","티에스이","KOSDAQ","40",,,"5.71","7.06","유형3"
"2022/04/29","2022/05/02","2022/05/02","067160","아프리카TV","KOSDAQ","40",,"-11.43","5.66",,"유형2"
"2022/04/28","2022/04/29","2022/04/29","108320","LX세미콘","KOSDAQ","40",,,"5.36","7.90","유형3"
"2022/04/27","2022/04/28","2022/04/28","000250","삼천당제약","KOSDAQ","40",,,"5.47","5.62","유형3"
"2022/04/27","2022/04/28","2022/04/28","003380","하림지주","KOSDAQ","40",,,"8.31","6.26","유형3"
"2022/04/26","2022/04/27","2022/04/27","108320","LX세미콘","KOSDAQ","40",,,"7.20","7.64","유형3"
"2022/04/26","2022/04/27","2022/04/27","263750","펄어비스","KOSDAQ","40",,,"5.63","14.72","유형3"
"2022/04/25","2022/04/26","2022/04/26","027360","아주IB투자","KOSDAQ","40",,,"18.70","7.27","유형3"
"2022/04/21","2022/04/22","2022/04/22","035600","KG이니시스","KOSDAQ","40","22.74","-5.15","7.04",,"유형1"
"2022/04/19","2022/04/20","2022/04/20","030530","원익홀딩스","KOSDAQ","40",,,"11.47","10.54","유형3"
"2022/04/15","2022/04/18","2022/04/18","278280","천보","KOSDAQ","40",,,"5.58","8.92","유형3"
"2022/04/14","2022/04/15","2022/04/15","195940","HK이노엔","KOSDAQ","40",,,"8.62","5.18","유형3"
"2022/04/13","2022/04/14","2022/04/14","183300","코미코","KOSDAQ","40",,,"11.26","7.37","유형3"
"2022/04/12","2022/04/13","2022/04/13","293490","카카오게임즈","KOSDAQ","40",,,"5.62","8.08","유형3"
"2022/04/11","2022/04/12","2022/04/12","290510","코리아센터","KOSDAQ","40",,,"5.92","9.63","유형3"
"2022/04/07","2022/04/08","2022/04/08","035600","KG이니시스","KOSDAQ","40",,,"31.74","6.23","유형3"
"2022/04/07","2022/04/08","2022/04/08","053030","바이넥스","KOSDAQ","40",,,"8.38","6.95","유형3"
"2022/04/07","2022/04/08","2022/04/08","247540","에코프로비엠","KOSDAQ","40",,,"5.66","11.69","유형3"
"2022/04/06","2022/04/07","2022/04/07","060720","KH바텍","KOSDAQ","40",,,"5.33","7.95","유형3"
"2022/04/04","2022/04/05","2022/04/05","045390","대아티아이","KOSDAQ","40",,,"5.23","6.12","유형3"
"2022/04/04","2022/04/05","2022/04/05","290510","코리아센터","KOSDAQ","40",,,"9.60","9.80","유형3"
"2022/04/04","2022/04/05","2022/04/05","108230","톱텍","KOSDAQ","40",,,"13.14","12.05","유형3"
"2022/04/01","2022/04/04","2022/04/04","131290","티에스이","KOSDAQ","40",,,"6.24","9.79","유형3"
"2022/04/01","2022/04/04","2022/04/04","145020","휴젤","KOSDAQ","40",,"-13.23","5.09",,"유형2"
"2022/03/30","2022/03/31","2022/03/31","032190","다우데이타","KOSDAQ","40",,,"5.87","10.46","유형3"
"2022/03/30","2022/03/31","2022/03/31","230360","에코마케팅","KOSDAQ","40",,,"5.58","7.56","유형3"
"2022/03/29","2022/03/30","2022/03/30","038500","삼표시멘트","KOSDAQ","40",,,"9.86","5.87","유형3"
"2022/03/29","2022/03/30","2022/03/30","204270","제이앤티씨","KOSDAQ","40",,,"5.22","11.23","유형3"
"2022/03/29","2022/03/30","2022/03/30","214370","케어젠","KOSDAQ","34",,,"7.71","13.91","유형3"
"2022/03/28","2022/03/29","2022/03/29","061970","엘비세미콘","KOSDAQ","40",,,"7.19","8.60","유형3"
