종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"75802BBC","IBK국민참여정책형뉴딜혼합자산2호C","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"003560","IHQ","주권","35","0","35","396093","0.01","25159","0","25159","285316843","0.01"
"175330","JB금융지주","주권","6775","0","6775","244083","2.78","48381820","0","48381820","1742601450","2.78"
"234080","JW생명과학","주권","0","0","0","11450","0.00","0","0","0","152090300","0.00"
"001060","JW중외제약","주권","969","0","969","44061","2.20","23232250","0","23232250","1059514250","2.19"
"001067","JW중외제약2우B","주권","0","0","0","35","0.00","0","0","0","2460000","0.00"
"001065","JW중외제약우","주권","0","0","0","402","0.00","0","0","0","14586700","0.00"
"096760","JW홀딩스","주권","1","0","1","21327","0.00","3355","0","3355","71494115","0.00"
"71901B96","KB 와이즈 스타 부동산 자 2 A","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71902B96","KB 와이즈 스타 부동산 자 2 C-F","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71903B96","KB 와이즈 스타 부동산 자 2 C-I","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71901BB4","KB국민참여뉴딜","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71901BBC","KB국민참여뉴딜2A","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71902BBC","KB국민참여뉴딜2C","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"105560","KB금융","주권","52459","51473","986","1302116","4.03","2472681300","2426796500","45884800","61016237950","4.05"
"71901B92","KB와이즈스타부동산1A","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71903B92","KB와이즈스타부동산1C-F","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71902B92","KB와이즈스타부동산1C-퇴직","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71901B9B","KB와이즈스타부동산3A","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"71902B9B","KB와이즈스타부동산3C-F","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"002380","KCC","주권","1092","1085","7","17113","6.38","319562000","317525000","2037000","4988184500","6.41"
"344820","KCC글라스","주권","44","0","44","26336","0.17","1977050","0","1977050","1188549550","0.17"
"009070","KCTC","주권","0","0","0","56654","0.00","0","0","0","252138630","0.00"
"009440","KC그린홀딩스","주권","0","0","0","152069","0.00","0","0","0","778766290","0.00"
"119650","KC코트렐","주권","0","0","0","21250","0.00","0","0","0","90393015","0.00"
"092220","KEC","주권","3","0","3","1555571","0.00","7650","0","7650","3989356745","0.00"
"016380","KG스틸","주권","49853","49483","370","2018109","2.47","677922800","673056500","4866300","27014862250","2.51"
"016385","KG스틸우","주권","0","0","0","28709","0.00","0","0","0","1366077600","0.00"
"001390","KG케미칼","주권","0","0","0","407917","0.00","0","0","0","10639744850","0.00"
"033180","KH 필룩스","주권","15","0","15","352374","0.00","22905","0","22905","536749965","0.00"
"75901BB7","KIAMCO 뉴딜인프라","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"001940","KISCO홀딩스","주권","0","0","0","13091","0.00","0","0","0","184916500","0.00"
"025000","KPX케미칼","주권","0","0","0","1178","0.00","0","0","0","56355700","0.00"
"092230","KPX홀딩스","주권","0","0","0","398","0.00","0","0","0","23678700","0.00"
"000040","KR모터스","주권","0","0","0","172423","0.00","0","0","0","108861971","0.00"
"044450","KSS해운","주권","0","0","0","17124","0.00","0","0","0","165891910","0.00"
"030200","KT","주권","40810","21527","19283","729650","5.59","1506144400","793618950","712525450","26879866200","5.60"
"033780","KT&G","주권","17064","16747","317","187046","9.12","1380069700","1354482200","25587500","15122069400","9.13"
"058850","KTcs","주권","15","0","15","135484","0.01","30220","0","30220","273367245","0.01"
"058860","KTis","주권","0","0","0","77585","0.00","0","0","0","201019865","0.00"
"093050","LF","주권","9","0","9","23486","0.04","144950","0","144950","377985600","0.04"
"003550","LG","주권","6180","6034","146","201762","3.06","487169100","475751900","11417200","15901728900","3.06"
"034220","LG디스플레이","주권","508498","507927","571","2354284","21.60","7793738500","7784918250","8820250","36098176350","21.59"
"051900","LG생활건강","주권","4548","4461","87","53579","8.49","3252112000","3189439000","62673000","38313575000","8.49"
"051905","LG생활건강우","주권","0","0","0","4444","0.00","0","0","0","1465601500","0.00"
"373220","LG에너지솔루션","주권","79098","78279","819","397140","19.92","30401386500","30091320500","310066000","152494371000","19.94"
"003555","LG우","주권","0","0","0","2013","0.00","0","0","0","124210800","0.00"
