일자,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
2022-05-02,3157955,2221745,936210,33933610,9.31,1.44325E+11,1.09564E+11,34760225925,1.39337E+12,10.36
2022-04-29,2389730,2105246,284484,43156470,5.54,1.04479E+11,89377563495,15101852690,1.82317E+12,5.73
2022-04-28,3639822,2610553,1029269,45304503,8.03,1.43886E+11,1.12992E+11,30893600775,1.59516E+12,9.02
2022-04-27,3328541,2509309,819232,56011725,5.94,1.34529E+11,1.01897E+11,32631702165,2.14664E+12,6.27
2022-04-26,3085498,2650938,434560,59908369,5.15,1.64604E+11,1.47236E+11,17368305415,1.71658E+12,9.59
2022-04-25,4260110,3099038,1161072,57217319,7.45,1.57553E+11,1.14897E+11,42655477120,1.96227E+12,8.03
2022-04-22,3928609,2328159,1600450,48936827,8.03,1.4667E+11,88861283645,57808451465,1.45674E+12,10.07
2022-04-21,2741536,2372072,369464,46324579,5.92,1.17222E+11,97949817830,19272450700,1.46611E+12,8
2022-04-20,3417749,2883231,534518,43765647,7.81,1.3276E+11,1.1336E+11,19400429925,1.42622E+12,9.31
2022-04-19,2525401,2296892,228509,56263429,4.49,89546185855,79562642340,9983543515,1.66671E+12,5.37
2022-04-18,3017033,2553758,463275,47796346,6.31,98978258165,81875322525,17102935640,1.42679E+12,6.94
2022-04-15,3304094,2191824,1112270,40506787,8.16,1.37818E+11,97570532940,40247020645,1.46247E+12,9.42
2022-04-14,2932817,1976351,956466,40578887,7.23,1.39195E+11,91834952655,47359576115,1.62165E+12,8.58
2022-04-13,3121530,2653112,468418,51653971,6.04,1.23604E+11,1.00386E+11,23218855305,1.81228E+12,6.82
2022-04-12,4003157,3008374,994783,48077919,8.33,1.75326E+11,1.32287E+11,43038147970,1.8265E+12,9.6
2022-04-11,4421631,2436369,1985262,45578449,9.7,1.70905E+11,1.04832E+11,66073505200,1.73659E+12,9.84
2022-04-08,2997877,2581958,415919,48249723,6.21,1.18022E+11,86020451790,32001354530,2.18484E+12,5.4
2022-04-07,4130684,3309436,821248,77558614,5.33,1.86872E+11,1.44504E+11,42367577490,2.55225E+12,7.32
2022-04-06,5310121,2689236,2620885,57694720,9.2,1.93291E+11,1.10619E+11,82672153440,2.12055E+12,9.12
2022-04-05,3329905,2541341,788564,74181070,4.49,1.04634E+11,75684165055,28949994570,2.12153E+12,4.93
2022-04-04,4317466,3958637,358829,68663090,6.29,1.2207E+11,1.08831E+11,13239413205,1.77711E+12,6.87
2022-04-01,3592741,2759296,833445,85420102,4.21,1.15334E+11,87812687975,27521234105,2.26584E+12,5.09
2022-03-31,2697853,2327448,370405,94603283,2.85,95672760935,75139702555,20533058380,2.74292E+12,3.49
2022-03-30,2942354,2458713,483641,67096731,4.39,93364759490,73257326185,20107433305,2.04803E+12,4.56
2022-03-29,3279420,2906172,373248,89004097,3.68,1.02629E+11,86842579140,15786025195,2.39663E+12,4.28
2022-03-28,4583793,2391090,2192703,62957120,7.28,1.53958E+11,84657484240,69300297250,1.97091E+12,7.81
2022-03-25,4201703,3130389,1071314,68189371,6.16,1.34624E+11,97312919100,37310748725,2.52915E+12,5.32
2022-03-24,3878668,3006245,872423,56898314,6.82,1.49109E+11,1.14331E+11,34777494125,3.06544E+12,4.86
2022-03-23,2971488,2136405,835083,54976813,5.4,1.04722E+11,74682400605,30039969115,2.5782E+12,4.06
2022-03-22,2691181,2033420,657761,62180139,4.33,1.0414E+11,80223845265,23916616355,2.81915E+12,3.69
2022-03-21,2889745,2202731,687014,56730622,5.09,1.08812E+11,84364479320,24447666540,1.82491E+12,5.96
2022-03-18,3081585,2308280,773305,66250034,4.65,1.26785E+11,1.00115E+11,26670340390,2.32998E+12,5.44
2022-03-17,2547436,2310676,236760,80345838,3.17,1.21177E+11,1.08415E+11,12762621660,2.79429E+12,4.34
2022-03-16,3608943,3417223,191720,82056574,4.4,1.26055E+11,1.17724E+11,8330339785,2.00206E+12,6.3
2022-03-15,3345179,2905023,440156,68498590,4.88,1.40128E+11,1.22642E+11,17485865895,1.90821E+12,7.34
2022-03-14,3898629,2944280,954349,66918272,5.83,2.10608E+11,1.72641E+11,37967171395,2.88808E+12,7.29
2022-03-11,3206633,2592145,614488,60644341,5.29,1.73895E+11,1.40032E+11,33863902105,2.0087E+12,8.66
2022-03-10,4457141,3519027,938114,82281627,5.42,1.91982E+11,1.53197E+11,38785355025,2.38081E+12,8.06
2022-03-08,4121575,3231046,890529,64455456,6.39,1.9121E+11,1.56882E+11,34328723295,2.20527E+12,8.67
2022-03-07,4752708,3164178,1588530,61638334,7.71,1.41209E+11,92879225410,48329432495,1.7931E+12,7.88
2022-03-04,4850696,2945437,1905259,65841219,7.37,1.6204E+11,1.04027E+11,58012690670,2.0524E+12,7.9
2022-03-03,3957650,2990489,967161,68561118,5.77,1.46119E+11,1.11316E+11,34802312345,2.2842E+12,6.4
2022-03-02,3219832,2702821,517011,58351845,5.52,1.12857E+11,95402273785,17454984465,1.88924E+12,5.97
2022-02-28,3783263,2165402,1617861,53116617,7.12,1.25037E+11,77016727705,48020661755,1.73631E+12,7.2
2022-02-25,3965417,3601789,363628,78193091,5.07,1.17118E+11,1.03747E+11,13370842695,2.2317E+12,5.25
2022-02-24,5300530,3641241,1659289,71613452,7.4,1.75669E+11,1.24231E+11,51438882155,2.03125E+12,8.65
2022-02-23,3857704,2586587,1271117,53335555,7.23,1.27328E+11,85643023120,41684974955,1.45994E+12,8.72
2022-02-22,4470103,2533714,1936389,62797606,7.12,1.32508E+11,75422585345,57085832735,1.7379E+12,7.62
2022-02-21,2774726,1848304,926422,45233682,6.13,92089170475,61451813005,30637357470,1.32929E+12,6.93
2022-02-18,3811122,2416386,1394736,55852327,6.82,1.31059E+11,86377264070,44681517825,1.52354E+12,8.6
2022-02-17,4935020,3412210,1522810,109868802,4.49,1.72333E+11,1.22619E+11,49713949660,2.64596E+12,6.51
2022-02-16,5620669,4418529,1202140,135475296,4.15,1.55221E+11,1.15674E+11,39547234680,2.59156E+12,5.99
2022-02-15,3290156,2872691,417465,56866250,5.79,1.24799E+11,1.05246E+11,19552981035,1.79322E+12,6.96
2022-02-14,3060350,2366525,693825,73020259,4.19,1.08729E+11,82531077835,26197643645,2.3091E+12,4.71
2022-02-11,4544146,2819713,1724433,67426168,6.74,1.79905E+11,1.24225E+11,55680242910,2.3355E+12,7.7
2022-02-10,6147332,4547836,1599496,82333437,7.47,2.46958E+11,1.85216E+11,61741869165,2.78076E+12,8.88
2022-02-09,3132060,2740232,391828,66047189,4.74,1.35057E+11,1.16782E+11,18274497985,2.19486E+12,6.15
2022-02-08,5313890,4454396,859494,108590440,4.89,1.82424E+11,1.49592E+11,32831961175,2.70722E+12,6.74
2022-02-07,5088837,3923144,1165693,71092543,7.16,2.03188E+11,1.59568E+11,43619595985,2.49552E+12,8.14
2022-02-04,3779935,2848842,931093,67243433,5.62,1.59746E+11,1.2351E+11,36235985020,2.27964E+12,7.01
2022-02-03,3691357,3008964,682393,82691258,4.46,1.68668E+11,1.39704E+11,28963831880,3.01057E+12,5.6
2022-01-28,4796134,3645009,1151125,82993227,5.78,2.02151E+11,1.65494E+11,36656546840,3.03156E+12,6.67
2022-01-27,5341953,4295464,1046489,96288759,5.55,2.26167E+11,1.93813E+11,32354296805,3.65673E+12,6.18
2022-01-26,4008832,3288380,720452,68978535,5.81,1.82338E+11,1.57466E+11,24872139995,2.78102E+12,6.56
2022-01-25,4088186,3178331,909855,73618699,5.55,1.94891E+11,1.59353E+11,35538388570,2.42673E+12,8.03
2022-01-24,3628010,3315020,312990,65067690,5.58,1.76727E+11,1.61242E+11,15484869985,2.42664E+12,7.28
2022-01-21,3875005,2939328,935677,65625016,5.9,1.67353E+11,1.33245E+11,34107624145,2.2525E+12,7.43
2022-01-20,2971718,2376671,595047,60806548,4.89,1.39091E+11,1.1478E+11,24310913350,1.91398E+12,7.27
2022-01-19,3716583,2888817,827766,55559982,6.69,1.58645E+11,1.27278E+11,31366490680,1.87875E+12,8.44
2022-01-18,3401630,2702006,699624,69870292,4.87,1.28989E+11,1.01981E+11,27008943160,2.15687E+12,5.98
2022-01-17,3485312,3224294,261018,55539427,6.28,1.18876E+11,1.051E+11,13776885970,1.89649E+12,6.27
2022-01-14,4166158,3277285,888873,82317196,5.06,1.61614E+11,1.26181E+11,35432928980,2.63813E+12,6.13
2022-01-13,5477365,4511371,965994,98247348,5.58,2.38618E+11,1.98536E+11,40081530065,3.1468E+12,7.58
2022-01-12,3789030,3242136,546894,66417067,5.7,1.64481E+11,1.39739E+11,24742240195,2.6175E+12,6.28
2022-01-11,4568119,4057704,510415,92714778,4.93,2.1096E+11,1.88379E+11,22580729780,2.88284E+12,7.32
2022-01-10,3671699,2766141,905558,60355454,6.08,1.45849E+11,1.11084E+11,34765209555,2.39004E+12,6.1
2022-01-07,3716703,2805335,911368,68991488,5.39,1.81647E+11,1.42859E+11,38788078675,2.55397E+12,7.11
2022-01-06,3978198,3278099,700099,93988832,4.23,1.87663E+11,1.55841E+11,31821886230,3.6593E+12,5.13
2022-01-05,3711837,3278904,432933,111713291,3.32,1.74917E+11,1.52171E+11,22746245530,3.89873E+12,4.49
2022-01-04,3311727,2874564,437163,87429463,3.79,1.70086E+11,1.46054E+11,24032770025,3.16441E+12,5.37
2022-01-03,2603914,2222833,381081,78035489,3.34,1.25179E+11,1.07675E+11,17503532460,3.35955E+12,3.73
