종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"008730","율촌화학","39514","24800000","746815.0","4.6872E8","0.16"
"008250","이건산업","0","10952635","0.0","9.331645E7","0.00"
"025820","이구산업","0","33442000","0.0","9.714901E7","0.00"
"214320","이노션","4887","20000000","221137.0","9.05E8","0.02"
"088260","이리츠코크렙","751288","63341590","4380009.0","3.6928147E8","1.19"
"139480","이마트","73266","27875819","7729563.0","2.940898905E9","0.26"
"007660","이수페타시스","52600","63246419","347160.0","4.17426365E8","0.08"
"005950","이수화학","0","27959544","0.0","3.95627548E8","0.00"
"015020","이스타코","0","42851600","0.0","5.2707468E7","0.00"
"093230","이아이디","0","94072490","0.0","1.14768438E8","0.00"
"074610","이엔플러스","0","57740970","0.0","1.73511615E8","0.00"
"102460","이연제약","11931","17998577","269044.0","4.05867911E8","0.07"
"084680","이월드","0","141806193","0.0","2.50287931E8","0.00"
"350520","이지스레지던스리츠","0","20600000","0.0","9.7953E7","0.00"
"334890","이지스밸류리츠","0","36745335","0.0","1.88871022E8","0.00"
"000760","이화산업","0","2800000","0.0","4.102E7","0.00"
"014990","인디에프","0","70712995","0.0","5.3883302E7","0.00"
"101140","인바이오젠","0","53396820","0.0","8.9172689E7","0.00"
"006490","인스코비","1063090","109889337","2322852.0","2.40108201E8","0.97"
"023800","인지컨트롤스","30178","15333213","217583.0","1.10552466E8","0.20"
"034590","인천도시가스","0","4374754","0.0","1.08056424E8","0.00"
"129260","인터지스","36704","29747874","101487.0","8.2252872E7","0.12"
"023810","인팩","0","10000000","0.0","7.94E7","0.00"
"249420","일동제약","21955","26803285","631206.0","7.70594444E8","0.08"
"000230","일동홀딩스","0","11540400","0.0","2.279229E8","0.00"
"013360","일성건설","45584","54024880","166382.0","1.97190812E8","0.08"
"003120","일성신약","0","2660000","0.0","2.0349E8","0.00"
"003200","일신방직","0","2400000","0.0","2.22E8","0.00"
"007110","일신석재","0","77456610","0.0","1.04953707E8","0.00"
"007570","일양약품","18545","19085664","417263.0","4.2942744E8","0.10"
"007575","일양약품우","0","445080","0.0","1.1305032E7","0.00"
"008500","일정실업","0","1200000","0.0","2.244E7","0.00"
"081000","일진다이아","0","14202975","0.0","2.64885484E8","0.00"
"020760","일진디스플","0","51513741","0.0","1.06633444E8","0.00"
"020150","일진머티리얼즈","928578","46110835","6.4536171E7","3.204703033E9","2.01"
"103590","일진전기","48955","37080390","345133.0","2.6141675E8","0.13"
"271940","일진하이솔루스","370867","36313190","1.1422704E7","1.118446252E9","1.02"
"015860","일진홀딩스","69712","49347483","445460.0","3.15330416E8","0.14"
"226320","잇츠한불","9174","21929315","145867.0","3.48676109E8","0.04"
"317400","자이에스앤디","0","38782520","0.0","2.25714266E8","0.00"
"033240","자화전자","0","19762748","0.0","4.57507616E8","0.00"
"000950","전방","0","1680000","0.0","8.8872E7","0.00"
"348950","제이알글로벌리츠","58317","165600000","264176.0","7.50168E8","0.04"
"194370","제이에스코퍼레이션","0","13335601","0.0","2.01367575E8","0.00"
"025620","제이준코스메틱","0","76982774","0.0","7.4288377E7","0.00"
"030000","제일기획","238240","115041225","5384224.0","2.599931685E9","0.21"
"271980","제일약품","7122","14704872","147425.0","3.0439085E8","0.05"
