,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
0,134380,미원화학,57200,0,0.0,57200,58000,57200,27,1554400,125798129600,2199268,2020,09,0.0012276812102936067,0.0012356304540795018
1,002600,조흥,150000,1000,0.67,149000,150000,149000,30,4474500,90000000000,600000,2020,09,0.005,0.004971666666666667
2,016800,퍼시스,28600,-100,-0.35,28850,28850,28450,579,16553050,328900000000,11500000,2020,09,0.005034782608695652,0.005032851930678018
3,058650,세아홀딩스,70500,-200,-0.28,70900,71000,69700,258,18158600,282000000000,4000000,2020,09,0.006449999999999999,0.006439219858156028
4,001725,신영증권우,47000,-150,-0.32,47150,47350,46500,483,22649350,331526861000,7053763,2020,09,0.006847408964548426,0.0068318295331128535
5,004450,삼화왕관,38850,-50,-0.13,38900,38950,38850,216,8404200,83697624150,2154379,2020,09,0.010026091045261767,0.010041145236020418
6,000480,조선내화,73100,200,0.27,74000,74000,72900,404,29541900,292400000000,4000000,2020,09,0.0101,0.010103248974008208
7,015350,부산가스,50400,0,0.0,50400,51200,50100,1128,56930400,554400000000,11000000,2020,09,0.010254545454545454,0.010268831168831169
8,000320,노루홀딩스,9120,-10,-0.11,9130,9150,9080,1560,14207230,121215297120,13291151,2020,09,0.011737132472575174,0.011720657654235843
9,168490,한국패러랠,1920,-15,-0.78,1975,1975,1920,10347,19867505,153638400000,80020000,2020,09,0.012930517370657334,0.012931340732525201
10,001270,부국증권,20400,-150,-0.73,20450,20700,20350,1459,29859400,211545674400,10369886,2020,09,0.014069585721578811,0.014114871450191182
11,152550,한국ANKOR유전,1660,0,0.0,1670,1670,1655,10025,16606040,116233200000,70020000,2020,09,0.014317337903456155,0.014286830268804437
12,001275,부국증권우,19250,50,0.26,19200,19250,19200,460,8839200,57750000000,3000000,2020,09,0.015333333333333334,0.015305974025974027
13,009970,영원무역홀딩스,36950,-100,-0.27,37050,37150,36650,2244,82902900,503835124400,13635592,2020,09,0.016456931242882597,0.016454370881491483
14,153360,하이골드3호,1360,45,3.42,1320,1360,1320,2710,3577350,21963714400,16149790,2020,09,0.01678040395571707,0.016287545607495242
15,036530,S&T홀딩스,14450,100,0.7,14350,14550,14300,2753,39601650,235591152700,16303886,2020,09,0.016885544955356043,0.01680948097844253
16,138040,메리츠금융지주,9110,10,0.11,9120,9180,9110,22769,208076780,1220842888340,134011294,2020,09,0.01699035903645554,0.01704369841420999
17,017390,서울가스,77600,1000,1.31,78000,78000,75500,887,67511800,388000000000,5000000,2020,09,0.01774,0.017399948453608247
18,015360,예스코홀딩스,35300,500,1.44,34800,35400,34800,1068,37432650,211800000000,6000000,2020,09,0.0178,0.0176735835694051
19,003300,한일홀딩스,44150,-200,-0.45,44500,44500,43750,1092,48094100,264650817400,5994356,2020,09,0.018217136252835168,0.01817266255683214
20,003830,대한화섬,81000,1600,2.02,79400,82200,79400,247,19877400,107568000000,1328000,2020,09,0.018599397590361444,0.018478915662650603
21,005820,원림,17050,150,0.89,17050,17600,17050,458,7879200,37510000000,2200000,2020,09,0.02081818181818182,0.021005598507064783
22,004365,세방우,6000,0,0.0,6190,6190,6000,861,5181810,22135500000,3689250,2020,09,0.023338076844887173,0.023409500575997833
23,071320,지역난방공사,35050,300,0.86,34750,35500,34750,2930,102455700,405834977200,11578744,2020,09,0.02530498990218628,0.025245655440267457
24,092230,KPX홀딩스,44000,500,1.15,43600,44100,43500,1090,47757600,185884424000,4224646,2020,09,0.025800978354162694,0.025692093491383655
25,003650,미창석유,60200,400,0.67,60000,60200,59800,463,27755700,104728254400,1739672,2020,09,0.026614212334279103,0.026502590116693474
26,006570,대림통상,4145,80,1.97,4065,4150,4065,4181,17169040,63107625000,15225000,2020,09,0.027461412151067323,0.027205967583156552
27,268280,미원에스씨,94700,700,0.74,94500,94900,93600,1457,136896900,482970000000,5100000,2020,09,0.028568627450980395,0.028344804025094726
28,006220,제주은행,3020,20,0.67,3030,3030,2995,9342,28130130,97028897480,32128774,2020,09,0.02907673974736789,0.028991497100952116
29,024070,WISCOM,2240,15,0.67,2225,2260,2205,4515,10053245,34331221120,15326438,2020,09,0.029458899713031825,0.02928309763541554
30,002030,아세아,75800,100,0.13,76500,76500,75300,656,49719600,166079619200,2191024,2020,09,0.029940338398849124,0.029937207370475477
31,003460,유화증권,2230,20,0.9,2255,2265,2230,17015,38282955,126446385450,56702415,2020,09,0.03000754024321539,0.030276037439708404
32,001720,신영증권,46800,450,0.97,46450,46800,46150,2839,131783300,439275891600,9386237,2020,09,0.030246412912863802,0.030000121226775738
33,003080,성보화학,4160,60,1.46,4120,4185,4100,6110,25201280,83283200000,20020000,2020,09,0.03051948051948052,0.03025974025974026
34,005010,휴스틸,6680,60,0.91,6630,6690,6620,2393,15970090,50912742240,7621668,2020,09,0.0313973266744235,0.03136756988008588
35,003465,유화증권우,2380,20,0.85,2340,2385,2340,5563,13214220,41593891500,17476425,2020,09,0.03183145294303612,0.03176961694002592
36,004890,동일산업,69000,300,0.44,68700,69000,68600,787,54020400,167339835000,2425215,2020,09,0.03245073117228782,0.0322818532718166
37,282690,동아타이어,9580,20,0.21,9560,9620,9520,4488,42954670,131562283700,13733015,2020,09,0.03268036916875137,0.032649684082673006
38,002355,넥센타이어1우B,2310,15,0.65,2310,2310,2300,2179,5023975,15015000000,6500000,2020,09,0.033523076923076926,0.03345970695970696
39,000700,유수홀딩스,5290,40,0.76,5250,5320,5210,9096,47625090,137761185480,26041812,2020,09,0.03492844507133375,0.03457076086711968
40,155900,바다로19호,2550,-5,-0.2,2555,2555,2545,5392,13761160,38760010200,15200004,2020,09,0.03547367487534872,0.035503499428903657
41,009770,삼정펄프,28000,-500,-1.75,28500,28500,28000,888,25168500,69999188000,2499971,2020,09,0.03552041203677963,0.035955417082838156
42,006370,대구백화점,7570,220,2.99,7560,7570,7350,3884,29126210,81919595270,10821611,2020,09,0.03589114411893017,0.03555463122590205
43,005800,신영와코루,95500,1900,2.03,93600,98000,92600,326,30709800,85950000000,900000,2020,09,0.036222222222222225,0.03572984293193718
44,072710,농심홀딩스,74400,500,0.68,73900,74700,73700,1699,126014400,345051576000,4637790,2020,09,0.036633827749855,0.036520453394480366
45,075180,새론오토모티브,4015,40,1.01,4045,4045,3980,7224,28857075,77088000000,19200000,2020,09,0.037625,0.037433939134495636
46,088260,이리츠코크렙,5290,10,0.19,5320,5320,5280,24096,127564170,335077011100,63341590,2020,09,0.03804135639790539,0.0380701050129428
47,004700,조광피혁,50200,700,1.41,49900,50900,49700,2639,132100250,333786727600,6649138,2020,09,0.039689355221684375,0.03957624407352259
48,001460,BYC,225500,2000,0.89,222500,228000,222500,258,58330000,140850682500,624615,2020,09,0.04130544415359862,0.04141264988190597
49,082640,동양생명,3065,20,0.66,3050,3075,3040,67666,206460155,494564063025,161358585,2020,09,0.041935171903001014,0.0417458870216301
50,001080,만호제강,14800,-100,-0.67,15100,15100,14650,1756,25956850,61420000000,4150000,2020,09,0.04231325301204819,0.04226123412569196
51,007590,동방아그로,6240,-20,-0.32,6260,6270,6220,5840,36468600,84973680480,13617577,2020,09,0.04288574979234558,0.042917524336942785
52,000145,하이트진로홀딩스우,16200,150,0.93,16400,16400,16150,204,3308900,7627122000,470810,2020,09,0.04332958093498439,0.04338333646688751
53,033660,아주캐피탈,12400,350,2.9,12200,12400,12200,25258,310766000,713569036000,57545890,2020,09,0.043891926947345845,0.04355093681503299
54,002840,미원상사,96300,500,0.52,95900,96300,95800,2197,210906700,478611000000,4970000,2020,09,0.04420523138832998,0.044066413015998375
55,034590,인천도시가스,24950,0,0.0,25350,25350,24900,1934,48547850,109150112300,4374754,2020,09,0.044208200049648504,0.044478057765589676
56,104700,한국철강,4695,45,0.97,4670,4710,4660,20425,95658015,216204750000,46050000,2020,09,0.04435396308360478,0.044244178261578435
57,023450,동남합성,36950,-150,-0.4,37100,37200,36950,1621,60006700,133389500000,3610000,2020,09,0.04490304709141274,0.04498607461606798
58,009160,SIMPAC,2380,35,1.49,2350,2390,2315,29419,69322595,155722248080,65429516,2020,09,0.04496288800302298,0.04451682136285789
59,025530,SJM홀딩스,2620,10,0.38,2610,2630,2600,6716,17544385,39127100960,14934008,2020,09,0.04497118255193114,0.044839470774836576
60,000390,삼화페인트,4925,20,0.41,4920,4945,4920,12024,59236285,130210848675,26438751,2020,09,0.045478699050495994,0.04549258806219051
61,101060,SBS미디어홀딩스,1760,15,0.86,1770,1775,1745,65174,114437460,246217294400,139896190,2020,09,0.0465874017012186,0.04647823796409973
62,001940,KISCO홀딩스,11700,50,0.43,11650,11700,11550,8972,104314150,216173646000,18476380,2020,09,0.04855929570619353,0.048254795128912245
63,107590,미원홀딩스,55500,2000,3.74,53500,55800,53500,1135,62695600,128760000000,2320000,2020,09,0.04892241379310344,0.04869182976079528
