,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
0,003465,유화증권우,2320,-20,-0.85,2315,2350,2315,1472,3416165,40545306000,17476425,2021,01,0.008422775252947901,0.00842554992679054
1,016800,퍼시스,29500,-400,-1.34,30150,30250,29300,1171,34906200,339250000000,11500000,2021,01,0.010182608695652174,0.010289226234340457
2,015360,예스코홀딩스,34700,-50,-0.14,34750,35050,34300,1544,53271600,208200000000,6000000,2021,01,0.02573333333333333,0.025586743515850142
3,001725,신영증권우,52700,-900,-1.68,53600,53600,52100,2050,108286100,371733310100,7053763,2021,01,0.029062501816406364,0.02913005024243589
4,268280,미원에스씨,104500,500,0.48,104500,105500,103500,1525,158660500,532950000000,5100000,2021,01,0.029901960784313723,0.029770241110798387
5,134380,미원화학,60500,-500,-0.82,61000,61100,60400,742,45010200,133055714000,2199268,2021,01,0.033738498445846525,0.03382808497799651
6,002355,넥센타이어1우B,2600,-60,-2.26,2715,2715,2565,2557,6677420,16900000000,6500000,2021,01,0.03933846153846154,0.03951136094674556
7,003650,미창석유,63400,-500,-0.78,63900,63900,63100,712,45255100,110295204800,1739672,2021,01,0.040927255252714304,0.04103088623123895
8,015350,부산가스,53900,-500,-0.92,54400,54400,52500,4729,250289100,592900000000,11000000,2021,01,0.042990909090909094,0.04221438691178951
9,023450,동남합성,45000,500,1.12,44500,45900,44500,1812,81899200,162450000000,3610000,2021,01,0.05019390581717452,0.050415020006155734
10,001275,부국증권우,19050,-250,-1.3,19200,19200,19050,1594,30445500,57150000000,3000000,2021,01,0.05313333333333333,0.05327296587926509
11,001270,부국증권,20750,-300,-1.43,21000,21100,20650,5543,115309250,215175134500,10369886,2021,01,0.05345285377293444,0.05358855718526343
12,002600,조흥,170000,-4500,-2.58,175000,176000,169000,350,60511000,102000000000,600000,2021,01,0.05833333333333334,0.059324509803921566
13,058650,세아홀딩스,74300,-2300,-3.0,77100,77100,73200,2441,183377600,297200000000,4000000,2021,01,0.061025,0.06170174966352624
14,034590,인천도시가스,24500,50,0.2,24450,24550,24350,2779,67887950,107181473000,4374754,2021,01,0.06352357183969659,0.06333925826901073
15,001527,동양2우B,11350,-150,-1.3,11500,11500,11350,206,2350300,3502258150,308569,2021,01,0.06675978468349056,0.06710813136376027
16,357250,미래에셋맵스리츠,4700,-15,-0.32,4720,4720,4695,13535,63707160,94470000000,20100000,2021,01,0.06733830845771145,0.06743639250555733
17,002840,미원상사,131500,-4500,-3.31,132500,135500,130000,3646,481278000,653555000000,4970000,2021,01,0.07336016096579477,0.07364001499491245
18,155900,바다로19호,2260,5,0.22,2230,2265,2230,11346,25514185,34352009040,15200004,2021,01,0.07464471719875863,0.0742727593320405
19,003460,유화증권,2195,-55,-2.44,2235,2250,2195,42493,93938040,124461800925,56702415,2021,01,0.07494037070555108,0.07547539831647346
20,004890,동일산업,78200,0,0.0,77800,78200,77600,1919,149326700,189651813000,2425215,2021,01,0.07912700523458745,0.07873729105874669
21,006370,대구백화점,7760,-260,-3.24,7970,8060,7760,8784,69718080,83975701360,10821611,2021,01,0.08117090884157636,0.08302172994200045
22,004700,조광피혁,57500,-500,-0.86,58400,58900,56000,5632,323890800,382325435000,6649138,2021,01,0.08470270883233286,0.08471599594204346
23,003830,대한화섬,110500,-1500,-1.34,111000,112000,107000,1133,123930500,146744000000,1328000,2021,01,0.08531626506024095,0.0844535381344382
24,348950,제이알글로벌리츠,5080,-30,-0.59,5140,5140,5050,141893,721376440,841248000000,165600000,2021,01,0.08568417874396135,0.08575074650994713
25,168490,한국패러랠,1905,0,0.0,1895,1915,1895,71616,136195980,152438100000,80020000,2021,01,0.0894976255936016,0.0893451046687147
26,003300,한일홀딩스,10450,-250,-2.34,10600,10850,10350,27068,284578500,301124901000,28815780,2021,01,0.0939346427547684,0.09450513692323306
27,001525,동양우,7180,260,3.76,6920,7180,6760,652,4585990,4435308580,617731,2021,01,0.10554756034584632,0.10339731536785203
28,004450,삼화왕관,38400,-550,-1.41,38800,39950,37850,2320,89736850,82728153600,2154379,2021,01,0.10768764456021898,0.1084719603847172
29,000480,조선내화,79900,500,0.63,79500,80300,77900,4325,342481400,319600000000,4000000,2021,01,0.108125,0.10715938673341677
30,001720,신영증권,53500,-800,-1.47,54000,54300,52700,10775,576239600,502163679500,9386237,2021,01,0.11479573763159827,0.11475134971405275
