,종목명,종가,거래량_합계,거래대금_합계,years,month,시가총액,상장주식수,kospi벤치마크지수,시가총액대비거래대금,소외주,종목코드_y,PBR,업종명,업종월평균PBR,LOW P/B
315,평화홀딩스,3185,40945,128804810,2014,4,46582109210,14625466,0.30131362900403463,0.27651133060404415,so,010770,0.32,운수장비,1.140952380952381,LOW
90,SJM홀딩스,3385,50321,169563030,2012,6,50551617080,14934008,0.3825025398805935,0.335425530961076,so,025530,0.45,유통업,0.9536363636363636,LOW
417,흥국화재,3410,196117,663381910,2016,9,219067419450,64242645,0.3494295089256394,0.3028208903293401,so,000540,0.5,보험,0.8163636363636364,LOW
779,대림통상,3540,128097,386869600,2020,3,53896500000,15225000,0.8573532773920097,0.7178009703784105,so,006570,0.51,기계,0.7696774193548386,LOW
402,흥국화재,3720,118493,445098370,2016,5,238982639400,64242645,0.4051403604564593,0.18624715632795877,so,000540,0.55,보험,0.8436363636363636,LOW
776,대림통상,3755,42309,164217605,2020,2,57169875000,15225000,0.5216620777710378,0.28724499572545853,so,006570,0.54,기계,0.9438709677419354,LOW
640,NPC,3765,132764,483180390,2018,12,138250800000,36720000,0.38276591630765733,0.3494955472228732,so,004250,0.63,화학,1.477555555555555,LOW
572,대동전자,3775,35023,133153415,2018,7,39601437425,10490447,0.3608696272916866,0.3362337926550655,so,008110,0.33,전기전자,2.165416666666666,LOW
582,대동전자,3800,33970,128056205,2018,8,39863698600,10490447,0.3420772860559629,0.32123513245707713,so,008110,0.33,전기전자,2.0508333333333333,LOW
606,대동전자,3825,25228,95755320,2018,9,40125959775,10490447,0.3931282133529395,0.23863683395221666,so,008110,0.33,전기전자,1.9327083333333333,LOW
394,흥국화재,3840,99953,385119620,2016,2,246691756800,64242645,0.3835927062329506,0.15611369629680305,so,000540,0.62,보험,0.9036363636363635,LOW
619,대림통상,3845,21243,87556420,2018,10,58540125000,15225000,0.4244951710694468,0.14956650673362928,so,006570,0.53,기계,1.046774193548387,LOW
377,흥국화재,3875,177155,682710600,2015,9,248940249375,64242645,0.40587282816327674,0.2742467727553268,so,000540,0.63,보험,0.9372727272727274,LOW
657,NPC,3880,87806,334785140,2019,1,142473600000,36720000,0.40325525649193034,0.23498047357545537,so,004250,0.65,화학,1.5495555555555562,LOW
525,한진중공업홀딩스,3915,121649,483052845,2018,2,115609213980,29529812,0.42888501308551624,0.41783247923782835,so,003480,0.27,전기가스업,0.4775,LOW
739,대림통상,3920,28006,112733545,2019,10,59682000000,15225000,0.3197189730302167,0.18889036057772862,so,006570,0.56,기계,1.0058064516129035,LOW
388,흥국화재,3920,237894,925273815,2016,1,251831168400,64242645,0.39801257516456234,0.36741830682782156,so,000540,0.64,보험,0.9081818181818182,LOW
679,NPC,3975,122188,480615500,2019,3,145962000000,36720000,0.34430832810427264,0.32927440018634985,so,004250,0.67,화학,1.525730337078652,LOW
762,대림통상,3985,24731,99308830,2020,1,60671625000,15225000,0.434462552200731,0.163682495730088,so,006570,0.57,기계,1.0222580645161288,LOW
329,흥국화재,3990,95709,379997635,2014,6,256328153550,64242645,0.3295624445893028,0.14824654636537093,so,000540,0.89,보험,1.022,LOW
200,대림통상,4000,46802,184036005,2013,4,60900000000,15225000,0.38786043933511843,0.3021937684729064,so,006570,0.44,기계,0.9522727272727273,LOW
631,대림통상,4000,14527,57554650,2018,11,60900000000,15225000,0.3790927220492406,0.0945068144499179,so,006570,0.55,기계,1.0929032258064517,LOW
216,대림통상,4000,21227,85079280,2013,7,60900000000,15225000,0.33432385587934893,0.1397032512315271,so,006570,0.44,기계,0.9199999999999998,LOW
