,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
0,058650,세아홀딩스,72300,1100,1.54,72000,72700,71900,116,8374800,289200000000,4000000,2020,08,0.0029,0.002895850622406639
1,015360,예스코홀딩스,35100,0,0.0,35100,35350,35000,220,7702900,210600000000,6000000,2020,08,0.0036666666666666666,0.003657597340930674
2,002600,조흥,151500,2000,1.34,154500,154500,150000,23,3501500,90900000000,600000,2020,08,0.0038333333333333336,0.0038520352035203522
3,003465,유화증권우,2580,-20,-0.77,2695,2695,2570,771,2005325,45089176500,17476425,2020,08,0.004411657418493771,0.004447464237897537
4,003460,유화증권,2220,10,0.45,2225,2225,2200,2565,5662350,125879361300,56702415,2020,08,0.004523616851239934,0.004498235406918926
5,004365,세방우,6010,-20,-0.33,5880,6010,5880,220,1305530,22172392500,3689250,2020,08,0.005963271667683134,0.005888088080706671
6,168490,한국패러랠,1925,0,0.0,1940,1940,1915,4924,9476170,154038500000,80020000,2020,08,0.006153461634591352,0.0061518191880601284
7,004890,동일산업,69500,0,0.0,69500,69500,69100,305,21172600,168552442500,2425215,2020,08,0.012576204583923488,0.012561431733627948
8,001270,부국증권,19950,100,0.5,20000,20000,19700,1525,30336100,206879225700,10369886,2020,08,0.014706044020156055,0.014663676305513166
9,003300,한일홀딩스,46500,50,0.11,46800,46800,46000,905,42081950,278737554000,5994356,2020,08,0.015097535081333175,0.015097337763106006
10,001940,KISCO홀딩스,11500,0,0.0,11350,11650,11350,2844,32736950,212478370000,18476380,2020,08,0.015392625611726973,0.015407191800275954
11,000320,노루홀딩스,9160,30,0.33,9130,9180,9080,2100,19185860,121746943160,13291151,2020,08,0.015799986020774273,0.015758802235211703
12,005800,신영와코루,97800,1900,1.98,95000,97800,94500,147,14120100,88020000000,900000,2020,08,0.016333333333333335,0.016041922290388547
13,005820,원림,18100,0,0.0,18100,18250,17900,399,7227400,39820000000,2200000,2020,08,0.018136363636363634,0.018150175791059767
14,134380,미원화학,52500,0,0.0,52200,52600,52200,455,23847500,115461570000,2199268,2020,08,0.02068870187717004,0.020654058315680273
15,094800,맵스리얼티1,3865,15,0.39,3840,3890,3830,19909,76579180,358804689315,92834331,2020,08,0.02144573002847406,0.021342859299358263
16,004450,삼화왕관,39400,-200,-0.51,39650,40050,39000,501,19837950,84882532600,2154379,2020,08,0.023254961174426596,0.0233710627997921
17,034590,인천도시가스,24600,0,0.0,24600,24950,24550,1117,27542000,107618948400,4374754,2020,08,0.02553286424790971,0.02559214748840642
18,003650,미창석유,59900,400,0.67,59600,59900,59500,467,27921600,104206352800,1739672,2020,08,0.02684414073457525,0.026794527636514694
19,002920,유성기업,2430,15,0.62,2395,2450,2395,7370,17967185,63052425000,25947500,2020,08,0.02840350708160709,0.028495628835845728
20,036530,S&T홀딩스,15150,100,0.66,15050,15350,15050,4865,73703450,247003872900,16303886,2020,08,0.029839511880787192,0.029838985573250095
21,006570,대림통상,4150,-150,-3.49,4300,4300,4150,4668,19594840,63183750000,15225000,2020,08,0.03066009852216749,0.031012467604407783
22,001725,신영증권우,46150,50,0.11,46100,46850,46000,2174,100347900,325531162450,7053763,2020,08,0.03082042875554509,0.030825896742040153
23,024090,디씨엠,10700,-100,-0.93,10850,10900,10650,3917,42126900,125190000000,11700000,2020,08,0.03347863247863248,0.033650371435418165
24,001275,부국증권우,18700,-150,-0.8,19200,19200,18550,1062,19820800,56100000000,3000000,2020,08,0.0354,0.035331194295900176
25,138040,메리츠금융지주,9230,-60,-0.65,9290,9320,9210,48183,446026340,1236924243620,134011294,2020,08,0.03595443231821939,0.036059309395913605
26,075180,새론오토모티브,4100,0,0.0,4200,4200,4050,6929,28292460,78720000000,19200000,2020,08,0.03608854166666667,0.035940625000000004
27,009160,SIMPAC,2320,10,0.43,2315,2335,2295,23747,55044970,151796477120,65429516,2020,08,0.03629401751955494,0.03626235011797091
28,077970,STX엔진,5370,50,0.94,5320,5430,5320,8460,45282820,123557814480,23008904,2020,08,0.03676837453883071,0.03664909434548943
29,003830,대한화섬,82800,200,0.24,82600,83800,82100,526,43543300,109958400000,1328000,2020,08,0.03960843373493976,0.039599794103952035
30,153360,하이골드3호,1315,-20,-1.5,1335,1335,1305,6512,8562395,21236973850,16149790,2020,08,0.040322505741560724,0.040318338481167365
31,017390,서울가스,67900,1300,1.95,66800,69400,66800,2043,139430100,339500000000,5000000,2020,08,0.04086,0.04106924889543446
32,019440,세아특수강,10650,0,0.0,10800,10800,10550,3821,40665100,91270500000,8570000,2020,08,0.04458576429404901,0.04455448365024844
33,004080,신흥,9150,-30,-0.33,9180,9180,9090,4378,39987220,87840000000,9600000,2020,08,0.04560416666666667,0.04552279143897996
34,282690,동아타이어,9930,30,0.3,9910,10500,9860,6411,64080550,136368838950,13733015,2020,08,0.046683120931565285,0.04699061053346308
35,204210,모두투어리츠,2740,-10,-0.36,2750,2760,2715,3691,10085475,21445473100,7826815,2020,08,0.047158390737483895,0.04702845655571011
36,000480,조선내화,72100,800,1.12,71100,73000,71100,1915,138266500,288400000000,4000000,2020,08,0.047875,0.04794261442441054
37,088260,이리츠코크렙,5220,-40,-0.76,5260,5290,5210,30562,160624720,330643099800,63341590,2020,08,0.04824949926264876,0.04857948649076874
38,096300,베트남개발1,283,0,0.0,283,285,282,68186,19286179,38963499713,137680211,2020,08,0.04952490957469552,0.04949806650341846
39,008110,대동전자,4270,-15,-0.35,4420,4420,4235,5222,22315640,44794208690,10490447,2020,08,0.049778622398073215,0.049818136434636506
40,025000,KPX케미칼,46800,250,0.54,46200,46800,46050,2439,113053750,226512000000,4840000,2020,08,0.05039256198347107,0.04991071113230204
41,092440,기신정기,3105,0,0.0,3090,3135,3060,14720,45592990,90666000000,29200000,2020,08,0.05041095890410959,0.05028675578496901
42,268280,미원에스씨,86500,1000,1.17,86000,88900,86000,2741,240574300,441150000000,5100000,2020,08,0.053745098039215684,0.05453344667346707
43,009770,삼정펄프,27950,0,0.0,28450,28450,27950,1348,37829050,69874189450,2499971,2020,08,0.053920625479255566,0.05413880332317758
44,078000,텔코웨어,12500,50,0.4,12350,12500,12350,5252,65355600,121283825000,9702706,2020,08,0.05412922951597214,0.05388649310821126
45,006220,제주은행,2990,10,0.34,3000,3040,2965,17425,51984495,96065034260,32128774,2020,08,0.05423487369919562,0.054113856722628105
46,005810,풍산홀딩스,24750,-250,-1.0,25000,25050,24700,4457,110769300,193920383250,7835167,2020,08,0.05688455651296265,0.057121019535732585
47,001460,BYC,244000,500,0.21,244000,245500,242000,370,90101000,152406060000,624615,2020,08,0.059236489677641425,0.05911904027963192
48,002780,진흥기업,2060,5,0.24,2075,2080,2035,86430,177865735,299671794700,145471745,2020,08,0.05941359952752337,0.0593535121241759
49,000430,대원강업,3120,55,1.79,3080,3160,3080,39794,124979445,193440000000,62000000,2020,08,0.06418387096774193,0.06460889423076924
50,006660,삼성공조,6320,150,2.43,6200,6320,6110,5280,32764340,51358304480,8126314,2020,08,0.0649741075720185,0.06379560293459283
51,082640,동양생명,2980,-5,-0.17,2975,3025,2975,104984,313482305,480848583300,161358585,2020,08,0.06506254377478583,0.06519355903029028
52,107590,미원홀딩스,52000,-500,-0.95,52500,52700,51700,1617,84289200,120640000000,2320000,2020,08,0.06969827586206896,0.06986836870026525
53,025530,SJM홀딩스,2500,20,0.81,2575,2575,2490,10471,26482990,37335020000,14934008,2020,08,0.07011513586975446,0.07093337568856263
54,00279K,아모레G3우(전환),33700,0,0.0,34750,34750,33400,4987,167816750,239007140000,7092200,2020,08,0.07031668593666282,0.0702141157791353
55,008870,금비,54100,-600,-1.1,55000,55100,54000,705,38381300,54100000000,1000000,2020,08,0.07050000000000001,0.07094510166358595
56,300720,한일시멘트,79000,-300,-0.38,79700,80600,79000,4919,391437400,547166166000,6926154,2020,08,0.0710206559080263,0.07153903591326953
57,023450,동남합성,36000,900,2.56,35100,36000,35100,2588,92524400,129960000000,3610000,2020,08,0.07168975069252077,0.0711945213911973
58,000400,롯데손해보험,1590,0,0.0,1590,1615,1580,225175,359329670,493434748800,310336320,2020,08,0.07255837795588992,0.07282212508824429
59,016380,KG동부제철,12000,-50,-0.41,12050,12550,11900,73203,892174150,1200106764000,100008897,2020,08,0.07319648770848858,0.07434123169394952
60,000650,천일고속,61200,300,0.49,61300,61800,60200,1062,64711800,87468264000,1429220,2020,08,0.0743062649557101,0.07398317634382226
61,037710,광주신세계,144500,3500,2.48,141500,145000,140500,1202,170493500,231200000000,1600000,2020,08,0.075125,0.0737428633217993
62,002030,아세아,75000,-400,-0.53,75400,75700,74100,1652,123571800,164326800000,2191024,2020,08,0.07539853511417492,0.07519881114948992
63,000680,LS네트웍스,2030,0,0.0,2025,2055,2020,62027,125998510,159970122480,78803016,2020,08,0.07871145439408055,0.07876377666445356
64,000760,이화산업,14700,50,0.34,14850,14850,14400,2248,32828250,41160000000,2800000,2020,08,0.08028571428571428,0.0797576530612245
65,152550,한국ANKOR유전,1665,10,0.6,1660,1670,1655,56424,93532520,116583300000,70020000,2020,08,0.08058269065981148,0.08022806010809438
66,005750,대림B&Co,4700,-95,-1.98,4750,4800,4655,13592,64104850,78359528000,16672240,2020,08,0.08152473812757013,0.08180862192023412
67,172580,하이골드12호,1990,5,0.25,2000,2005,1980,10748,21435370,25958555000,13044500,2020,08,0.08239487906780635,0.0825753590675598
68,005010,휴스틸,6640,0,0.0,6640,6680,6580,6377,42237590,50607875520,7621668,2020,08,0.0836693490191386,0.08346050800592865
69,001560,제일연마,6360,70,1.11,6340,6400,6300,8438,53498960,63600000000,10000000,2020,08,0.08438,0.08411786163522013
70,044450,KSS해운,8170,-50,-0.61,8220,8290,8170,20105,165322640,189428639600,23185880,2020,08,0.08671225763266265,0.08727436376521389
71,000050,경방,10550,50,0.48,10600,10850,10350,23905,250412000,289231098500,27415270,2020,08,0.08719593131856808,0.08657851845762014
72,155900,바다로19호,2570,-10,-0.39,2585,2585,2565,13370,34363540,39064010280,15200004,2020,08,0.08796050316828864,0.08796726130699759
73,001720,신영증권,46150,50,0.11,46150,46450,46050,8259,381123550,433174837550,9386237,2020,08,0.08799053337349143,0.08798376936102807
74,002220,한일철강,1680,-10,-0.59,1680,1710,1660,20178,33758930,38373782160,22841537,2020,08,0.08833906404809798,0.08797394496909815
75,004380,삼익THK,10000,0,0.0,10000,10100,9980,18559,185924480,210000000000,21000000,2020,08,0.08837619047619048,0.08853546666666666
76,001620,케이비아이동국실업,590,9,1.55,581,599,578,59972,35258599,38964822480,66042072,2020,08,0.09080878019696292,0.09048828342050745
77,016800,퍼시스,28450,50,0.18,28450,28450,28400,10628,301851200,327175000000,11500000,2020,08,0.09241739130434783,0.09225986093069458
78,019685,대교우B,2570,-5,-0.19,2590,2590,2555,18034,46323575,49927364300,19426990,2020,08,0.09282961488115246,0.09278193561681765
79,033660,아주캐피탈,11800,-350,-2.88,12150,12150,11800,54327,645358100,679041502000,57545890,2020,08,0.0944063946182777,0.09503956652122274
80,000540,흥국화재,2245,55,2.51,2195,2345,2185,63864,141491820,144224738025,64242645,2020,08,0.09941060178951225,0.09810509759807899
81,002820,선창산업,3645,25,0.69,3620,3655,3595,12960,46921630,45956119905,12607989,2020,08,0.10279196785466739,0.10210093910668674
82,267290,경동도시가스,16600,50,0.3,16700,16700,16450,6165,102015300,97863739600,5895406,2020,08,0.10457295053131202,0.10424218450773365
83,003240,태광산업,660000,-6000,-0.9,667000,680000,660000,1218,818427000,734844000000,1113400,2020,08,0.10939464702712412,0.11137425086140731
84,002840,미원상사,93900,1900,2.07,93300,94000,92900,5459,511234000,466683000000,4970000,2020,08,0.10983903420523139,0.1095463087363371
85,192400,쿠쿠홀딩스,91300,-500,-0.54,91700,93500,91300,7840,723277000,649365498100,7112437,2020,08,0.1102294473750699,0.11138211101702511
86,016880,웅진,1040,-5,-0.48,1060,1065,1035,88219,92021875,82553463200,79378330,2020,08,0.11113738472452116,0.11146943015226526
87,011810,STX,5210,70,1.36,5140,5220,5110,22465,116030700,102777159420,19726902,2020,08,0.11388002028904487,0.11289541436520859
88,034310,NICE,18800,500,2.73,18300,18800,18150,44563,823365150,712187240000,37882300,2020,08,0.11763541284452106,0.11561076971836788
89,00806K,대덕1우,6000,50,0.84,6050,6050,5950,1429,8541750,7274142000,1212357,2020,08,0.1178695714216192,0.11742622016452249
90,348950,제이알글로벌리츠,4900,60,1.24,4850,4915,4845,195393,952484410,811440000000,165600000,2020,08,0.11799094202898551,0.11738198881001677
91,000670,영풍,489500,7000,1.45,484000,495000,483000,2208,1077577000,901678580000,1842040,2020,08,0.11986710386310831,0.11950788494942399
92,018470,조일알미늄,598,-5,-0.83,599,607,595,86237,51677334,41953021890,70155555,2020,08,0.1229225540301121,0.12317905045194825
93,002880,대유에이텍,667,4,0.6,673,674,663,132321,88370380,71312963329,106915987,2020,08,0.12376165970389442,0.12391909671781015
94,007815,코리아써우,5060,30,0.6,5100,5130,4980,3695,18582440,15001331400,2964690,2020,08,0.12463360418795895,0.1238719384600756
95,071320,지역난방공사,33950,500,1.49,33400,33950,33300,14551,486912050,393098358800,11578744,2020,08,0.12566993449375857,0.12386519533848533
96,000300,대유플러스,586,2,0.34,588,598,582,144286,84680165,67148822324,114588434,2020,08,0.1259167221012899,0.1261081908352904
97,004690,삼천리,72400,-900,-1.23,73300,74000,72400,5176,377237200,293583810000,4055025,2020,08,0.12764409590569725,0.1284938702852858
98,023000,삼원강재,2195,5,0.23,2190,2230,2155,51105,111757885,87800000000,40000000,2020,08,0.1277625,0.12728688496583143
99,004360,세방,9850,50,0.51,9880,9930,9800,24839,244799750,190190596500,19308690,2020,08,0.12864155983652956,0.12871285673684715
100,001525,동양우,6870,60,0.88,6850,6910,6850,797,5502040,4243811970,617731,2020,08,0.12902056072950846,0.12964853388638706
101,338100,NH프라임리츠,4340,5,0.12,4345,4345,4320,24431,105819290,80984400000,18660000,2020,08,0.13092711682743838,0.13066626412000334
102,035510,신세계 I&C,119500,-500,-0.42,120000,121500,118500,2265,271226000,205540000000,1720000,2020,08,0.1316860465116279,0.13195776977717233
103,003080,성보화학,4365,145,3.44,4230,4390,4230,26542,115366550,87387300000,20020000,2020,08,0.13257742257742258,0.13201752428556554
104,330590,롯데리츠,5080,30,0.59,5050,5090,5040,232643,1179024080,873601930720,171968884,2020,08,0.13528203160287997,0.1349612493447993
105,035000,지투알,5050,170,3.48,4885,5050,4875,22505,111696860,83665415450,16567409,2020,08,0.1358389836334698,0.13350421963392042
106,003480,한진중공업홀딩스,3195,5,0.16,3190,3195,3140,40285,127520310,94347749340,29529812,2020,08,0.13642145774581974,0.1351598855214409
107,092230,KPX홀딩스,41150,-100,-0.24,41250,41500,41000,5838,240034300,173844182900,4224646,2020,08,0.13818909324000164,0.13807439282456427
108,000180,성창기업지주,1575,5,0.32,1575,1585,1550,97020,152242575,109858770000,69751600,2020,08,0.13909358351636378,0.13858026537162213
109,024890,대원화성,1800,-5,-0.28,1810,1810,1760,59248,105425205,74248473600,41249152,2020,08,0.14363446792797097,0.14198972704537863
110,004910,조광페인트,5550,70,1.28,5490,5570,5450,18664,103106910,71040000000,12800000,2020,08,0.1458125,0.1451392314189189
111,019680,대교,3965,-70,-1.73,4040,4075,3965,124042,497308340,335846800250,84702850,2020,08,0.14644371470381456,0.14807594999559623
112,067830,세이브존I&C,2485,-25,-1.0,2555,2555,2450,60139,150335555,101986624075,41040895,2020,08,0.146534328746973,0.1474071294775329
113,010770,평화홀딩스,2890,-10,-0.34,3010,3010,2890,21707,63167160,42267596740,14625466,2020,08,0.14841920250609453,0.14944582818029412
114,005720,넥센,3735,-45,-1.19,3790,3840,3705,79832,301222665,199986754095,53543977,2020,08,0.14909613456617166,0.15062130807768886
115,006390,한일현대시멘트,26650,-100,-0.37,26550,27100,26550,25226,674883650,448287378500,16821290,2020,08,0.14996471733142938,0.15054710044663905
116,002355,넥센타이어1우B,2275,-20,-0.87,2280,2310,2275,9777,22362155,14787500000,6500000,2020,08,0.15041538461538462,0.1512233643279797
117,001420,태원물산,3420,20,0.59,3380,3425,3380,11452,38992925,25992000000,7600000,2020,08,0.1506842105263158,0.15001894813788857
118,001465,BYC우,131500,2500,1.94,133500,133500,129000,328,43068000,28323127500,215385,2020,08,0.1522854423474244,0.15205947860101254
119,117580,대성에너지,5020,50,1.01,4970,5040,4970,42188,211246770,138050000000,27500000,2020,08,0.1534109090909091,0.15302192683810215
120,101060,SBS미디어홀딩스,1940,20,1.04,1935,1980,1910,215611,417662315,271398608600,139896190,2020,08,0.15412213870870964,0.1538925778413147
121,001290,상상인증권,1005,-10,-0.99,1015,1035,1000,149323,150555490,96588979185,96108437,2020,08,0.1553692939569915,0.155872327537116
122,100250,진양홀딩스,2440,10,0.41,2435,2460,2430,87829,214818670,136384512480,55895292,2020,08,0.15713130186349147,0.15750957795263001
123,000140,하이트진로홀딩스,17900,50,0.28,17700,18150,17600,36642,655736750,415401093500,23206765,2020,08,0.1578936142112009,0.15785628884002925
124,175330,JB금융지주,4290,-35,-0.81,4325,4350,4290,311440,1343378185,845056615260,196982894,2020,08,0.15810509921739702,0.1589690158909271
125,070960,용평리조트,3920,-5,-0.13,3940,3975,3870,76294,299774250,188682665360,48133333,2020,08,0.15850554126388877,0.15887747262210924
126,025890,한국주강,1310,-15,-1.13,1325,1340,1295,17946,23514670,14815129290,11309259,2020,08,0.15868413659993108,0.15872065332478782
127,000060,메리츠화재,12750,-50,-0.39,12750,12900,12600,181382,2306209250,1449420000000,113680000,2020,08,0.159554890921886,0.15911255881663008
