종목명,years,month,상장주식수대비월거래량합계,거래대금,상장시가총액,벤치마크지수,소외주,EPS,PER,BPS,PBR,업종명,업종월평균PBR,LOW P/B
BYC,2018,11,0.3395691746115607,5292702.0,1396110029.2727273,0.379092720665869,소외주,7414.0,33.05,475434.0,0.52,섬유의복,0.8630434782608696,LOW
KPX홀딩스,2017,2,0.3004512094031074,4484081.35,1347227097.25,0.332872062289318,소외주,8324.0,7.69,131838.0,0.49,화학,1.8615662650602403,LOW
KPX홀딩스,2017,10,0.25303895284954053,6202413.625,1615598492.5,0.3839944110923485,소외주,7238.0,9.91,136803.0,0.52,화학,1.8470588235294119,LOW
KPX홀딩스,2018,1,0.42107670086440374,7142576.590909091,1638788275.2272727,0.43546683537567626,소외주,7238.0,9.27,136803.0,0.49,화학,2.0458333333333334,LOW
KPX홀딩스,2018,4,0.4392794094463773,7812027.0,1638803401.1904762,0.4763979976332588,소외주,7238.0,9.17,136803.0,0.49,화학,2.147441860465116,LOW
KPX홀딩스,2018,6,0.4686546517743735,7546209.263157895,1599775900.2105262,0.47096295606117344,소외주,9872.0,6.56,145038.0,0.45,화학,1.8056666666666652,LOW
KPX홀딩스,2018,9,0.2679514449257997,6069409.294117647,1542969295.5882354,0.3931282063723475,소외주,9872.0,6.52,145038.0,0.44,화학,1.7448888888888898,LOW
KPX홀딩스,2018,11,0.22271688562781355,5292702.0,1396110029.2727273,0.379092720665869,소외주,9872.0,6.46,145038.0,0.44,화학,1.495,LOW
KPX홀딩스,2019,1,0.2523525048015857,5603161.363636363,1386157413.6363637,0.4032552534195176,소외주,9872.0,6.04,145038.0,0.41,화학,1.549555555555556,LOW
KPX홀딩스,2019,2,0.2162548057281012,5618904.588235294,1458848750.7058823,0.3853572669702385,소외주,9872.0,6.18,145038.0,0.42,화학,1.5652222222222218,LOW
KPX홀딩스,2019,3,0.20458518891286986,4921997.25,1428377200.5,0.34430832741815387,소외주,9872.0,6.08,145038.0,0.41,화학,1.525730337078652,LOW
KPX홀딩스,2019,5,0.26797511554814296,5382849.0,1384116388.9047618,0.3889409605308684,소외주,901.0,64.04,143401.0,0.4,화학,1.2902127659574467,LOW
KPX홀딩스,2019,6,0.3219914757354817,4600446.7894736845,1401948765.631579,0.328197911702071,소외주,901.0,65.82,143401.0,0.41,화학,1.3104255319148932,LOW
KPX홀딩스,2019,7,0.3175413987349473,4429029.478260869,1386277749.3913043,0.3196414166485545,소외주,901.0,62.26,143401.0,0.39,화학,1.2288297872340426,LOW
KPX홀딩스,2019,8,0.2791239786718224,4662803.333333333,1297011945.4761906,0.3597976258187877,소외주,901.0,59.71,143401.0,0.38,화학,1.1825531914893614,LOW
KPX홀딩스,2019,9,0.20356735215210933,4520648.368421053,1366227666.631579,0.3305468144199756,소외주,901.0,60.6,143401.0,0.38,화학,1.2070212765957447,LOW
KPX홀딩스,2019,10,0.24437550507190425,4421096.380952381,1382344362.4761906,0.3197189769367066,소외주,901.0,60.71,143401.0,0.38,화학,1.2218085106382977,LOW
KPX홀딩스,2019,12,0.3405965848972908,5065497.6,1442768030.8,0.3508687773816782,소외주,901.0,60.38,143401.0,0.38,화학,1.2323404255319146,LOW
KPX홀딩스,2020,4,0.4994027901982793,10802955.45,1243969280.2,0.8701321292741879,소외주,901.0,49.0,143401.0,0.31,화학,1.1198958333333338,LOW
