,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
39,002600,조흥,281000,-2000,-0.71,284000,284000,277500,106,29829000,168600000000,600000,2017,10,0.017666666666666667,0.017692170818505337
40,005725,넥센우,5310,-20,-0.38,5230,5350,5220,650,3410310,19119186000,3600600,2017,10,0.01805254679775593,0.0178371087555715
41,002100,경농,6130,-20,-0.33,6120,6160,6070,3922,23980850,132970427500,21691750,2017,10,0.018080606682263994,0.018034724299882395
42,003650,미창석유,87100,100,0.11,87000,87700,86600,318,27578500,151525431200,1739672,2017,10,0.01827930782354375,0.018200575165233386
43,001465,BYC우,171000,-500,-0.29,170000,171000,169000,40,6775500,36830835000,215385,2017,10,0.018571395408222485,0.018396270407662493
44,000430,대원강업,4080,25,0.62,4055,4090,4015,11584,47026935,252960000000,62000000,2017,10,0.018683870967741937,0.018590660578747628
45,003120,일성신약,137500,0,0.0,138000,138000,136000,504,68629000,365750000000,2660000,2017,10,0.018947368421052633,0.01876390977443609
46,004360,세방,13600,-150,-1.09,13650,13700,13550,3773,51443650,262598184000,19308690,2017,10,0.019540424544596244,0.019590253525896432
47,001880,삼호,16300,100,0.62,16350,16350,16100,3190,51710100,247430185800,15179766,2017,10,0.02101481669743789,0.02089886479808803
48,006570,대림통상,5470,80,1.48,5390,5600,5300,3480,18774650,83280750000,15225000,2017,10,0.022857142857142857,0.022543805141044
49,002070,남영비비안,7590,-10,-0.13,7600,7740,7590,1626,12387310,52127702550,6867945,2017,10,0.023675204154954648,0.023763391429189314
50,000590,CS홀딩스,81000,-600,-0.74,80500,81900,80500,282,22756100,93513042000,1154482,2017,10,0.024426539348383083,0.024334680503709846
51,004450,삼화왕관,54000,0,0.0,53800,54000,53300,556,29811700,116336466000,2154379,2017,10,0.025807901023914552,0.02562541310134004
52,006370,대구백화점,12250,0,0.0,12250,12300,12150,2812,34440600,132564734750,10821611,2017,10,0.02598504048981247,0.025980212659837874
53,126560,현대에이치씨엔,3650,10,0.27,3655,3655,3605,29991,108639130,411999575400,112876596,2017,10,0.02656972398423496,0.026368748048957336
54,015360,예스코,38000,-100,-0.26,38100,38200,37950,1632,62192900,228000000000,6000000,2017,10,0.0272,0.02727758771929825
55,026940,부국철강,2855,0,0.0,2855,2880,2835,5461,15560725,57100000000,20000000,2017,10,0.027305,0.027251707530647987
56,002780,진흥기업,1990,5,0.25,1985,2015,1965,39979,79358750,289252633180,145353082,2017,10,0.027504748746916833,0.02743579172557284
57,000850,화천기공,51900,100,0.19,51800,52100,51800,607,31508500,114180000000,2200000,2017,10,0.027590909090909093,0.027595463303555792
58,002300,한국제지,26450,-100,-0.38,26450,26600,26350,1399,36969900,132380901050,5004949,2017,10,0.027952332781013355,0.02792691370640886
