,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
0,083380,동북아13호,4990,-20,-0.4,4990,4990,4990,1,4990,7912443400,1585660,2019,01,6.306522205264685e-05,6.306522205264685e-05
1,083370,동북아12호,5000,0,0.0,5000,5000,5000,2,10000,7928300000,1585660,2019,01,0.0001261304441052937,0.0001261304441052937
2,004365,세방우,6390,-10,-0.16,6300,6390,6300,16,101160,23574307500,3689250,2019,01,0.0004336924849224097,0.0004291112262788631
3,155900,바다로19호,2900,30,1.05,2905,2905,2900,166,481405,44080011600,15200004,2019,01,0.0010921049757618485,0.0010921163187715677
4,023450,동남합성,59000,0,0.0,59500,59500,59000,33,1959400,77934398000,1320922,2019,01,0.0024982550067301477,0.002514165824441218
5,002600,조흥,180500,1500,0.84,181500,181500,179000,18,3238500,108300000000,600000,2019,01,0.003,0.002990304709141274
6,015360,예스코홀딩스,41300,150,0.36,41150,41300,41050,186,7656250,247800000000,6000000,2019,01,0.0031000000000000003,0.003089689265536723
7,000760,이화산업,20200,150,0.75,20600,20600,19700,90,1801350,56560000000,2800000,2019,01,0.0032142857142857142,0.003184847949080622
8,005725,넥센우,3750,-5,-0.13,3795,3795,3700,134,502490,13502250000,3600600,2019,01,0.0037216019552296837,0.0037215278934992313
9,019685,대교우B,4495,20,0.45,4475,4495,4470,934,4182545,87324320050,19426990,2019,01,0.004807744277420228,0.0047896679843658285
10,092230,KPX홀딩스,59600,-100,-0.17,59800,59800,59400,250,14914700,251788901600,4224646,2019,01,0.005917655585817131,0.0059234938097843465
11,004080,신흥,10100,0,0.0,10100,10200,10050,657,6654150,96960000000,9600000,2019,01,0.00684375,0.006862778465346535
12,017390,서울가스,83600,-100,-0.12,84900,84900,83300,353,29521600,418000000000,5000000,2019,01,0.0070599999999999994,0.007062583732057416
13,000087,하이트진로2우B,14550,100,0.69,14500,14550,14500,86,1249250,16443507900,1130138,2019,01,0.007609690144035507,0.007597223217802571
14,001275,부국증권우,19500,50,0.26,19200,19500,19200,234,4497200,58500000000,3000000,2019,01,0.0078,0.007687521367521367
15,152550,한국ANKOR유전,1750,0,0.0,1760,1760,1740,5587,9729510,122535000000,70020000,2019,01,0.007979148814624394,0.00794018851756641
16,007340,디티알오토모티브,30900,250,0.82,30650,31300,30650,850,26348950,308814754500,9994005,2019,01,0.008505098806734637,0.008532283388681158
17,000157,두산2우B,76500,-400,-0.52,75400,76700,75100,84,6357800,75404902500,985685,2019,01,0.008521992320061683,0.008431547272407122
18,008870,금비,66000,0,0.0,66400,66400,65500,87,5726600,66000000000,1000000,2019,01,0.0087,0.008676666666666668
19,004450,삼화왕관,46950,50,0.11,46900,46950,46600,191,8921350,101148094050,2154379,2019,01,0.008865663840949061,0.008820087104745598
20,003120,일성신약,95600,800,0.84,94800,95700,94800,242,23047400,254296000000,2660000,2019,01,0.009097744360902256,0.009063217667599962
21,004250,NPC,3880,-30,-0.77,3890,3920,3875,3605,14023310,142473600000,36720000,2019,01,0.009817538126361656,0.00984274279585832
22,009770,삼정펄프,36950,600,1.65,36300,37000,35750,252,9129000,92373928450,2499971,2019,01,0.01008011692935638,0.00988265861718908
23,001725,신영증권우,55200,0,0.0,55300,55300,54900,729,40184400,389367717600,7053763,2019,01,0.01033490918251719,0.010320424160402969
24,003650,미창석유,77000,-100,-0.13,77500,77500,76300,183,14047700,133954744000,1739672,2019,01,0.01051922431354876,0.010486899963766868
25,006570,대림통상,4450,-150,-3.26,4600,4600,4405,1661,7465365,67751250000,15225000,2019,01,0.01090968801313629,0.011018785631261416
26,016800,퍼시스,30400,0,0.0,30350,30600,30300,1296,39391200,349600000000,11500000,2019,01,0.011269565217391305,0.011267505720823799
27,005305,롯데칠성우,637000,-1000,-0.16,638000,638000,632000,9,5713000,49387247000,77531,2019,01,0.011608259921837717,0.011567763637442679
28,023000,삼원강재,3005,-15,-0.5,3020,3020,2960,5367,15954400,120200000000,40000000,2019,01,0.013417499999999999,0.013273211314475874
29,000075,삼양홀딩스우,47750,-350,-0.73,47850,48250,47750,41,1965850,14518769500,304058,2019,01,0.013484269448592044,0.013540059300479976
30,000140,하이트진로홀딩스,7770,-40,-0.51,7730,7840,7700,3501,27136040,180316564050,23206765,2019,01,0.015086118207341697,0.01504911106917246
31,004255,NPC우,2295,50,2.23,2290,2300,2250,811,1846165,12117600000,5280000,2019,01,0.015359848484848483,0.015235401399617087
32,001270,부국증권,20900,0,0.0,20900,21350,20850,1674,35011450,216730617400,10369886,2019,01,0.01614289684573196,0.016154362692273674
33,000590,CS홀딩스,64200,-400,-0.62,64900,64900,63300,203,12990200,74117744400,1154482,2019,01,0.01758364357348144,0.017526437299405995
34,058650,세아홀딩스,96400,100,0.1,96300,97600,96000,757,72906900,385600000000,4000000,2019,01,0.018925,0.018907391078838175
35,001790,대한제당,20100,0,0.0,20450,20450,19950,1780,35715450,177684040200,8840002,2019,01,0.020135742050737093,0.020100539114148306
36,000680,LS네트웍스,2835,5,0.18,2830,2870,2815,16939,47989835,223406550360,78803016,2019,01,0.021495370177202353,0.02148094356350277
37,140890,트러스제7호,3150,100,3.28,2995,3245,2995,2211,6623425,30510900000,9686000,2019,01,0.02282676027255833,0.021708389460815644
38,001880,삼호,15500,200,1.31,15950,16000,15200,3513,55301200,235286373000,15179766,2019,01,0.02314264923451389,0.023503783621161945
39,268280,미원에스씨,64400,700,1.1,63700,64400,63500,1210,77568600,336250174400,5221276,2019,01,0.023174411772141523,0.023068716659675283
40,037710,광주신세계,199000,-500,-0.25,202000,202000,198000,375,74784500,318400000000,1600000,2019,01,0.0234375,0.023487594221105527
41,02826K,삼성물산우B,73500,100,0.14,74000,74000,72900,388,28463800,119616840000,1627440,2019,01,0.02384112471120287,0.023795813365409084
42,117580,대성에너지,5310,10,0.19,5290,5310,5280,7109,37691160,146025000000,27500000,2019,01,0.025850909090909088,0.02581144324601952
43,101060,SBS미디어홀딩스,2265,-5,-0.22,2295,2310,2265,36217,82875355,316864870350,139896190,2019,01,0.02588848202370629,0.026154794284534672
44,009970,영원무역홀딩스,61600,0,0.0,61600,62600,60900,3532,216743400,839952467200,13635592,2019,01,0.025902799086390968,0.025804245890546505
45,28513K,SK케미칼우,24300,50,0.21,24300,24400,24000,382,9267750,35445681000,1458670,2019,01,0.026188239972029313,0.026146344881905356
