회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률
(주)세영디앤씨,52190,17-Dec,3789403,11649229,2157486,7473240,32.52921717
(주)세운메디칼,100700,16-Dec,21890775,56620143,17188496,52726295,38.66252157
(주)세운메디칼,100700,17-Dec,23588825,61230473,19469725,56329261,38.52464932
(주)세원물산,24830,16-Dec,10110590,76143049,10110590,76143049,13.27841495
(주)세원물산,24830,17-Dec,12676276,71892127,12676276,71892127,17.63235632
(주)세중,39310,16-Dec,47660600,255119356,26753389,65609916,18.68168717
(주)세중,39310,17-Dec,38489028,158350962,21466414,29646868,24.30615357
(주)세진티에스,67770,16-Dec,2506284,32632699,2122910,22803459,7.680284122
(주)세진티에스,67770,17-Dec,704341,22828076,-4712,13607354,3.085415521
(주)세코닉스,53450,16-Dec,57966888,312527836,52307894,313953544,18.54775202
(주)세코닉스,53450,17-Dec,44727521,331101709,40647589,321574557,13.5086953
(주)세토피아,222810,16-Dec,2333665,14763962,2333665,14763962,15.80649557
(주)세토피아,222810,17-Dec,3942527,14909489,3942527,14909489,26.4430726
(주)세화피앤씨,252500,16-Dec,0,0,,,#DIV/0!
(주)세화피앤씨,252500,17-Dec,16189593,32928605,16189593,32928605,49.16574207
(주)셀루메드,49180,16-Dec,606706,9813992,2285017,10044283,6.182051096
(주)셀루메드,49180,17-Dec,8677814,21608625,7581574,18382473,40.15902909
(주)셀바스에이아이,108860,16-Dec,35440728,35440728,13797102,13797102,100
(주)셀바스에이아이,108860,17-Dec,46866565,46866565,17824699,17824699,100
(주)셀바스헬스케어,208370,16-Dec,9169581,23086797,7332075,20575800,39.71785692
(주)셀바스헬스케어,208370,17-Dec,12925018,29575768,11516169,28175434,43.70137742
(주)셀트리온제약,68760,16-Dec,41960592,104811184,40871430,101569415,40.03446044
(주)셀트리온제약,68760,17-Dec,58285611,135860256,57465542,129529518,42.9011491
(주)셀트리온헬스케어,91990,16-Dec,226944010,756437354,219493215,746172958,30.00169265
(주)셀트리온헬스케어,91990,17-Dec,235304179,921499987,206289043,923764212,25.53490855
(주)셀피글로벌,68940,16-Dec,6263305,24657740,6263305,24657740,25.40096943
(주)셀피글로벌,68940,17-Dec,6170981,27191581,6169191,27189791,22.69445458
(주)소리바다,53110,16-Dec,39250560,39250560,27664565,27664565,100
(주)소리바다,53110,17-Dec,54007575,54007575,26193983,26193983,100
(주)소프트센,32680,16-Dec,14590952,115742385,14590952,115742385,12.60640344
(주)소프트센,32680,17-Dec,13692122,142514026,13692122,142514026,9.607561013
(주)손오공,66910,16-Dec,25292934,129315003,21430470,123715302,19.55916438
(주)손오공,66910,17-Dec,10239680,104074946,6695290,98724379,9.838756006
(주)솔고바이오메디칼,43100,16-Dec,6337267,23721925,4609671,19645066,26.71480919
(주)솔고바이오메디칼,43100,17-Dec,5769774,23210535,3908482,19591331,24.85842743
(주)솔루에타,154040,16-Dec,20453007,140395878,6409543,49594338,14.56809651
(주)솔루에타,154040,17-Dec,24946491,155927912,9947467,41819776,15.99873344
(주)솔본,35610,16-Dec,46403310,79000441,3050674,3515751,58.7380392
(주)솔본,35610,17-Dec,40056238,74108667,2819935,3161733,54.05067939
(주)쇼박스,86980,16-Dec,25353291,125931981,25355995,125931981,20.13252773
(주)쇼박스,86980,17-Dec,20238417,102706678,20238417,102706678,19.70506436
(주)수산아이앤티,50960,16-Dec,16254773,16254773,16254773,16254773,100
(주)수산아이앤티,50960,17-Dec,16391345,16391345,16391345,16391345,100
(주)슈프리마,236200,16-Dec,20733111,42182326,20682473,42100257,49.15118005
(주)슈프리마,236200,17-Dec,25026293,47062107,24783385,46768748,53.17716225
(주)슈프리마에이치큐,94840,16-Dec,12063151,32115990,8171285,26724206,37.56119927
(주)슈프리마에이치큐,94840,17-Dec,9990204,28628445,5407648,18014490,34.89607626
(주)슈피겐코리아,192440,16-Dec,122631715,179260110,75483148,130791110,68.40992957
(주)슈피겐코리아,192440,17-Dec,158647716,224993661,95585638,162891118,70.51208256
(주)스마트솔루션즈,136510,16-Dec,4711437,12497160,4728122,12513845,37.70006145
(주)스마트솔루션즈,136510,17-Dec,10336486,25027290,10327495,25018220,41.30085998
(주)스맥,99440,16-Dec,24797593,122781553,24134955,122369486,20.19651356
(주)스맥,99440,17-Dec,28130145,161130468,27805050,161850280,17.45799249
