회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도2019
(주)네오티스,85910,19-Dec,5625000,20135673,1491469,84509470,7071600,20835673,1968623,86911739,0.343749836
(주)네오팜,92730,19-Dec,4000000,400000,276281,123245965,4000000,400000,276281,122741537,0.038098602
(주)네오펙트,290660,19-Dec,3000000,500000,3646737,43811943,3000000,1000000,4758051,47016455,0.186276294
(주)네온테크,306620,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)네이블커뮤니케이션즈,153460,19-Dec,0,0,0,25949215,0,0,0,25949215,0
(주)네이처셀,7390,19-Dec,23000,2240000,996000,93110328,23000,2240000,996000,93110328,0.035001488
(주)네패스,33640,19-Dec,87743000,27000000,10688000,392537623,100118000,39972000,15188000,521648374,0.297667946
(주)넥스턴바이오사이언스,89140,19-Dec,0,0,0,105169657,0,0,0,105169657,0
(주)넥스트아이,137940,19-Dec,0,21900000,21395617,99320936,800000,21900000,21575277,174552667,0.25364996
(주)넥스트엔터테인먼트월드,160550,19-Dec,10125000,34100000,6845218,212129385,18051373,43900000,7883333,313341346,0.222871022
(주)넥슨게임즈,225570,19-Dec,0,0,0,72946033,0,0,0,72946033,0
(주)넵튠,217270,19-Dec,0,600000,0,113005518,0,1700000,0,115667487,0.014697302
(주)노랑풍선,104620,19-Dec,0,14000000,0,114665477,0,14300000,0,114981929,0.124367369
(주)노바렉스,194700,19-Dec,19500000,0,0,155770082,19500000,0,0,154372405,0.126317913
(주)노바텍,285490,19-Dec,0,0,0,44428906,0,0,0,39961029,0
(주)노블엠앤비,106520,19-Dec,736400,1749057,420720,93644281,867433,4576535,4418112,106373832,0.092711523
(주)노터스,278650,19-Dec,5690000,0,0,57879362,5690000,210000,0,61530652,0.095887169
(주)녹십자셀,31390,19-Dec,0,0,0,151786870,0,0,0,153721997,0
(주)녹십자엠에스,142280,19-Dec,0,3000000,3000000,85901362,575000,3000000,3210000,88866125,0.076350803
(주)녹십자웰빙,234690,19-Dec,0,0,0,106715710,0,0,0,106715710,0
(주)녹원씨엔아이,65560,19-Dec,763013,6951872,15540951,88797759,3457576,7664396,15619454,103930553,0.257300911
(주)누리플랜,69140,19-Dec,7800000,5637498,250000,53279801,12373812,11301635,23602918,117532072,0.402259266
(주)누리플렉스,40160,19-Dec,0,15990000,6934333,115319472,0,23561035,6934334,128558142,0.237210717
(주)누보,332290,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)뉴로스,126870,19-Dec,1049880,15886000,349960,149424050,8832120,16045422,3155624,168006215,0.166857911
(주)뉴보텍,60260,19-Dec,3111250,4164089,17000,46232673,3111250,4164089,17000,46232673,0.157731287
(주)뉴인텍,12340,19-Dec,0,9610754,0,46884561,0,9610754,0,49776532,0.193078015
(주)뉴트리,270870,19-Dec,0,0,0,72505084,0,0,0,77528522,0
(주)뉴파워프라즈마,144960,19-Dec,0,4000000,0,150733648,0,4000000,0,150094736,0.026649835
(주)뉴프렉스,85670,19-Dec,9716570,18329537,5803720,116796779,19893970,23821187,9206220,137433890,0.385067882
(주)다나와,119860,19-Dec,0,300000,0,119918686,766840,300000,99960,154181938,0.007567683
(주)다날,64260,19-Dec,126666667,25000000,10400000,482001222,153652029,26502500,12996705,512017556,0.377235569
(주)다보링크,340360,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)다산네트웍스,39560,19-Dec,2522090,19399486,1866560,251398349,2522090,40886990,16925333,453482793,0.133046753
