,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율2019
408,408,(주)미코,59090,18-Dec,158247633,46993785.0,
409,409,(주)미코,59090,19-Dec,168047919,53072273.0,6.193006375014787
410,410,(주)미투온,201490,18-Dec,51320508,7425821.0,
411,411,(주)미투온,201490,19-Dec,78097009,12571101.0,52.17505056652985
412,412,(주)바른손,18700,18-Mar,9759908,7930267.0,
413,413,(주)바른손,18700,19-Mar,24183770,22113121.0,147.7868643843774
414,414,(주)바른손이앤에이,35620,18-Dec,37083357,32169118.0,
415,415,(주)바른손이앤에이,35620,19-Dec,9569152,9139878.0,-74.19556163698988
416,416,(주)바른전자,64520,18-Dec,40467621,37857241.0,
417,417,(주)바른전자,64520,19-Dec,44238391,42514434.0,9.317992772542771
418,418,(주)바이넥스,53030,18-Dec,59262452,53600691.0,
419,419,(주)바이넥스,53030,19-Dec,73832945,67767670.0,24.586382284688458
420,420,(주)바이오니아,64550,18-Dec,31168929,30518813.0,
421,421,(주)바이오니아,64550,19-Dec,43023301,37331526.0,38.03265745832973
422,422,(주)바이오로그디바이스,208710,18-Dec,42415493,37180859.0,
423,423,(주)바이오로그디바이스,208710,19-Dec,35740620,23450207.0,-15.736874731127138
424,424,(주)바이오솔루션,86820,18-Dec,48486251,48486251.0,
425,425,(주)바이오솔루션,86820,19-Dec,44792853,44792853.0,-7.617413027045538
426,426,(주)바이오스마트,38460,18-Dec,62994048,25636215.0,
427,427,(주)바이오스마트,38460,19-Dec,102267146,48548024.0,62.34414083057498
428,428,(주)바이오톡스텍,86040,18-Dec,15862206,13020322.0,
429,429,(주)바이오톡스텍,86040,19-Dec,17177529,15857277.0,8.29218205840978
430,430,(주)바텍,43150,18-Dec,162979276,137856587.0,
431,431,(주)바텍,43150,19-Dec,187276430,155054371.0,14.90812488331339
432,432,(주)배럴,267790,18-Dec,34794424,34164449.0,
433,433,(주)배럴,267790,19-Dec,38445796,36147474.0,10.49412974906554
434,434,(주)백금티앤에이,46310,18-Dec,51032421,34632743.0,
435,435,(주)백금티앤에이,46310,19-Dec,73876811,30289987.0,44.764464535202045
436,436,(주)버킷스튜디오,66410,18-Dec,20081495,20081495.0,
437,437,(주)버킷스튜디오,66410,19-Dec,15860237,15860237.0,-21.020636162795647
438,438,(주)베노홀딩스,206400,18-Dec,18125643,17041859.0,
439,439,(주)베노홀딩스,206400,19-Dec,29918799,30051300.0,65.06338009636403
440,440,(주)베셀,177350,18-Dec,56380519,55843449.0,
441,441,(주)베셀,177350,19-Dec,58913694,52102605.0,4.492996951659856
442,442,(주)베스파,299910,18-Dec,104089218,98653972.0,
443,443,(주)베스파,299910,19-Dec,61401945,54987139.0,-41.010273513631354
444,444,(주)보광산업,225530,18-Dec,41686984,41686984.0,
445,445,(주)보광산업,225530,19-Dec,34338872,34338872.0,-17.62687365437615
446,446,(주)보라티알,250000,18-Dec,39816369,38324095.0,
447,447,(주)보라티알,250000,19-Dec,57249580,55468666.0,43.78403013092429
448,448,(주)본느,226340,18-Dec,24501139,22272312.0,
449,449,(주)본느,226340,19-Dec,28557672,26542989.0,16.5565078423497
450,450,(주)부-스타,8470,18-Dec,58405885,58405885.0,
451,451,(주)부-스타,8470,19-Dec,65939756,65939756.0,12.899164185252898
452,452,(주)부방,14470,18-Dec,85737219,15104868.0,
453,453,(주)부방,14470,19-Dec,88146204,13394184.0,2.809730742491201
454,454,(주)뷰웍스,100120,18-Dec,106718340,100603210.0,
455,455,(주)뷰웍스,100120,19-Dec,124410859,118628842.0,16.578705215991917
456,456,(주)브리지텍,64480,18-Dec,34410478,34410478.0,
457,457,(주)브리지텍,64480,19-Dec,21518962,21518962.0,-37.46392595883149
458,458,(주)브이원텍,251630,18-Dec,70198722,69695065.0,
459,459,(주)브이원텍,251630,19-Dec,62998597,62440132.0,-10.256775044992983
460,460,(주)브이티지엠피,18290,18-Dec,77398791,19646877.0,
461,461,(주)브이티지엠피,18290,19-Dec,90563573,68989745.0,17.009027957555567
462,462,(주)블루베리엔에프티,44480,18-Dec,47281801,43444194.0,
463,463,(주)블루베리엔에프티,44480,19-Dec,94040537,38495642.0,98.89372868854976
464,464,(주)블루콤,33560,18-Dec,106325493,106055351.0,
465,465,(주)블루콤,33560,19-Dec,29030423,31888013.0,-72.69664858266869
466,466,(주)비덴트,121800,18-Dec,60900140,59843864.0,
467,467,(주)비덴트,121800,19-Dec,46880562,46286632.0,-23.020600609456732
468,468,(주)비보존헬스케어,82800,18-Dec,50061192,50061192.0,
469,469,(주)비보존헬스케어,82800,19-Dec,145512428,144625009.0,190.66912349989587
470,470,(주)비씨월드제약,200780,18-Dec,42945827,39496075.0,
471,471,(주)비씨월드제약,200780,19-Dec,33845690,32289799.0,-21.189805007131422
472,472,(주)비아트론,141000,18-Dec,125242524,119968058.0,
473,473,(주)비아트론,141000,19-Dec,92029540,87945762.0,-26.51893537373935
474,474,(주)비에이치,90460,18-Dec,242169817,250920261.0,
475,475,(주)비에이치,90460,19-Dec,232725404,248435015.0,-3.8999133405629993
476,476,(주)비엔지티,32790,18-Dec,31103975,24833463.0,
477,477,(주)비엔지티,32790,19-Dec,20872424,13003619.0,-32.89467343000372
478,478,(주)비엘,142760,18-Dec,69232528,17585781.0,
479,479,(주)비엘,142760,19-Dec,66552062,14888281.0,-3.8716858641937746
480,480,(주)비엘팜텍,65170,18-Dec,57288990,37208152.0,
481,481,(주)비엘팜텍,65170,19-Dec,40276739,30667415.0,-29.695498210040007
482,482,(주)비엠티,86670,18-Dec,63640168,63576069.0,
483,483,(주)비엠티,86670,19-Dec,70169687,70156974.0,10.260059338623995
484,484,(주)비올,335890,19-Dec,0,,
485,485,(주)비즈니스온커뮤니케이션,138580,18-Dec,37039298,37039298.0,
486,486,(주)비즈니스온커뮤니케이션,138580,19-Dec,59382579,59382579.0,60.32317621138501
487,487,(주)비츠로셀,82920,18-Dec,51947168,52400031.0,
488,488,(주)비츠로셀,82920,19-Dec,72077281,71448565.0,38.75112691417557
489,489,(주)비츠로시스,54220,18-Mar,46852663,46852663.0,
490,490,(주)비츠로시스,54220,19-Mar,5389334,5389334.0,-88.49727282310505
491,491,(주)비츠로테크,42370,18-Jun,136540404,13574501.0,
492,492,(주)비츠로테크,42370,19-Dec,159338250,16994021.0,16.696776435493767
493,493,(주)비케이홀딩스,50090,18-Dec,25386015,25580112.0,
494,494,(주)비케이홀딩스,50090,19-Dec,35834666,35417797.0,41.159083062071765
495,495,(주)비투엔,307870,18-Dec,0,,
496,496,(주)비투엔,307870,19-Dec,0,,
497,497,(주)비트컴퓨터,32850,18-Dec,19560300,19374203.0,
498,498,(주)비트컴퓨터,32850,19-Dec,22834483,22705119.0,16.738920159711256
499,499,(주)비피도,238200,18-Dec,34064604,34064604.0,
500,500,(주)비피도,238200,19-Dec,18137702,18030160.0,-46.75498943125832
501,501,(주)빅솔론,93190,18-Dec,127204824,117524326.0,
502,502,(주)빅솔론,93190,19-Dec,120064908,113854448.0,-5.612928641762826
503,503,(주)빅텍,65450,18-Dec,29691947,29691947.0,
504,504,(주)빅텍,65450,19-Dec,58507577,58507577.0,97.04863746388878
505,505,(주)사람인에이치알,143240,18-Dec,47611890,42040367.0,
506,506,(주)사람인에이치알,143240,19-Dec,72405949,66022541.0,52.07535134606083
507,507,(주)삼기,122350,18-Dec,104817426,109680400.0,
508,508,(주)삼기,122350,19-Dec,119678275,127812582.0,14.177841955401572
509,509,(주)삼보판지,23600,18-Dec,160015157,57167707.0,
510,510,(주)삼보판지,23600,19-Dec,130316806,38330009.0,-18.559711190359295
511,511,(주)삼양옵틱스,225190,18-Dec,27390311,27329604.0,
512,512,(주)삼양옵틱스,225190,19-Dec,30361599,30257428.0,10.847952766947412
513,513,(주)삼일,32280,18-Dec,18114499,18114499.0,
514,514,(주)삼일,32280,19-Dec,15955363,15955363.0,-11.91938016061057
515,515,(주)삼일기업공사,2290,18-Dec,52881080,52881080.0,
516,516,(주)삼일기업공사,2290,19-Dec,61295342,61295342.0,15.91166821857648
517,517,(주)삼진,32750,18-Dec,40052429,30113683.0,
518,518,(주)삼진,32750,19-Dec,57422007,40981930.0,43.367102654373355
519,519,(주)삼진엘앤디,54090,18-Dec,93151222,69615118.0,
520,520,(주)삼진엘앤디,54090,19-Dec,92067629,61637864.0,-1.1632622489912148
521,521,(주)삼표시멘트,38500,18-Dec,232279779,207718827.0,
522,522,(주)삼표시멘트,38500,19-Dec,219605709,201650479.0,-5.45638111701493
523,523,(주)삼화네트웍스,46390,18-Dec,39104676,38018499.0,
524,524,(주)삼화네트웍스,46390,19-Dec,22065880,21842363.0,-43.57227253334103
525,525,(주)상보,27580,18-Dec,76791567,47931827.0,
526,526,(주)상보,27580,19-Dec,73605090,63648259.0,-4.149514229863282
527,527,(주)상상인,38540,18-Dec,2088914182,111547130.0,
528,528,(주)상상인,38540,19-Dec,2776704979,46977957.0,32.92575649716183
529,529,(주)상상인인더스트리,101000,18-Dec,42236780,42236780.0,
530,530,(주)상상인인더스트리,101000,19-Dec,37536008,37476389.0,-11.129570009835032
531,531,(주)상아프론테크,89980,18-Dec,124765324,95213210.0,
532,532,(주)상아프론테크,89980,19-Dec,131580936,92774252.0,5.462745401919533
533,533,(주)상지카일룸,42940,18-Dec,101377776,95836794.0,
534,534,(주)상지카일룸,42940,19-Dec,48871752,55642708.0,-51.79244018925805
535,535,(주)새로닉스,42600,18-Dec,61108477,25835438.0,
536,536,(주)새로닉스,42600,19-Dec,60632217,23258380.0,-0.779368139055403
537,537,(주)서남,294630,18-Dec,5604182,5604182.0,
538,538,(주)서남,294630,19-Dec,4575383,4575383.0,-18.357701445099394
539,539,(주)서린바이오사이언스,38070,18-Dec,32770378,30350427.0,
540,540,(주)서린바이오사이언스,38070,19-Dec,43803199,41730852.0,33.66705443556373
541,541,(주)서부티엔디,6730,18-Dec,141016190,141016190.0,
542,542,(주)서부티엔디,6730,19-Dec,111977785,111977785.0,-20.592249017648257
543,543,(주)서산,79650,18-Dec,45111072,11770859.0,
544,544,(주)서산,79650,19-Dec,43954987,11442124.0,-2.5627522218935495
545,545,(주)서연탑메탈,19770,18-Dec,79797237,66316386.0,
546,546,(주)서연탑메탈,19770,19-Dec,74707978,64987277.0,-6.377738367056496
547,547,(주)서울리거,43710,18-Dec,50286595,52397740.0,
548,548,(주)서울리거,43710,19-Dec,76680559,29813150.0,52.487077321500884
549,549,(주)서울옥션,63170,18-Dec,143289343,81012421.0,
550,550,(주)서울옥션,63170,19-Dec,107471142,82240886.0,-24.997114405081756
551,551,(주)서울제약,18680,18-Dec,25050463,25050463.0,
552,552,(주)서울제약,18680,19-Dec,25218659,25218659.0,0.6714287077248748
553,553,(주)서원인텍,93920,18-Dec,135036447,115643064.0,
554,554,(주)서원인텍,93920,19-Dec,143562212,119743343.0,6.313676929014589
555,555,(주)서전기전,189860,18-Dec,23129822,23129822.0,
556,556,(주)서전기전,189860,19-Dec,26251797,26251797.0,13.497617923734984
557,557,(주)서진시스템,178320,18-Dec,154415445,173257000.0,
558,558,(주)서진시스템,178320,19-Dec,215563115,165601331.0,39.59945198487107
559,559,(주)서진오토모티브,122690,18-Dec,286027062,57749823.0,
560,560,(주)서진오토모티브,122690,19-Dec,294879671,47487060.0,3.0950249735460345
561,561,(주)서플러스글로벌,140070,18-Dec,141258375,132090014.0,
562,562,(주)서플러스글로벌,140070,19-Dec,125784277,117333033.0,-10.954464115844454
563,563,(주)서한,11370,18-Dec,374195200,374195200.0,
564,564,(주)서한,11370,19-Dec,379104068,379104068.0,1.31184686495176
565,565,(주)서희건설,35890,18-Dec,553814507,537249998.0,
566,566,(주)서희건설,35890,19-Dec,651383889,632202559.0,17.617700650084277
567,567,(주)선광,3100,18-Dec,75421669,42359622.0,
568,568,(주)선광,3100,19-Dec,54478363,20708462.0,-27.76828765218654
569,569,(주)선익시스템,171090,18-Dec,80791948,79838254.0,
570,570,(주)선익시스템,171090,19-Dec,78160199,77420558.0,-3.2574397141655775
571,571,(주)성광벤드,14620,18-Dec,240743909,225117060.0,
572,572,(주)성광벤드,14620,19-Dec,243293199,226544149.0,1.0589219102527636
573,573,(주)성도이엔지,37350,18-Dec,359369384,203213765.0,
574,574,(주)성도이엔지,37350,19-Dec,365648152,182700463.0,1.7471627466183914
575,575,(주)성우하이텍,15750,18-Dec,1415343882,756957063.0,
576,576,(주)성우하이텍,15750,19-Dec,1474684694,726478218.0,4.192678030737418
577,577,(주)성창오토텍,80470,18-Dec,64584843,46100316.0,
578,578,(주)성창오토텍,80470,19-Dec,62338368,42286083.0,-3.478331595541695
579,579,(주)세경하이테크,148150,18-Dec,86579201,99819422.0,
580,580,(주)세경하이테크,148150,19-Dec,86723597,116085039.0,0.166779085891533
581,581,(주)세동,53060,18-Dec,38748344,31639872.0,
582,582,(주)세동,53060,19-Dec,41008059,31510667.0,5.831771804235042
583,583,(주)세림비앤지,340440,19-Dec,0,,
584,584,(주)세보엠이씨,11560,18-Dec,190801811,182817589.0,
585,585,(주)세보엠이씨,11560,19-Dec,234335685,229079737.0,22.81627924380656
586,586,(주)세영디앤씨,52190,18-Dec,28741264,5621908.0,
587,587,(주)세영디앤씨,52190,19-Dec,16876368,16351235.0,-41.28174738591872
588,588,(주)세운메디칼,100700,18-Dec,57419717,49444220.0,
589,589,(주)세운메디칼,100700,19-Dec,61287482,64511254.0,6.735952739021678
590,590,(주)세원물산,24830,18-Dec,41916202,41916202.0,
591,591,(주)세원물산,24830,19-Dec,58896239,58896239.0,40.50948365980296
592,592,(주)세종메디칼,258830,18-Dec,23919198,24129958.0,
593,593,(주)세종메디칼,258830,19-Dec,23201228,23794552.0,-3.0016474632636125
594,594,(주)세중,39310,18-Dec,90718420,32796622.0,
595,595,(주)세중,39310,19-Dec,91251878,35104040.0,0.5880371373310878
596,596,(주)세진티에스,67770,18-Dec,25573807,21447175.0,
597,597,(주)세진티에스,67770,19-Dec,26834954,22652623.0,4.931401101134458
598,598,(주)세코닉스,53450,18-Dec,195813157,218714474.0,
599,599,(주)세코닉스,53450,19-Dec,157814849,167818526.0,-19.405390619385187
600,600,(주)세토피아,222810,18-Dec,19553818,19553818.0,
601,601,(주)세토피아,222810,19-Dec,38577110,30745673.0,97.2868418842806
602,602,(주)세화피앤씨,252500,18-Dec,17409196,17409196.0,
603,603,(주)세화피앤씨,252500,19-Dec,16664934,16664934.0,-4.275108396734694
604,604,(주)셀루메드,49180,18-Dec,22832990,21881083.0,
605,605,(주)셀루메드,49180,19-Dec,41747376,12607039.0,82.83797260017194
606,606,(주)셀리드,299660,18-Dec,8239136,8239136.0,
607,607,(주)셀리드,299660,19-Dec,27038777,27038777.0,228.17490814570846
608,608,(주)셀리버리,268600,18-Dec,37640702,29617462.0,
609,609,(주)셀리버리,268600,19-Dec,28364365,28364365.0,-24.644431445513426
610,610,(주)셀바스에이아이,108860,18-Dec,29230177,13216748.0,
611,611,(주)셀바스에이아이,108860,19-Dec,40924899,18284008.0,40.00907007850141
612,612,(주)셀바스헬스케어,208370,18-Dec,16018281,14908240.0,
613,613,(주)셀바스헬스케어,208370,19-Dec,23655586,22763836.0,47.678680377750894
614,614,(주)셀트리온제약,68760,18-Dec,199960536,196812321.0,
615,615,(주)셀트리온제약,68760,19-Dec,188855498,188813980.0,-5.553614839280085
616,616,(주)셀트리온헬스케어,91990,18-Dec,2793376737,2762497288.0,
617,617,(주)셀트리온헬스케어,91990,19-Dec,2666271286,2572738577.0,-4.5502437718625615
618,618,(주)셀피글로벌,68940,18-Dec,19523843,17994895.0,
619,619,(주)셀피글로벌,68940,19-Dec,27588486,26489826.0,41.306637223009844
620,620,(주)소리바다,53110,18-Dec,25531724,13055936.0,
621,621,(주)소리바다,53110,19-Dec,13538444,9201753.0,-46.97403120917334
622,622,(주)소프트센,32680,18-Dec,58749288,58749288.0,
623,623,(주)소프트센,32680,19-Dec,55619234,55619234.0,-5.327816057958012
624,624,(주)손오공,66910,18-Dec,31153025,31353174.0,
625,625,(주)손오공,66910,19-Dec,35721539,35276698.0,14.664752459833363
626,626,(주)솔고바이오메디칼,43100,18-Dec,35598449,30678367.0,
627,627,(주)솔고바이오메디칼,43100,19-Dec,33730513,29197258.0,-5.247239844634799
628,628,(주)솔루에타,154040,18-Dec,115676538,25247785.0,
629,629,(주)솔루에타,154040,19-Dec,98305920,28026203.0,-15.016543804241444
630,630,(주)솔본,35610,18-Dec,112020533,14108512.0,
631,631,(주)솔본,35610,19-Dec,97686123,13513099.0,-12.796234418916752
632,632,(주)쇼박스,86980,18-Dec,138401243,137375159.0,
633,633,(주)쇼박스,86980,19-Dec,112081167,110948743.0,-19.017225155990836
634,634,(주)수산아이앤티,50960,18-Dec,39882811,39882811.0,
635,635,(주)수산아이앤티,50960,19-Dec,43939215,43939215.0,10.170807669499515
636,636,(주)수젠텍,253840,18-Dec,12898821,12898821.0,
637,637,(주)수젠텍,253840,19-Dec,32582956,32500261.0,152.6041411071601
638,638,(주)슈프리마,236200,18-Dec,82152533,81763541.0,
639,639,(주)슈프리마,236200,19-Dec,88271676,87983882.0,7.448514095116221
640,640,(주)슈프리마아이디,317770,18-Dec,20886269,16686694.0,
