,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율
84,(주)넥스트아이,137940,17-Dec,26394171,59482937,50.81900463
85,(주)넥스트엔터테인먼트월드,160550,16-Dec,103941613,125723993,
86,(주)넥스트엔터테인먼트월드,160550,17-Dec,57004350,94538544,-24.80469181
87,(주)넥슨게임즈,225570,16-Dec,,0,
88,(주)넥슨게임즈,225570,17-Dec,22407505,22407505,inf
89,(주)넵튠,217270,16-Dec,7345180,18335549,
90,(주)넵튠,217270,17-Dec,7112477,20528450,11.95983278
91,(주)노블엠앤비,106520,16-Dec,52251867,63662855,
92,(주)노블엠앤비,106520,17-Dec,55483850,60316673,-5.256097924
93,(주)녹십자셀,31390,16-Dec,11908637,28455734,
94,(주)녹십자셀,31390,17-Dec,19536787,19536787,-31.34323297
95,(주)녹십자엠에스,142280,16-Dec,86162555,86162555,
96,(주)녹십자엠에스,142280,17-Dec,98107431,98389224,14.19023496
97,(주)녹원씨엔아이,65560,16-Dec,3875841,3875841,
98,(주)녹원씨엔아이,65560,17-Dec,4347268,22075102,469.5564395
99,(주)누리플랜,69140,16-Dec,34411741,34411741,
100,(주)누리플랜,69140,17-Dec,34578601,35622763,3.519211655
101,(주)누리플렉스,40160,16-Dec,47591731,51323868,
102,(주)누리플렉스,40160,17-Dec,96144114,117558807,129.052898
103,(주)뉴로스,126870,16-Dec,42756080,44107101,
104,(주)뉴로스,126870,17-Dec,42061542,44781756,1.529583638
105,(주)뉴보텍,60260,16-Dec,35898522,35898522,
106,(주)뉴보텍,60260,17-Dec,41019670,41019670,14.26562353
107,(주)뉴인텍,12340,16-Dec,43567642,47895458,
108,(주)뉴인텍,12340,17-Dec,43807312,50296811,5.013738463
109,(주)뉴파워프라즈마,144960,16-Dec,67392792,67407272,
110,(주)뉴파워프라즈마,144960,17-Dec,104485987,104494422,55.01950887
111,(주)뉴프렉스,85670,16-Dec,144618199,145216489,
112,(주)뉴프렉스,85670,17-Dec,151335859,152715761,5.164201429
113,(주)다나와,119860,16-Dec,32392617,64407865,
114,(주)다나와,119860,17-Dec,42400067,107606286,67.07010239
115,(주)다날,64260,16-Dec,132304954,133477893,
116,(주)다날,64260,17-Dec,156323605,172882038,29.52110204
117,(주)다산네트웍스,39560,16-Dec,28309465,222842801,
118,(주)다산네트웍스,39560,17-Dec,29756967,307090231,37.80576695
119,(주)다우데이타,32190,16-Dec,107492139,1378367701,
120,(주)다우데이타,32190,17-Dec,151156995,1614385776,17.12301259
121,(주)다원시스,68240,16-Dec,72591838,74193619,
122,(주)다원시스,68240,17-Dec,115527028,111462046,50.23131032
123,(주)대동스틸,48470,16-Dec,68177746,68177746,
124,(주)대동스틸,48470,17-Dec,90505698,90505698,32.74961892
125,(주)대륙제관,4780,16-Dec,186222141,186222141,
126,(주)대륙제관,4780,17-Dec,197112543,197112543,5.84807045
127,(주)대림제지,17650,16-Dec,67430955,67430955,
128,(주)대림제지,17650,17-Dec,90533322,118019206,75.02229651
129,(주)대명소노시즌,7720,16-Dec,206149572,217451478,
130,(주)대명소노시즌,7720,17-Dec,219151391,235523369,8.310769449
131,(주)대성미생물연구소,36480,16-Dec,30801319,30801319,
132,(주)대성미생물연구소,36480,17-Dec,24043374,24043374,-21.94044028
133,(주)대성엘텍,25440,16-Dec,352277390,366692739,
134,(주)대성엘텍,25440,17-Dec,344500547,350575739,-4.395232926
135,(주)대성파인텍,104040,16-Dec,46924145,47677369,
136,(주)대성파인텍,104040,17-Dec,42539088,43233993,-9.319675337
137,(주)대원,7680,16-Dec,226695965,267470103,
138,(주)대원,7680,17-Dec,260757969,289919901,8.393385933
139,(주)대창솔루션,96350,16-Dec,36520316,49327918,
140,(주)대창솔루션,96350,17-Dec,30923027,42774854,-13.2846961
141,(주)대창스틸,140520,16-Dec,239314048,302662749,
142,(주)대창스틸,140520,17-Dec,244793248,318055221,5.08568433
143,(주)대한과학,131220,16-Dec,38812724,46070953,
