회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률2019
(주)삼화네트웍스,46390,18-Dec,12559043,0,11687665,0,#DIV/0!
(주)삼화네트웍스,46390,19-Dec,54197930,0,54011359,0,#DIV/0!
(주)상보,27580,18-Dec,127480778,15901675,64888592,8663118,8.016814455
(주)상보,27580,19-Dec,48850032,8666180,51309586,8795925,5.636858685
(주)상상인,38540,18-Dec,484381840,8754559,106664768,2256101,55.32909653
(주)상상인,38540,19-Dec,541349885,8127414,146837343,1242067,66.60788844
(주)상상인인더스트리,101000,18-Dec,65812303,6498458,65812303,6498458,10.12737222
(주)상상인인더스트리,101000,19-Dec,32880655,6885347,32880655,6885347,4.775453583
(주)상아프론테크,89980,18-Dec,182073848,31380410,138321432,18056468,5.802150068
(주)상아프론테크,89980,19-Dec,186171234,24305560,126278228,16517426,7.659615084
(주)상지카일룸,42940,18-Dec,31021854,73939475,31021554,36514517,0.419557402
(주)상지카일룸,42940,19-Dec,104940554,23209,60056755,23209,4521.545693
(주)새로닉스,42600,18-Dec,142092261,14600055,64536776,2743449,9.732309981
(주)새로닉스,42600,19-Dec,163776250,14553930,62819666,3795423,11.25306017
(주)서남,294630,18-Dec,4854015,1790460,4854015,1790460,2.711043531
(주)서남,294630,19-Dec,1413311,2251125,1413311,2251125,0.62782431
(주)서린바이오사이언스,38070,18-Dec,49876621,15109166,45833302,14167907,3.30108366
(주)서린바이오사이언스,38070,19-Dec,54409607,12029975,50515306,11270524,4.522836249
(주)서부티엔디,6730,18-Dec,108104729,559151,108104729,559151,193.337272
(주)서부티엔디,6730,19-Dec,127936628,656831,127936628,656831,194.7786082
(주)서산,79650,18-Dec,83413069,7558681,30968605,1541364,11.03540009
(주)서산,79650,19-Dec,52401645,6676110,24150444,1138277,7.84912846
(주)서연탑메탈,19770,18-Dec,146950981,4570186,119877430,1636871,32.15426703
(주)서연탑메탈,19770,19-Dec,159678959,5403665,132941026,1413135,29.55012182
(주)서울리거,43710,18-Dec,17510965,1560884,16958876,1323630,11.21862035
(주)서울리거,43710,19-Dec,78368688,28720013,51295104,2209466,2.728713528
(주)서울옥션,63170,18-Dec,62044838,61902879,28565437,47587321,1.002293254
(주)서울옥션,63170,19-Dec,45092705,57143813,20606204,47790104,0.789109138
(주)서울제약,18680,18-Dec,43568031,11231930,43568031,11231930,3.878944313
(주)서울제약,18680,19-Dec,53950359,9395089,53950359,9395089,5.742399992
(주)서원인텍,93920,18-Dec,246968049,20889130,155892884,5207734,11.82280205
(주)서원인텍,93920,19-Dec,302903887,20798563,138911043,2961127,14.56369303
(주)서전기전,189860,18-Dec,57324257,4369592,57324257,4369592,13.11890378
(주)서전기전,189860,19-Dec,61071315,4584345,61071315,4584345,13.32171008
(주)서진시스템,178320,18-Dec,324577036,71175970,49748514,6327157,4.560205305
(주)서진시스템,178320,19-Dec,392360901,115683467,72551406,15817218,3.391676539
(주)서진오토모티브,122690,18-Dec,1286481786,79848327,128135047,18664783,16.11156845
