회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)아가방앤컴퍼니,13990,Dec-17,236594,96511
(주)아나패스,123860,Dec-17,289287,289287
(주)아난티,25980,Dec-17,9742401,3507011
(주)아리온테크놀로지,58220,Dec-17,1213496,1213496
(주)아모텍,52710,Dec-17,3877662,3803214
(주)아미노로직스,74430,Dec-17,17000,17000
(주)아바코,83930,Dec-17,82387,244
(주)아바텍,149950,Dec-17,0,0
(주)아스타,246720,Dec-17,109216,86222
(주)아스트,67390,Dec-17,4598837,2464037
(주)아시아경제,127710,Dec-17,60354,11636
(주)아우딘퓨쳐스,227610,Dec-17,64806,64806
(주)아이디스,143160,Dec-17,0,0
(주)아이디스홀딩스,54800,Dec-17,523932,376599
(주)아이센스,99190,Dec-17,1239099,487091
(주)아이씨디,40910,Dec-17,2522580,2522460
(주)아이앤씨테크놀로지,52860,Dec-17,395084,186758
(주)아이에스시,95340,Dec-17,491439,5
(주)아이에스이커머스,69920,Dec-17,190323,190323
(주)아이에이,38880,Dec-17,1398972,1041053
(주)아이엠,101390,Dec-17,1574443,0
(주)아이엠비씨,52220,Dec-17,8480,0
(주)아이엠텍,226350,Dec-17,234261,234186
(주)아이오케이컴퍼니,78860,Dec-17,329999,329999
(주)아이윈,90150,Dec-17,989693,988831
(주)아이윈플러스,123010,Dec-17,397345,397345
(주)아이즈비전,31310,Dec-17,341652,19
(주)아이컴포넌트,59100,Dec-17,672389,672389
(주)아이톡시,52770,Dec-17,520102,520102
(주)아이티센,124500,Dec-17,3093768,1715817
(주)아이티엑스에이아이,99520,Dec-17,386260,386260
(주)아즈텍더블유비이,32080,Dec-17,119170,119170
(주)아진엑스텍,59120,Dec-17,475774,475774
(주)아프리카티비,67160,Dec-17,0,0
(주)안랩,53800,Dec-17,0,0
(주)안트로젠,65660,Dec-17,61047,61047
(주)알로이스,271400,Dec-17,0,
(주)알에프세미,96610,Dec-17,734096,647222
(주)알에프텍,61040,Dec-17,2387402,1633345
(주)알엔투테크놀로지,148250,Dec-17,165864,165864
(주)알테오젠,196170,Dec-17,1863,0
(주)알톤스포츠,123750,Dec-17,915544,666472
(주)알티캐스트,85810,Dec-17,354901,0
(주)알파홀딩스,117670,Dec-17,733625,733625
(주)액션스퀘어,205500,Dec-17,0,0
(주)액토즈소프트,52790,Dec-17,249772,249773
(주)앤디포스,238090,Dec-17,59996,59996
(주)앤씨앤,92600,Dec-17,126448,30785
(주)야스,255440,Dec-17,125044,125044
(주)어스앤에어로스페이스,263540,Dec-17,429876,429876
(주)얼라인드제네틱스,238120,Dec-17,0,0
(주)에너토크,19990,Dec-17,0,0
(주)에스디생명공학,217480,Dec-17,144180,0
(주)에스디시스템,121890,Dec-17,120815,120815
(주)에스마크,30270,Dec-17,3729837,3653109
(주)에스비에스콘텐츠허브,46140,Dec-17,0,0
(주)에스씨디,42110,Dec-17,51735,0
(주)에스아이리소스,65420,Dec-17,293650,69666
(주)에스앤더블류,103230,Dec-17,0,0
(주)에스앤에스텍,101490,Dec-17,357088,357088
(주)에스에너지,95910,Dec-17,4415533,2695310
(주)에스에이엠티,31330,Dec-17,2964682,2964682
(주)에스에이티,158300,Dec-17,271770,271664
(주)에스에이티,60540,Dec-17,236610,0
(주)에스에프씨,112240,Dec-17,1532434,1577711
(주)에스에프에이,56190,Dec-17,11061609,35
(주)에스에프에이반도체,36540,Dec-17,11314988,9073916
(주)에스엘바이오닉스,214310,Dec-17,4545573,4457188
(주)에스엠라이프디자인그룹,63440,Dec-17,2048,2048
(주)에스엠엔터테인먼트,41510,Dec-17,1208319,882840
(주)에스엠컬처앤콘텐츠,48550,Dec-17,133771,133771
(주)에스엠코어,7820,Dec-17,31291,31291
(주)에스제이케이,80440,Dec-17,1010052,1087229
(주)에스지엔지,40610,Dec-17,11738739,605919
(주)에스코넥,96630,Dec-17,1485349,1217848
(주)에스텍파마,41910,Dec-17,223968,223968
(주)에스티아이,39440,Dec-17,172652,92587
(주)에스티오,98660,Dec-17,937383,935446
(주)에스티큐브,52020,Dec-17,405637,405637
(주)에스폴리텍,50760,Dec-17,1019791,997437
(주)에스피지,58610,Dec-17,2518859,2164191
(주)에쎈테크,43340,Dec-17,815923,815923
(주)에이디칩스,54630,Dec-17,198504,198504
(주)에이디테크놀로지,200710,Dec-17,371383,371383
(주)에이루트,96690,Dec-17,611848,611642
(주)에이비프로바이오,195990,Dec-17,2962338,2357317
(주)에이스침대,3800,Dec-17,0,0
(주)에이스테크놀로지,88800,Dec-17,9977737,7765888
(주)에이치디,102210,Dec-17,2157569,1430979
(주)에이치비테크놀러지,78150,Dec-17,291280,291280
(주)에이치시티,72990,Dec-17,293683,293683
(주)에이치알에스,36640,Dec-17,331683,331683
(주)에이치엘사이언스,239610,Dec-17,0,0
(주)에이치케이,44780,Dec-17,715835,715835
(주)에이텍,45660,Dec-17,30593,30593
(주)에이텍티앤,224110,Dec-17,49455,49455
(주)에이트원,230980,Dec-17,198714,198714
(주)에이티세미콘,89530,Dec-17,3339944,3339944
(주)에이팩트,200470,Dec-17,466597,466597
(주)에이팸,73070,Dec-17,395493,395493
(주)에이프로젠헬스케어앤게임즈,109960,Dec-17,2503095,2503095
(주)에치에프알,230240,Dec-17,0,
(주)에코마케팅,230360,Dec-17,0,0
(주)에코프로,86520,Dec-17,7364850,3465618
(주)에프알텍,73540,Dec-17,308249,308249
(주)에프앤리퍼블릭,64090,Dec-17,1670197,1669635
(주)에프에스엔,214270,Dec-17,80250,70233
(주)에프에스티,36810,Dec-17,1448266,1447795
(주)에프엔씨엔터테인먼트,173940,Dec-17,3204,483
(주)에프티이앤이,65160,Dec-17,4298777,4163132
(주)엑사이엔씨,54940,Dec-17,960645,789773
(주)엑세스바이오인코퍼레이션,950130,Dec-17,1713224,1490155
(주)엑셈,205100,Dec-17,521454,497688
(주)엑시콘,92870,Dec-17,285557,285557
(주)엔에스,217820,Dec-17,200155,140533
(주)엔에스엔,31860,Dec-17,1144733,734559
