회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도
(주)모다이노칩,80420,17-Dec,78059785,87347223,0,563330684,92198674,105785835,4369740,655118222,0.308882034
(주)모두투어네트워크,80160,17-Dec,0,0,0,254950078,30200000,14044487,766400,338240134,0.133073762
(주)모바일리더,100030,17-Dec,0,0,0,32620239,0,0,0,32019617,0
(주)모베이스,101330,17-Dec,0,0,0,124151932,992566,1267777,0,250446108,0.009025267
(주)모베이스전자,12860,17-Dec,87517882,107229672,34969338,469397329,87560819,152282889,34969338,576154630,0.476977936
(주)모비스,250060,17-Dec,0,0,0,18034552,0,0,0,18034552,0
(주)모헨즈,6920,17-Dec,0,0,0,26072046,0,7179633,0,83268394,0.086222787
(주)미래SCI,28040,17-Dec,107100,15691822,53550,50374273,107100,17398541,53550,52360547,0.335351558
(주)미래생명자원,218150,17-Dec,0,0,500000,28668565,0,2103184,500000,30960328,0.08408128
(주)미래컴퍼니,49950,17-Dec,0,10035000,0,161327672,0,10035000,0,164648625,0.060947973
(주)미래테크놀로지,213090,17-Dec,0,0,0,58597366,0,0,0,100335957,0
(주)미애부,225850,17-Dec,,,,,0,0,0,0,#DIV/0!
(주)미코,59090,17-Dec,10708409,10000000,4005445,95824441,12470267,20917453,4576858,202082378,0.187866841
(주)미투온,201490,17-Dec,0,0,0,125030188,4166,3213332,16664,149419199,0.021644889
(주)바른손,18700,17-Mar,107050,700000,428200,40475076,107050,780820,428200,40851312,0.032216101
(주)바른손이앤에이,35620,17-Dec,0,0,0,58622618,0,0,2729017,72073730,0.03786424
(주)바른전자,64520,17-Dec,972164,37980000,2333356,92951554,972164,37980000,2333356,95254890,0.433421528
(주)바이넥스,53030,17-Dec,3000000,0,3000000,164893896,3000000,0,3000000,167774068,0.03576238
(주)바이오니아,64550,17-Dec,5244220,5270000,8366480,58705528,5244220,5270000,8366480,58695411,0.321672507
(주)바이오로그디바이스,208710,17-Dec,1200000,0,305639,44572583,1200000,1078799,816031,63923411,0.048414657
(주)바이오빌,65940,17-Dec,4886503,6649997,8000000,125298758,7813559,18147035,11102652,203160573,0.182433262
(주)바이오스마트,38460,17-Dec,1000000,5000000,530555,88806853,8439529,9156713,2216462,112735334,0.17574529
(주)바이오톡스텍,86040,17-Dec,600000,14159288,0,53934065,600000,14696566,0,59770502,0.255921658
(주)바텍,43150,17-Dec,28894520,25132722,0,320605433,28894520,25132722,0,321481558,0.168057049
(주)배럴,267790,17-Dec,1891890,0,0,18038706,1891890,0,0,18038706,0.104879474
(주)백금티앤에이,46310,17-Dec,1666667,16159339,333333,67782127,2058217,19619339,341783,74533011,0.295430692
(주)버킷스튜디오,66410,17-Dec,0,0,0,24444762,0,0,0,24444762,0
(주)베노홀딩스,206400,17-Dec,0,100000,0,19636000,0,155000,0,17769478,0.008722822
(주)베셀,177350,17-Dec,5800000,17474000,2843690,96844753,5800000,17474000,2843690,97668551,0.267411462
(주)보광산업,225530,17-Dec,4316489,1800000,3521277,90402464,4316489,1800000,3521277,90402464,0.10660955
(주)보라티알,250000,17-Dec,0,6887457,1279250,60563965,0,6954457,1279250,60853021,0.135304819
(주)본느,226340,17-Dec,,,,,0,0,0,0,#DIV/0!
(주)부-스타,8470,17-Dec,0,0,0,84540828,0,0,0,84540828,0
(주)부방,14470,17-Dec,0,5125000,0,200547100,0,5125000,0,274081718,0.018698803
(주)뷰웍스,100120,17-Dec,0,0,300000,140743102,0,58145,300000,137641189,0.002602019
(주)브리지텍,64480,17-Dec,0,0,0,51895512,0,0,0,51895512,0
(주)브이원텍,251630,17-Dec,0,0,410000,87633631,0,0,410000,88099849,0.00465381
(주)브이티지엠피,18290,17-Dec,0,1624325,0,56768349,0,1624325,0,74092908,0.021922813
(주)블루베리엔에프티,44480,17-Dec,0,0,0,22200687,0,572775,0,23176322,0.024713801
(주)블루콤,33560,17-Dec,0,0,0,191366921,0,927,0,179950640,5.15141E-06
(주)비덴트,121800,17-Dec,5500000,10061682,0,162760792,5500000,10061682,0,163730638,0.095044411
(주)비보존헬스케어,82800,17-Dec,0,8000000,27770,36404550,0,8000000,27770,36404550,0.220515567
(주)비씨월드제약,200780,17-Dec,14036005,6050000,2743992,115753386,15886005,6550000,2743992,118341155,0.212774643
(주)비아트론,141000,17-Dec,0,0,0,139436980,0,0,0,139163928,0
(주)비에이치,90460,17-Dec,20261806,74376377,9933323,425896755,38805908,90428572,15126016,519806002,0.277719948
(주)비엔지티,32790,17-Dec,0,1000000,0,27941311,0,1000000,0,35990574,0.027785053
(주)비엘,142760,17-Dec,0,0,0,37560196,0,0,0,37575817,0
(주)비엘팜텍,65170,17-Dec,0,1120000,11386248,43731688,516003,1184284,11824240,68244814,0.198176626
(주)비엠티,86670,17-Dec,0,28900000,2449999,97143015,0,28900000,2704999,97251592,0.324981816
(주)비즈니스온커뮤니케이션,138580,17-Dec,0,0,0,35900984,0,0,0,35900984,0
(주)비츠로셀,82920,17-Jun,0,1563212,0,121524286,0,1563212,0,120833372,0.012936923
(주)비츠로시스,54220,17-Mar,0,23748837,1000000,123239221,0,23748837,1000000,123239221,0.200819486
(주)비츠로테크,42370,17-Jun,2300000,11984525,2850000,122983215,5335580,15012541,3719537,279729096,0.086039166
(주)비케이홀딩스,50090,17-Dec,0,5400000,3500000,44139463,0,5400000,3500000,44139463,0.201633627
(주)비트컴퓨터,32850,17-Dec,888880,0,1777760,53486604,888880,0,1777760,53636156,0.049717209
(주)빅솔론,93190,17-Dec,0,0,0,150262382,0,0,0,161585816,0
(주)빅텍,65450,17-Dec,3827300,4367445,3195120,61861299,3827300,4367445,3195120,61861299,0.184119396
(주)사람인에이치알,143240,17-Dec,0,0,0,94038028,0,0,0,97757060,0
(주)삼기,122350,17-Dec,31519860,71010000,45114920,313904981,37592925,86235412,53354045,337321756,0.525262242
(주)삼보판지,23600,17-Dec,997500,40794411,0,281405290,35080086,59382101,42963316,511843398,0.268491307
(주)삼양옵틱스,225190,17-Dec,0,0,0,44593069,0,0,0,44181489,0
