,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율
1716,1716,1716,(주)휴메딕스,200670,17-Dec,65340571,56098547.0,-20.7401694772405
1717,1717,1717,(주)휴비츠,65510,16-Dec,46623724,37634310.0,
1718,1718,1718,(주)휴비츠,65510,17-Dec,42123550,33903319.0,-9.652111873345849
1719,1719,1719,(주)휴센텍,215090,16-Dec,0,,
1720,1720,1720,(주)휴센텍,215090,17-Dec,0,,
1721,1721,1721,(주)휴엠앤씨,263920,16-Dec,10173964,10173964.0,
1722,1722,1722,(주)휴엠앤씨,263920,17-Dec,13943463,13943463.0,37.050445627682585
1723,1723,1723,(주)휴온스,243070,16-Dec,120717801,115853250.0,
1724,1724,1724,(주)휴온스,243070,17-Dec,152236294,148185587.0,26.109233881753703
1725,1725,1725,(주)휴온스글로벌,84110,16-Dec,218792414,17395778.0,
1726,1726,1726,(주)휴온스글로벌,84110,17-Dec,228891125,10792963.0,4.61565865807394
1727,1727,1727,(주)흥국,10240,16-Dec,21599352,15924269.0,
1728,1728,1728,(주)흥국,10240,17-Dec,33800812,23628029.0,56.4899354388039
1729,1729,1729,(주)흥국에프엔비,189980,16-Dec,18968829,18009841.0,
1730,1730,1730,(주)흥국에프엔비,189980,17-Dec,28259131,26991393.0,48.97667642003627
1731,1731,1731,(주)희림종합건축사사무소,37440,16-Dec,117104520,117283066.0,
1732,1732,1732,(주)희림종합건축사사무소,37440,17-Dec,108094181,108146338.0,-7.694270895777555
1733,1733,1733,(주)힘스,238490,16-Dec,29916778,29916778.0,
1734,1734,1734,(주)힘스,238490,17-Dec,37999132,37999132.0,27.016124530522646
1735,1735,1735,KB오토시스(주),24120,16-Dec,60845913,65759506.0,
1736,1736,1736,KB오토시스(주),24120,17-Dec,65677857,62988857.0,7.941279474268059
1737,1737,1737,KD(주),44180,16-Dec,45678071,43969180.0,
1738,1738,1738,KD(주),44180,17-Dec,69358966,53346118.0,51.84302769703213
1739,1739,1739,가온미디어(주),78890,16-Dec,210502933,202781156.0,
1740,1740,1740,가온미디어(주),78890,17-Dec,237726343,229504212.0,12.932556146379204
1741,1741,1741,감성코퍼레이션(주),36620,16-Dec,7138369,7138369.0,
1742,1742,1742,감성코퍼레이션(주),36620,17-Dec,11121293,11121293.0,55.79599485540745
1743,1743,1743,갤럭시아머니트리(주),94480,16-Dec,113217833,111296540.0,
1744,1744,1744,갤럭시아머니트리(주),94480,17-Dec,154852571,154849075.0,36.774010680808566
1745,1745,1745,경남스틸(주),39240,16-Dec,90191603,90191603.0,
1746,1746,1746,경남스틸(주),39240,17-Dec,103353717,103353717.0,14.593502678957826
1747,1747,1747,경남제약(주),53950,16-Dec,23739704,23739704.0,
1748,1748,1748,경남제약(주),53950,17-Dec,29145696,29145696.0,22.771943576044595
1749,1749,1749,경동제약(주),11040,16-Dec,112480393,107773739.0,
1750,1750,1750,경동제약(주),11040,17-Dec,110127126,106211953.0,-2.092157519399851
1751,1751,1751,경창산업(주),24910,16-Dec,199982614,133324252.0,
1752,1752,1752,경창산업(주),24910,17-Dec,179914082,121857979.0,-10.035138354577168
1753,1753,1753,고려신용정보(주),49720,16-Dec,15982147,15465103.0,
1754,1754,1754,고려신용정보(주),49720,17-Dec,15072716,15072716.0,-5.690293050113981
1755,1755,1755,고려제약(주),14570,16-Dec,44921547,44921547.0,
1756,1756,1756,고려제약(주),14570,17-Dec,48730385,48730385.0,8.478866500301073
1757,1757,1757,광진실업(주),26910,16-Dec,21164259,21164259.0,
1758,1758,1758,광진실업(주),26910,17-Dec,20392854,20392854.0,-3.644847665113149
1759,1759,1759,국일신동(주),60480,16-Dec,16432542,16432542.0,
1760,1760,1760,국일신동(주),60480,17-Dec,18532603,18532603.0,12.779891266975007
1761,1761,1761,국일제지(주),78130,16-Dec,41300967,41300967.0,
1762,1762,1762,국일제지(주),78130,17-Dec,46483660,46483660.0,12.54859964901065
1763,1763,1763,글로벌에스엠테크리미티드,900070,16-Dec,94845169,,
1764,1764,1764,글로벌에스엠테크리미티드,900070,17-Dec,89686115,,-5.439448370849542
1765,1765,1765,글로벌텍스프리(주),204620,16-Dec,0,,
1766,1766,1766,글로벌텍스프리(주),204620,17-Dec,60824952,53145811.0,inf
1767,1767,1767,글로본(주),19660,16-Mar,0,,
1768,1768,1768,글로본(주),19660,17-Dec,7482951,7482951.0,inf
1769,1769,1769,금강철강(주),53260,16-Dec,105353918,102472237.0,
1770,1770,1770,금강철강(주),53260,17-Dec,98369831,94568107.0,-6.629166843135348
1771,1771,1771,나노캠텍(주),91970,16-Dec,51222895,47327482.0,
1772,1772,1772,나노캠텍(주),91970,17-Dec,42233965,23586900.0,-17.548656709075118
1773,1773,1773,나라엠앤디(주),51490,16-Dec,96459783,74047124.0,
1774,1774,1774,나라엠앤디(주),51490,17-Dec,107598223,84405508.0,11.547237256380715
1775,1775,1775,나무기술(주),242040,16-Dec,0,,
1776,1776,1776,나무기술(주),242040,17-Dec,0,,
1777,1777,1777,나이스정보통신(주),36800,16-Dec,281793460,137329681.0,
1778,1778,1778,나이스정보통신(주),36800,17-Dec,395946270,163569895.0,40.50938939462967
1779,1779,1779,나이스평가정보(주),30190,16-Dec,117357301,95698360.0,
1780,1780,1780,나이스평가정보(주),30190,17-Dec,122985295,101194921.0,4.795606197521529
1781,1781,1781,남화토건(주),91590,16-Dec,44850347,41753278.0,
1782,1782,1782,남화토건(주),91590,17-Dec,45339947,41718097.0,1.0916303501509184
1783,1783,1783,넥슨지티(주),41140,16-Dec,120146944,113681184.0,
1784,1784,1784,넥슨지티(주),41140,17-Dec,92923372,76546287.0,-22.65856383330066
1785,1785,1785,농업회사법인(주)농우바이오,54050,16-Dec,119794187,96922367.0,
1786,1786,1786,농업회사법인(주)농우바이오,54050,17-Dec,130271448,104869878.0,8.746051258730937
1787,1787,1787,뉴지랩파마(주),214870,16-Dec,32764407,32764407.0,
1788,1788,1788,뉴지랩파마(주),214870,17-Dec,62051688,60890167.0,89.38748990634868
1789,1789,1789,다믈멀티미디어(주),93640,16-Dec,11594740,11594740.0,
1790,1790,1790,다믈멀티미디어(주),93640,17-Dec,8171601,8171601.0,-29.523206212472207
1791,1791,1791,대동금속(주),20400,16-Dec,17380089,17380089.0,
1792,1792,1792,대동금속(주),20400,17-Dec,22052465,22052465.0,26.883498697849006
1793,1793,1793,대동기어(주),8830,16-Dec,56012121,56012121.0,
1794,1794,1794,대동기어(주),8830,17-Dec,72005819,72005819.0,28.553994589849573
1795,1795,1795,대봉엘에스(주),78140,16-Dec,52097559,43624433.0,
1796,1796,1796,대봉엘에스(주),78140,17-Dec,53769779,43453555.0,3.2097857022437504
1797,1797,1797,대아티아이(주),45390,16-Dec,69498499,56624682.0,
1798,1798,1798,대아티아이(주),45390,17-Dec,78892025,69765713.0,13.516156658289846
1799,1799,1799,대양전기공업(주),108380,16-Dec,136493456,103462611.0,
1800,1800,1800,대양전기공업(주),108380,17-Dec,151089863,118946836.0,10.693851139647315
1801,1801,1801,대양제지공업(주),6580,16-Dec,44287751,24317132.0,
1802,1802,1802,대양제지공업(주),6580,17-Dec,52451215,25045203.0,18.43278065756828
1803,1803,1803,대원미디어(주),48910,16-Dec,56209568,16762809.0,
1804,1804,1804,대원미디어(주),48910,17-Dec,54972191,18745420.0,-2.20136365396012
1805,1805,1805,대원산업(주),5710,16-Dec,302762828,234281330.0,
1806,1806,1806,대원산업(주),5710,17-Dec,291592866,235833938.0,-3.689343924347277
1807,1807,1807,대정화금(주),120240,16-Dec,44871828,44871828.0,
1808,1808,1808,대정화금(주),120240,17-Dec,47707164,47707164.0,6.318744134961474
1809,1809,1809,대주산업(주),3310,16-Dec,24244587,24295134.0,
1810,1810,1810,대주산업(주),3310,17-Dec,26743951,26968916.0,10.308956799305346
1811,1811,1811,대주전자재료(주),78600,16-Dec,42773820,28049547.0,
1812,1812,1812,대주전자재료(주),78600,17-Dec,42246908,29345111.0,-1.2318563083680623
1813,1813,1813,대한광통신(주),10170,16-Dec,68338002,68074941.0,
1814,1814,1814,대한광통신(주),10170,17-Dec,90324054,92622360.0,32.17251215509638
1815,1815,1815,대한그린파워(주),60900,16-Dec,13505939,13505939.0,
1816,1816,1816,대한그린파워(주),60900,17-Dec,19468512,19468512.0,44.147785651926895
