회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액
(주)네이처셀,7390,16-Dec,22854062,26787767,22854062,26787767,85.31529336
(주)네이처셀,7390,17-Dec,19593489,27215252,19593489,27215252,71.99451616
(주)네패스,33640,16-Dec,180342718,223644590,207412137,254535006,81.48668439
(주)네패스,33640,17-Dec,201891662,261721389,222930178,285034101,78.21175685
(주)넥스턴바이오사이언스,89140,16-Dec,49737306,74373034,49737306,74373034,66.8754565
(주)넥스턴바이오사이언스,89140,17-Dec,30152563,43707618,30152563,43707618,68.98697385
(주)넥스트아이,137940,16-Dec,16825674,22779239,28516754,39439948,72.30423833
(주)넥스트아이,137940,17-Dec,19268843,26394171,40479614,59482937,68.05248033
(주)넥스트엔터테인먼트월드,160550,16-Dec,86084437,103941613,99920680,125723993,79.47622217
(주)넥스트엔터테인먼트월드,160550,17-Dec,49975749,57004350,73587274,94538544,77.83838304
(주)넥슨게임즈,225570,16-Dec,,,0,0,#DIV/0!
(주)넥슨게임즈,225570,17-Dec,0,22407505,0,22407505,0
(주)넵튠,217270,16-Dec,0,7345180,0,18335549,0
(주)넵튠,217270,17-Dec,0,7112477,0,20528450,0
(주)노블엠앤비,106520,16-Dec,58181300,52251867,62220237,63662855,97.73397219
(주)노블엠앤비,106520,17-Dec,59421692,55483850,61813700,60316673,102.4819456
(주)녹십자셀,31390,16-Dec,7034017,11908637,21597877,28455734,75.89991177
(주)녹십자셀,31390,17-Dec,10288784,19536787,10288784,19536787,52.66364423
(주)녹십자엠에스,142280,16-Dec,73592819,86162555,73697055,86162555,85.53257851
(주)녹십자엠에스,142280,17-Dec,83090904,98107431,82984731,98389224,84.34331284
(주)녹원씨엔아이,65560,16-Dec,3171539,3875841,3171539,3875841,81.82840834
(주)녹원씨엔아이,65560,17-Dec,3466665,4347268,8135827,22075102,36.85521815
(주)누리플랜,69140,16-Dec,28049262,34411741,28049262,34411741,81.51073205
(주)누리플랜,69140,17-Dec,27641030,34578601,28307746,35622763,79.46532951
(주)누리플렉스,40160,16-Dec,25107419,47591731,27031454,51323868,52.66838813
(주)누리플렉스,40160,17-Dec,70558169,96144114,87678464,117558807,74.58264186
(주)뉴로스,126870,16-Dec,26376099,42756080,27417266,44107101,62.16066207
(주)뉴로스,126870,17-Dec,28809215,42061542,30511936,44781756,68.13474666
(주)뉴보텍,60260,16-Dec,23950713,35898522,23950713,35898522,66.71782476
(주)뉴보텍,60260,17-Dec,30467822,41019670,30467822,41019670,74.27612655
(주)뉴인텍,12340,16-Dec,41859300,43567642,48731974,47895458,101.7465456
(주)뉴인텍,12340,17-Dec,41287461,43807312,46212803,50296811,91.88018501
(주)뉴파워프라즈마,144960,16-Dec,35019800,67392792,35073091,67407272,52.03161315
(주)뉴파워프라즈마,144960,17-Dec,52914387,104485987,52982744,104494422,50.7038969
(주)뉴프렉스,85670,16-Dec,134875387,144618199,134146461,145216489,92.37687946
(주)뉴프렉스,85670,17-Dec,136374801,151335859,135492168,152715761,88.72179735
(주)다나와,119860,16-Dec,0,32392617,0,64407865,0
(주)다나와,119860,17-Dec,0,42400067,0,107606286,0
(주)다날,64260,16-Dec,0,132304954,0,133477893,0
(주)다날,64260,17-Dec,0,156323605,0,172882038,0
