회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률2019
(주)딜리,131180,18-Dec,11780453,43828703,11068123,43110610,26.87839747
(주)딜리,131180,19-Dec,11743578,40486467,11614625,40186673,29.00618125
(주)라닉스,317120,18-Dec,5034225,9810741,5034225,9810741,51.31340232
(주)라닉스,317120,19-Dec,5566436,9044034,5566436,9044034,61.54815429
(주)라이온켐텍,171120,18-Dec,15738419,137943447,15738419,137943447,11.40932704
(주)라이온켐텍,171120,19-Dec,25675098,156075491,25675098,156075491,16.45043551
(주)라이트론,69540,18-Dec,7331356,37937437,6687839,33984112,19.32485845
(주)라이트론,69540,19-Dec,42112183,112769838,40483355,110398230,37.34348098
(주)라파스,214260,18-Dec,3650056,10051484,3353595,9725083,36.31360305
(주)라파스,214260,19-Dec,8249937,18168040,7740201,17927889,45.40906449
(주)랩지노믹스,84650,18-Dec,9436797,27538727,9436797,27538727,34.26736828
(주)랩지노믹스,84650,19-Dec,13388586,33175359,13388586,33175359,40.3570192
(주)러셀,217500,18-Dec,9477383,31261482,9477383,31261482,30.3164866
(주)러셀,217500,19-Dec,8460522,41027041,8460522,41027041,20.62181867
(주)레고켐바이오사이언스,141080,18-Dec,5908439,25240302,7535234,22884676,23.40874923
(주)레고켐바이오사이언스,141080,19-Dec,34811085,57500139,37547816,54521912,60.54087104
(주)레드로버,60300,18-Dec,-10386153,12275976,-10386153,12275976,-84.60551731
(주)레드로버,60300,19-Dec,-1579430,12084598,-1978334,9240374,-13.06977692
(주)레드캡투어,38390,18-Dec,212540380,254944030,212063761,254173145,83.36746697
(주)레드캡투어,38390,19-Dec,212244952,258761857,210079778,250695393,82.02327594
(주)레몬,294140,18-Dec,2492633,31437598,2492633,31437598,7.928827769
(주)레몬,294140,19-Dec,1375726,49653530,1375726,49653530,2.770650949
(주)레이,228670,18-Dec,22459688,51533645,18489274,47565271,43.58257212
(주)레이,228670,19-Dec,34570531,73108726,26987079,64544473,47.28646345
(주)레이언스,228850,18-Dec,45337954,116389469,39034786,104485862,38.95365654
(주)레이언스,228850,19-Dec,50903929,126174798,42794521,106382013,40.34397503
(주)레이크머티리얼즈,281740,18-Dec,0,0,,,#DIV/0!
(주)레이크머티리얼즈,281740,19-Dec,0,0,,,#DIV/0!
