,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
38,38,38,38,(주)그래디언트,35080,18-Dec,1809664488,339457297.0,19963614,5963182.0,-4194664,4404863.0,,,
39,39,39,39,(주)그래디언트,35080,19-Dec,1780051911,336145750.0,45164129,3788374.0,6507368,4125060.0,-1.636357302,126.23222929475595,255.13442793034199
40,40,40,40,(주)그리티,204020,18-Dec,95755030,86557287.0,8045203,9289658.0,4810592,6019400.0,,,
41,41,41,41,(주)그리티,204020,19-Dec,92151596,86803901.0,2913982,4418702.0,1563323,2627015.0,-3.763179856,-63.77988225,-67.50248202
42,42,42,42,(주)그린플러스,186230,18-Dec,63717254,48674825.0,5106600,4122481.0,2269801,2213241.0,,,
43,43,43,43,(주)그린플러스,186230,19-Dec,72321985,56587945.0,5077238,3430717.0,2533086,2435883.0,13.50455404,-0.574981397,11.59947502
44,44,44,44,(주)글로벌스탠다드테크놀로지,83450,18-Dec,105027408,87524011.0,10405764,7914174.0,10303468,7747618.0,,,
45,45,45,45,(주)글로벌스탠다드테크놀로지,83450,19-Dec,136751562,120984040.0,21908352,22053993.0,17968416,17027156.0,30.20559548,110.54054272228353,74.39192318547502
46,46,46,46,(주)금빛,45890,18-Dec,102612701,109608718.0,-16869325,-18191416.0,-6644651,-7247946.0,,,
47,47,47,47,(주)금빛,45890,19-Dec,102849215,101724359.0,-16108710,-16662557.0,-36823868,-38888741.0,0.230491935,4.508864462567411,-454.1881432147452
48,48,48,48,(주)금화피에스시,36190,18-Dec,262516457,242310750.0,41384787,39495034.0,39649709,38175421.0,,,
49,49,49,49,(주)금화피에스시,36190,19-Dec,281692946,255149491.0,34327291,30433094.0,27677441,25283209.0,7.304871176,-17.053358278731746,-30.19509676603175
50,50,50,50,(주)기가레인,49080,18-Dec,179113947,176296022.0,-2497484,-1892191.0,-21635992,-23731827.0,,,
51,51,51,51,(주)기가레인,49080,19-Dec,117798198,115539385.0,-29598747,-26726549.0,-46059977,-44243046.0,-34.23281661,-1085.1426075202082,-112.88590326711159
52,52,52,52,(주)기산텔레콤,35460,18-Dec,56180491,34219394.0,-2927420,-2790221.0,-3327575,-5791304.0,,,
