,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
40,40,(주)금화피에스시,36190,16-Dec,215036137,197557790.0,29816098,28240507.0,23917682,22053825.0,,,
41,41,(주)금화피에스시,36190,17-Dec,231639148,216252318.0,33863833,33131391.0,20153925,20754033.0,7.721032954,13.575669760677606,-15.736295013873
42,42,(주)기가레인,49080,16-Dec,155732003,152639799.0,-9108288,-9647595.0,-10347329,-10793714.0,,,
43,43,(주)기가레인,49080,17-Dec,181628353,179756049.0,5232144,4705145.0,-920801,-401780.0,16.62879145,274.08328211150155,91.10107545628442
44,44,(주)기산텔레콤,35460,16-Dec,74209973,47117435.0,-2914471,-1972410.0,-2639743,-1733928.0,,,
45,45,(주)기산텔레콤,35460,17-Dec,70137339,44554117.0,-3230591,-848554.0,-5538516,-2085390.0,-5.487987443,-10.84656529435359,-109.81269767549342
46,46,(주)나노,187790,16-Dec,83440884,57351009.0,-14162416,-9411058.0,-24388859,-18008880.0,,,
47,47,(주)나노,187790,17-Dec,91574665,59149648.0,1661616,1526011.0,89291,-2829878.0,9.747956409,952.327854329761,27413.905096818267
48,48,(주)나노신소재,121600,16-Dec,84239207,84288643.0,6294911,6310057.0,5940058,5955088.0,,,
49,49,(주)나노신소재,121600,17-Dec,88963512,89013566.0,8531076,8506727.0,6827889,6795716.0,5.608202128,35.52337753464664,14.946503889355963
50,50,(주)나노엔텍,39860,16-Dec,45707894,47792785.0,-9685305,-8642286.0,-14798956,-17339841.0,,,
51,51,(주)나노엔텍,39860,17-Dec,42369896,45400592.0,1672406,2944761.0,-2072184,-799389.0,-7.302891706,679.124028495473,85.99776903181548
52,52,(주)나무가,190510,16-Dec,195912474,114797114.0,-669505,-1785463.0,-4188413,-3614485.0,,,
53,53,(주)나무가,190510,17-Dec,142414320,73845257.0,-31479937,-22688891.0,-40918809,-43568385.0,-27.30717085,-4601.971904616097,-876.9525832337928
54,54,(주)나스미디어,89600,16-Dec,263925022,192274757.0,15433276,14615304.0,11972406,11499887.0,,,
55,55,(주)나스미디어,89600,17-Dec,315966980,239540352.0,34298134,25654209.0,26676052,20237979.0,19.71846307,122.23495517089178,122.81279134703584
56,56,(주)나이벡,138610,16-Dec,22969642,22969642.0,-2499774,-2499774.0,-3027189,-3027189.0,,,
57,57,(주)나이벡,138610,17-Dec,25750373,25750373.0,-1128739,-1128739.0,-2567612,-2567612.0,12.1061138,54.84635811077322,15.181642110882407
58,58,(주)나이스디앤비,130580,16-Dec,40466208,37343939.0,6465327,4752171.0,5728563,4342227.0,,,
59,59,(주)나이스디앤비,130580,17-Dec,46928148,43008000.0,8454239,6644056.0,6414092,4960968.0,15.96873124,30.762744096315625,11.966858006100308
60,60,(주)나인테크,267320,17-Dec,0,,0,,0,,,0.0,0.0
61,61,(주)내츄럴엔도텍,168330,16-Dec,85875253,84785249.0,-9391306,-9347254.0,-13177152,-12887062.0,,,
62,62,(주)내츄럴엔도텍,168330,17-Dec,85682820,76003964.0,-5391216,-5337960.0,-8860824,-9645005.0,-0.224084347,42.59354343261736,32.75615246754382
63,63,(주)네오리진,94860,16-Dec,15595920,15595920.0,810733,810733.0,674598,674598.0,,,
64,64,(주)네오리진,94860,17-Dec,17683620,17731465.0,168664,221865.0,166207,218915.0,13.38619331,-79.19611018670759,-75.36206748315293
65,65,(주)네오오토,212560,16-Dec,134856787,134856787.0,10052254,10052254.0,7883058,7883058.0,,,
66,66,(주)네오오토,212560,17-Dec,137106556,137106556.0,1606020,1606020.0,4135626,4135626.0,1.668265313,-84.0232847279824,-47.537795611804455
67,67,(주)네오위즈,95660,16-Dec,317438639,384869735.0,23471441,21203983.0,9853329,3632162.0,,,
68,68,(주)네오위즈,95660,17-Dec,304359379,358084232.0,10872808,10186878.0,-2143713,-25872555.0,-4.12024826,-53.676435971698545,-121.75623081295672
