회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)디알텍,214680,Dec-19,385392,369588
(주)디앤씨미디어,263720,Dec-19,3700,3697
(주)디에스앤엘,141020,Dec-19,7664631,5469358
(주)디에스케이,109740,Dec-19,1667121,787958
(주)디에이테크놀로지,196490,Dec-19,5847755,5844049
(주)디에이피,66900,Dec-19,1938801,1938801
(주)디엔에이링크,127120,Dec-19,874095,867194
(주)디엔에프,92070,Dec-19,406656,406656
(주)디엠에스,68790,Dec-19,3149467,3149467
(주)디오,39840,Dec-19,2361870,2194004
(주)디와이디,219550,Dec-19,458062,457961
(주)디이엔티,79810,Dec-19,1310804,1310804
(주)디지아이,43360,Dec-19,17517,17517
(주)디지캡,197140,Dec-19,395423,370159
(주)디지털대성,68930,Dec-19,262486,134145
(주)디지틀조선일보,33130,Dec-19,94619,94099
(주)디케이앤디,263020,Dec-19,152507,42915
(주)디케이티,290550,Dec-19,240741,14680
(주)디티앤씨,187220,Dec-19,2627920,2238534
(주)딜리,131180,Dec-19,29720,29720
(주)라닉스,317120,Dec-19,104825,104825
(주)라이온켐텍,171120,Dec-19,378934,378934
(주)라이트론,69540,Dec-19,4653859,4635097
(주)라파스,214260,Dec-19,270107,246822
(주)랩지노믹스,84650,Dec-19,415791,415791
(주)러셀,217500,Dec-19,57427,57427
(주)레고켐바이오사이언스,141080,Dec-19,25803,25803
(주)레드로버,60300,Dec-19,1431411,1441709
(주)레드캡투어,38390,Dec-19,5831566,5812841
(주)레몬,294140,Dec-19,2324261,2324261
(주)레이,228670,Dec-19,187265,154192
(주)레이언스,228850,Dec-19,320119,36714
(주)레이크머티리얼즈,281740,Dec-19,0,
(주)로보로보,215100,Dec-19,32595,2062
(주)로보스타,90360,Dec-19,65681,65681
(주)로보티즈,108490,Dec-19,28063,13522
(주)로지시스,67730,Dec-19,25509,25509
(주)루멘스,38060,Dec-19,4094386,2239768
(주)루트로닉,85370,Dec-19,1704180,1493102
(주)룽투코리아,60240,Dec-19,268125,256433
(주)리노스,39980,Dec-19,313362,313362
(주)리더스코스메틱,16100,Dec-19,3243731,3007288
(주)리드,197210,Dec-19,5551027,5463076
(주)리드코프,12700,Dec-19,2791564,2791564
(주)리메드,302550,Dec-19,147443,147443
(주)링네트,42500,Dec-19,276474,246788
(주)링크제니시스,219420,Dec-19,13936,10432
(주)마니커에프앤지,195500,Dec-19,505183,505183
(주)마이크로디지탈,305090,Dec-19,61756,61756
(주)마이크로컨텍솔루션,98120,Dec-19,12935,12935
(주)마이크로프랜드,147760,Dec-19,223051,223051
(주)마크로젠,38290,Dec-19,2380670,442292
(주)맘스터치앤컴퍼니,220630,Dec-19,418943,335778
(주)매직마이크로,127160,Dec-19,4663091,3974507
(주)매커스,93520,Dec-19,170791,108010
(주)맥스로텍,141070,Dec-19,2008777,2008777
(주)머큐리,100590,Dec-19,207465,207465
(주)멀티캠퍼스,67280,Dec-19,843937,822561
(주)메드팩토,235980,Dec-19,246997,246997
(주)메디아나,41920,Dec-19,8314,9245
(주)메디콕스,54180,Jun-19,1285192,1281328
(주)메디톡스,86900,Dec-19,2080951,1930914
(주)메디프론디비티,65650,Dec-19,1193,1193
(주)메지온,140410,Dec-19,317842,219377
(주)메카로,241770,Dec-19,29282,24802
(주)메타바이오메드,59210,Dec-19,1190037,1037601
(주)멕아이씨에스,58110,Dec-19,1341795,1243369
(주)멜파스,96640,Dec-19,4071523,4071523
(주)모다이노칩,80420,Dec-19,15694221,13067198
(주)모두투어네트워크,80160,Dec-19,3700167,90049
(주)모바일리더,100030,Dec-19,0,0
(주)모베이스,101330,Dec-19,5201251,441332
(주)모베이스전자,12860,Dec-19,13272290,11174949
(주)모비스,250060,Dec-19,86850,63713
(주)모헨즈,6920,Dec-19,42859,14171
(주)미래SCI,28040,Dec-19,3252577,3066392
(주)미래생명자원,218150,Dec-19,312022,173424
(주)미래컴퍼니,49950,Dec-19,136873,129360
(주)미래테크놀로지,213090,Dec-19,88898,14436
(주)미애부,225850,Dec-19,0,
(주)미코,59090,Dec-19,6824820,1391621
(주)미투온,201490,Dec-19,2271435,1945738
(주)바른손,18700,Mar-19,298000,135059
(주)바른손이앤에이,35620,Dec-19,1604313,1303061
(주)바른전자,64520,Dec-19,1558904,1564476
(주)바이넥스,53030,Dec-19,2098225,2097524
(주)바이오니아,64550,Dec-19,935274,915845
(주)바이오로그디바이스,208710,Dec-19,1188251,917758
(주)바이오솔루션,86820,Dec-19,52601,52601
(주)바이오스마트,38460,Dec-19,1598015,328654
(주)바이오톡스텍,86040,Dec-19,566366,558190
(주)바텍,43150,Dec-19,1699298,1260824
(주)배럴,267790,Dec-19,125274,113225
(주)백금티앤에이,46310,Dec-19,1153894,912268
(주)버킷스튜디오,66410,Dec-19,1169289,1169289
(주)베노홀딩스,206400,Dec-19,751153,748696
(주)베셀,177350,Dec-19,1977817,1977223
(주)베스파,299910,Dec-19,138458,47336
(주)보광산업,225530,Dec-19,781830,781830
(주)보라티알,250000,Dec-19,268827,268390
(주)본느,226340,Dec-19,74441,35844
(주)부-스타,8470,Dec-19,10336,10336
(주)부방,14470,Dec-19,110661,733
(주)뷰웍스,100120,Dec-19,67307,1658
(주)브리지텍,64480,Dec-19,85493,85493
(주)브이원텍,251630,Dec-19,16384,16334
(주)브이티지엠피,18290,Dec-19,1615487,687102
(주)블루베리엔에프티,44480,Dec-19,1968576,1869158
(주)블루콤,33560,Dec-19,10718,5801
(주)비덴트,121800,Dec-19,1619296,1619014
(주)비보존헬스케어,82800,Dec-19,7560297,7523042
(주)비씨월드제약,200780,Dec-19,1345442,333393
(주)비아트론,141000,Dec-19,4437,0
(주)비에이치,90460,Dec-19,5600394,3850018
(주)비엔지티,32790,Dec-19,1744749,1707922
(주)비엘,142760,Dec-19,6211974,5134616
(주)비엘팜텍,65170,Dec-19,1113414,717114
(주)비엠티,86670,Dec-19,931499,931499
(주)비올,335890,Dec-19,0,
(주)비즈니스온커뮤니케이션,138580,Dec-19,186421,186421
(주)비츠로셀,82920,Dec-19,49314,35819
(주)비츠로시스,54220,Mar-19,3723417,3723417
(주)비츠로테크,42370,Dec-19,2103505,1853372
(주)비케이홀딩스,50090,Dec-19,58433,37548
(주)비투엔,307870,Dec-19,0,
(주)비트컴퓨터,32850,Dec-19,172515,172515
(주)비피도,238200,Dec-19,5483,3520
(주)빅솔론,93190,Dec-19,101713,75029
(주)빅텍,65450,Dec-19,401055,401055
(주)사람인에이치알,143240,Dec-19,33241,29271
(주)삼기,122350,Dec-19,7385562,5679030
(주)삼보판지,23600,Dec-19,2064840,952184
(주)삼양옵틱스,225190,Dec-19,72658,72658
(주)삼일,32280,Dec-19,441089,441089
(주)삼일기업공사,2290,Dec-19,0,0
(주)삼진,32750,Dec-19,89,1
(주)삼진엘앤디,54090,Dec-19,1849596,671731
(주)삼표시멘트,38500,Dec-19,21551000,14958814
(주)삼화네트웍스,46390,Dec-19,23953,16162
(주)상보,27580,Dec-19,4244404,4180127
(주)상상인,38540,Dec-19,3927710,2282262
(주)상상인인더스트리,101000,Dec-19,1256548,1256548
(주)상아프론테크,89980,Dec-19,2656868,1151311
(주)상지카일룸,42940,Dec-19,6225548,5869773
(주)새로닉스,42600,Dec-19,780372,370563
(주)서남,294630,Dec-19,43165,43165
(주)서린바이오사이언스,38070,Dec-19,16447,11736
(주)서부티엔디,6730,Dec-19,29930408,29930408
(주)서산,79650,Dec-19,2229,2229
(주)서연탑메탈,19770,Dec-19,2371313,1100724
(주)서울리거,43710,Dec-19,1843490,1311581
(주)서울옥션,63170,Dec-19,2538262,1866768
(주)서울제약,18680,Dec-19,1419509,1419509
(주)서원인텍,93920,Dec-19,324776,159160
(주)서전기전,189860,Dec-19,179767,179767
(주)서진시스템,178320,Dec-19,8751251,1393698
(주)서진오토모티브,122690,Dec-19,16845913,5428349
(주)서플러스글로벌,140070,Dec-19,495678,355845
(주)서한,11370,Dec-19,1492271,1492271
(주)서희건설,35890,Dec-19,10504190,6174706
(주)선광,3100,Dec-19,14772375,1680919
(주)선익시스템,171090,Dec-19,67081,16839
(주)성광벤드,14620,Dec-19,657893,6656
(주)성도이엔지,37350,Dec-19,2043398,628856
(주)성우하이텍,15750,Dec-19,48079228,18491332
(주)성창오토텍,80470,Dec-19,920574,292694
(주)세경하이테크,148150,Dec-19,133890,72029
(주)세동,53060,Dec-19,3015218,2657164
(주)세림비앤지,340440,Dec-19,0,
(주)세보엠이씨,11560,Dec-19,832406,831703
(주)세영디앤씨,52190,Dec-19,3944299,3935375
(주)세운메디칼,100700,Dec-19,58117,219
(주)세원물산,24830,Dec-19,161214,161214
(주)세종메디칼,258830,Dec-19,82263,14351
(주)세중,39310,Dec-19,195655,12085
(주)세진티에스,67770,Dec-19,37627,2060
(주)세코닉스,53450,Dec-19,5481485,4326867
(주)세토피아,222810,Dec-19,4196930,4103139
(주)세화피앤씨,252500,Dec-19,43623,43623
(주)셀루메드,49180,Dec-19,1993994,1988334
(주)셀리드,299660,Dec-19,5624,5624
(주)셀리버리,268600,Dec-19,6999,6999
(주)셀바스에이아이,108860,Dec-19,1563210,683213
(주)셀바스헬스케어,208370,Dec-19,908857,890650
(주)셀트리온제약,68760,Dec-19,5244007,5244007
(주)셀트리온헬스케어,91990,Dec-19,6845029,5441000
(주)셀피글로벌,68940,Dec-19,449614,449614
(주)소리바다,53110,Dec-19,1823578,1698204
(주)소프트센,32680,Dec-19,498510,498510
(주)손오공,66910,Dec-19,492365,352221
(주)솔고바이오메디칼,43100,Dec-19,582637,522517
(주)솔루에타,154040,Dec-19,3752399,1290885
(주)솔본,35610,Dec-19,142893,0
(주)쇼박스,86980,Dec-19,134222,134222
(주)수산아이앤티,50960,Dec-19,1563,1563
(주)수젠텍,253840,Dec-19,434768,434768
(주)슈프리마,236200,Dec-19,5433,4125
(주)슈프리마아이디,317770,Dec-19,4164,4164
(주)슈프리마에이치큐,94840,Dec-19,5137,716
(주)슈피겐코리아,192440,Dec-19,635091,262504
(주)스마트솔루션즈,136510,Dec-19,258226,258226
(주)스맥,99440,Dec-19,3715099,3523681
(주)스카이문스테크놀로지,33790,Dec-19,264767,264767
(주)스킨앤스킨,159910,Dec-19,373656,287263
(주)스타플렉스,115570,Dec-19,2465200,1998623
(주)스튜디오산타클로스엔터테인먼트,204630,Dec-19,464425,395494
(주)스페코,13810,Dec-19,910349,716612
(주)승일,49830,Dec-19,103339,103339
(주)시공테크,20710,Dec-19,110147,110147
(주)시너지이노베이션,48870,Dec-19,4563050,4419069
(주)시노펙스,25320,Dec-19,2533850,1287449
(주)시스웍,269620,Dec-19,462744,454961
(주)시큐브,131090,Dec-19,6324,6324
(주)시티랩스,139050,Dec-19,3437745,2076601
(주)신진에스엠,138070,Dec-19,933307,492587
(주)신테카바이오,226330,Dec-19,55450,55450
(주)신화콘텍,187270,Dec-19,893849,631415
(주)심텍,222800,Dec-19,13318224,11034694
(주)심텍홀딩스,36710,Dec-19,13761559,324769
(주)싸이맥스,160980,Dec-19,393120,302830
(주)싸이토젠,217330,Dec-19,47399,47399
