회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액2019
(주)네오셈,253590,19-Dec,13678942,25334754,13957524,27225588,51.26619855
(주)네오오토,212560,18-Dec,105265933,115243742,105265933,115243742,91.34199495
(주)네오오토,212560,19-Dec,109319189,118441501,109319189,118441501,92.29804425
(주)네오위즈,95660,18-Dec,80506895,155574255,104316848,215490230,48.40908472
(주)네오위즈,95660,19-Dec,98975385,202617148,114293832,254498033,44.90951488
(주)네오위즈홀딩스,42420,18-Dec,0,693917,112175792,228327081,49.12942937
(주)네오위즈홀딩스,42420,19-Dec,0,1860715,114229214,253948130,44.98131725
(주)네오크레마,311390,18-Dec,15680605,21745255,15680605,21745255,72.11046732
(주)네오크레마,311390,19-Dec,14316949,18448423,15222930,19776649,76.97426394
(주)네오티스,85910,18-Dec,36699388,45195339,35138242,45195339,77.74749073
(주)네오티스,85910,19-Dec,34806972,42566577,33502835,42409365,78.99867164
(주)네오팜,92730,18-Dec,18167360,66336414,17938729,66274582,27.0672835
(주)네오팜,92730,19-Dec,23813661,83586492,23136104,83240333,27.7943434
(주)네오펙트,290660,18-Dec,1551445,4556630,1476785,5653093,26.12348674
(주)네오펙트,290660,19-Dec,2713749,5240117,9084639,12311251,73.79135557
(주)네온테크,306620,18-Dec,,,0,0,#DIV/0!
(주)네온테크,306620,19-Dec,,,0,0,#DIV/0!
(주)네이블커뮤니케이션즈,153460,18-Dec,8809429,15833273,8809429,15833273,55.63871096
(주)네이블커뮤니케이션즈,153460,19-Dec,5587620,12360704,5587620,12360704,45.20470679
(주)네이처셀,7390,18-Dec,15731861,26715298,15731861,26715298,58.88708784
(주)네이처셀,7390,19-Dec,10170173,23072026,10170173,23072026,44.08010376
(주)네패스,33640,18-Dec,204335654,267505341,210101744,273317888,76.87083547
(주)네패스,33640,19-Dec,256065166,343577304,242594426,356317076,68.08386191
(주)넥스턴바이오사이언스,89140,18-Dec,18044507,26649697,18044507,26649697,67.70998935
(주)넥스턴바이오사이언스,89140,19-Dec,24854900,32446754,24854900,32446754,76.60211558
(주)넥스트아이,137940,18-Dec,20630545,26390218,56121664,87218818,64.34582042
(주)넥스트아이,137940,19-Dec,22969330,24578616,64058638,87989318,72.80274408
(주)넥스트엔터테인먼트월드,160550,18-Dec,78047307,87625568,133948816,161222834,83.08303029
(주)넥스트엔터테인먼트월드,160550,19-Dec,52706926,65461700,120874917,149180097,81.02616866
(주)넥슨게임즈,225570,18-Dec,0,23584094,0,23584094,0
(주)넥슨게임즈,225570,19-Dec,0,28498282,0,28498282,0
(주)넵튠,217270,18-Dec,0,6580514,0,18174243,0
(주)넵튠,217270,19-Dec,0,7858331,0,18037054,0
(주)노랑풍선,104620,18-Dec,0,92524044,0,92775360,0
(주)노랑풍선,104620,19-Dec,0,75861593,0,76779803,0
(주)노바렉스,194700,18-Dec,86668423,107299812,86646381,107311222,80.7430755
(주)노바렉스,194700,19-Dec,130502088,159077916,130485539,159100863,82.01435023
(주)노바텍,285490,18-Dec,15809558,25865920,15486739,25883507,59.83246011
(주)노바텍,285490,19-Dec,15842430,24833626,15107712,26133499,57.80975598
(주)노블엠앤비,106520,18-Dec,62748802,58748007,65804468,64349679,102.2607556
(주)노블엠앤비,106520,19-Dec,52781276,64600882,64270061,75340573,85.3060422
(주)노터스,278650,18-Dec,0,25961720,0,37237436,0
(주)노터스,278650,19-Dec,0,32452769,0,46039645,0
(주)녹십자셀,31390,18-Dec,13807944,27964255,14359786,29606475,48.50218069
(주)녹십자셀,31390,19-Dec,15861161,35697967,16125309,37903298,42.54328739
(주)녹십자엠에스,142280,18-Dec,78008245,86321685,78137247,86321905,90.51844604
(주)녹십자엠에스,142280,19-Dec,85132803,94084564,84615078,94085373,89.93435993
(주)녹십자웰빙,234690,18-Dec,23593526,53882815,23593526,53882815,43.78673609
(주)녹십자웰빙,234690,19-Dec,30865216,66937567,30865216,66937567,46.11045394
(주)녹원씨엔아이,65560,18-Dec,14146099,31693454,50072710,76356153,65.57783235
(주)녹원씨엔아이,65560,19-Dec,14116826,30113118,42833400,62274838,68.78123071
(주)누리플랜,69140,18-Dec,26430455,31804243,39128884,47668330,82.08570344
(주)누리플랜,69140,19-Dec,27154176,32924027,74758078,91289924,81.89083168
(주)누리플렉스,40160,18-Dec,103412125,146182075,137757432,190385732,72.35701465
(주)누리플렉스,40160,19-Dec,66906370,100090535,105786376,147947451,71.50266888
(주)누보,332290,19-Dec,,,0,0,#DIV/0!
(주)뉴로스,126870,18-Dec,30176916,44688477,34468898,51336070,67.14362436
(주)뉴로스,126870,19-Dec,38300166,50941288,45389599,59337239,76.49428886
(주)뉴보텍,60260,18-Dec,29082417,39973362,29082417,39973362,72.75449335
(주)뉴보텍,60260,19-Dec,29856385,41769160,29856385,41769160,71.47949588
(주)뉴인텍,12340,18-Dec,42533062,44914513,46773720,50073204,93.41067929
(주)뉴인텍,12340,19-Dec,42821714,47630357,48274308,54414657,88.7156341
(주)뉴트리,270870,18-Dec,21831066,86707331,21549426,87218814,24.70731372
