,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율2019
87,(주)네오크레마,311390,19-Dec,18448423,19776649,-9.053037088
88,(주)네오티스,85910,18-Dec,45195339,45195339,
89,(주)네오티스,85910,19-Dec,42566577,42409365,-6.164294951
90,(주)네오팜,92730,18-Dec,66336414,66274582,
91,(주)네오팜,92730,19-Dec,83586492,83240333,25.5991822
92,(주)네오펙트,290660,18-Dec,4556630,5653093,
93,(주)네오펙트,290660,19-Dec,5240117,12311251,117.7790282
94,(주)네온테크,306620,18-Dec,,0,
95,(주)네온테크,306620,19-Dec,,0,
96,(주)네이블커뮤니케이션즈,153460,18-Dec,15833273,15833273,
97,(주)네이블커뮤니케이션즈,153460,19-Dec,12360704,12360704,-21.93209831
98,(주)네이처셀,7390,18-Dec,26715298,26715298,
99,(주)네이처셀,7390,19-Dec,23072026,23072026,-13.63739981
100,(주)네패스,33640,18-Dec,267505341,273317888,
101,(주)네패스,33640,19-Dec,343577304,356317076,30.36727256
102,(주)넥스턴바이오사이언스,89140,18-Dec,26649697,26649697,
103,(주)넥스턴바이오사이언스,89140,19-Dec,32446754,32446754,21.75280642
104,(주)넥스트아이,137940,18-Dec,26390218,87218818,
105,(주)넥스트아이,137940,19-Dec,24578616,87989318,0.883410275
106,(주)넥스트엔터테인먼트월드,160550,18-Dec,87625568,161222834,
107,(주)넥스트엔터테인먼트월드,160550,19-Dec,65461700,149180097,-7.469622448
108,(주)넥슨게임즈,225570,18-Dec,23584094,23584094,
109,(주)넥슨게임즈,225570,19-Dec,28498282,28498282,20.83687421
110,(주)넵튠,217270,18-Dec,6580514,18174243,
111,(주)넵튠,217270,19-Dec,7858331,18037054,-0.754853999
112,(주)노랑풍선,104620,18-Dec,92524044,92775360,
113,(주)노랑풍선,104620,19-Dec,75861593,76779803,-17.24116942
114,(주)노바렉스,194700,18-Dec,107299812,107311222,
115,(주)노바렉스,194700,19-Dec,159077916,159100863,48.26116042
116,(주)노바텍,285490,18-Dec,25865920,25883507,
117,(주)노바텍,285490,19-Dec,24833626,26133499,0.965835117
118,(주)노블엠앤비,106520,18-Dec,58748007,64349679,
119,(주)노블엠앤비,106520,19-Dec,64600882,75340573,17.07995156
120,(주)노터스,278650,18-Dec,25961720,37237436,
121,(주)노터스,278650,19-Dec,32452769,46039645,23.63806412
122,(주)녹십자셀,31390,18-Dec,27964255,29606475,
123,(주)녹십자셀,31390,19-Dec,35697967,37903298,28.02367725
124,(주)녹십자엠에스,142280,18-Dec,86321685,86321905,
125,(주)녹십자엠에스,142280,19-Dec,94084564,94085373,8.993624504
126,(주)녹십자웰빙,234690,18-Dec,53882815,53882815,
127,(주)녹십자웰빙,234690,19-Dec,66937567,66937567,24.22804376
128,(주)녹원씨엔아이,65560,18-Dec,31693454,76356153,
129,(주)녹원씨엔아이,65560,19-Dec,30113118,62274838,-18.44162448
130,(주)누리플랜,69140,18-Dec,31804243,47668330,
131,(주)누리플랜,69140,19-Dec,32924027,91289924,91.51064029
132,(주)누리플렉스,40160,18-Dec,146182075,190385732,
133,(주)누리플렉스,40160,19-Dec,100090535,147947451,-22.29068353
134,(주)누보,332290,19-Dec,,0,
135,(주)뉴로스,126870,18-Dec,44688477,51336070,
136,(주)뉴로스,126870,19-Dec,50941288,59337239,15.58586195
137,(주)뉴보텍,60260,18-Dec,39973362,39973362,
138,(주)뉴보텍,60260,19-Dec,41769160,41769160,4.492486772
139,(주)뉴인텍,12340,18-Dec,44914513,50073204,
140,(주)뉴인텍,12340,19-Dec,47630357,54414657,8.670212116
141,(주)뉴트리,270870,18-Dec,86707331,87218814,
142,(주)뉴트리,270870,19-Dec,120304900,125146821,43.48603846
143,(주)뉴파워프라즈마,144960,18-Dec,73443751,73411628,
144,(주)뉴파워프라즈마,144960,19-Dec,60212977,60165999,-18.04295772
145,(주)뉴프렉스,85670,18-Dec,195570294,195502399,
146,(주)뉴프렉스,85670,19-Dec,137368762,128250921,-34.39931087
147,(주)다나와,119860,18-Dec,68011674,121359168,
148,(주)다나와,119860,19-Dec,94545982,202773825,67.08570794
149,(주)다날,64260,18-Dec,147311837,209864332,
150,(주)다날,64260,19-Dec,163395406,191162051,-8.911605332
151,(주)다보링크,340360,19-Dec,,0,
152,(주)다산네트웍스,39560,18-Dec,36903448,356932941,
153,(주)다산네트웍스,39560,19-Dec,69909377,446586616,25.11779236
154,(주)다우데이타,32190,18-Dec,168144455,2525297692,
155,(주)다우데이타,32190,19-Dec,193233235,3261975999,29.17193919
156,(주)다원시스,68240,18-Dec,127384635,128747502,
157,(주)다원시스,68240,19-Dec,169525723,175077026,35.98479449
158,(주)대동스틸,48470,18-Dec,101539496,101539496,
159,(주)대동스틸,48470,19-Dec,113290547,113290547,11.57288687
160,(주)대륙제관,4780,18-Dec,196346726,196346726,
161,(주)대륙제관,4780,19-Dec,197284517,197284517,0.477619881
162,(주)대림제지,17650,18-Dec,89572201,146502272,
163,(주)대림제지,17650,19-Dec,105900335,105900335,-27.71420296
164,(주)대명소노시즌,7720,18-Dec,214323503,280961738,
165,(주)대명소노시즌,7720,19-Dec,218566639,218566639,-22.20768545
166,(주)대성미생물연구소,36480,18-Dec,25097138,25097138,
167,(주)대성미생물연구소,36480,19-Dec,25133940,25133940,0.146638234
168,(주)대성엘텍,25440,18-Dec,338326754,348076304,
169,(주)대성엘텍,25440,19-Dec,364131618,377405556,8.426098434
170,(주)대성파인텍,104040,18-Dec,38587676,38587676,
171,(주)대성파인텍,104040,19-Dec,37497863,37466323,-2.905987393
172,(주)대원,7680,18-Dec,319582129,333043729,
173,(주)대원,7680,19-Dec,153482069,248600434,-25.35501727
174,(주)대유,290380,18-Dec,28744630,28744630,
175,(주)대유,290380,19-Dec,29676591,29676591,3.242209067
176,(주)대유에이피,290120,18-Dec,193955817,193955817,
177,(주)대유에이피,290120,19-Dec,155621706,157452770,-18.82028988
178,(주)대창솔루션,96350,18-Dec,32180980,51667981,
179,(주)대창솔루션,96350,19-Dec,48365618,65192868,26.17653475
180,(주)대창스틸,140520,18-Dec,228369357,228396166,
181,(주)대창스틸,140520,19-Dec,197667730,197636280,-13.46777686
182,(주)대한과학,131220,18-Dec,33984809,47055603,
183,(주)대한과학,131220,19-Dec,38676690,55165316,17.23431958
184,(주)대호특수강,21040,18-Dec,209863691,209863691,
185,(주)대호특수강,21040,19-Dec,204179606,204179606,-2.708465182
186,(주)더 미동,161570,18-Dec,19560828,19602894,
187,(주)더 미동,161570,19-Dec,24559154,24883150,26.93610443
188,(주)더블유아이,73570,18-Dec,4081422,19277934,
189,(주)더블유아이,73570,19-Dec,24052132,24052132,24.76509153
190,(주)더블유에스아이,299170,18-Dec,,0,
191,(주)더블유에스아이,299170,19-Dec,,0,
192,(주)덕산테코피아,317330,18-Dec,70930351,70930351,
193,(주)덕산테코피아,317330,19-Dec,61838936,61838936,-12.81738335
194,(주)덕신하우징,90410,18-Dec,131099317,135363460,
195,(주)덕신하우징,90410,19-Dec,145648501,149006750,10.07900507
196,(주)데이타솔루션,263800,18-Dec,98116700,98116700,
197,(주)데이타솔루션,263800,19-Dec,101169469,101169469,3.111365344
198,(주)덱스터스튜디오,206560,18-Dec,35739469,39216741,
199,(주)덱스터스튜디오,206560,19-Dec,38294449,55482725,41.47714365
200,(주)덴티스,261200,18-Dec,,0,
201,(주)덴티스,261200,19-Dec,,0,
202,(주)동구바이오제약,6620,18-Dec,104837387,104837387,
203,(주)동구바이오제약,6620,19-Dec,125235187,125235187,19.45660855
204,(주)동국알앤에스,75970,18-Dec,76379761,101618391,
205,(주)동국알앤에스,75970,19-Dec,71822024,101828656,0.206916285
206,(주)동국에스엔씨,100130,18-Dec,165727686,363113418,
207,(주)동국에스엔씨,100130,19-Dec,174461880,317847252,-12.46612319
208,(주)동방선기,99410,18-Dec,17058634,17058634,
209,(주)동방선기,99410,19-Dec,23630293,23630293,38.52394629
210,(주)동성화인텍,33500,18-Dec,185329974,188129063,
211,(주)동성화인텍,33500,19-Dec,238406562,253271782,34.62661109
212,(주)동아엘텍,88130,18-Dec,131466999,253511129,
213,(주)동아엘텍,88130,19-Dec,112102348,202944664,-19.94644779
214,(주)동양에스텍,60380,18-Dec,160309679,189075199,
215,(주)동양에스텍,60380,19-Dec,159756378,212129297,12.19308409
216,(주)동우팜투테이블,88910,18-Dec,250159235,250159235,
217,(주)동우팜투테이블,88910,19-Dec,270567996,270567996,8.158308047
218,(주)동운아나텍,94170,18-Dec,46698555,46698555,
219,(주)동운아나텍,94170,19-Dec,54763967,54763967,17.27122392
220,(주)동원개발,13120,18-Dec,607890976,607890976,
221,(주)동원개발,13120,19-Dec,642628503,642628503,5.714433734
222,(주)동일기연,32960,18-Dec,26438736,26930368,
223,(주)동일기연,32960,19-Dec,28889519,28951585,7.505344895
224,(주)동진쎄미켐,5290,18-Dec,632154575,827231162,
225,(주)동진쎄미켐,5290,19-Dec,652641480,875254175,5.805271272
226,(주)두산테스나,131970,18-Dec,65267823,65267823,
227,(주)두산테스나,131970,19-Dec,96831033,96831033,48.35952626
228,(주)듀오백,73190,18-Dec,28484831,32678107,
229,(주)듀오백,73190,19-Dec,28595364,31808599,-2.660827324
230,(주)드래곤플라이,30350,18-Dec,6373655,6373655,
231,(주)드래곤플라이,30350,19-Dec,6081313,6081313,-4.586724572
232,(주)드림시큐리티,203650,18-Dec,24951235,28316767,
233,(주)드림시큐리티,203650,19-Dec,22615520,28815881,1.762609411
234,(주)드림어스컴퍼니,60570,18-Dec,107695318,137849260,
235,(주)드림어스컴퍼니,60570,19-Dec,174357763,196961163,42.88155265
236,(주)디딤,217620,18-Dec,93391889,97013239,
237,(주)디딤,217620,19-Dec,118257663,125265879,29.12245822
238,(주)디모아,16670,18-Dec,8889174,15619906,
239,(주)디모아,16670,19-Dec,4633217,20405375,30.63698975
240,(주)디바이스이엔지,187870,18-Dec,93160425,93160425,
241,(주)디바이스이엔지,187870,19-Dec,43228287,43228287,-53.59801439
242,(주)디스플레이테크,66670,18-Dec,57286597,57286597,
243,(주)디스플레이테크,66670,19-Dec,43569777,43569777,-23.94420461
244,(주)디아크,78590,18-Dec,37763569,43385870,
245,(주)디아크,78590,19-Dec,37772354,64599738,48.89579948
246,(주)디알젬,263690,18-Dec,56606738,56626161,
247,(주)디알젬,263690,19-Dec,60226049,60087401,6.112439796
248,(주)디알텍,214680,18-Dec,43183164,44714337,
249,(주)디알텍,214680,19-Dec,46786896,47845054,7.001595484
250,(주)디앤씨미디어,263720,18-Dec,32081829,32910222,
251,(주)디앤씨미디어,263720,19-Dec,42139941,42139941,28.04514354
252,(주)디에스앤엘,141020,18-Dec,11087403,25153821,
253,(주)디에스앤엘,141020,19-Dec,875623,38570359,53.33797199
254,(주)디에스케이,109740,18-Dec,117447230,117907273,
255,(주)디에스케이,109740,19-Dec,76019403,76480134,-35.13535505
256,(주)디에이테크놀로지,196490,18-Dec,91110422,92133286,
257,(주)디에이테크놀로지,196490,19-Dec,107549535,108845736,18.13942683
258,(주)디에이피,66900,18-Dec,304108132,304108132,
259,(주)디에이피,66900,19-Dec,270484203,270484203,-11.05657017
260,(주)디엔에이링크,127120,18-Dec,12094514,14876023,
261,(주)디엔에이링크,127120,19-Dec,13471617,15572845,4.6841955
262,(주)디엔에프,92070,18-Dec,74242592,74242592,
263,(주)디엔에프,92070,19-Dec,58814557,58814557,-20.78057162
