회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원)
(주)네이처셀,7390,17-Dec,51440663,11958755,39481908,9043835
(주)네패스,33640,16-Dec,298597454,182776266,115821188,48895827
(주)네패스,33640,17-Dec,308121193,187246466,120874727,47967806
(주)넥스턴바이오사이언스,89140,16-Dec,98533684,8642107,89891577,27579051
(주)넥스턴바이오사이언스,89140,17-Dec,94752881,2987852,91765028,40839105
(주)넥스트아이,137940,16-Dec,98887814,33455791,65432023,20468188
(주)넥스트아이,137940,17-Dec,138956473,63670643,75285830,29138527
(주)넥스트엔터테인먼트월드,160550,16-Dec,230523945,93866680,136657265,58051642
(주)넥스트엔터테인먼트월드,160550,17-Dec,256463072,125719615,130743457,37639601
(주)넥슨게임즈,225570,16-Dec,0,0,0,0
(주)넥슨게임즈,225570,17-Dec,42988788,13481282,29507506,32464546
(주)넵튠,217270,16-Dec,47885328,8943521,38941807,8979864
(주)넵튠,217270,17-Dec,110288332,27834362,82453970,6670072
(주)노블엠앤비,106520,16-Dec,124085655,56103630,67982025,1522251
(주)노블엠앤비,106520,17-Dec,118174546,57628292,60546255,4869865
(주)녹십자셀,31390,16-Dec,51749174,12558942,39190232,1840891
(주)녹십자셀,31390,17-Dec,120409038,72249633,48159405,483301
(주)녹십자엠에스,142280,16-Dec,63605007,33298346,30306661,1589758
(주)녹십자엠에스,142280,17-Dec,61564417,34147032,27417385,3341911
(주)녹원씨엔아이,65560,16-Dec,11148825,1400808,9748017,260685
(주)녹원씨엔아이,65560,17-Dec,114012404,65351147,48661258,7900436
(주)누리플랜,69140,16-Dec,35390013,15997002,19393010,4326249
(주)누리플랜,69140,17-Dec,39137838,18211674,20926164,5024111
(주)누리플렉스,40160,16-Dec,81504821,26518539,54986283,19004488
(주)누리플렉스,40160,17-Dec,139977165,90791623,49185542,14654034
(주)뉴로스,126870,16-Dec,103249632,53584815,49664818,7032394
(주)뉴로스,126870,17-Dec,123641550,71140487,52501063,7989099
(주)뉴보텍,60260,16-Dec,31291657,14269411,17022246,6036067
(주)뉴보텍,60260,17-Dec,30896817,14407766,16489051,1216607
(주)뉴인텍,12340,16-Dec,44566833,25479844,19086989,1642560
(주)뉴인텍,12340,17-Dec,43898571,29154504,14744067,1428086
(주)뉴파워프라즈마,144960,16-Dec,127314768,27613025,99701743,9033010
(주)뉴파워프라즈마,144960,17-Dec,140509864,20524886,119984978,3719778
(주)뉴프렉스,85670,16-Dec,107094374,67234424,39859950,2344185
(주)뉴프렉스,85670,17-Dec,118913434,72407960,46505473,4117535
(주)다나와,119860,16-Dec,73114739,7944233,65170505,4869889
(주)다나와,119860,17-Dec,92840454,15969777,76870677,17350695
(주)다날,64260,16-Dec,387778727,244650950,143127776,51181951
(주)다날,64260,17-Dec,469487277,287129695,182357582,48513020
(주)다산네트웍스,39560,16-Dec,371291641,223625457,147666185,39693048
(주)다산네트웍스,39560,17-Dec,345584484,182111559,163472925,30376463
(주)다우데이타,32190,16-Dec,10174843743,8458810732,1716033010,221132178
(주)다우데이타,32190,17-Dec,13561817098,11486460665,2075356433,261304118
(주)다원시스,68240,16-Dec,238005407,98920055,139085352,18455550
(주)다원시스,68240,17-Dec,350900018,171776627,179123392,19217445
(주)대동스틸,48470,16-Dec,62713387,4186630,58526757,5482220
