회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원)
(주)CMG제약,58820,18-Dec,114379880,10398033,103981846,13464430
(주)CMG제약,58820,19-Dec,192243166,12084883,180158283,18579821
(주)ES큐브,50120,18-Dec,112430896,41682289,70748607,26730206
(주)ES큐브,50120,19-Dec,463958680,389920168,74038512,111347468
(주)가비아,79940,18-Dec,151440505,37253015,114187490,30287387
(주)가비아,79940,19-Dec,199916131,64956993,134959139,28753330
(주)강스템바이오텍,217730,18-Dec,73194018,25612644,47581374,3221946
(주)강스템바이오텍,217730,19-Dec,113643697,44924460,68719236,7680863
(주)강원에너지,114190,18-Dec,93845576,43641869,50203707,19740265
(주)강원에너지,114190,19-Dec,56602063,35477506,21124556,3637753
(주)고려시멘트,198440,18-Dec,127536833,41025871,86510962,957079
(주)고려시멘트,198440,19-Dec,127035573,38590195,88445378,4440035
(주)고영테크놀러지,98460,18-Dec,279059436,53192797,225866639,23211456
(주)고영테크놀러지,98460,19-Dec,305481184,61812656,243668528,27196310
(주)골드앤에스,35290,18-Dec,42472631,28693062,13779569,15251655
(주)골드앤에스,35290,19-Dec,16096170,21187743,-5091573,758085
(주)골드퍼시픽,38530,18-Dec,37825442,17738744,20086698,12573791
(주)골드퍼시픽,38530,19-Dec,72945743,51876425,21069318,6350030
(주)골프존,215000,18-Dec,254057808,59138246,194919561,59128242
(주)골프존,215000,19-Dec,312587283,112544404,200042879,15998293
(주)골프존뉴딘홀딩스,121440,18-Dec,774743339,288773468,485969871,15853938
(주)골프존뉴딘홀딩스,121440,19-Dec,776384700,329187192,447197508,33530564
(주)광림,14200,18-Dec,187812629,97737400,90075229,16397338
(주)광림,14200,19-Dec,252468254,161696117,90772137,17865642
(주)광무,29480,18-Dec,28431748,17702532,10729216,2221412
(주)광무,29480,19-Dec,63139837,40295715,22844122,17184794
(주)구스앤홈,329050,18-Dec,0,0,0,0
(주)구스앤홈,329050,19-Dec,0,0,0,0
(주)구영테크,53270,18-Dec,202572970,133745074,68827896,4563937
(주)구영테크,53270,19-Dec,206569873,134865616,71704257,6189218
(주)국보디자인,66620,18-Dec,175036784,66436346,108600438,16160182
(주)국보디자인,66620,19-Dec,222514980,99151096,123363884,15351377
(주)국순당,43650,18-Dec,238619493,22939575,215679919,24841713
(주)국순당,43650,19-Dec,252484287,47525638,204958649,36376370
(주)국영지앤엠,6050,18-Dec,60335138,8586831,51748308,9595253
(주)국영지앤엠,6050,19-Dec,68657302,15830851,52826451,9462857
(주)국전약품,307750,18-Dec,0,0,0,0
(주)국전약품,307750,19-Dec,0,0,0,0
(주)그래디언트,35080,18-Dec,1809664488,1095183390,714481098,168076807
(주)그래디언트,35080,19-Dec,1780051911,1110465400,669586510,143135378
(주)그리티,204020,18-Dec,95755030,21294442,74460588,259218
(주)그리티,204020,19-Dec,92151596,17970493,74181103,1068615
(주)그린플러스,186230,18-Dec,63717254,39721703,23995551,992428
(주)그린플러스,186230,19-Dec,72321985,34930648,37391337,4837160
(주)글로벌스탠다드테크놀로지,83450,18-Dec,105027408,19219582,85807825,11785443
(주)글로벌스탠다드테크놀로지,83450,19-Dec,136751562,33440861,103310701,25567080
(주)금빛,45890,18-Dec,102612701,52785404,49827297,4173303
(주)금빛,45890,19-Dec,102849215,71819944,31029271,4129132
(주)금화피에스시,36190,18-Dec,262516457,41789419,220727038,24232563
(주)금화피에스시,36190,19-Dec,281692946,42283315,239409631,32113492
(주)기가레인,49080,18-Dec,179113947,110553832,68560115,6526724
(주)기가레인,49080,19-Dec,117798198,89733582,28064616,5853130
(주)기산텔레콤,35460,18-Dec,56180491,24539492,31640999,7759395
(주)기산텔레콤,35460,19-Dec,66789756,32098792,34690964,14470449
(주)까스텔바작,308100,18-Dec,79266755,16480058,62786697,13959137
(주)까스텔바작,308100,19-Dec,89005071,12326845,76678226,15122601
(주)나노,187790,18-Dec,108261295,48795977,59465317,7605065
(주)나노,187790,19-Dec,116141232,54119319,62021912,8927634
(주)나노브릭,286750,18-Dec,18088485,16564282,1524203,1831559
(주)나노브릭,286750,19-Dec,24551526,10401714,14149812,906003
(주)나노신소재,121600,18-Dec,98480424,9625376,88855048,7393837
(주)나노신소재,121600,19-Dec,101893569,8105979,93787590,12604945
(주)나노엔텍,39860,18-Dec,42161682,7011281,35150401,6828422
(주)나노엔텍,39860,19-Dec,46639328,5613637,41025691,9782044
(주)나무가,190510,18-Dec,118767661,83345221,35422440,17883773
(주)나무가,190510,19-Dec,194518538,150249899,44268639,8017675
(주)나스미디어,89600,18-Dec,303112420,161163658,141948762,15274734
(주)나스미디어,89600,19-Dec,356236026,203104630,153131396,28879878
(주)나이벡,138610,18-Dec,22317590,11741622,10575969,859192
(주)나이벡,138610,19-Dec,35734880,8330838,27404041,4505044
(주)나이스디앤비,130580,18-Dec,56660361,11460701,45199660,12067352
(주)나이스디앤비,130580,19-Dec,78675556,18585479,60090077,14784237
(주)나인테크,267320,18-Dec,0,0,0,0
(주)나인테크,267320,19-Dec,0,0,0,0
(주)내츄럴엔도텍,168330,18-Dec,61165965,24678664,36487302,7232780
(주)내츄럴엔도텍,168330,19-Dec,48783961,28300833,20483129,1811537
(주)네오리진,94860,18-Dec,14691632,2901842,11789790,1711603
(주)네오리진,94860,19-Dec,14066760,3248578,10818182,4402694
(주)네오셈,253590,18-Dec,0,0,0,0
(주)네오셈,253590,19-Dec,64170222,26675765,37494457,23631693
(주)네오오토,212560,18-Dec,142507781,64967716,77540065,12578724
(주)네오오토,212560,19-Dec,141061458,61702966,79358492,13521547
(주)네오위즈,95660,18-Dec,366712258,67872548,298839710,89509958
(주)네오위즈,95660,19-Dec,398001624,69123581,328878043,85930526
(주)네오위즈홀딩스,42420,18-Dec,590591987,74313743,516278245,102567279
(주)네오위즈홀딩스,42420,19-Dec,622123554,72872632,549250922,94986655
(주)네오크레마,311390,18-Dec,32286515,9136669,23149846,7759853
(주)네오크레마,311390,19-Dec,47211442,9344908,37866534,6374697
(주)네오티스,85910,18-Dec,86639875,42086572,44553303,10837883
(주)네오티스,85910,19-Dec,86911739,43227797,43683942,11529225
(주)네오팜,92730,18-Dec,72928484,13641255,59287229,8421550
(주)네오팜,92730,19-Dec,122741537,17048924,105692614,5515261
(주)네오펙트,290660,18-Dec,35920416,7668955,28251461,22172080
(주)네오펙트,290660,19-Dec,47016455,34461786,12554669,2965018
(주)네온테크,306620,18-Dec,0,0,0,0
(주)네온테크,306620,19-Dec,0,0,0,0
(주)네이블커뮤니케이션즈,153460,18-Dec,28037387,3673172,24364215,13535846
(주)네이블커뮤니케이션즈,153460,19-Dec,25949215,1957930,23991285,8719032
(주)네이처셀,7390,18-Dec,52875422,9746521,43128901,14866338
(주)네이처셀,7390,19-Dec,93110328,11221553,81888775,21229511
(주)네패스,33640,18-Dec,281991633,140785218,141206415,32311676
(주)네패스,33640,19-Dec,521648374,331008677,190639697,113373631
(주)넥스턴바이오사이언스,89140,18-Dec,113520280,18007379,95512901,54514043
(주)넥스턴바이오사이언스,89140,19-Dec,105169657,5010735,100158921,54233701
(주)넥스트아이,137940,18-Dec,177572044,58798784,118773260,75567079
(주)넥스트아이,137940,19-Dec,174552667,62698966,111853701,55946661
(주)넥스트엔터테인먼트월드,160550,18-Dec,256522672,127429815,129092858,66088155
(주)넥스트엔터테인먼트월드,160550,19-Dec,313341346,191470119,121871227,63387371
(주)넥슨게임즈,225570,18-Dec,29415924,10747393,18668531,12567428
(주)넥슨게임즈,225570,19-Dec,72946033,34795261,38150773,8938904
(주)넵튠,217270,18-Dec,129607837,60801263,68806574,5518353
(주)넵튠,217270,19-Dec,115667487,53664369,62003118,8240669
(주)노랑풍선,104620,18-Dec,98461420,58294866,40166554,16423120
(주)노랑풍선,104620,19-Dec,114981929,58771043,56210886,17730520
(주)노바렉스,194700,18-Dec,106320975,27233449,79087526,35594690
(주)노바렉스,194700,19-Dec,154372405,62497188,91875216,29522793
(주)노바텍,285490,18-Dec,33247538,2109967,31137571,16221278
(주)노바텍,285490,19-Dec,39961029,6595420,33365609,6333544
(주)노블엠앤비,106520,18-Dec,110217014,73122628,37094386,1867362
(주)노블엠앤비,106520,19-Dec,106373832,57087695,49286137,2196599
(주)노터스,278650,18-Dec,43741174,22238822,21502351,3338644
(주)노터스,278650,19-Dec,61530652,18508093,43022559,5202317
(주)녹십자셀,31390,18-Dec,125379292,57854275,67525017,1723426
(주)녹십자셀,31390,19-Dec,153721997,68626017,85095980,2023251
(주)녹십자엠에스,142280,18-Dec,63972829,47209354,16763475,3849889
(주)녹십자엠에스,142280,19-Dec,88866125,38096010,50770115,8679545
(주)녹십자웰빙,234690,18-Dec,38973487,10128589,28844898,3492510
(주)녹십자웰빙,234690,19-Dec,106715710,23547108,83168602,12210361
(주)녹원씨엔아이,65560,18-Dec,125078941,48354289,76724652,11706429
(주)녹원씨엔아이,65560,19-Dec,103930553,35323798,68606755,6014073
(주)누리플랜,69140,18-Dec,47522740,25243144,22279596,3490104
(주)누리플랜,69140,19-Dec,117532072,90172493,27359579,2595844
(주)누리플렉스,40160,18-Dec,128568000,67596536,60971464,15198952
(주)누리플렉스,40160,19-Dec,128558142,60233414,68324728,19444458
(주)누보,332290,19-Dec,0,0,0,0
(주)뉴로스,126870,18-Dec,155859633,97437539,58422094,1815168
(주)뉴로스,126870,19-Dec,168006215,105572179,62434036,38354559
(주)뉴보텍,60260,18-Dec,30303894,11592841,18711053,1157979
(주)뉴보텍,60260,19-Dec,46232673,18605250,27627424,3521188
(주)뉴인텍,12340,18-Dec,42464348,28153135,14311213,1138723
(주)뉴인텍,12340,19-Dec,49776532,22767099,27009433,7266125
(주)뉴트리,270870,18-Dec,58916506,9962758,48953749,34817978
(주)뉴트리,270870,19-Dec,77528522,19081558,58446964,35358955
(주)뉴파워프라즈마,144960,18-Dec,143552780,13745737,129807043,9370325
(주)뉴파워프라즈마,144960,19-Dec,150094736,14946111,135148625,5565517
(주)뉴프렉스,85670,18-Dec,144998447,84153839,60844608,8281360
(주)뉴프렉스,85670,19-Dec,137433890,87756530,49677361,7024181
(주)다나와,119860,18-Dec,108421387,18464346,89957042,16767412
(주)다나와,119860,19-Dec,154181938,44514345,109667593,43737128
(주)다날,64260,18-Dec,456519738,296120181,160399557,28188910
(주)다날,64260,19-Dec,512017556,312245578,199771977,45520371
