,회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류),유동부채비율,매출액순이익률,CASH FLOW 대 매출액비율,CASH FLOW 대 부채비율,이자보상배율(이자비용),금융비용 대 총비용비율,설비투자효율,CASH FLOW 대 총자본비율,자본금회전률,총자본투자효율,총자본회전률,자기자본순이익률,매출채권회전률,유형자산회전율,부채비율,유동비율,자기자본배율,당좌비율,순운전자본비율,현금비율,타인자본회전률,총자본순이익률,매출액(수익)(*),매출액총이익률,매출원가 대 매출액비율,차입금의존도,재고자산회전률,총자산부채비율,현금비율(CASHTA),유보이익대총자산비율,판매관리비대매출액,고정비율,log총자산,총자본증가율,유동자산증가율,매출액증가율,총자산영업이익률,순이익률,이자비용/부채,영업이익증가율,순이익증가율
27,유니슨(주),18000,12-Dec,제조업,82.46,-19.99,-12.35,-7.07,-0.13,7.49,5.34,-4.23,5.79,1.88,0.34,-20.22,7.75,0.93,149.02,174.15,585.01,133.01,24.55,18.97,0.52,-6.86,113870608,13.38,86.62,38.63,2.61,0.598419923,0.062808281,0.008523864,0.146035657,1.054173632,8.521617108,39.99275492,-0.335990555,71.11264596,-0.00420028,-0.104780796,0.031921513,94.05583031,75.98862698
29,태산엘시디(주),36210,12-Dec,제조업,675.99,-5.59,-2.75,-6.3,-1.47,0.43,28.97,-5.51,14.88,8,1.33,-93.29,14.51,4.92,691.75,82.05,144.3,75.63,-15.33,28.44,1.51,-7.42,477813291,0.86,99.14,66.55,20.36,0.873698063,0.242828157,-0.141991021,0.038321544,2.371289845,8.377485299,-48.61054069,-51.79299439,-48.51297086,-0.039413257,-0.084587511,0.026810955,11.33108101,-8.912227839
31,(주)골드앤에스,35290,12-Dec,정보통신업,81.11,-14.74,12.65,21.01,-1.91,1.43,772.83,10.69,1.42,14.7,0.89,-26.93,6.26,43.54,103.59,128.81,71.5,116.04,11.48,15.05,1.73,-13.11,43889087,29.34,70.66,31.22,15.93,0.508806173,0.059966846,-0.221249161,0.346498573,0.991046765,7.715590618,13.7318335,13.56310193,-7.646234414,-0.047266129,-0.255263418,0.024789007,-279.9431809,-745.2737589
33,(주)서울리거,43710,12-Dec,도매 및 소매업,37.95,3.04,-5.21,-31.03,61.31,-0.22,200.66,-11.96,4.93,25.5,2.75,12.28,13.79,23.39,62.73,342.89,131.83,152.72,56.64,47.25,8.55,8.34,41447426,6.51,93.49,14.36,9.72,0.385499335,0.110194701,-0.230632447,0.037557797,0.326077308,7.256378643,17.83802073,41.32776966,97.24767909,0.075666474,0.25981606,0.001234116,294.8685152,210.2856622
35,(주)예당컴퍼니,49000,12-Dec,정보통신업,44.7,-116.19,-142.64,-58.7,-4.97,-2.17,-937.49,-18.35,0.55,-8.03,0.13,-24.14,3.13,13.34,45.49,159.73,270.82,158.7,18.35,8.37,0.34,-14.99,4654208,5.18,94.82,15.35,42.32,0.31268722,0.025703679,-3.22600641,0.829036004,0.740985957,7.558348941,24.60340258,9.941006458,-18.77844329,-0.10025246,-0.395387016,0.020153321,-501.3467935,-810.7606832
37,(주)이매진아시아,36260,12-Dec,정보통신업,62.38,-35.12,-2.51,-5.44,-6.53,0.04,-2953.25,-2.09,0.8,-24.99,0.83,-47.45,8.86,98.32,62.38,183.93,59.54,182.59,32.24,5.6,2.17,-29.22,13685960,4.26,95.74,1.44,162.5,0.38417176,0.02149923,-2.062857758,0.12402199,0.476437285,7.216151989,34.98930485,58.49130572,-36.06954249,-0.071076612,-0.706900748,0.010876574,-168.8509653,-91.76493633
39,(주)자연과환경,43910,12-Dec,"수도, 하수 및 폐기물 처리, 원료 재생업",81.99,-14.92,-12.28,-14.49,-4.16,2.87,11.9,-7.19,1.21,3.5,0.62,-19.25,2.13,2.04,98.46,151.48,88.47,112.93,21.27,4.48,1.22,-9.32,45844628,5.02,94.98,24.92,3.4,0.496123826,0.01852137,-0.089628952,0.204824129,0.742692139,7.893891332,21.7949114,15.48707276,33.28546705,-0.096582896,-0.182461615,0.023215619,62.66040043,67.69734707
41,(주)터보테크,32420,12-Dec,제조업,139.98,-68.65,-11.56,-4.43,-2.91,6.13,4.18,-2.64,0.4,0.33,0.29,-50.78,7.28,1.59,147.14,41.71,53.26,41.34,-33.02,5.19,0.46,-19.67,17073754,21.46,78.54,46.97,27.83,0.595369867,0.029377062,-0.326213594,0.57698307,1.887591779,7.873987914,98.34340097,66.38267522,62.22223531,-0.103811096,-0.318284066,0.035649982,-163.0669085,-220.297785
43,(주)테라리소스,53320,12-Dec,도매 및 소매업,39.38,-62.61,-27.65,-32.37,-6.52,3.29,-81.13,-9.9,0.62,-14.84,0.3,-23.23,9.33,1.89,44.07,42.95,133.63,41.6,-15.59,1.77,0.89,-19.05,15004528,3.05,96.95,26.11,45.22,0.305900069,0.004829821,-0.282703181,0.465448297,1.271575973,7.622225818,-19.21304183,-72.50839769,120.1078232,-0.132322787,-0.560054808,0.020292443,-304.5459561,-140.1847261
45,(주)플레이위드,23770,12-Dec,정보통신업,666.79,-60.04,-12.74,-2.87,-1.55,7.36,449.15,-2.51,3.87,5.17,0.21,-72.9,4.39,0.62,713.19,110.6,196.72,110.58,8.69,2.91,0.25,-12.38,17600255,92.99,7.01,4.37,1663.11,0.877027272,0.023840493,-0.239985369,1.137192217,0.757339039,7.950490845,-47.5355551,394.3726772,-3.71877559,-0.042747896,-0.152287937,0.027554817,13.30637475,-32.2466732
