,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,매출액,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
15,(주)국보디자인,66620,19-Dec,76.46,5.93,27.12,1.59,4.31,0.26,592.26,-0.89,945.33,1.92,71.73,35.7,1.35,36.86,5.8,11.99,13.75,121.22,0.0,34.63,88.01,80.37,206.55,3289.7,206.55,45.16,16.28,3.25,8.02,-29.800040659895405,14.921779737669391,269005976,0.058142355519770754,0.4455929034530619,8.34735925357469,0.08020568612041173,0.06899030797836622,0.0002356942019793989,0.5544070965469381,0.12446977277664632,0.07689422483313159,0.5184054754425972,건설업
17,(주)국영지앤엠,6050,19-Dec,23.24,1.49,13.79,1.83,8.45,6.81,15.75,-0.07,26.03,1.95,4.18,11.78,1.13,27.57,29.68,4.51,2.08,29.48,27.93,2.37,95.49,29.97,261.22,302.77,240.15,28.83,77.08,5.98,1.69,207.72017504005356,407.15739216703116,73013468,0.015365939275200934,0.23057781967604843,7.836686733119234,0.016897408871403626,0.1378273938000069,0.005153888071767009,0.7694221803239516,0.5329218733354829,0.03151300798367775,0.305037386991991,제조업
19,(주)그래디언트,35080,19-Dec,146.37,0.19,-1.64,3.31,10.18,7.52,10.13,-0.04,206.58,6.35,112.17,13.3,1.9,-4.37,-0.83,11.1,-1.6,7.0,27.04,33.87,88.9,165.84,123.13,961.68,114.41,12.74,14.6,3.09,0.36,126.23222929475595,255.13442793034199,3412333826,0.02516306247066288,0.6238387729805932,9.250432667664015,0.003625561062045336,0.08041078864918563,0.00404403368316857,0.3761612264576255,0.3220414918562451,0.09781231292697094,0.0888137537018155,도매 및 소매업
20,(주)그리티,204020,19-Dec,23.31,1.27,-3.76,1.52,10.42,8.14,4.95,-0.03,599.19,2.03,15.43,19.31,1.31,-7.3,3.2,54.17,2.43,15.7,2.98,64.08,45.83,24.23,477.62,706.09,233.61,70.87,6.18,6.27,1.66,-63.77988225,-67.50248202,123079831,0.03101521284300001,0.19501011138211866,7.964502861291292,0.01663936001916186,0.011596272298962679,0.029982578603530097,0.8049898886178813,0.10360930699453105,0.518020690164906,0.43190044152897794,제조업
21,(주)그린플러스,186230,19-Dec,46.66,5.19,13.5,-5.45,-7.62,41.21,3.03,3.59,44.61,-3.68,23.52,19.81,0.72,36.93,5.34,19.36,8.37,4.32,7.93,1.51,80.64,93.42,220.53,1513.21,186.04,29.08,27.72,1.31,3.72,-0.574981397,11.59947502,48831866,0.07464372834370236,0.4829879600234977,7.859270337582295,0.03724051999438192,0.06688367306290058,0.04484091867381377,0.5170120399765024,0.4679346950999755,0.08958758610617092,0.1723011750852801,제조업
22,(주)글로벌스탠다드테크놀로지,83450,19-Dec,30.07,10.68,30.21,6.44,32.38,4.54,122.37,-0.01,186.83,7.92,36.11,52.25,1.39,62.81,29.56,39.44,19.83,6.41,8.34,4.37,60.56,32.37,286.47,2131.39,216.14,42.35,82.31,6.39,14.86,110.54054272228353,74.39192318547502,168231754,0.18122628283179468,0.24453732382230486,8.135932295620506,0.1486350611883242,0.1869600582697549,0.006799449066541275,0.7554626761776951,0.3493423936174126,0.26413536055743675,0.6419749706405548,제조업
23,(주)금빛,45890,19-Dec,217.13,-62.78,0.23,-13.46,-10.99,41.14,-4.07,3.64,-27.96,-7.68,3.62,-15.16,0.57,-16.21,10.33,15.07,-91.08,6.21,4.18,1.05,84.93,231.46,55.42,162.26,37.32,-29.2,6.13,0.94,-35.84,4.508864462567411,-454.1881432147452,58651417,-0.1568048260583728,0.6983032782505924,8.012200981276544,-0.35844957271789485,0.04014743330807143,0.06346746850704996,0.3016967217494076,0.6369603501592113,0.425315026915718,-0.4725275054359919,제조업
24,(주)금화피에스시,36190,19-Dec,16.18,13.22,7.3,10.81,53.54,1.73,280.27,-1.26,548.61,8.04,69.81,46.68,0.77,3.37,-10.24,20.84,12.04,8.7,177.69,8.46,79.16,17.66,474.92,7980.32,471.78,51.57,82.88,4.98,10.17,-17.053358278731746,-30.19509676603175,209435314,0.126154714750491,0.15010427346661354,8.449775971758111,0.10171614399687247,0.11400176133626008,0.0029136437979999557,0.8498957265333864,0.34677390537141817,0.044474968533721106,0.8166577305773216,건설업
25,(주)기가레인,49080,19-Dec,222.15,-63.3,-34.23,-1.24,-1.0,53.85,-8.09,3.02,-36.07,-0.76,2.84,-14.25,0.49,-38.15,-41.68,-17.43,-95.33,2.39,2.65,1.39,117.43,319.74,96.45,105.25,68.18,-1.88,9.39,0.73,-31.03,-1085.1426075202082,-112.88590326711159,72769411,-0.19937713898500178,0.7617568309491458,8.071138646948178,-0.31025997269326927,0.04968777196404991,0.03655271119532254,0.23824316905085424,0.48951821826680236,0.23241280597969935,-0.5851675082499989,제조업
26,(주)기산텔레콤,35460,19-Dec,65.57,5.22,18.88,2.7,5.64,25.79,6.63,0.64,153.45,2.71,9.2,21.13,1.09,5.41,18.8,21.45,10.87,5.41,3.39,12.03,78.55,92.53,215.66,439.5,127.08,39.39,63.11,2.37,5.69,236.4963004966831,205.1362027903203,67054955,0.06498840325172316,0.4805945390787174,7.824709856879211,0.05689971493673587,0.21665671304443754,0.021284154724744132,0.5194054609212826,0.2655513369445458,0.15495268023071523,-0.25347646127049783,제조업
27,(주)까스텔바작,308100,19-Dec,12.95,8.44,12.29,7.83,51.68,1.19,214.89,-0.04,631.35,7.16,25.83,17.97,0.97,5.29,-11.9,61.6,9.85,15.99,2.26,34.4,38.4,16.08,666.58,2324.74,292.61,63.22,152.27,5.65,8.16,-38.11790936,-38.74406512,81358617,0.10719304846671124,0.13849598524560472,7.949414750966026,0.08164912883277323,0.1699071842771745,0.002913884911543598,0.8615040147543953,0.25621087364786216,0.5051835996671379,0.25225689668850443,도매 및 소매업
28,(주)나노,187790,19-Dec,69.57,-0.41,7.28,5.06,6.89,31.17,-0.54,1.93,44.92,3.21,5.94,15.41,0.66,-3.85,-10.07,9.78,0.95,6.09,3.28,1.5,90.22,87.26,113.91,390.8,63.88,5.17,20.69,1.43,-0.27,-139.65698205119554,36.11062369199296,73694955,-0.007751891314485955,0.46597851657023925,8.064986428619674,-0.002660968251930603,0.07686877301249913,0.031475787622473536,0.5340214748195542,0.5768210724680448,0.10964089739928602,0.14278516522022083,제조업
29,(주)나노브릭,286750,19-Dec,61.67,-10.04,35.73,-11.66,-8.72,27.14,-3.38,4.23,26.87,-3.69,1.96,13.22,0.36,144.14,8.2,24.44,-9.96,4.0,4.43,0.62,75.56,73.51,134.24,310.3,112.22,12.17,10.38,0.58,-3.66,-17.10176411,-190.8380165,7775408,-0.07094777719452276,0.4236687365176405,7.390078490869694,-0.036611247590907045,0.036902105392552786,0.033188019459767036,0.5763312634823595,0.5228710834511875,0.4389700193224587,-0.8642107622964047,제조업
30,(주)나노신소재,121600,19-Dec,5.68,11.87,3.47,16.21,97.77,1.42,42.91,-0.34,124.02,7.78,9.01,22.56,0.49,5.26,-6.42,39.51,6.35,4.73,1.26,2.37,60.49,8.64,1398.81,1729.07,690.04,67.9,236.63,5.51,5.79,-41.209389357568405,-24.379919185267365,48892961,0.051342970442276904,0.07955339163750363,8.008146774428903,0.057904580461197876,0.12370697310641852,0.013520004534340439,0.9204466083624964,0.26871875495891206,0.2898932629586496,0.5047160238346348,제조업
31,(주)나노엔텍,39860,19-Dec,7.85,21.9,10.62,10.65,49.8,0.74,133.96,-0.27,109.32,5.99,1.99,29.61,0.59,16.74,1.78,48.4,15.1,2.76,4.0,2.01,51.6,13.68,845.77,309.25,632.67,51.51,303.64,4.16,12.95,7.971907360959342,73.80739779724976,26255836,0.06872032198732875,0.12036273335670702,7.668752284289672,0.1295017928287077,0.20973809914242333,0.0036082610595965852,0.879637266643293,0.4157922258228077,0.36774323239983675,0.17391757874384467,제조업
32,(주)나무가,190510,19-Dec,318.93,-0.16,63.78,5.02,12.09,25.8,1.15,0.52,72.28,9.34,189.19,20.7,2.31,70.02,15.74,5.62,-0.94,12.72,14.35,5.74,94.38,339.4,80.42,2311.88,51.97,-14.21,5.68,3.1,-0.37,43.55185748761837,-116.34322675659166,362063863,0.017019741108991526,0.7724194338742151,8.288960996754053,-0.0037405988637246035,0.041218050898572965,0.019917565058722116,0.2275805661257849,0.41627900781364086,0.048787083730584845,-0.11250981127567389,제조업
33,(주)나스미디어,89600,19-Dec,123.73,19.22,17.53,22.99,13.25,2.58,35.89,-0.42,807.95,7.55,25.67,25.32,0.35,22.12,9.76,0.0,15.07,3.77,0.0,10.12,0.0,132.63,147.79,3105.08,147.79,25.42,15.24,0.64,6.82,22.497870620300493,9.165485469404409,117006838,0.09269333441334902,0.5701406235651192,8.55173783736711,0.06820092816295195,0.08106950418316199,0.0046742745830238176,0.42985937643488087,0.2139174688637471,0.738830622873511,0.28518905608945905,"전문, 과학 및 기술 서비스업"
34,(주)나이벡,138610,19-Dec,15.9,-29.36,60.12,-17.09,-19.05,11.3,-2.23,3.01,23.24,-4.44,2.28,6.8,0.32,222.8,78.34,42.83,-14.36,4.16,3.1,0.88,57.17,30.4,391.85,553.45,312.53,35.59,103.38,0.93,-9.39,71.77690087063047,34.23701375442699,9287488,-0.03308220993869856,0.23312903247471378,7.55309232805114,-0.09393695048634451,0.1260685358394935,0.043000210238306615,0.7668709395414228,0.5221555242385031,0.5317385066877072,-0.7306383566979937,제조업
35,(주)나이스디앤비,130580,19-Dec,28.14,14.59,38.85,16.06,66.84,3.83,323.47,-1.06,970.44,15.79,10.04,62.42,1.14,46.91,48.6,0.0,21.19,9.93,54228.91,25.07,0.0,30.93,317.03,708.04,317.02,46.64,87.44,5.15,16.67,22.783748721848283,21.299590347619553,77330430,0.18913031047035356,0.23622939506140891,7.895839820754355,0.1667017485092298,0.18791398182174907,0.0026336126589137122,0.7637706049385911,0.31870246967177457,0.8345016056421773,0.5381075540158877,"사업시설 관리, 사업 지원 및 임대 서비스업"
39,(주)네오셈,253590,19-Dec,35.94,-5.76,0.0,-17.93,-18.3,31.61,-7.64,0.44,64.86,-7.61,7.25,12.48,0.42,0.0,0.0,48.73,-4.19,3.29,5.58,2.2,51.27,71.15,286.04,998.88,249.85,39.07,175.37,1.02,-2.45,#NAME?,#NAME?,27225588,-0.10391455401229562,0.4157031745970896,7.807333541756645,-0.04891680131634888,0.36826571988484,0.032717787100013815,0.5842968254029104,0.39931747470033685,0.60980038337464,0.3445371281402143,제조업
40,(주)네오오토,212560,19-Dec,43.29,2.11,-1.01,14.98,28.75,28.41,0.84,0.65,26.61,12.58,30.08,17.3,0.84,8.09,2.77,7.7,3.18,8.4,14.89,1.2,92.3,77.75,115.42,2015.46,92.74,3.75,39.36,1.87,1.76,-67.17608618024121,-56.921498239602094,118441501,0.005607907280803472,0.43741902908730745,8.149408368364972,0.017617326962604714,0.09585571559879949,0.015030044600217752,0.5625809709126925,0.7189082931497844,0.0703064122768927,0.44578920345485157,제조업
41,(주)네오위즈,95660,19-Dec,13.66,10.85,8.53,14.86,54.7,1.22,296.81,-0.27,150.07,9.5,23.23,28.9,0.67,23.49,18.1,55.09,7.78,10.02,13439.69,3.98,44.91,21.02,425.94,2948.12,425.89,36.79,191.27,3.72,7.22,44.387510581626586,-17.602079327842688,254498033,0.08517558989467906,0.1736766305255076,8.59988484416615,0.07224485562562338,0.21590496324205954,0.0016018554801646987,0.8263233694744924,0.519193293542943,0.42293734741753386,0.6325168939511664,정보통신업
42,(주)네오위즈홀딩스,42420,19-Dec,8.27,16.09,5.34,14.42,50.25,0.78,268.11,-0.49,163.06,5.89,54.57,20.79,0.42,4.87,11.22,55.02,6.57,20.36,3595.39,3.8,44.98,13.27,686.49,6957.61,686.34,42.8,209.2,3.45,6.74,39.16328429177512,-6.216467793944283,253948130,0.04851657623805449,0.11713530460542569,8.793876644323829,0.06738243655442691,0.1526813353863146,0.0014909532217231385,0.8828646953945744,0.4989805754887075,0.4343426864375808,0.40253229184117983,정보통신업
43,(주)네오크레마,311390,19-Dec,6.97,5.19,0.0,-5.11,-10.82,13.17,3.38,0.94,26.07,-2.14,5.45,11.96,0.42,0.0,0.0,23.03,2.72,5.36,2.75,0.91,76.97,24.68,900.67,1039.33,627.95,44.75,241.57,2.12,2.17,-79.63680017,-71.20102629,19776649,0.016732530623397027,0.19793735594858552,7.674047265482702,0.025804210289328566,0.13502440785435021,0.021295044248659082,0.8020626440514145,0.4966382725611304,0.19662673893843188,0.2744052596402372,제조업
44,(주)네오티스,85910,19-Dec,78.64,3.43,0.31,9.93,9.74,34.46,4.37,1.64,64.36,4.84,7.7,23.5,0.49,-1.07,-6.16,21.0,3.13,3.05,7.37,1.4,79.0,98.96,107.74,776.02,92.4,3.06,33.56,0.99,1.68,-28.46179399090968,-54.1699819941927,42409365,0.03869023079209163,0.49737581479068094,7.939078439723772,0.016786591221214456,0.13265440471741108,0.018029225534094966,0.5026241852093191,0.5741323390157916,0.130847372980001,0.3546035593649783,제조업
45,(주)네오팜,92730,19-Dec,12.14,23.12,68.3,21.27,103.83,3.79,1337.32,-2.02,341.72,14.42,21.25,28.51,0.85,72.52,25.6,72.21,23.33,9.44,13.12,8.05,27.79,16.13,792.45,2575.56,746.93,72.39,42.98,5.42,19.67,19.824580850132676,25.21650248524937,83240333,0.23468593586955255,0.13890101441372696,8.08899155732529,0.19671262773565093,0.04493394114821945,0.001118859554387089,0.8610989937334743,0.1715911297411894,0.4462227223430257,0.48137373414184964,제조업
46,(주)네오펙트,290660,19-Dec,215.18,-128.95,30.89,-89.77,-32.07,43.87,-15.37,3.04,-12.97,-23.51,2.07,-3.55,0.3,-32.45,117.78,26.21,-77.93,3.04,4.97,1.37,73.79,274.49,73.27,208.05,63.12,-15.36,10.98,0.58,-38.28,-160.5332076,-64.77681682,12311251,-0.3291411849863494,0.7329728708810564,7.672249880595425,-0.3828246426128133,0.06306341045916797,0.04215197639177531,0.26702712911894355,0.5789946094404608,1.370744695238526,-0.9731681174176148,제조업
48,(주)네이블커뮤니케이션즈,153460,19-Dec,8.1,-3.02,-7.45,-11.62,-73.37,0.03,-454.29,-1.91,148.23,-5.54,3.79,35.65,0.46,-7.81,-21.93,54.8,-1.54,8.79,35.41,1.93,45.2,8.16,959.85,734.8,955.93,64.37,448.85,4.39,-1.38,79.71051254682824,84.1007138115696,12360704,-0.017957270213079905,0.07545237880991776,7.4141242243684875,-0.013815650038503997,0.3360036902850433,0.0003789666747290317,0.9245476211900823,0.2814660096654176,0.587168012436832,0.1775651787539623,정보통신업
50,(주)네패스,33640,19-Dec,72.99,8.73,84.99,18.47,19.88,42.91,11.65,1.06,56.36,12.62,30.7,27.14,0.89,101.61,30.37,31.92,17.12,9.45,31.41,1.69,68.08,173.63,139.07,1810.02,128.17,10.42,81.48,1.51,7.74,179.59386329441597,35.480507716527086,356317076,0.153281117076094,0.6345436763500771,8.717377858005966,0.07737711096804567,0.21733726519772492,0.02240907759096798,0.36545632364992287,0.6290304970834626,0.14630573304322916,0.18397436814400958,제조업
51,(주)넥스턴바이오사이언스,89140,19-Dec,4.4,17.75,-7.36,19.05,123.35,0.03,2394.07,-2.6,66.5,5.88,5.48,10.26,0.3,-24.89,21.75,23.4,5.89,4.79,2.41,2.55,76.6,5.0,1694.28,1690.94,1507.82,66.79,1230.9,2.82,5.27,-26.94651102426398,3.7618863802077422,32446754,0.027412152942364237,0.0476443029570782,8.021890457514715,0.05265669814519175,0.5156782150577899,0.00010878389080877782,0.9523556875344759,0.2901877297175173,0.14160038936406397,0.520417043862756,제조업
52,(주)넥스트아이,137940,19-Dec,53.95,-3.45,-1.7,-3.04,-4.26,25.69,3.95,0.19,81.46,-1.53,11.1,7.93,0.5,-1.59,0.88,27.2,-7.29,5.44,15.71,4.59,72.8,56.05,200.4,999.79,194.4,34.71,92.71,1.45,-1.72,-55.969901463180314,56.553281397717235,87989318,0.020960749897498673,0.3591979834945747,8.241926488810666,-0.01723537090812124,0.32051450121927955,0.015396960026008712,0.6408020165054252,0.3071980733471119,0.23003111582249108,0.08200268289226426,제조업
53,(주)넥스트엔터테인먼트월드,160550,19-Dec,136.65,-7.43,22.15,-2.19,-1.7,32.64,-3.05,1.15,20.0,-1.04,10.69,4.6,0.52,20.7,-7.47,18.97,-7.52,5.7,418.52,2.25,81.03,157.11,97.68,795.8,97.37,-1.23,38.06,0.94,-3.89,23.164416680227994,24.909094344982467,149180097,-0.028600816133648222,0.611059221657904,8.496017704664373,-0.03890882964995344,0.20229494705751344,0.01674165288475726,0.38894077834209595,0.480840396338886,0.2443654933405761,0.016807523383779683,정보통신업
55,(주)넵튠,217270,19-Dec,60.57,-115.26,-10.76,-53.58,-18.01,30.68,-24.07,0.6,-3160.01,-8.35,1.61,-18.32,0.15,-10.05,-0.75,0.0,-25.05,8.77,24039.63,24.21,0.0,86.55,33.89,588.96,33.89,-21.46,21.94,0.32,-16.95,44.916112958393015,43.699525418896265,18037054,-0.08251437474403255,0.4639537902297471,8.063211300171874,-0.16951418235615093,0.07124447166384794,0.0073470611685435856,0.5360462097702529,0.8899458151105158,1.5610323060517532,-0.20535408537059338,정보통신업
56,(주)노랑풍선,104620,19-Dec,102.96,-2.16,16.78,5.47,7.15,13.24,-4.42,-0.22,77.82,3.66,35.04,24.91,0.72,29.21,-17.24,0.0,-3.44,5.44,140.0,2.11,0.0,104.55,112.79,2359.0,110.89,6.44,30.64,1.31,-1.55,-158.0675845,-136.910745,76779803,-0.019288696599302328,0.5111328668003126,8.060629590333859,-0.015515433090398146,0.15420266605546337,0.007953007053488134,0.4888671331996874,0.43233010119355364,1.0268107226063083,0.29574733434851314,"사업시설 관리, 사업 지원 및 임대 서비스업"
57,(주)노바렉스,194700,19-Dec,42.3,9.12,45.19,1.93,4.92,14.06,389.16,-0.11,95.84,1.99,35.34,29.23,1.22,25.05,48.26,17.99,17.23,8.36,8.2,3.55,82.01,68.02,205.85,2038.95,140.03,26.65,75.97,3.55,11.13,43.85710067,58.50700031,159100863,0.125095627668029,0.4048468895720061,8.18856967017522,0.11129153337150334,0.1912439791295601,0.0009339062197897915,0.5951531039501522,0.4817815852515869,0.07736930377304113,0.35836495518742484,제조업
58,(주)노바텍,285490,19-Dec,8.9,21.02,20.19,22.14,87.75,0.44,665.98,-0.44,166.75,14.48,10.84,28.23,0.71,-12.89,0.97,42.19,16.42,10.73,12.08,7.2,57.81,19.77,815.28,1134.98,721.19,53.18,213.19,6.0,15.01,-17.1924603,-20.01171645,26133499,0.15093733497064626,0.16504630048440444,7.601636662818913,0.15006465022051313,0.15849301578295194,0.0019059462836057718,0.8349536995155955,0.39390124313365404,0.21048976258403057,0.5951705347727657,제조업
60,(주)노터스,278650,19-Dec,28.1,9.89,40.67,9.38,23.32,13.36,10.34,1.16,60.54,7.01,68.3,22.77,0.87,79.82,23.64,0.0,13.42,11.22,43.3,2.22,0.0,43.02,241.76,5721.41,232.68,27.85,43.03,2.26,8.65,12.47900199,18.10932089,46039645,0.12790964602437882,0.30079468359932215,7.7890915170464545,0.08651477176808921,0.08454838086227333,0.031954566376374754,0.6992053164006778,0.5249800700957955,0.8537642720746434,0.25965237618479975,"전문, 과학 및 기술 서비스업"
61,(주)녹십자셀,31390,19-Dec,57.5,29.17,22.61,14.25,7.87,38.5,4.05,2.27,60.06,3.51,6.33,17.23,0.27,10.25,28.02,57.46,14.52,5.97,15.19,0.54,42.54,80.65,93.13,1397.29,87.28,-2.19,4.14,0.6,7.92,50.813381028086916,-20.482144055258825,37903298,0.04078588830881394,0.4464293877212641,8.186736017741614,0.07923691817847534,0.013161753291560479,0.0222159670535865,0.5535706122787358,0.7035890055474624,0.4244035176041937,0.1515144836428322,제조업
62,(주)녹십자엠에스,142280,19-Dec,61.42,-17.38,38.91,-2.46,-6.07,14.25,-5.1,0.76,-35.85,-2.6,12.27,-1.91,1.23,12.98,8.99,10.07,-49.93,4.02,7.97,3.98,89.93,75.04,162.54,469.54,125.42,21.95,27.83,2.21,-21.4,24.933006445674526,-45.612923893023805,94085373,-0.0581410024567428,0.4286898973033875,7.9487362432063255,-0.21395507587679513,0.09766989389939079,0.020415480555243865,0.5713101026966124,0.4296045540412615,0.14788057438003674,-0.17697200142348954,제조업
