,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결),총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율
10,(주)골프존뉴딘홀딩스,121440,19-Dec,19.08,-15.22,0.21,0.0,-3.17,-2.2,32.57,-0.36,3.4,8.42,-0.93,10.69,3.91,0.3,25.76,2.64,38.58,-6.89,21.94,4.59,0.62,61.42,73.61,147.33,2094.93,90.62,5.2,39.3,0.74,-425.38,-4.49,-0.0046696386469233615,0.42400010201128385,8.890076968278606,-0.04488513877205463,0.04318807931171235,0.03047879821521124,0.5759998979887162,650668195,0.40164631676348217,0.1834672398876485
11,(주)광림,14200,19-Dec,163.61,-9.6,34.43,0.0,-8.75,-7.89,42.5,-2.3,2.21,38.25,-5.06,5.69,8.91,0.66,52.04,6.79,7.47,-7.84,6.61,5.51,2.44,92.53,178.13,77.11,295.96,58.44,-13.46,12.03,1.12,0.0,-6.36,-0.04350312099041173,0.6404611844782672,8.402206776595673,-0.05548013177133946,0.0707639147375733,0.02955973271763848,0.3595388155217329,137941785,0.1500213239461169,-0.04605884825424427
12,(주)광무,29480,19-Dec,158.2,-17.6,122.08,0.0,-5.15,-4.67,38.16,-2.9,1.61,163.65,-2.98,3.25,9.9,0.8,127.19,58.11,40.05,-38.68,5.34,67.74,5.9,59.95,176.39,108.76,364.84,107.36,5.02,47.55,1.26,0.0,-14.02,-0.04771352197187332,0.6381979573371405,7.800303456395414,-0.10169809275877605,0.2721703890366394,0.025750604003428157,0.3618020426628596,23832076,0.48311142268775015,-0.19011910024411371
13,(주)구스앤홈,329050,19-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-inf,,,,,0,,
14,(주)구영테크,53270,19-Dec,124.6,1.47,1.97,-43.49,2.37,4.05,45.39,1.33,1.69,40.32,2.64,17.49,23.26,1.13,15.51,18.24,9.61,4.8,10.58,7.0,1.81,90.39,188.09,78.53,543.33,40.02,-9.29,6.93,1.72,-2.6,1.66,0.025362725570344906,0.6528813424792104,8.31506698250828,0.016398741746818036,0.0299618618635642,0.02925605589492877,0.3471186575207896,136404800,0.07341022353690396,0.1926083480721315
15,(주)국보디자인,66620,19-Dec,76.46,5.93,27.12,14.92,1.59,4.31,0.26,592.26,-0.89,945.33,1.92,71.73,35.7,1.35,36.86,5.8,11.99,13.75,121.22,0.0,34.63,88.01,80.37,206.55,3289.7,206.55,45.16,16.28,3.25,-29.8,8.02,0.05193941549463321,0.4455929034530619,8.34735925357469,0.07164891100814876,0.06899030797836622,0.0001968107341950108,0.5544070965469381,27696389,0.07689422483313159,0.5184054754425972
16,(주)국순당,43650,19-Dec,16.52,-8.1,5.81,0.0,-4.87,-10.46,8.98,-4.32,0.15,19.02,-1.97,11.43,5.91,0.42,8.13,66.02,27.85,-2.47,11.26,6.61,1.4,72.15,23.19,232.87,2242.89,185.56,17.82,107.45,2.9,0.0,-3.37,-0.023632840961703094,0.18823206214016797,8.402234355597125,-0.03275412936885058,0.1440737973527834,0.02906403907718188,0.811767937859832,173649732,0.33691463747141176,0.6721663752485318
17,(주)국영지앤엠,6050,19-Dec,23.24,1.49,13.79,0.0,1.83,8.45,6.81,15.75,-0.07,26.03,1.95,4.18,11.78,1.13,27.57,29.68,4.51,2.08,29.48,27.93,2.37,95.49,29.97,261.22,302.77,240.15,28.83,77.08,5.98,0.0,1.69,0.014434662754443803,0.23057781967604843,7.836686733119234,0.015873315266597573,0.1378273938000069,0.003974707360962465,0.7694221803239516,36588978,0.03151300798367775,0.305037386991991
18,(주)국전약품,307750,19-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-inf,,,,,0,,
19,(주)그래디언트,35080,19-Dec,146.37,0.19,-1.64,0.0,3.31,10.18,7.52,10.13,-0.04,206.58,6.35,112.17,13.3,1.9,-4.37,-0.83,11.1,-1.6,7.0,27.04,33.87,88.9,165.84,123.13,961.68,114.41,12.74,14.6,3.09,126.23,0.36,0.02537236623320026,0.6238387729805932,9.250432667664015,0.0036557181056277636,0.08041078864918563,0.004016207078581647,0.3761612264576255,573250573,0.09781231292697094,0.0888137537018155
20,(주)그리티,204020,19-Dec,23.31,1.27,-3.76,-64.91,1.52,10.42,8.14,4.95,-0.03,599.19,2.03,15.43,19.31,1.31,-7.3,3.2,54.17,2.43,15.7,2.98,64.08,45.83,24.23,477.62,706.09,233.61,70.87,6.18,6.27,-63.78,1.66,0.03162161184924025,0.19501011138211866,7.964502861291292,0.016964687187837744,0.011596272298962679,0.03275547309692617,0.8049898886178813,9547763,0.518020690164906,0.43190044152897794
21,(주)그린플러스,186230,19-Dec,46.66,5.19,13.5,13.6,-5.45,-7.62,41.21,3.03,3.59,44.61,-3.68,23.52,19.81,0.72,36.93,5.34,19.36,8.37,4.32,7.93,1.51,80.64,93.42,220.53,1513.21,186.04,29.08,27.72,1.31,-0.57,3.72,0.07020324455972828,0.4829879600234977,7.859270337582295,0.035025117189468734,0.06688367306290058,0.047916087900802755,0.5170120399765024,33841966,0.08958758610617092,0.1723011750852801
22,(주)글로벌스탠다드테크놀로지,83450,19-Dec,30.07,10.68,30.21,85.7,6.44,32.38,4.54,122.37,-0.01,186.83,7.92,36.11,52.25,1.39,62.81,29.56,39.44,19.83,6.41,8.34,4.37,60.56,32.37,286.47,2131.39,216.14,42.35,82.31,6.39,110.54,14.86,0.16020549732367956,0.24453732382230486,8.135932295620506,0.13139459423505526,0.1869600582697549,0.005353660002952675,0.7554626761776951,47773118,0.26413536055743675,0.6419749706405548
23,(주)금빛,45890,19-Dec,217.13,-62.78,0.23,0.0,-13.46,-10.99,41.14,-4.07,3.64,-27.96,-7.68,3.62,-15.16,0.57,-16.21,10.33,15.07,-91.08,6.21,4.18,1.05,84.93,231.46,55.42,162.26,37.32,-29.2,6.13,0.94,0.0,-35.84,-0.15662453038654695,0.6983032782505924,8.012200981276544,-0.3580374240095075,0.04014743330807143,0.05505703262592352,0.3016967217494076,65510872,0.425315026915718,-0.4725275054359919
24,(주)금화피에스시,36190,19-Dec,16.18,13.22,7.3,-30.25,10.81,53.54,1.73,280.27,-1.26,548.61,8.04,69.81,46.68,0.77,3.37,-10.24,20.84,12.04,8.7,177.69,8.46,79.16,17.66,474.92,7980.32,471.78,51.57,82.88,4.98,-17.05,10.17,0.12186066952489467,0.15010427346661354,8.449775971758111,0.0982539371078181,0.11400176133626008,0.00289662719207328,0.8498957265333864,97683763,0.044474968533721106,0.8166577305773216
25,(주)기가레인,49080,19-Dec,222.15,-63.3,-34.23,0.0,-1.24,-1.0,53.85,-8.09,3.02,-36.07,-0.76,2.84,-14.25,0.49,-38.15,-41.68,-17.43,-95.33,2.39,2.65,1.39,117.43,319.74,96.45,105.25,68.18,-1.88,9.39,0.73,0.0,-31.03,-0.25126655163264894,0.7617568309491458,8.071138646948178,-0.39100748383264744,0.04968777196404991,0.040793245052894465,0.23824316905085424,57664364,0.23241280597969935,-0.5851675082499989
26,(주)기산텔레콤,35460,19-Dec,65.57,5.22,18.88,0.0,2.7,5.64,25.79,6.63,0.64,153.45,2.71,9.2,21.13,1.09,5.41,18.8,21.45,10.87,5.41,3.39,12.03,78.55,92.53,215.66,439.5,127.08,39.39,63.11,2.37,0.0,5.69,0.05982683931350191,0.4805945390787174,7.824709856879211,0.05238057764427227,0.21665671304443754,0.018777934073033027,0.5194054609212826,17736109,0.15495268023071523,-0.25347646127049783
27,(주)까스텔바작,308100,19-Dec,12.95,8.44,12.29,-38.74,7.83,51.68,1.19,214.89,-0.04,631.35,7.16,25.83,17.97,0.97,5.29,-11.9,61.6,9.85,15.99,2.26,34.4,38.4,16.08,666.58,2324.74,292.61,63.22,152.27,5.65,-38.12,8.16,0.10132888945170326,0.13849598524560472,7.949414750966026,0.07718238885512489,0.1699071842771745,0.003404764154980451,0.8615040147543953,22804067,0.5051835996671379,0.25225689668850443
28,(주)나노,187790,19-Dec,69.57,-0.41,7.28,0.0,5.06,6.89,31.17,-0.54,1.93,44.92,3.21,5.94,15.41,0.66,-3.85,-10.07,9.78,0.95,6.09,3.28,1.5,90.22,87.26,113.91,390.8,63.88,5.17,20.69,1.43,-139.66,-0.27,-0.0074889165976816914,0.46597851657023925,8.064986428619674,-0.002570697717413571,0.07686877301249913,0.02992776017747008,0.5340214748195542,66992710,0.10964089739928602,0.14278516522022083
29,(주)나노브릭,286750,19-Dec,61.67,-10.04,35.73,0.0,-11.66,-8.72,27.14,-3.38,4.23,26.87,-3.69,1.96,13.22,0.36,144.14,8.2,24.44,-9.96,4.0,4.43,0.62,75.56,73.51,134.24,310.3,112.22,12.17,10.38,0.58,0.0,-3.66,-0.06160949017995867,0.4236687365176405,7.390078490869694,-0.03179240263924939,0.036902105392552786,0.04301925624949888,0.5763312634823595,12837283,0.4389700193224587,-0.8642107622964047
