,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
258,(주)세원물산,24830,17-Dec,24.11,9.01,2.64,5.14,5.53,3.64,151.82,-0.86,45.16,1.46,17.22,15.35,0.29,-15.23,-5.58,17.63,3.49,5.59,10.45,0.68,82.37,35.85,147.51,4459.56,129.88,8.43,6.82,1.12,2.59,76.485217029947,71.81896037576064,0.01940934476503958,0.2639142924631005,8.403020551560195,0.02560357676631889,0.012095847246169928,0.000484428510078384,0.7360857075368995,186720866,0.10803466699489918,0.5453836214769258,제조업
259,(주)세중,39310,17-Dec,37.56,-0.8,-21.74,8.42,41.87,1.82,43.65,-0.1,737.7,11.53,17.48,24.49,1.2,-12.33,-37.93,24.31,-2.05,7.25,21.15,11.48,75.69,38.01,296.58,870.86,277.0,53.5,102.9,3.4,-0.97,-36.6337452131628,-113.98371143522724,0.06891365414816748,0.27544039860020153,8.063262882666685,-0.011003479510149728,0.28000906560239947,0.005731424473743023,0.7245596013997985,22316554,0.19271756618693608,0.483780963732179,"사업시설 관리, 사업 지원 및 임대 서비스업"
260,(주)세진티에스,67770,17-Dec,6.13,-10.76,-7.85,3.75,33.48,0.0,-26064.25,-1.2,50.0,1.94,5.44,14.73,0.5,-4.81,-30.05,3.09,-5.71,5.25,14.04,1.66,96.91,6.15,1158.98,991.09,1113.44,61.2,140.54,7.61,-5.34,-235.83751011068173,-447.2750717672448,-0.05499266463500973,0.05794032713749058,7.64510987767409,-0.05563683823513097,0.08121869440148118,3.63406028866943e-05,0.9420596728625095,14586369,0.13725506258170858,0.5340453173818333,제조업
261,(주)세코닉스,53450,17-Dec,118.27,-0.71,15.79,7.01,10.84,35.93,0.56,0.86,45.25,6.75,60.61,23.93,1.03,11.21,5.94,13.51,-1.77,7.09,4.73,1.91,86.49,165.23,92.58,2370.45,41.0,-3.31,7.03,1.77,-0.74,-88.23972235324982,-126.11931133081656,0.004779825945170944,0.6229720168988365,8.536093824756165,-0.006857253630071862,0.03148499672810036,0.013780326415496574,0.3770279831011635,201770379,0.1301262356214537,0.2904414294984913,제조업
262,(주)세토피아,222810,17-Dec,85.06,-35.61,-26.22,-6.89,-11.6,21.3,-10.88,0.28,49.6,-5.47,9.65,22.91,0.67,-37.3,0.99,26.44,-44.04,2.86,33.79,1.7,73.56,89.27,80.91,633.66,73.55,-8.58,19.98,1.48,-24.01,69.62197582251572,-45.94299616835702,-0.050752123413147526,0.47165407514551666,7.273707034838263,-0.2827386072624816,0.08978645131558034,0.009886883986119956,0.5283459248544833,11951262,0.3283598116608825,-0.01694593246876613,정보통신업
263,(주)세화피앤씨,252500,17-Dec,11.58,-8.21,0.0,2.77,19.55,5.46,8.02,0.02,34.64,3.22,17.29,13.65,1.16,0.0,0.0,49.17,-11.43,7.09,7.29,2.95,50.83,19.74,546.44,1241.95,381.47,43.16,190.82,7.05,-9.55,0.0,0.0,0.0507046856997009,0.1648468864400569,7.452079125016249,-0.09548297810108868,0.18447291311980873,0.03834105346857708,0.8351531135599431,13358741,0.4480506538312206,0.3125833294225423,제조업
264,(주)셀루메드,49180,17-Dec,76.38,-36.49,-6.89,-21.64,-15.35,25.23,-0.56,6.27,-9.18,-7.2,0.43,-1.01,0.32,13.08,120.18,40.16,-16.96,1.88,1.95,2.87,59.84,88.24,113.54,395.93,76.58,5.49,7.94,0.78,-11.7,93.29795922186796,78.97079728671727,-0.015650399951433837,0.4687664863927413,7.812803198911353,-0.12133007886692494,0.0322080146018571,0.059866862731104434,0.5312335136072587,35045275,0.448655664115602,-1.5333326152024864,제조업
265,(주)셀바스에이아이,108860,17-Dec,56.98,-9.14,6.22,-9.29,-8.34,36.74,0.5,1.86,71.2,-4.07,4.25,18.66,0.45,21.29,32.24,0.0,-8.32,3.85,6.32,1.51,0.0,95.41,116.15,414.34,93.05,4.71,36.91,0.98,-4.13,1597.4473082500735,77.79966527117695,0.005256898889965056,0.4882527094971419,8.029002827747581,-0.04005598965163699,0.10763725323878365,0.021342510218070175,0.511747290502858,70696106,0.9880086155236681,-0.16438803951696565,정보통신업
266,(주)셀바스헬스케어,208370,17-Dec,75.37,-3.77,20.26,-17.8,-19.58,42.23,0.29,1.71,61.94,-9.62,4.59,21.87,0.59,17.82,28.11,43.7,-4.08,3.97,4.03,1.8,56.3,96.65,106.5,423.12,72.14,2.49,15.68,1.3,-2.23,4321.505470733925,92.49408898394276,0.0029158227201725425,0.49148057245012733,7.737958727060457,-0.020405475329472334,0.06007995261406428,0.020742820430323883,0.5085194275498727,32370496,0.4316213529941133,0.04055448038826981,제조업
267,(주)셀트리온제약,68760,17-Dec,42.33,11.57,6.38,-13.39,-10.3,30.67,1.58,4.02,36.75,-3.87,8.36,15.6,0.3,22.85,29.62,42.9,5.51,1.33,2.07,0.66,57.1,60.16,169.85,1761.4,117.36,18.46,4.54,0.79,3.44,273.0554293937876,234.30667273739056,0.018437363050546506,0.3756265574719303,8.672346637405335,0.03341652254534747,0.011988626261832822,0.03099680206093055,0.6243734425280697,259162638,0.36519205440036856,-0.0444628270554164,제조업
268,(주)셀트리온헬스케어,91990,17-Dec,58.29,17.98,44.63,-8.89,-7.0,0.39,6.83,2.07,80789.49,-2.85,7.39,8.86,0.38,44.47,21.82,25.53,14.31,2.37,0.61,4314.18,74.47,68.71,281.8,1240.79,123.36,62.81,25.31,0.72,6.81,-9.793086592031631,34.15379539952118,0.05733124190861849,0.4072757205845191,9.458638374710478,0.05762910033068899,0.08743157173500186,0.020603561519792563,0.5927242794154809,75806527,0.07648036787221354,0.09088983746204023,도매 및 소매업
269,(주)셀피글로벌,68940,17-Dec,57.16,-35.81,-28.22,-2.88,-6.24,33.96,-25.4,0.32,-40.96,-2.63,4.36,-9.4,0.76,-35.61,10.28,22.69,-42.83,4.5,4.77,4.0,77.31,72.82,206.18,276.71,142.02,35.12,48.6,2.1,-27.29,-4548.786559568337,-3995.7816863652006,-0.24329947172129526,0.4213640683295005,7.4745277367869205,-0.32650678808291234,0.16075352649676172,0.022732036794253035,0.5786359316704995,9484311,0.49377441495586444,0.26854749847257237,제조업
270,(주)소리바다,53110,17-Dec,78.9,-11.14,33.6,-10.65,-20.38,23.96,-3.14,1.96,184.12,-9.21,2.32,8.45,0.99,-10.5,37.6,0.0,-20.03,8.39,23.26,23.18,0.0,82.44,96.96,128.99,79.78,-1.31,20.69,1.97,-11.01,-479.9395277848438,30.39066490141505,-0.06420979211283448,0.45188414191126214,7.795817245094912,-0.0962685214968749,0.08947721996364691,0.045245781167439256,0.5481158580887379,36286068,1.0742957261087913,-0.4787472403811578,정보통신업
271,(주)소프트센,32680,17-Dec,100.05,-0.55,21.77,1.04,3.21,18.37,0.34,0.79,2260.26,1.84,9.21,15.71,1.95,29.94,23.13,9.61,-2.35,4.16,23.79,275.91,90.39,134.42,191.55,221.28,173.07,39.07,60.26,3.56,-1.06,-56.422495731819645,11.928277050583612,0.005719528437166674,0.5734226530903541,7.904389063540207,-0.00968096112374957,0.25718573298487557,0.029133448422610328,0.42657734690964594,14645757,0.09285534463814811,-0.04715983519221674,도매 및 소매업
272,(주)손오공,66910,17-Dec,177.89,-11.81,-26.24,-0.09,-0.22,16.48,-35.96,0.24,-18.52,-0.15,9.51,-4.58,1.47,-30.21,-19.52,9.84,-48.7,5.47,3.35,6.82,90.16,214.56,130.77,174.4,64.53,17.4,4.02,2.29,-17.38,-421.40290348066304,-795.9597978341966,-0.19860253596206673,0.6820911592654276,7.778571407944953,-0.20467772235457096,0.022722373302840625,0.008096676091115843,0.3179088407345723,15640494,0.21299424935565184,-0.8049743852096491,도매 및 소매업
273,(주)솔고바이오메디칼,43100,17-Dec,28.43,-36.71,31.63,-31.34,-41.03,19.99,-11.31,0.81,5.89,-11.23,0.45,1.22,0.41,33.46,-2.16,24.86,-21.69,5.04,1.51,1.5,75.14,37.7,234.84,77.67,120.29,27.83,32.27,1.35,-14.96,22.279959048072865,-6.379833923432206,-0.09361503535935829,0.27379133673132655,7.811193590876968,-0.13162140870114142,0.06661301359997893,0.030233998401453584,0.7262086632686734,33357185,0.5097126369555893,-0.306602980100664,제조업
274,(주)솔루에타,154040,17-Dec,99.03,0.01,21.97,4.48,5.89,27.29,0.58,1.79,43.68,3.46,28.28,12.58,0.85,10.71,11.06,16.0,0.01,4.06,13.02,3.02,84.0,142.23,127.52,1318.42,112.57,11.25,28.32,1.49,0.0,2981.405299672973,38415.46838537615,0.014008916697338454,0.5871657119534454,8.305121074272945,4.45731346696652e-05,0.11578422765141835,0.041064773631688783,0.41283428804655464,96640667,0.1418488179332511,0.19456183684862677,제조업
275,(주)솔본,35610,17-Dec,11.43,-8.31,-2.04,3.5,11.67,3.31,29.91,-0.39,177.01,1.38,5.42,14.27,0.39,-3.23,-6.19,54.05,-4.4,3.6,26.46,5.07,45.95,13.44,441.24,932.57,435.12,34.39,168.96,3.23,-3.25,85.1648966325258,-272.614877291456,0.013069152503388424,0.11844849136653132,8.272854661930259,-0.032853366176703244,0.1704895071944123,0.0036886086928164985,0.8815515086334687,104080659,0.5074521040838583,-0.0034557637411419834,"전문, 과학 및 기술 서비스업"
276,(주)쇼박스,86980,17-Dec,46.02,15.43,3.08,-1.66,-2.65,0.0,999999999.0,-1.15,6024.65,-0.84,3.28,36.67,0.51,4.43,-18.44,19.71,11.95,12.06,0.0,74.38,80.29,46.32,250.39,443.84,250.39,47.3,100.02,1.52,7.91,-32.024824159804155,18.50685479091233,0.05114985044246747,0.31655307245961267,8.308067435145595,0.0779560511714673,0.31457693523995484,0.0,0.6834469275403874,43183651,0.09581973822578509,0.3546904437306311,정보통신업
277,(주)수산아이앤티,50960,17-Dec,1.74,25.7,2.71,33.09,430.39,0.0,999999999.0,-4.79,216.33,7.6,4.86,16.48,0.23,-0.34,0.84,0.0,6.12,4.01,46.75,3.63,0.0,1.8,3658.36,2077.12,3625.41,60.84,91.92,10.0,5.98,-22.063183364051135,-18.49041138671652,0.06117821264360666,0.017657704900613438,7.853536580361047,0.059020028629140325,0.015716548420986676,0.0,0.9823422950993865,26730799,0.7336095360081799,0.5588844179442009,정보통신업
278,(주)슈프리마,236200,17-Dec,5.45,19.31,9.1,27.91,216.66,0.0,999999999.0,-2.57,300.29,12.72,13.29,14.12,0.48,11.26,11.57,53.18,9.8,6.24,7.98,9.26,46.82,6.24,1226.73,2745.8,1104.33,57.85,589.49,7.53,9.18,15.135041539358207,-18.28237949830384,0.12013803314054879,0.05871160664375674,8.01401066177599,0.08800698606941863,0.30263998543126175,0.0,0.9412883933562433,38234825,0.26812645681163405,0.19570344801864037,제조업
279,(주)슈프리마에이치큐,94840,17-Dec,3.32,16.25,3.25,16.87,72.86,0.0,999999999.0,-2.81,117.03,3.74,5.47,5.43,0.22,1.09,-10.86,34.9,3.95,6.73,5.95,5.53,65.1,5.4,1345.01,2315.58,1223.12,39.22,323.12,4.24,3.66,2.0375339103013044,20.60629861049008,0.028691962358781947,0.051276168761194243,8.111543063982808,0.0359890658582087,0.10178762270254015,0.0,0.9487238312388058,74506056,0.21939043493280896,0.7892740735052409,제조업
280,(주)슈피겐코리아,192440,17-Dec,15.37,18.07,19.63,14.24,88.56,2.08,327.88,-1.17,166.81,12.44,72.39,27.1,0.95,14.03,25.51,70.51,19.59,20.66,14.84,9.1,29.49,16.34,499.63,7122.28,447.73,52.81,161.78,7.78,17.2,11.004517861415133,5.459193937959583,0.18764069918235113,0.1404757122490942,8.410867403789153,0.1578561071526472,0.21379170396652666,0.00407385216923811,0.8595242877509058,87501827,0.4903258274463119,0.6563484765177051,제조업
281,(주)스마트솔루션즈,136510,17-Dec,28.25,12.07,17.35,0.52,1.41,15.08,21.88,0.14,61.03,0.31,9.27,21.17,0.65,23.35,100.26,41.3,9.79,5.4,6.85,1.94,58.7,28.44,238.26,1202.5,201.12,30.41,123.9,3.22,7.82,226.45390126270115,86.30380550921544,0.08024700934999192,0.22144604233584794,7.620160935064844,0.07243832002046693,0.2725232839778076,0.01656078309625441,0.778553957664152,19846946,0.27929484175074487,0.461973677335368,제조업
282,(주)스맥,99440,17-Dec,75.54,0.21,-5.14,5.45,8.1,34.02,1.52,1.72,40.97,4.3,13.15,11.35,0.77,-7.23,31.23,17.46,0.36,2.92,3.12,2.72,82.54,113.0,174.98,758.93,99.84,26.59,16.44,1.38,0.16,12.762288976120928,-83.04470995214267,0.02305807060197233,0.5305150419549428,8.31069327199326,0.0016345771689827199,0.058318142337626916,0.028560659736671795,0.46948495804505724,77591157,0.1453155960547449,0.11921882770248277,제조업
283,(주)스카이문스테크놀로지,33790,17-Dec,24.26,-35.35,0.0,-38.37,-22.32,33.98,-8.45,0.03,-12.66,-8.24,1.57,-2.57,0.21,0.0,0.0,4.72,-11.92,17.95,55.2,1.06,95.28,58.53,513.08,460.32,510.54,63.21,280.72,0.58,-7.59,-92.2240898866345,-128.63697694130673,-0.0685154919828835,0.36921211225766076,7.797087621147886,-0.07592010598329164,0.4298279047956546,0.021957595439345296,0.6307878877423392,13469173,0.36625464349870057,0.06450947864689728,제조업
