,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
0,(주)CMG제약,58820,17-Dec,11.11,6.83,-1.27,6.34,22.67,0.0,999999999.0,-2.82,84.87,2.4,0.76,12.51,0.38,3.12,25.98,43.43,2.85,3.01,5.81,2.51,56.57,11.87,746.28,179.9,673.66,64.2,34.9,3.86,2.57,-9.94630660758641,64.06674016650318,0.014225000215162886,0.10609044399972682,8.03968434077042,0.025873403195908577,0.03467252021670932,0.0,0.8939095560002732,28340823,0.3967544410349987,-0.0310100417591232,제조업
1,(주)ES큐브,50120,17-Dec,5.08,4.86,0.69,4.97,5.37,27.01,2.86,1.0,64.47,1.68,1.15,7.08,0.34,0.3,4.25,27.1,2.41,13.8,4.53,3.83,72.9,45.42,1378.49,174.95,1153.05,44.7,654.97,1.07,1.65,4.048002791247366,-91.93203097323914,0.021234061292052003,0.312348525689789,8.024863688244848,0.016412220469904416,0.2290067616072435,0.023734030015373126,0.687651474310211,54853973,0.20811777184191235,0.23511908547765462,도매 및 소매업
2,(주)가비아,79940,17-Dec,29.43,8.32,6.03,16.48,57.21,7.2,53.72,-0.3,108.49,14.36,17.17,36.5,0.9,9.75,13.74,48.1,8.88,7.68,76.48,2.62,51.9,33.52,224.87,823.81,219.17,27.52,101.89,3.67,7.46,1.2980686748117956,-4.992019304979473,0.09530597337955306,0.25105274613663203,8.125099126683406,0.07249531917900166,0.22459466672200623,0.007066700941621565,0.7489472538633679,67269196,0.37165019986027803,0.39633969754252174,정보통신업
3,(주)강스템바이오텍,217730,17-Dec,26.01,-126.27,0.0,-116.58,-46.87,30.19,-8.15,4.59,-10.95,-22.56,1.12,-1.37,0.19,0.0,0.0,35.68,-46.19,20.71,5.29,0.69,64.32,92.79,396.43,302.13,369.34,40.0,61.46,0.4,-24.43,-28.739371723143336,-38.93286749092661,-0.24868895998788448,0.48129888572377805,7.673932604153962,-0.24432623849765903,0.08292160302874348,0.06336917990619813,0.5187011142762219,21952967,1.6420515893076697,-0.7583664468674206,제조업
4,(주)강원에너지,114190,17-Dec,69.76,-7.86,20.72,-11.88,-21.72,11.78,-26.56,-0.07,7.18,-10.46,10.76,0.74,0.96,26.72,93.99,1.05,-12.58,2.27,235.53,5.44,98.95,92.91,202.02,604.64,200.95,36.89,41.76,2.45,-7.57,-326.2167954301055,-473.3059586571895,-0.05997583542988056,0.48161274798589054,7.969319881650817,-0.06924083451326159,0.15101338821757093,0.004687810853922634,0.5183872520141095,25110973,0.07866931739444474,0.24194591778521332,제조업
5,(주)고려시멘트,198440,17-Dec,29.88,1.15,0.0,3.61,8.22,8.83,16.79,-0.15,31.72,2.73,28.76,12.85,0.76,0.0,0.0,13.33,1.3,2.96,26.32,1.83,86.67,49.73,166.67,2539.18,152.27,13.3,2.92,2.28,0.87,0.0,0.0,0.02604054896712697,0.3321278387374978,8.064014557917147,0.008661951740060245,0.0058215789527277925,0.004669280778658802,0.6678721612625022,77338671,0.09888233753678805,0.28213259358990667,제조업
6,(주)고영테크놀러지,98460,17-Dec,20.01,13.15,5.17,12.09,56.02,0.0,6141.06,-0.2,259.28,11.98,29.74,32.01,1.02,4.17,18.38,64.65,16.76,3.33,9.72,8.27,35.35,27.21,499.8,2357.41,430.73,62.9,142.52,4.98,13.36,31.835407555481947,-10.058050245573124,0.21319361873842893,0.2138822343065285,8.3121929861037,0.13027847413970994,0.22422173061656625,0.00016231408668911936,0.7861177656934715,43850844,0.4313359475615477,0.7635989708654979,제조업
7,(주)골드앤에스,35290,17-Dec,23.97,-62.3,-8.02,7.97,26.66,9.03,-26.15,0.35,-3780.33,5.94,1.21,-24.99,0.71,25.06,-19.45,37.49,-57.72,4.12,8.49,47.18,62.51,28.68,338.62,120.41,305.56,44.44,67.09,3.11,-44.5,-1018.755689307832,-2143.173475216912,-0.21509579575652266,0.22288766219784006,7.23486978955776,-0.46441747126779453,0.12494231082988906,0.036907847678780144,0.7771123378021599,6342934,0.6634406170581474,-1.4113933941984405,정보통신업
8,(주)골드퍼시픽,38530,17-Dec,386.77,-19.18,138.88,-73.82,-17.52,64.77,0.62,22.94,101.29,-13.98,0.31,4.95,0.27,216.54,-47.52,60.47,-26.61,3.44,16.75,3.83,39.53,395.26,82.97,161.2,80.35,-13.3,25.64,0.33,-5.12,1009.2509796309292,95.88159224030488,0.035290543683677414,0.7980841364339244,7.424358323154662,-0.03632521073215726,0.2001998120518593,0.07152045327668727,0.20191586356607563,9352807,0.4183616257694866,-1.1655613318098446,도매 및 소매업
9,(주)골프존,215000,17-Dec,27.41,39.68,34.99,28.89,89.92,12.81,52.52,-0.5,123.58,22.79,63.77,34.14,0.91,78.87,-7.77,65.5,51.19,13.6,15.52,2.77,34.5,33.95,309.32,6032.07,284.03,42.84,212.93,3.04,35.96,-17.57143081288123,117.29654342175476,0.14766121262871704,0.2534392120887214,8.404273250322788,0.3129705795883154,0.43580343671497057,0.011092549886578955,0.7465607879112786,93080529,0.467810343733938,0.46224861757635544,정보통신업
10,(주)골프존뉴딘홀딩스,121440,17-Dec,24.1,-10.1,-0.56,3.44,2.88,27.5,2.81,2.29,5.95,0.97,9.98,3.08,0.28,14.69,-12.13,47.15,-4.2,40.0,5.76,0.54,52.85,51.02,97.2,2338.7,63.78,-0.45,39.77,0.88,-2.85,-50.21717433004418,-850.408680981307,0.024352414923408113,0.3378558973889668,8.878809477164499,-0.02853284325489987,0.06347052976400165,0.025627373477613746,0.6621441026110332,639152929,0.3852764389334198,0.253387019875371,도매 및 소매업
11,(주)광림,14200,17-Dec,68.22,-17.46,-9.38,-4.42,-5.96,31.48,-3.19,2.23,17.01,-2.87,5.58,4.75,0.62,-11.28,54.85,2.98,-15.47,8.29,5.6,2.09,97.02,93.2,106.4,386.08,76.78,2.26,43.08,1.25,-10.79,-7301.0606960308305,-1144.4919407694406,-0.05945232572621723,0.4824013920751819,8.318185051900803,-0.11343960159090599,0.1521369853718359,0.038584497599150884,0.5175986031184729,129882514,0.12131477913731861,0.08452277436868261,제조업
12,(주)광무,29480,17-Dec,100.03,-15.56,-0.48,0.93,1.31,14.42,0.32,2.12,56.08,0.69,1.58,15.02,0.74,25.69,-18.5,18.74,-31.04,4.0,47.72,2.73,81.26,113.62,110.28,84.96,108.89,4.82,7.17,1.18,-11.55,-84.58088841594082,-3606.439366208231,0.006891935521811141,0.5318846791712047,7.461656113770766,-0.11580738338121448,0.033550954192402116,0.04047776872412585,0.46811535537050947,14000561,0.17818362075252658,-0.26540765112094944,제조업
13,(주)구영테크,53270,17-Dec,146.65,0.91,12.15,8.27,9.45,50.83,2.37,1.48,44.88,6.63,15.14,20.27,0.85,18.47,1.03,15.17,2.61,8.56,7.51,1.46,84.83,235.08,78.36,555.59,53.8,-9.47,15.72,1.25,0.77,31.20573278259841,-46.61464335581821,0.03043337600866368,0.7015606833577703,8.271864094047707,0.00725789156062042,0.06880931935486999,0.018302140797327313,0.298439311294913,122869363,0.11374575288999231,0.167268574002128,제조업
14,(주)국보디자인,66620,17-Dec,62.05,4.93,3.74,5.61,23.35,0.0,3543.84,-0.57,1017.16,9.25,72.18,46.62,1.68,5.15,34.38,16.98,14.33,402.51,0.0,36.13,83.02,65.57,220.15,2647.57,220.15,45.03,43.1,3.96,8.26,120.75618440280644,24.238845944849828,0.14123059246583478,0.39601661291829204,8.215853507144129,0.08115826629500733,0.16151691810734545,0.00010063306199325355,0.6039833931651096,28753213,0.08406310530057251,0.5438602340899047,건설업
15,(주)국순당,43650,17-Dec,5.52,15.44,13.71,-1.82,-5.52,0.48,-12.28,-2.28,53.49,-0.47,7.03,12.82,0.28,1.63,-9.96,37.88,4.88,7.28,4.3,1.02,62.12,9.33,708.73,2433.16,591.98,30.73,295.3,3.17,4.26,34.28664482763032,450.9217629808222,-0.017602544643366795,0.08530356688428524,8.384173699491583,0.039999441783085204,0.1490677725912646,0.01680331790566764,0.9146964331157148,155547847,0.44673710696201074,0.6802929466216843,제조업
16,(주)국영지앤엠,6050,17-Dec,21.36,2.28,0.65,-2.43,-11.33,4.16,17.57,-0.06,30.51,-2.31,3.64,14.66,0.95,1.42,22.16,5.03,2.78,16.26,17.33,1.98,94.97,25.64,266.88,301.54,238.44,28.37,64.83,4.4,2.17,466.7860228665581,271.36520338363124,0.02133646930193282,0.20407342690508684,7.820208042840748,0.021658128571182628,0.1102408856071501,0.005949831342371206,0.7959265730949131,36105608,0.02788930442038431,0.31325178701527095,제조업
17,(주)그래디언트,35080,17-Dec,131.53,-1.8,-12.97,4.24,14.15,3.48,13.33,-0.05,291.89,8.33,116.42,9.5,1.83,-13.12,-7.91,10.89,-20.37,5.08,27.68,60.89,89.11,143.09,125.96,1039.09,111.83,14.05,13.71,3.09,-3.28,-39.77134416174787,-63.11946600211975,0.016523104390054347,0.5886377057297453,9.256364913970236,-0.035263924506399605,0.07420499135079717,0.002105242448465589,0.4113622948244146,574654791,0.10048710111902558,0.09704161993724965,도매 및 소매업
18,(주)글로벌스탠다드테크놀로지,83450,17-Dec,27.73,9.68,14.53,5.57,37.61,3.91,212.37,-0.02,170.14,8.86,34.95,54.44,1.7,7.6,79.3,34.43,23.25,11.73,7.1,5.38,65.57,30.82,266.78,1587.44,161.51,35.36,87.97,6.17,16.43,356.35911691687625,239.25642540569496,0.21738907779987257,0.23559523815220387,8.01030279396461,0.15386954161402988,0.18649562728931,0.004344809205015024,0.7644047618477962,44484251,0.2076084964380368,0.5981208286832579,제조업
19,(주)금빛,45890,17-Dec,88.33,-7.4,-0.97,2.57,2.89,40.85,0.03,2.47,41.76,1.71,5.57,15.17,0.66,19.48,-3.64,25.85,-11.04,4.07,3.83,1.8,74.15,144.41,135.38,340.41,83.6,12.78,9.98,1.19,-4.9,-98.58086251396035,-303.9995886651542,0.0005392794899482271,0.5908528694416348,8.039957250371652,-0.04921590039102392,0.036057280174151385,0.0316418725522293,0.4091471305583651,55998208,0.2576892874019177,0.005472941180719904,제조업
20,(주)금화피에스시,36190,17-Dec,22.48,9.79,7.72,19.14,83.07,1.27,539.47,-1.12,439.51,17.0,68.59,48.16,0.92,9.23,-12.44,20.75,11.48,5.86,220.32,7.92,79.25,25.74,381.74,6130.28,379.24,50.37,56.22,4.39,9.02,13.575669760677606,-15.736295013873,0.1461921842330382,0.20467952593229188,8.364811958870648,0.08700569473688446,0.10050590843996715,0.0013239744518404714,0.7953204783847677,73557123,0.042968217977989616,0.7436699948490572,건설업
21,(주)기가레인,49080,17-Dec,87.49,-0.92,16.63,-2.4,-2.58,36.97,1.96,2.36,36.36,-1.32,6.04,13.02,0.59,56.78,32.72,17.39,-1.88,6.21,6.24,1.43,82.61,104.84,93.25,358.31,61.93,-2.88,9.53,1.05,-0.55,274.08328211150155,91.10107545628442,0.028806868055451674,0.5118101357225873,8.259183644792419,-0.005069698561875964,0.04071459041419596,0.02866701824731082,0.4881898642774127,109285289,0.121673481540379,0.0013381996587283926,제조업
22,(주)기산텔레콤,35460,17-Dec,72.01,-8.73,-5.49,-1.16,-2.09,0.0,-6.37,0.38,264.18,-1.05,8.71,7.55,0.88,-7.29,7.26,14.33,-13.79,3.24,3.29,28.83,85.67,100.44,231.57,444.91,147.39,47.27,61.54,1.83,-7.67,-10.84656529435359,-109.81269767549342,-0.046060929115089466,0.5010892272374349,7.845949284791295,-0.0789667255554135,0.22530352912305385,0.014435227250255476,0.4989107727625652,11784992,0.19423039335749107,-0.2851289810125246,제조업
23,(주)나노,187790,17-Dec,84.22,0.12,9.75,-1.05,-1.64,33.67,0.96,2.28,29.51,-0.84,21.34,13.49,0.84,24.86,51.72,14.18,-0.15,6.79,3.96,1.58,85.82,103.94,113.23,907.76,57.73,5.47,12.68,1.53,0.1,952.327854329761,27413.905096818267,0.018144931242718716,0.5096652660427423,7.961775338596014,0.000975062262035029,0.05238229372720064,0.03695419646709601,0.4903347230372069,48752247,0.11911504081883842,0.19025456440381192,제조업
24,(주)나노신소재,121600,17-Dec,4.73,14.98,5.61,17.72,133.43,1.51,114.62,-0.03,116.98,9.07,8.4,24.17,0.53,-1.29,10.84,45.42,8.51,4.36,1.5,2.36,54.58,7.3,1573.4,1528.59,783.43,64.93,166.55,7.18,7.88,35.52337753464664,14.946503889355965,0.09589410094331707,0.06800667896294382,7.94921191915833,0.07674931942884629,0.0733931119985461,0.012302580133627256,0.9319933210370562,27282199,0.26701399591554464,0.45802095807548604,제조업
25,(주)나노엔텍,39860,17-Dec,69.31,-8.7,-7.3,-2.76,-3.53,29.6,3.38,1.72,54.33,-1.55,1.95,17.91,0.54,3.25,7.22,43.61,-8.41,3.92,3.82,1.61,56.39,78.54,137.62,193.97,101.73,14.61,59.37,1.23,-4.71,679.124028495473,85.99776903181548,0.03947156254525619,0.4399089391203604,7.627057397994816,-0.048906988112503276,0.23045338605504248,0.026553235771045666,0.5600910608796397,19733653,0.36590911066812437,-0.09302819624574958,제조업
26,(주)나무가,190510,17-Dec,306.66,-15.89,-27.31,-6.53,-15.03,41.4,-18.62,0.48,-4.61,-11.81,135.63,-1.51,1.52,-38.05,-11.98,-4.77,-79.31,11.57,9.65,4.51,104.77,365.56,88.79,1610.05,60.56,-7.39,19.52,2.18,-24.19,-4601.971904616097,-876.9525832337928,-0.22104474465770016,0.7852067615110615,8.153553660538899,-0.28732229315141905,0.12857280784685135,0.015117565229581192,0.21479323848893847,59128209,0.0744801262323798,-0.18203775434942215,제조업
27,(주)나스미디어,89600,17-Dec,134.32,22.18,19.72,13.22,8.45,0.95,147.4,-0.43,699.91,5.03,26.39,25.99,0.41,28.25,71.96,0.0,22.56,3.35,0.0,10.11,0.0,147.29,140.61,2623.74,140.61,22.06,10.08,0.69,9.2,122.23495517089178,122.81279134703584,0.10854974149513978,0.59562303947077,8.499641699222565,0.08442670813260297,0.054748420230493706,0.001236367937074605,0.40437696052923,74659842,0.7148366368644771,0.22695101241275276,"전문, 과학 및 기술 서비스업"
28,(주)나이벡,138610,17-Dec,46.03,-40.74,12.11,1.52,0.71,36.47,-1.81,6.84,16.91,0.37,2.2,6.46,0.26,13.07,31.19,31.03,-23.13,3.64,3.04,0.66,68.97,108.31,175.61,411.34,133.25,16.71,92.73,0.48,-10.54,54.84635811077322,15.181642110882407,-0.04383388931880715,0.5199347597799846,7.410783524276957,-0.0997116430119284,0.20492670145011102,0.04657873159037665,0.48006524022001545,15756909,0.489439475135163,-0.7308127536638013,제조업
29,(주)나이스디앤비,130580,17-Dec,21.11,15.17,15.97,17.11,86.21,0.0,999999999.0,-1.36,2451.95,15.42,5.49,57.81,0.97,-4.07,24.49,0.0,17.75,11.94,21479.78,40.8,0.0,21.78,355.01,500.47,354.98,44.21,112.41,5.59,14.68,30.762744096315625,11.966858006100308,0.1801528370563441,0.17882770485636892,7.671433415298128,0.13667899274439724,0.19490666880781232,0.0,0.8211723164528035,18042837,0.8000555874215673,0.5594144478064637,"사업시설 관리, 사업 지원 및 임대 서비스업"
30,(주)나인테크,267320,17-Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-inf,,,,,0,,,제조업
31,(주)내츄럴엔도텍,168330,17-Dec,9.98,-95.91,-0.22,-139.61,-41.66,29.99,-1.96,13.38,-0.5,-15.05,0.93,-0.21,0.11,-15.25,40.92,36.03,-18.67,6.4,1.16,0.27,63.97,56.59,770.01,470.76,595.58,42.69,118.17,0.27,-10.33,42.59354343261736,32.75615246754382,-0.06292061815892615,0.361371906293467,7.932893751594631,-0.10341424336874067,0.07530001930375307,0.08895134908467955,0.638628093706533,43641860,0.9438468685570692,0.09339830318376542,"전문, 과학 및 기술 서비스업"
32,(주)네오리진,94860,17-Dec,15.15,1.79,0.0,-1.58,-4.67,3.55,2.48,0.22,791.25,-0.83,1.94,29.7,0.52,0.0,0.0,55.59,1.14,2.85,8.09,13.96,44.41,21.57,356.33,305.25,304.35,31.95,150.11,2.95,0.94,-79.19611018670759,-75.36206748315293,0.009537866115648266,0.17742458840441042,7.247571173861281,0.009398923975973245,0.18709794713978248,0.0216735633268303,0.8225754115955896,9829634,0.5376617390196667,-0.12466338905721792,정보통신업
33,(주)네오오토,212560,17-Dec,50.22,3.22,1.67,13.47,26.74,33.97,1.7,0.67,33.92,12.6,39.09,21.82,0.94,7.3,-8.75,6.67,5.84,11.05,17.64,1.35,93.33,89.09,102.3,1841.52,80.85,0.61,27.08,1.97,3.04,-84.0232847279824,-47.537795611804455,0.011713663057804472,0.4711443703684016,8.137058221868648,0.03016359042670432,0.07192311795797715,0.014602400465086743,0.5288556296315984,99851763,0.054129236357959354,0.40869494964194125,제조업
34,(주)네오위즈,95660,17-Dec,12.37,-1.23,-4.12,11.35,49.89,0.03,81.79,-1.05,1074.95,6.49,15.88,21.72,0.56,-3.98,-8.9,47.18,-0.57,8.1,22241.58,31.51,52.82,14.96,576.68,2425.79,576.64,51.27,194.38,4.05,-0.69,-53.67643597169855,-121.75623081295672,0.03572358451947032,0.1301460468546954,8.483386689316186,-0.007043361065603961,0.20908658773416672,0.0033561240427889406,0.8698539531453046,115565449,0.40928879064322937,0.6520480513925612,정보통신업
35,(주)네오위즈홀딩스,42420,17-Dec,7.32,-3.68,-1.61,6.88,26.3,0.17,58.57,-2.59,1054.86,2.43,39.73,12.82,0.35,-0.59,-8.35,46.74,-1.77,8.03,2963.0,31.49,53.26,10.16,962.04,6255.12,961.85,57.31,205.83,3.6,-1.29,-52.467223588014754,18.932213527246088,0.020252850750895602,0.09222122199374122,8.719975517423906,-0.012955407060643692,0.13685237942462344,0.003749262046385691,0.9077787780062588,189114329,0.40991279598282393,0.3856963398357899,정보통신업
36,(주)네오티스,85910,17-Dec,63.72,-16.68,-4.54,11.06,13.76,23.66,7.31,0.19,34.16,5.93,7.89,12.3,0.52,-5.04,8.24,21.14,-14.48,3.26,9.07,1.46,78.86,75.84,107.57,822.16,92.11,2.74,22.86,1.37,-8.74,29.05836637990305,-352.76898353705644,0.0403085700724473,0.4313153109102769,7.908641792333481,-0.08946564909990214,0.08285048194636394,0.012786146411441032,0.5686847014309463,49441999,0.13627318985646564,0.0993690364509752,제조업
37,(주)네오팜,92730,17-Dec,18.95,21.55,21.9,18.46,108.65,0.11,999999999.0,-1.05,271.1,17.46,14.38,40.47,1.04,30.68,26.59,74.85,26.83,9.26,11.92,6.11,25.15,19.15,488.6,1275.44,434.88,61.79,47.08,6.29,22.4,46.94825822171148,49.29570497568355,0.2476042647080534,0.1607359383020741,7.753543281211622,0.20388482846409547,0.07486232381036238,0.0,0.8392640793362256,12647398,0.4867340671942262,0.5869811674286147,제조업
38,(주)네이블커뮤니케이션즈,153460,17-Dec,15.66,-47.02,-18.84,-3.57,-11.5,0.0,999999999.0,-1.28,88.39,-1.56,4.13,20.02,0.39,-22.77,-37.6,39.6,-21.21,3.73,13.13,1.86,60.4,15.66,530.53,817.93,496.82,58.28,260.15,2.93,-18.38,-3430.06561470756,-4307.242084572886,-0.20983260064677325,0.13536448006396568,7.489769527254077,-0.20513032869734696,0.3521478064293274,0.0,0.8646355199360343,8705282,0.8770395023862818,0.2370613055342293,정보통신업
39,(주)네이처셀,7390,17-Dec,24.46,-1.69,-2.33,2.45,5.58,7.99,-0.81,1.06,66.03,1.3,1.05,14.26,0.52,15.66,1.6,28.01,-1.25,8.62,5.24,2.48,71.99,30.29,211.86,149.46,162.93,21.0,93.66,1.78,-0.89,85.52028271167839,85.70649007542934,-0.010217830979355767,0.23247668872386035,7.7113065574158925,-0.00895670804242939,0.17581101161157273,0.05434370049390593,0.7675233112761397,30982369,0.29936794265215694,-0.11388103609784345,제조업
40,(주)네패스,33640,17-Dec,87.86,1.38,3.19,18.25,27.78,38.63,3.32,1.8,69.26,16.89,25.79,34.59,0.94,4.0,11.98,21.79,5.05,8.99,31.15,1.84,78.21,154.91,98.06,1183.3,89.63,-0.67,45.16,1.54,1.3,134.22308605982076,-78.0599379295286,0.06265504106366354,0.607703949789653,8.488721570716862,0.012793112221917173,0.15567837295761736,0.031100779226455467,0.3922960502103469,203970139,0.15015247596637568,0.14463449776400158,제조업
41,(주)넥스턴바이오사이언스,89140,17-Dec,3.08,15.51,-3.84,23.27,340.39,0.0,1532.55,-2.25,122.72,10.73,7.38,11.76,0.45,-11.69,-41.23,31.01,7.46,4.99,6.83,4.97,68.99,3.26,2781.54,1549.23,2581.81,80.02,1444.37,7.52,7.01,-47.769663500837375,-60.52267635505461,0.10634528358034834,0.031533099241594566,7.976592423741751,0.07154864241014476,0.4310064725103187,0.0022005775386464924,0.9684668902046366,16105705,0.07958642358409923,0.4916167034541145,제조업
42,(주)넥스트아이,137940,17-Dec,38.5,-4.54,40.52,1.36,1.27,34.85,0.84,1.52,81.3,0.58,8.97,9.06,0.5,33.72,50.82,31.95,-2.85,6.23,15.83,4.15,68.05,84.57,303.29,953.4,284.14,42.4,100.53,1.22,-2.27,-65.08619908296373,-176.230186294486,0.009286555510084083,0.45820566415786906,8.142878782295137,-0.01943622302503317,0.2096953554657364,0.024088322776950753,0.541794335842131,51049868,0.2977811267120183,0.19360705132462594,제조업
43,(주)넥스트엔터테인먼트월드,160550,17-Dec,70.42,-7.89,11.25,-9.29,-6.99,18.06,-6.92,-0.34,20.96,-3.42,6.9,3.81,0.39,0.8,-24.8,22.16,-5.98,3.33,2860.36,1.97,77.84,96.16,165.57,931.85,165.5,23.54,40.88,0.86,-3.06,-177.64083918610692,-309.25291745204373,-0.020108239988640548,0.4902055255736779,8.409024840086442,-0.029093174864566855,0.14676421328993516,0.005925893107451848,0.5097944744263221,104032145,0.276165571155824,0.10812895121212616,정보통신업
44,(주)넥슨게임즈,225570,17-Dec,18.01,-13.72,0.0,40.34,67.06,2.04,-62.24,-1.03,1705.5,21.03,1.95,39.81,0.52,0.0,0.0,0.0,-10.42,10.04,0.0,22.33,0.0,45.69,672.39,256.35,672.39,70.75,611.01,1.66,-7.15,0.0,0.0,-0.08680542470748419,0.31359995541162966,7.6333552010525265,-0.07151711278764128,0.7551863523112119,0.004447128989661369,0.6864000445883703,7262731,1.1665361672350403,0.005303196731203494,정보통신업
45,(주)넵튠,217270,17-Dec,8.17,156.32,130.32,-9.99,-7.37,8.44,-51.27,0.22,6980.3,-1.86,2.24,53.93,0.26,5.86,11.96,0.0,54.16,9.05,20800.1,28.02,0.0,33.76,183.23,892.85,183.2,5.08,99.03,1.12,40.58,-176.28727330098394,903.5111506054732,-0.07812146438120036,0.25237812101465096,8.042529568504955,0.29097167776551375,0.06047849195869605,0.006037788830942128,0.747621878985349,97946403,1.4197046537853564,0.2518494522158518,정보통신업
46,(주)노블엠앤비,106520,17-Dec,71.4,-43.25,-4.76,-25.05,-26.22,33.09,-4.91,3.43,-7.5,-12.79,4.39,-2.39,0.5,4.46,-5.26,-2.48,-41.36,4.9,6.19,1.54,102.48,95.18,69.8,331.07,46.85,-11.05,11.27,1.06,-21.54,29.10940991098697,46.406275914405306,-0.1369818420965205,0.4876540164579943,8.072523942516534,-0.22075153138307804,0.0412090857535429,0.0571808374955829,0.5123459920040649,87999618,0.2435602010077711,-0.4622094507560029,제조업
47,(주)녹십자셀,31390,17-Dec,41.3,3.67,173.07,28.08,7.59,50.69,17.72,0.06,83.69,4.56,3.34,8.53,0.24,371.05,64.06,47.34,1.6,7.4,19.31,0.72,52.66,150.02,333.42,823.52,326.62,38.56,2.43,0.52,0.87,313.1283595315798,871.608375072551,0.02648321133501623,0.6000349658137789,8.080659086641168,0.005962085670014239,0.004013826603282056,0.0024909053863290905,0.39996503418622115,54094073,0.31014239956652034,0.011407740007025054,제조업
48,(주)녹십자엠에스,142280,17-Dec,100.61,-2.38,-3.21,6.79,19.55,16.57,0.26,0.5,114.98,10.85,20.58,20.1,1.57,0.45,14.19,15.66,-8.08,4.14,7.18,8.4,84.34,124.55,150.72,507.44,101.89,22.72,12.12,2.92,-3.75,1552.1077818301642,8.411324857700874,0.002168931446228103,0.5546553295550578,7.7893297711644855,-0.03807847315438722,0.05428315840301062,0.014995212468246142,0.44534467044494225,19990625,0.15520973109819425,0.17850137361001892,제조업
49,(주)녹원씨엔아이,65560,17-Dec,131.36,1.94,922.64,16.54,5.59,45.44,2.53,12.7,88.19,3.2,2.34,8.89,0.35,1591.63,469.56,63.14,1.46,3.89,9.56,3.8,36.86,134.3,100.93,919.88,94.25,0.52,12.36,0.66,0.68,423.5255900602583,2681.739814296849,0.0665633977860865,0.5731933079842786,8.056952103053172,0.0037473203354259593,0.06929453044424885,0.045987180607556896,0.42680670078669686,49499724,0.28766449187867854,-0.03844116820832933,제조업
50,(주)누리플랜,69140,17-Dec,82.84,-0.04,0.0,0.98,1.91,14.17,1.71,0.62,35.93,0.89,14.99,11.38,0.91,0.0,0.0,20.53,0.14,4.12,50.48,2.87,79.47,87.03,123.46,877.85,119.39,10.39,28.98,1.96,-0.04,-33.54812138509367,-100.58095993118047,0.012326485688862016,0.4653214109578562,7.592596831270798,-0.000352012290510273,0.1283696610936966,0.01552493197495189,0.5346785890421438,17734714,0.19180387551633768,0.23303060327450892,제조업
51,(주)누리플렉스,40160,17-Dec,147.99,-4.97,71.74,4.13,5.35,25.37,1.9,0.77,47.88,3.47,19.5,8.83,1.06,97.67,129.05,25.42,-11.22,4.24,8.19,5.01,74.58,184.59,118.06,815.56,83.49,9.39,20.13,2.0,-5.27,-73.58952080815729,-189.9452575372144,0.014834040966610519,0.6486173869859416,8.146057193368536,-0.04172414836377062,0.10468874691096937,0.012016185678275627,0.3513826130140584,54041226,0.236510702256446,0.043943324612982414,정보통신업
52,(주)뉴로스,126870,17-Dec,95.51,-12.36,19.75,2.83,1.78,43.07,0.89,4.52,22.01,1.02,5.93,6.43,0.39,18.46,1.53,31.87,-10.83,1.52,2.29,1.17,68.13,135.5,143.02,656.22,103.09,17.45,15.93,0.72,-4.88,38.46502498346011,-608.7744233231991,0.01838284945473427,0.5753768615809167,8.09216444084474,-0.044759613576504015,0.06461500199568834,0.03570121750783067,0.4246231384190832,51926278,0.2678978689446658,0.08654130427837567,제조업
53,(주)뉴보텍,60260,17-Dec,78.58,-2.32,-1.26,-1.59,-4.54,21.07,-4.56,0.3,82.58,-2.12,3.33,21.55,1.32,-3.93,14.27,25.72,-5.67,5.33,15.47,5.13,74.28,87.38,160.71,133.98,141.75,25.46,9.39,2.86,-3.06,-184.9269729159046,-254.24996875917952,-0.03434072189377954,0.4663187796982453,7.489913740572439,-0.03076235976023032,0.039376450978752926,0.01613900447855691,0.5336812203017547,10073203,0.2831048616432068,-0.26055010779913024,제조업
