회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),현금및현금성자산(*)(IFRS연결),이자비용(IFRS연결),부채(*)(IFRS연결),자본(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(*)(연결)
(주)CMG제약,58820,17-Dec,41535588,109568153,2834901,3799004,0,11624134,97944019,1558607,16479429,28340823,-3397713
(주)ES큐브,50120,17-Dec,35745794,105892131,1737925,24250014,785009,33075251,72816880,2248520,7439335,54853973,24897261
(주)가비아,79940,17-Dec,116217941,133382584,9669613,29957017,236636,33486064,99896520,12712157,43192421,67269196,52864813
(주)강스템바이오텍,217730,17-Dec,9132939,47198979,-11531949,3913815,1439546,22716816,24482163,-11737865,14996757,21952967,-35794122
(주)강원에너지,114190,17-Dec,82034829,93179394,-6451819,14071336,210372,44876384,48303010,-5588512,6453624,25110973,22544374
(주)고려시멘트,198440,17-Dec,87660276,115881620,1003761,674614,179709,38487512,77394108,3017621,8668053,77338671,32693982
(주)고영테크놀러지,98460,17-Dec,203368626,205207385,26734105,46011955,7124,43890214,161317171,43748905,87720199,43850844,156696148
(주)골드앤에스,35290,17-Dec,12802035,17173934,-7975875,2145751,141278,3827858,13346076,-3694041,8493390,6342934,-24239177
(주)골드퍼시픽,38530,17-Dec,5031439,26567967,-965087,5318902,1516482,21203473,5364494,937598,2104961,9352807,-30966595
(주)골프존,215000,17-Dec,200105321,253672419,79392004,110551312,713146,64290538,189381881,37457577,93611339,93080529,117259725
(주)골프존뉴딘홀딩스,121440,17-Dec,213756902,756500949,-21585123,48015516,6550057,255588307,500912642,18422625,82355498,639152929,191687521
(주)광림,14200,17-Dec,135191558,208058303,-23602051,31653363,3872634,100367615,107690687,-12369550,16400734,129882514,17585665
(주)광무,29480,17-Dec,21540953,28950503,-3352682,971317,623290,15398329,13552175,199525,3838245,14000561,-7683685
(주)구영테크,53270,17-Dec,149833357,187009683,1357296,12868009,2401216,131198641,55811041,5691336,17042908,122869363,31280843
(주)국보디자인,66620,17-Dec,270658405,164381715,13340935,26550428,6551,65097890,99283826,23215727,22752386,28753213,89400678
(주)국순당,43650,17-Dec,62761236,242199755,9687855,36104178,347165,20660503,221539252,-4263332,28037773,155547847,164766785
(주)국영지앤엠,6050,17-Dec,62861661,66101002,1431624,7287033,80260,13489458,52611544,1410362,1753168,36105608,20706257
(주)그래디언트,35080,17-Dec,3541486629,1804533355,-63634928,133905382,2236223,1062216374,742316982,29816493,355873725,574654791,175114840
(주)글로벌스탠다드테크놀로지,83450,17-Dec,162835484,102400669,15756344,19097277,104819,24125110,78275559,22260787,33806030,44484251,61247973
(주)금빛,45890,17-Dec,72904350,109637027,-5395885,3953213,2049740,64779352,44857675,59125,18786670,55998208,600037
(주)금화피에스시,36190,17-Dec,205781841,231639148,20153925,23281103,62772,47411791,184227358,33863833,8842079,73557123,172263084
(주)기가레인,49080,17-Dec,100131227,181628353,-920801,7394924,2664864,92959232,88669121,5232144,12183315,109285289,243055
(주)기산텔레콤,35460,17-Dec,63467585,70137339,-5538516,15802190,507327,35145065,34992274,-3230591,12327334,11784992,-19998188
(주)나노,187790,17-Dec,73089292,91574665,89291,4796891,1724742,46672426,44902238,1661616,8706034,48752247,17422498
(주)나노신소재,121600,17-Dec,45568866,88963512,6827889,6529309,74432,6050113,82913399,8531076,12167525,27282199,40747153
(주)나노엔텍,39860,17-Dec,23809593,42369896,-2072184,9764286,494923,18638896,23731000,1672406,8712147,19733653,-3941595
(주)나무가,190510,17-Dec,257564977,142414320,-40918809,18310609,1690517,111824687,30589633,-31479937,19183472,59128209,-25924783
(주)나스미디어,89600,17-Dec,120275391,315966980,26676052,17298693,232681,188197213,127769767,34298134,85977256,74659842,71709026
(주)나이벡,138610,17-Dec,6302575,25750373,-2567612,5276939,623620,13388514,12361859,-1128739,3084729,15756909,-18818701
(주)나이스디앤비,130580,17-Dec,42282947,46928148,6414092,9146609,0,8392053,38536096,8454239,33828708,18042837,26252284
(주)나인테크,267320,17-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)내츄럴엔도텍,168330,17-Dec,9238808,85682820,-8860824,6451918,2754233,30963364,54719456,-5391216,8720020,43641860,8002630
(주)네오리진,94860,17-Dec,9263380,17683620,166207,3308569,68001,3137509,14546111,168664,4980565,9829634,-2204500
(주)네오오토,212560,17-Dec,128249343,137106556,4135626,9861131,943271,64596982,72509574,1606020,6942039,99851763,56034757
(주)네오위즈,95660,17-Dec,174045348,304359379,-2143713,63637464,132940,39611170,264748209,10872808,71234810,115565449,198456940
(주)네오위즈홀딩스,42420,17-Dec,184864190,524777876,-6798711,71817101,181448,48395657,476382219,10628248,75778197,189114329,202404906
(주)네오티스,85910,17-Dec,43473210,81029245,-7249334,6713312,446865,34949154,46080092,3266173,5924233,49441999,8051798
(주)네오팜,92730,17-Dec,53633507,56694807,11559211,4244305,0,9112893,47581915,14037876,26105255,12647398,33278784
(주)네이블커뮤니케이션즈,153460,17-Dec,13473262,30886559,-6335770,10876634,0,4180943,26705616,-6481007,11816583,8705282,7322008
(주)네이처셀,7390,17-Dec,27215252,51440663,-460739,9043835,649883,11958755,39481908,-525612,8147374,30982369,-5858116
(주)네패스,33640,17-Dec,285034101,308121193,3941829,47967806,5823511,187246466,120874727,19305346,42798576,203970139,44564954
(주)넥스턴바이오사이언스,89140,17-Dec,43707618,94752881,6779440,40839105,6575,2987852,91765028,10076522,3478533,16105705,46582099
(주)넥스트아이,137940,17-Dec,59482937,138956473,-2700789,29138527,1533719,63670643,75285830,1290427,17712896,51049868,26902953
(주)넥스트엔터테인먼트월드,160550,17-Dec,94538544,256463072,-7461325,37639601,745001,125719615,130743457,-5157021,26108291,104032145,27731083
(주)넥슨게임즈,225570,17-Dec,22407505,42988788,-3074434,32464546,59953,13481282,29507506,-3731660,26139165,7262731,227978
(주)넵튠,217270,17-Dec,20528450,110288332,32090781,6670072,168058,27834362,82453970,-8615886,29144336,97946403,27776056
(주)노블엠앤비,106520,17-Dec,60316673,118174546,-26087212,4869865,3295234,57628292,60546255,-16187767,14690741,87999618,-54621392
(주)녹십자셀,31390,17-Dec,19536787,120409038,717889,483301,179967,72249633,48159405,3188818,6059186,54094073,1373595
(주)녹십자엠에스,142280,17-Dec,98389224,61564417,-2344279,3341911,512042,34147032,27417385,133529,15270965,19990625,10989333
(주)녹원씨엔아이,65560,17-Dec,22075102,114012404,427241,7900436,3005315,65351147,48661258,7589053,6350223,49499724,-4382770
(주)누리플랜,69140,17-Dec,35622763,39137838,-13777,5024111,282735,18211674,20926164,482432,6832584,17734714,9120314
(주)누리플렉스,40160,17-Dec,117558807,139977165,-5840428,14654034,1090969,90791623,49185542,2076427,27803916,54041226,6151062
(주)뉴로스,126870,17-Dec,44781756,123641550,-5534148,7989099,2539802,71140487,52501063,2272884,11996937,51926278,10700101
(주)뉴보텍,60260,17-Dec,41019670,30896817,-950459,1216607,232527,14407766,16489051,-1061019,11612868,10073203,-8050169
(주)뉴인텍,12340,17-Dec,50296811,43898571,-3572013,1428086,838537,29154504,14744067,-1621779,5705786,22985717,-21616357
(주)뉴파워프라즈마,144960,17-Dec,104494422,140509864,18572325,3719778,167865,20524886,119984978,22765945,28745733,58645325,75666764
(주)뉴프렉스,85670,17-Dec,152715761,118913434,4313976,4117535,1266316,72407960,46505473,7066663,10156930,61896820,17312267
(주)다나와,119860,17-Dec,107606286,92840454,13513869,17350695,80817,15969777,76870677,15244766,92361519,25852926,56002611
(주)다날,64260,17-Dec,172882038,469487277,10686294,48513020,2820975,287129695,182357582,17262767,155619271,86292126,19738959
(주)다산네트웍스,39560,17-Dec,307090231,345584484,-2495138,30376463,4013185,182111559,163472925,30815,104865788,140108258,-23477680
(주)다우데이타,32190,17-Dec,1614385776,13561817098,235838323,261304118,7159654,11486460665,2075356433,353592373,326525041,1899452738,332424675
(주)다원시스,68240,17-Dec,111462046,350900018,5399255,19217445,3458913,171776627,179123392,8829227,27486517,179445050,49833025
(주)대동스틸,48470,17-Dec,90505698,79369589,6150199,7524662,3898,14554699,64814890,5542430,3781501,24795213,52267972
