회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
(주)CMG제약,058820,2019/12,제조업
(주)ES큐브,050120,2019/12,도매 및 소매업
(주)가비아,079940,2019/12,정보통신업
(주)강스템바이오텍,217730,2019/12,제조업
(주)강원에너지,114190,2019/12,제조업
(주)고려시멘트,198440,2019/12,제조업
(주)고영테크놀러지,098460,2019/12,제조업
(주)골드앤에스,035290,2019/12,정보통신업
(주)골드퍼시픽,038530,2019/12,도매 및 소매업
(주)골프존,215000,2019/12,정보통신업
(주)골프존뉴딘홀딩스,121440,2019/12,도매 및 소매업
(주)광림,014200,2019/12,제조업
(주)광무,029480,2019/12,제조업
(주)구스앤홈,329050,2019/12,제조업
(주)구영테크,053270,2019/12,제조업
(주)국보디자인,066620,2019/12,건설업
(주)국순당,043650,2019/12,제조업
(주)국영지앤엠,006050,2019/12,제조업
(주)국전약품,307750,2019/12,제조업
(주)그래디언트,035080,2019/12,도매 및 소매업
(주)그리티,204020,2019/12,제조업
(주)그린플러스,186230,2019/12,제조업
(주)글로벌스탠다드테크놀로지,083450,2019/12,제조업
(주)금빛,045890,2019/12,제조업
(주)금화피에스시,036190,2019/12,건설업
(주)기가레인,049080,2019/12,제조업
(주)기산텔레콤,035460,2019/12,제조업
(주)까스텔바작,308100,2019/12,도매 및 소매업
(주)나노,187790,2019/12,제조업
(주)나노브릭,286750,2019/12,제조업
(주)나노신소재,121600,2019/12,제조업
(주)나노엔텍,039860,2019/12,제조업
(주)나무가,190510,2019/12,제조업
(주)나스미디어,089600,2019/12,"전문, 과학 및 기술 서비스업"
(주)나이벡,138610,2019/12,제조업
(주)나이스디앤비,130580,2019/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)나인테크,267320,2019/12,제조업
(주)내츄럴엔도텍,168330,2019/12,"전문, 과학 및 기술 서비스업"
(주)네오리진,094860,2019/12,정보통신업
(주)네오셈,253590,2019/12,제조업
(주)네오오토,212560,2019/12,제조업
(주)네오위즈,095660,2019/12,정보통신업
(주)네오위즈홀딩스,042420,2019/12,정보통신업
(주)네오크레마,311390,2019/12,제조업
(주)네오티스,085910,2019/12,제조업
(주)네오팜,092730,2019/12,제조업
(주)네오펙트,290660,2019/12,제조업
(주)네온테크,306620,2019/12,제조업
(주)네이블커뮤니케이션즈,153460,2019/12,정보통신업
(주)네이처셀,007390,2019/12,제조업
(주)네패스,033640,2019/12,제조업
(주)넥스턴바이오사이언스,089140,2019/12,제조업
(주)넥스트아이,137940,2019/12,제조업
(주)넥스트엔터테인먼트월드,160550,2019/12,정보통신업
(주)넥슨게임즈,225570,2019/12,정보통신업
(주)넵튠,217270,2019/12,정보통신업
(주)노랑풍선,104620,2019/12,"사업시설 관리, 사업 지원 및 임대 서비스업"
(주)노바렉스,194700,2019/12,제조업
(주)노바텍,285490,2019/12,제조업
(주)노블엠앤비,106520,2019/12,제조업
(주)노터스,278650,2019/12,"전문, 과학 및 기술 서비스업"
(주)녹십자셀,031390,2019/12,제조업
(주)녹십자엠에스,142280,2019/12,제조업
(주)녹십자웰빙,234690,2019/12,제조업
(주)녹원씨엔아이,065560,2019/12,제조업
(주)누리플랜,069140,2019/12,제조업
(주)누리플렉스,040160,2019/12,정보통신업
(주)누보,332290,2019/12,제조업
(주)뉴로스,126870,2019/12,제조업
(주)뉴보텍,060260,2019/12,제조업
(주)뉴인텍,012340,2019/12,제조업
(주)뉴트리,270870,2019/12,제조업
(주)뉴파워프라즈마,144960,2019/12,제조업
(주)뉴프렉스,085670,2019/12,제조업
(주)다나와,119860,2019/12,정보통신업
(주)다날,064260,2019/12,정보통신업
