회사명,거래소코드
(주)나인테크,267320
(주)덴티스,261200
(주)러셀,217500
(주)레이크머티리얼즈,281740
(주)미애부,225850
(주)본느,226340
(주)스페이스솔루션,245030
(주)씨티네트웍스,189540
(주)알로이스,271400
(주)에치에프알,230240
(주)엔투텍,227950
(주)엠앤씨생명과학,225860
(주)영현무역,242850
(주)예선테크,250930
(주)와이즈버즈,273060
(주)유쎌,252370
(주)유에스티,263770
(주)이랜시스,264850
(주)이십일스토어,270020
(주)인산가,277410
(주)인터코스,240340
(주)인프라웨어테크놀러지,247300
(주)자비스,254120
(주)자비스,230400
(주)전우정밀,120780
(주)제이에스피브이,250300
(주)주노콜렉션,221670
(주)케미메디,205290
(주)티에스트릴리온,284610
(주)포인트엔지니어링,256630
(주)한국비엔씨,256840
(주)한송네오텍,226440
(주)휴럼,284420
(주)휴센텍,215090
나무기술(주),242040
세종머티리얼즈(주),135270
소프트캠프(주),210610
소프트캠프(주),258790
엠에프엠코리아(주),251960
이에스산업(주),241510
줌인터넷(주),239340
지엔원에너지(주),270520
케이엠제약(주),225430
패션플랫폼(주),225590
에이피시스템,265520
글로벌에스엠테크리미티드,900070
로스웰인터내셔널유한회사,900260
애머릿지코퍼레이션,900100
에스앤씨엔진그룹리미티드,900080
오가닉티코스메틱스홀딩스컴퍼니리미티드,900300
이스트아시아홀딩스인베스트먼트리미티드,900110
차이나크리스탈신소재홀딩스,900250
차이나하오란리사이클링유한공사,900090
컬러레이홀딩스,900310
케이만금세기차륜집단유한공사,900280
헝셩그룹유한회사,900270
엑세스바이오인코퍼레이션,950130
잉글우드랩,950140
큐리언트,115180
에스에이티,158300
매일유업㈜,267980
유비쿼스,264450
