종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2575","-25","-0.96","32","80.47",,,"768","3.35","0","0.00"
"095570","AJ네트웍스 ","4905","55","1.13","1124","4.36",,,"7231","0.68","100","2.04"
"006840","AK홀딩스 ","30350","0","0.00","8224","3.69",,,"63797","0.48","750","2.47"
"054620","APS홀딩스 ","10600","-700","-6.19","64","165.63",,,"11083","0.96","0","0.00"
"265520","AP시스템 ","30000","-1600","-5.06","1812","16.56",,,"6964","4.31","150","0.50"
"211270","AP위성 ","6640","-150","-2.21",,,,,"5428","1.22","0","0.00"
"027410","BGF ","5130","-80","-1.54","575","8.92",,,"15719","0.33","35","0.68"
"282330","BGF리테일 ","165000","-6000","-3.51","8925","18.49",,,"30182","5.47","2680","1.62"
"138930","BNK금융지주 ","6750","-130","-1.89","1475","4.58",,,"23400","0.29","300","4.44"
"001460","BYC ","223000","-2500","-1.11","10891","20.48",,,"485043","0.46","1000","0.45"
"001465","BYC우 ","121000","500","0.41",,,,,,,"1050","0.87"
"001040","CJ ","82800","-1300","-1.55","9180","9.02",,,"121743","0.68","1450","1.75"
"079160","CJ CGV ","26250","-1250","-4.55",,,,,"5284","4.97","200","0.76"
"035760","CJ ENM ","138200","-3100","-2.19","12661","10.92",,,"126022","1.10","1200","0.87"
"00104K","CJ4우(전환) ","62000","-500","-0.80",,,,,,,"0","0.00"
"000120","CJ대한통운 ","146000","3000","2.10","1996","73.15",,,"116702","1.25","0","0.00"
"011150","CJ씨푸드 ","2470","-135","-5.18","60","41.17",,,"1710","1.44","0","0.00"
"011155","CJ씨푸드1우 ","29450","-550","-1.83",,,,,,,"0","0.00"
"001045","CJ우 ","40800","-400","-0.97",,,,,,,"1500","3.68"
"097950","CJ제일제당 ","237500","2000","0.85","55416","4.29",,,"291963","0.81","3500","1.47"
"097955","CJ제일제당 우 ","103000","500","0.49",,,,,,,"3550","3.45"
"051500","CJ프레시웨이 ","25700","0","0.00","1154","22.27",,,"16496","1.56","200","0.78"
"058820","CMG제약 ","3580","-160","-4.28","53","67.55",,,"911","3.93","0","0.00"
"023460","CNH ","1830","-130","-6.63","20","91.50",,,"2609","0.70","20","1.09"
