종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2410","35","1.47",,,,,"846","2.85","0","0.00"
"095570","AJ네트웍스 ","6340","20","0.32","478","13.26",,,"5613","1.13","0","0.00"
"068400","AJ렌터카 ","11500","-350","-2.95","791","14.54",,,"10172","1.13","0","0.00"
"006840","AK홀딩스 ","64500","-600","-0.92",,,,,"42342","1.52","500","0.78"
"054620","APS홀딩스 ","15450","500","3.34","613","25.20",,,"6769","2.28","0","0.00"
"265520","AP시스템 ","52100","500","0.97",,,,,,,"0","0.00"
"211270","AP위성 ","9010","10","0.11","904","9.97",,,"3857","2.34","0","0.00"
"027410","BGF리테일 ","109500","3000","2.82","3121","35.08",,,"15615","7.01","1200","1.10"
"138930","BNK금융지주 ","9560","-30","-0.31","1890","5.06",,,"22104","0.43","150","1.57"
"001460","BYC ","372000","500","0.13","20803","17.88",,,"450114","0.83","850","0.23"
"001465","BYC우 ","158500","500","0.32",,,,,,,"900","0.57"
"032040","C&S자산관리 ","2105","-45","-2.09",,,,,"2120","0.99","125","5.94"
"001040","CJ ","187000","-1500","-0.80","7242","25.82",,,"114710","1.63","1350","0.72"
"079160","CJ CGV ","85500","-100","-0.12","2455","34.83",,,"19899","4.30","350","0.41"
"130960","CJ E&M ","80500","-1800","-2.19","1409","57.13",,,"40058","2.01","200","0.25"
"000120","CJ대한통운 ","166500","0","0.00","2636","63.16",,,"101842","1.63","0","0.00"
"011150","CJ씨푸드 ","3310","-15","-0.45","71","46.62",,,"1384","2.39","0","0.00"
"011155","CJ씨푸드1우 ","32350","1100","3.52",,,,,,,"0","0.00"
"035760","CJ오쇼핑 ","191100","-3400","-1.75","14073","13.58",,,"146709","1.30","2500","1.31"
"001045","CJ우 ","77200","-300","-0.39",,,,,,,"1400","1.81"
"097950","CJ제일제당 ","341000","-3500","-1.02","13401","25.45",,,"216981","1.57","2500","0.73"
"097955","CJ제일제당 우 ","153500","1500","0.99",,,,,,,"2550","1.66"
"051500","CJ프레시웨이 ","34400","0","0.00","915","37.60",,,"17380","1.98","200","0.58"
"037560","CJ헬로비전 ","9430","-320","-3.28","772","12.22",,,"12282","0.77","75","0.80"
"058820","CMG제약 ","3460","-80","-2.26",,,,,"501","6.91","0","0.00"
