종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스 ","42100","-450","-1.06","2732","15.41",,,"23715","1.78","0","0.00"
"068400","AJ렌터카 ","11200","100","0.90","860","13.02",,,"9426","1.19","0","0.00"
"006840","AK홀딩스 ","46950","-1100","-2.29","5549","8.46",,,"42221","1.11","350","0.75"
"027410","BGF리테일 ","215000","2000","0.94","4238","50.73",,,"22686","9.48","600","0.28"
"138930","BNK금융지주 ","8990","250","2.86","3661","2.46",,,"19542","0.46","200","2.22"
"001460","BYC ","508000","1000","0.20","30221","16.81",,,"434980","1.17","800","0.16"
"001465","BYC우 ","187500","0","0.00",,,,,,,"850","0.45"
"001040","CJ ","294000","5500","1.91","7375","39.86",,,"108643","2.71","950","0.32"
"079160","CJ CGV ","134000","1000","0.75","787","170.27",,,"18048","7.42","350","0.26"
"000120","CJ대한통운 ","220000","4000","1.85","2510","87.65",,,"98141","2.24","0","0.00"
"011150","CJ씨푸드 ","3710","20","0.54","91","40.77",,,"1310","2.83","0","0.00"
"011155","CJ씨푸드1우 ","17300","-700","-3.89",,,,,,,"0","0.00"
"001045","CJ우 ","139000","2000","1.46",,,,,,,"1000","0.72"
"097950","CJ제일제당 ","411500","8000","1.98","6530","63.02",,,"206344","1.99","2000","0.49"
"097955","CJ제일제당 우 ","249500","7500","3.10",,,,,,,"2050","0.82"
"037560","CJ헬로비전 ","12000","250","2.13","332","36.14",,,"11653","1.03","75","0.63"
"000590","CS홀딩스 ","73000","300","0.41","6412","11.38",,,"165649","0.44","0","0.00"
"139130","DGB금융지주 ","8910","40","0.45","1714","5.20",,,"21797","0.41","320","3.59"
"004840","DRB동일 ","12150","500","4.29","2261","5.37",,,"14251","0.85","60","0.49"
"155660","DSR ","4000","5","0.13","423","9.46",,,"6948","0.58","30","0.75"
"069730","DSR제강 ","3740","25","0.67","507","7.38",,,"7555","0.50","30","0.80"
"017940","E1 ","55500","400","0.73","7096","7.82",,,"166331","0.33","2000","3.60"
"007700","F&F ","15050","-100","-0.66","908","16.57",,,"12307","1.22","150","1.00"
"114090","GKL ","22850","1000","4.58","1884","12.13",,,"6974","3.28","1002","4.39"
"078930","GS ","50400","1100","2.23",,,,,"62374","0.81","1200","2.38"
"006360","GS건설 ","25300","-500","-1.94",,,,,"46070","0.55","0","0.00"
"001250","GS글로벌 ","4820","45","0.94","320","15.06",,,"11121","0.43","125","2.59"
"007070","GS리테일 ","65500","400","0.61","1445","45.33",,,"21838","3.00","600","0.92"
"078935","GS우 ","33450","400","1.21",,,,,,,"1250","3.74"
"001500","HMC투자증권 ","9380","-70","-0.74","225","41.69",,,"22972","0.41","150","1.60"
"003560","IHQ ","2035","30","1.50",,,,,"794","2.56","0","0.00"
"175330","JB금융지주 ","5160","20","0.39","5281","0.98",,,"14769","0.35","100","1.94"
"001060","JW중외제약 ","41400","-550","-1.31","40","1035.00",,,"12840","3.22","125","0.30"
"001067","JW중외제약2우B ","42650","-1200","-2.74",,,,,,,"125","0.29"
"001065","JW중외제약우 ","26000","-50","-0.19",,,,,,,"150","0.58"
"096760","JW홀딩스 ","9050","-80","-0.88",,,,,"1744","5.19","25","0.28"
"105560","KB금융 ","30550","250","0.83","3626","8.43",,,"70700","0.43","780","2.55"
"002550","KB손해보험 ","29700","750","2.59","2686","11.06",,,"29141","1.02","500","1.68"
"002380","KCC ","437500","9000","2.10","33250","13.16",,,"589064","0.74","9000","2.06"
"009070","KCTC ","3170","5","0.16","555","5.71",,,"5438","0.58","30","0.95"
"009440","KC그린홀딩스 ","7850","30","0.38","111","70.72",,,"6479","1.21","50","0.64"
"119650","KC코트렐 ","6020","60","1.01",,,,,"6032","1.00","0","0.00"
"092220","KEC ","998","1","0.10","89","11.21",,,"2490","0.40","0","0.00"
"109070","KGP ","2665","65","2.50",,,,,"275","9.69","0","0.00"
"001390","KG케미칼 ","14150","250","1.80","1275","11.10",,,"18227","0.78","350","2.47"
"001940","KISCO홀딩스 ","59500","-300","-0.50","1665","35.74",,,"177506","0.34","900","1.51"
"083420","KPX그린케미칼 ","3920","-10","-0.25","649","6.04",,,"5791","0.68","160","4.08"
"025000","KPX케미칼 ","45000","0","0.00","8243","5.46",,,"77767","0.58","1750","3.89"
"092230","KPX홀딩스 ","57400","-200","-0.35","6713","8.55",,,"127291","0.45","2100","3.66"
"000040","KR모터스 ","1200","5","0.42",,,,,"385","3.12","0","0.00"
"044450","KSS해운 ","17500","300","1.74","1815","9.64",,,"15902","1.10","200","1.14"
"030200","KT ","27250","350","1.30",,,,,"39604","0.69","0","0.00"
"033780","KT&G ","103500","1500","1.47","6558","15.78",,,"41012","2.52","3400","3.29"
"030210","KTB투자증권 ","2210","20","0.91",,,,,"5330","0.41","0","0.00"
"058850","KTcs ","2920","40","1.39","334","8.74",,,"3357","0.87","120","4.11"
"093050","LF ","25950","200","0.78","2772","9.36",,,"33599","0.77","500","1.93"
"003550","LG ","73700","800","1.10","4804","15.34",,,"69664","1.06","1000","1.36"
"034220","LG디스플레이 ","21900","-300","-1.35","2527","8.67",,,"31948","0.69","500","2.28"
"001120","LG상사 ","30900","200","0.65",,,,,"36809","0.84","300","0.97"
"068870","LG생명과학 ","69400","500","0.73",,,,,"14817","4.68","0","0.00"
"068875","LG생명과학우 ","41150","150","0.37",,,,,,,"0","0.00"
"051900","LG생활건강 ","991000","-10000","-1.00","20842","47.55",,,"92417","10.72","4000","0.40"
"051905","LG생활건강우 ","575000","5000","0.88",,,,,,,"4050","0.70"
"003555","LG우 ","48100","450","0.94",,,,,,,"1050","2.18"
"032640","LG유플러스 ","9680","460","4.99","523","18.51",,,"9567","1.01","150","1.55"
"011070","LG이노텍 ","82300","-300","-0.36","4761","17.29",,,"71681","1.15","250","0.30"
"066570","LG전자 ","57900","200","0.35","2213","26.16",,,"64808","0.89","400","0.69"
"066575","LG전자우 ","30650","50","0.16",,,,,,,"450","1.47"
"108670","LG하우시스 ","118000","-6000","-4.84","6456","18.28",,,"82637","1.43","1800","1.53"
"108675","LG하우시스우 ","75100","0","0.00",,,,,,,"1850","2.46"
"051910","LG화학 ","295500","-500","-0.17","11798","25.05",,,"164275","1.80","4000","1.35"
"051915","LG화학우 ","217000","4500","2.12",,,,,,,"4050","1.87"
"079550","LIG넥스원 ","127000","-500","-0.39","2528","50.24",,,"17906","7.09","670","0.53"
