종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"068400","AJ렌터카 ","16800","-200","-1.18","813","20.66",,,"8589","1.96","0","0.00"
"006840","AK홀딩스 ","101000","500","0.50","7072","14.28",,,"35485","2.85","200","0.20"
"027410","BGF리테일 ","89800","-800","-0.88","2858","31.42",,,"7860","11.42","400","0.45"
"138930","BS금융지주 ","14900","-100","-0.67","1528","9.75",,,"17557","0.85","280","1.88"
"001460","BYC ","304500","-1500","-0.49","24570","12.39",,,"414146","0.74","750","0.25"
"001465","BYC우 ","186500","-2000","-1.06",,,,,,,"800","0.43"
"001040","CJ ","173500","4500","2.66","5280","32.86",,,"103118","1.68","950","0.55"
"079160","CJ CGV ","64300","1300","2.06","613","104.89",,,"17591","3.66","350","0.54"
"000120","CJ대한통운 ","181000","3000","1.69",,,,,"97222","1.86","0","0.00"
"011150","CJ씨푸드 ","2610","0","0.00","177","14.75",,,"1232","2.12","0","0.00"
"011155","CJ씨푸드1우 ","8760","1140","14.96",,,,,,,"0","0.00"
"001045","CJ우 ","90600","100","0.11",,,,,,,"1000","1.10"
"097950","CJ제일제당 ","357500","8000","2.29","8293","43.11",,,"199891","1.79","1800","0.50"
"097955","CJ제일제당 우 ","181500","500","0.28",,,,,,,"1850","1.02"
"037560","CJ헬로비전 ","10600","-100","-0.93","994","10.66",,,"11415","0.93","75","0.71"
"000590","CS홀딩스 ","87900","1600","1.85","6959","12.63",,,"153699","0.57","0","0.00"
"139130","DGB금융지주 ","11600","-100","-0.85","1713","6.77",,,"19483","0.60","280","2.41"
"004840","DRB동일 ","15100","-750","-4.73","2303","6.56",,,"12578","1.20","40","0.26"
"155660","DSR ","3670","10","0.27","451","8.14",,,"6520","0.56","30","0.82"
"069730","DSR제강 ","3850","10","0.26","126","30.56",,,"7038","0.55","30","0.78"
"017940","E1 ","66100","-400","-0.60","6462","10.23",,,"161614","0.41","2000","3.03"
"007700","F&F ","14200","0","0.00","544","26.10",,,"11526","1.23","100","0.70"
"114090","GKL ","34750","600","1.76","2224","15.63",,,"6395","5.43","1179","3.39"
"078930","GS ","44250","-800","-1.78","3778","11.71",,,"69423","0.64","1350","3.05"
"006360","GS건설 ","30300","-100","-0.33",,,,,"56156","0.54","0","0.00"
"001250","GS글로벌 ","8060","-130","-1.59","847","9.52",,,"11192","0.72","125","1.55"
"007070","GS리테일 ","28000","200","0.72","1546","18.11",,,"20969","1.34","450","1.61"
"078935","GS우 ","27050","-200","-0.73",,,,,,,"1400","5.18"
"035000","GⅡR ","7530","-90","-1.18","738","10.20",,,"7298","1.03","200","2.66"
"001500","HMC투자증권 ","10800","0","0.00",,,,,"22736","0.48","0","0.00"
"011420","IB월드와이드 ","1980","-20","-1.00",,,,,"1095","1.81","0","0.00"
"003560","IHQ ","2740","-60","-2.14","3","913.33",,,"882","3.11","0","0.00"
"175330","JB금융지주 ","6820","60","0.89","390","17.49",,,"11336","0.60","100","1.47"
"001060","JW중외제약 ","15000","0","0.00","165","90.91",,,"13667","1.10","125","0.83"
"001067","JW중외제약2우B ","18400","-50","-0.27",,,,,,,"125","0.68"
"001065","JW중외제약우 ","11500","0","0.00",,,,,,,"150","1.30"
"096760","JW홀딩스 ","2520","-40","-1.56","333","7.57",,,"1953","1.29","25","0.99"
"105560","KB금융 ","39000","-700","-1.76","3263","11.95",,,"66398","0.59","500","1.28"
"002380","KCC ","591000","4000","0.68","25297","23.36",,,"481084","1.23","8000","1.35"
