종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2680","10","0.37","32","83.75",,,"768","3.49","0","0.00"
"095570","AJ네트웍스 ","3745","-30","-0.79","982","3.81",,,"6802","0.55","300","8.01"
"006840","AK홀딩스 ","21700","-500","-2.25","2168","10.01",,,"62448","0.35","750","3.46"
"054620","APS홀딩스 ","7920","-210","-2.58",,,,,"10530","0.75","0","0.00"
"265520","AP시스템 ","25100","-350","-1.38","671","37.41",,,"7468","3.36","50","0.20"
"211270","AP위성 ","7270","130","1.82","51","142.55",,,"5479","1.33","70","0.96"
"027410","BGF ","4485","-90","-1.97","281","15.96",,,"15699","0.29","110","2.45"
"282330","BGF리테일 ","167000","11500","7.40","8763","19.06",,,"36022","4.64","2700","1.62"
"138930","BNK금융지주 ","5080","-10","-0.20","1647","3.08",,,"25415","0.20","360","7.09"
"001460","BYC ","207000","-1500","-0.72","33265","6.22",,,"517079","0.40","1100","0.53"
"001465","BYC우 ","116500","-1000","-0.85",,,,,,,"1150","0.99"
"001040","CJ ","91900","4800","5.51","8240","11.15",,,"126448","0.73","1850","2.01"
"079160","CJ CGV ","23150","-150","-0.64",,,,,"12777","1.81","0","0.00"
"035760","CJ ENM ","121000","3700","3.15","5310","22.79",,,"134364","0.90","1400","1.16"
"00104K","CJ4우(전환) ","63400","1400","2.26",,,,,,,"1900","3.00"
"000120","CJ대한통운 ","161000","5500","3.54","1349","119.35",,,"131146","1.23","0","0.00"
"011150","CJ씨푸드 ","3935","10","0.25","51","77.16",,,"1781","2.21","0","0.00"
"011155","CJ씨푸드1우 ","33850","-300","-0.88",,,,,,,"0","0.00"
"001045","CJ우 ","41700","150","0.36",,,,,,,"1900","4.56"
"097950","CJ제일제당 ","297000","-1000","-0.34","9516","31.21",,,"297949","1.00","3500","1.18"
"097955","CJ제일제당 우 ","124500","2000","1.63",,,,,,,"3550","2.85"
"051500","CJ프레시웨이 ","18700","-900","-4.59","434","43.09",,,"16967","1.10","250","1.34"
"058820","CMG제약 ","4075","-50","-1.21","25","163.00",,,"1297","3.14","0","0.00"
"023460","CNH ","1530","-30","-1.92","424","3.61",,,"2811","0.54","30","1.96"
"065770","CS ","2360","-15","-0.63",,,,,"1155","2.04","0","0.00"
"083660","CSA 코스믹 ","4170","0","0.00",,,,,"836","4.99","0","0.00"
"000590","CS홀딩스 ","49700","-800","-1.58","8435","5.89",,,"195584","0.25","500","1.01"
"012030","DB ","749","-19","-2.47","23","32.57",,,"1049","0.71","0","0.00"
"322780","DB금융스팩7호 ","2040","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","3395","-35","-1.02","1172","2.90",,,"16484","0.21","250","7.36"
"005830","DB손해보험 ","43400","-1850","-4.09","5966","7.27",,,"84026","0.52","1500","3.46"
"000990","DB하이텍 ","28600","-700","-2.39","2410","11.87",,,"14483","1.97","350","1.22"
"000995","DB하이텍1우 ","46250","-700","-1.49",,,,,,,"400","0.86"
"139130","DGB금융지주 ","5260","-70","-1.31","1900","2.77",,,"27296","0.19","410","7.79"
"001530","DI동일 ","64500","-1100","-1.68","6888","9.36",,,"199541","0.32","1500","2.33"
"068790","DMS ","5300","0","0.00","768","6.90",,,"7205","0.74","75","1.42"
"004840","DRB동일 ","7150","450","6.72","461","15.51",,,"17771","0.40","100","1.40"
"241520","DSC인베스트먼트 ","2890","-75","-2.53","348","8.30",,,"2004","1.44","0","0.00"
"155660","DSR ","3955","-10","-0.25","546","7.24",,,"9613","0.41","50","1.26"
"069730","DSR제강 ","3970","-5","-0.13","469","8.46",,,"9851","0.40","40","1.01"
"017940","E1 ","35650","-1800","-4.81",,,,,"166288","0.21","2200","6.17"
"245620","EDGC ","14750","450","3.15",,,,,"1090","13.53","0","0.00"
"037370","EG ","8540","260","3.14",,,,,"4426","1.93","0","0.00"
"079190","EMW ","2780","0","0.00","120","23.17",,,"971","2.86","0","0.00"
"007700","F&F ","99500","1300","1.32","7158","13.90",,,"31366","3.17","1000","1.01"
"130500","GH신소재 ","3710","-60","-1.59","204","18.19",,,"3899","0.95","0","0.00"
"114090","GKL ","14900","-50","-0.33","1170","12.74",,,"9460","1.58","659","4.42"
"078930","GS ","37700","-1300","-3.33","5745","6.56",,,"93746","0.40","1900","5.04"
"083450","GST ","18800","450","2.45","2010","9.35",,,"10657","1.76","200","1.06"
"006360","GS건설 ","28550","600","2.15","5590","5.11",,,"49623","0.58","1000","3.50"
"001250","GS글로벌 ","1710","-15","-0.87",,,,,"4351","0.39","0","0.00"
"007070","GS리테일 ","42600","350","0.83","1729","24.64",,,"28232","1.51","750","1.76"
"078935","GS우 ","30050","50","0.17",,,,,,,"1950","6.49"
"028150","GS홈쇼핑 ","119300","-2300","-1.89","18339","6.51",,,"174659","0.68","6500","5.45"
"045890","GV ","1390","0","0.00",,,,,"811","1.71","0","0.00"
"078150","HB테크놀러지 ","2340","-30","-1.27","41","57.07",,,"2025","1.16","20","0.85"
"012630","HDC ","9500","-340","-3.46","4460","2.13",,,"36131","0.26","200","2.11"
"039570","HDC아이콘트롤스 ","9110","-10","-0.11",,,,,"10245","0.89","350","3.84"
"089470","HDC현대EP ","4320","145","3.47","445","9.71",,,"8886","0.49","120","2.78"
"294870","HDC현대산업개발 ","19950","-1200","-5.67","8731","2.28",,,"47095","0.42","500","2.51"
"011200","HMM ","4725","40","0.85",,,,,"3420","1.38","0","0.00"
"036640","HRS ","4000","55","1.39","60","66.67",,,"4475","0.89","0","0.00"
"082740","HSD엔진 ","4515","70","1.57",,,,,"5722","0.79","0","0.00"
"299170","IBKS제10호스팩 ","2095","-5","-0.24",,,,,,,"0","0.00"
"335890","IBKS제11호스팩 ","2055","0","0.00",,,,,,,"0","0.00"
"335870","IBKS제12호스팩 ","2045","0","0.00",,,,,,,"0","0.00"
"276920","IBKS제7호스팩 ","2060","5","0.24",,,,,,,"0","0.00"
"003560","IHQ ","1555","5","0.32",,,,,"933","1.67","0","0.00"
"095340","ISC ","16600","-700","-4.05","311","53.38",,,"12011","1.38","50","0.30"
"099520","ITX엠투엠 ","2280","-205","-8.25",,,,,"598","3.81","0","0.00"
"175330","JB금융지주 ","4750","-75","-1.55","1641","2.89",,,"17615","0.27","300","6.32"
"234080","JW생명과학 ","17600","300","1.73","1385","12.71",,,"7744","2.27","500","2.84"
"067290","JW신약 ","5100","60","1.19","35","145.71",,,"1587","3.21","60","1.18"
"001060","JW중외제약 ","34650","1250","3.74",,,,,"10345","3.35","325","0.94"
"001067","JW중외제약2우B ","43700","800","1.86",,,,,,,"350","0.80"
"001065","JW중외제약우 ","28150","550","1.99",,,,,,,"350","1.24"
"096760","JW홀딩스 ","5300","30","0.57",,,,,"2253","2.35","90","1.70"
"035900","JYP Ent. ","22850","0","0.00","947","24.13",,,"4477","5.10","155","0.68"
"024840","KBI메탈 ","1295","-25","-1.89","196","6.61",,,"2735","0.47","0","0.00"
"105560","KB금융 ","34000","-200","-0.58","8451","4.02",,,"92672","0.37","2210","6.50"
"024120","KB오토시스 ","6300","-80","-1.25","930","6.77",,,"8912","0.71","230","3.65"
"002380","KCC ","143500","-9000","-5.90",,,,,"421723","0.34","5500","3.83"
"021320","KCC건설 ","6730","200","3.06","1319","5.10",,,"17642","0.38","150","2.23"
"036670","KCI ","9950","160","1.63","1061","9.38",,,"5775","1.72","200","2.01"
"009070","KCTC ","2400","-5","-0.21","239","10.04",,,"6409","0.37","45","1.88"
"009440","KC그린홀딩스 ","4035","180","4.67","369","10.93",,,"7996","0.50","60","1.49"
"119650","KC코트렐 ","6600","1230","22.91","149","44.30",,,"5805","1.14","30","0.45"
"044180","KD ","495","0","0.00",,,,,"434","1.14","0","0.00"
"092220","KEC ","802","3","0.38",,,,,"1782","0.45","0","0.00"
"151860","KG ETS ","4150","-35","-0.84","2789","1.49",,,"6733","0.62","110","2.65"
"016380","KG동부제철 ","15700","2700","20.77",,,,,"8886","1.77","0","0.00"
"016385","KG동부제철우 ","66600","2500","3.90",,,,,,,"0","0.00"
"046440","KG모빌리언스 ","8250","-90","-1.08","619","13.33",,,"7541","1.09","200","2.42"
"035600","KG이니시스 ","23300","-300","-1.27","1847","12.62",,,"8937","2.61","330","1.42"
"001390","KG케미칼 ","14200","300","2.16","7691","1.85",,,"26210","0.54","350","2.46"
"060720","KH바텍 ","20800","200","0.97",,,,,"7998","2.60","0","0.00"
"001940","KISCO홀딩스 ","11450","100","0.88","2909","3.94",,,"44246","0.26","280","2.45"
"122450","KMH ","6890","-100","-1.43","668","10.31",,,"9669","0.71","70","1.02"
"052900","KMH하이텍 ","1290","65","5.31","48","26.88",,,"1358","0.95","0","0.00"
"058400","KNN ","1660","380","29.69","61","27.21",,,"1479","1.12","20","1.20"
"114450","KPX생명과학 ","6320","110","1.77","80","79.00",,,"4024","1.57","0","0.00"
"025000","KPX케미칼 ","50000","650","1.32","8571","5.83",,,"96367","0.52","2500","5.00"
"092230","KPX홀딩스 ","43900","300","0.69","8406","5.22",,,"149477","0.29","2600","5.92"
"000040","KR모터스 ","713","-22","-2.99",,,,,"318","2.24","0","0.00"
