종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2060","-30","-1.44",,,,,"846","2.43","0","0.00"
"095570","AJ네트웍스 ","7150","150","2.14","288","24.83",,,"5980","1.20","60","0.84"
"068400","AJ렌터카 ","11100","-200","-1.77","362","30.66",,,"10537","1.05","0","0.00"
"006840","AK홀딩스 ","70200","1300","1.89","5585","12.57",,,"46834","1.50","550","0.78"
"054620","APS홀딩스 ","10700","-50","-0.47","1749","6.12",,,"10544","1.01","0","0.00"
"265520","AP시스템 ","44000","200","0.46",,,,,,,"0","0.00"
"211270","AP위성 ","8610","-30","-0.35","473","18.20",,,"5373","1.60","0","0.00"
"027410","BGF리테일 ","91200","1700","1.90","3704","24.62",,,"18649","4.89","800","0.88"
"138930","BNK금융지주 ","9860","-190","-1.89","1522","6.48",,,"20810","0.47","230","2.33"
"001460","BYC ","337000","1000","0.30","27784","12.13",,,"468849","0.72","800","0.24"
"001465","BYC우 ","175000","0","0.00",,,,,,,"850","0.49"
"032040","C&S자산관리 ","875","0","0.00",,,,,"1306","0.67","0","0.00"
"001040","CJ ","177000","-500","-0.28","7837","22.59",,,"118834","1.49","1350","0.76"
"079160","CJ CGV ","65400","1200","1.87","583","112.18",,,"17654","3.70","350","0.54"
"130960","CJ E&M ","76000","200","0.26","1611","47.18",,,"39922","1.90","200","0.26"
"000120","CJ대한통운 ","169000","-1000","-0.59","3166","53.38",,,"102843","1.64","0","0.00"
"011150","CJ씨푸드 ","3150","-10","-0.32","149","21.14",,,"1530","2.06","0","0.00"
"011155","CJ씨푸드1우 ","28400","350","1.25",,,,,,,"0","0.00"
"035760","CJ오쇼핑 ","214000","1900","0.90","3886","55.07",,,"147596","1.45","2500","1.17"
"001045","CJ우 ","80200","400","0.50",,,,,,,"1400","1.75"
"097950","CJ제일제당 ","362500","3000","0.83","19522","18.57",,,"235302","1.54","2500","0.69"
"097955","CJ제일제당 우 ","158500","500","0.32",,,,,,,"2550","1.61"
"051500","CJ프레시웨이 ","42700","-550","-1.27",,,,,"16021","2.67","200","0.47"
"037560","CJ헬로비전 ","8400","-150","-1.75","278","30.22",,,"12482","0.67","75","0.89"
"058820","CMG제약 ","3630","-40","-1.09","19","191.05",,,"930","3.90","0","0.00"
"023460","CNH ","1500","20","1.35","90","16.67",,,"2604","0.58","25","1.67"
"065770","CS ","1645","20","1.23",,,,,"1047","1.57","0","0.00"
"083660","CSA 코스믹 ","4075","-40","-0.97",,,,,"1641","2.48","0","0.00"
"000590","CS홀딩스 ","83600","200","0.24","8045","10.39",,,"185295","0.45","500","0.60"
"139130","DGB금융지주 ","11000","-200","-1.79","1702","6.46",,,"21773","0.51","300","2.73"
"068790","DMS ","9200","-130","-1.39","1610","5.71",,,"5833","1.58","50","0.54"
