종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2270","-15","-0.66",,,,,"704","3.22","0","0.00"
"095570","AJ네트웍스 ","4995","-25","-0.50","320","15.61",,,"6168","0.81","86","1.72"
"068400","AJ렌터카 ","11050","-550","-4.74","572","19.32",,,"11091","1.00","0","0.00"
"006840","AK홀딩스 ","55000","-1400","-2.48","7727","7.12",,,"52954","1.04","650","1.18"
"054620","APS홀딩스 ","4705","-315","-6.27","46508","0.10",,,"13639","0.34","0","0.00"
"265520","AP시스템 ","28200","-1000","-3.42","1395","20.22",,,"5856","4.82","0","0.00"
"211270","AP위성 ","6600","0","0.00","5","1320.00",,,"5465","1.21","0","0.00"
"027410","BGF ","8740","-180","-2.02","74964","0.12",,,"21952","0.40","200","2.29"
"282330","BGF리테일 ","213000","-2000","-0.93","1619","131.56",,,"22486","9.47","1000","0.47"
"138930","BNK금융지주 ","7090","-50","-0.70","1200","5.91",,,"21653","0.33","230","3.24"
"001460","BYC ","237500","-3000","-1.25","7414","32.03",,,"475434","0.50","850","0.36"
"001465","BYC우 ","110500","500","0.45",,,,,,,"900","0.81"
"001040","CJ ","125000","-1000","-0.79","15357","8.14",,,"117874","1.06","1450","1.16"
"079160","CJ CGV ","43950","-900","-2.01",,,,,"14554","3.02","350","0.80"
"035760","CJ ENM ","238300","2400","1.02","21705","10.98",,,"165443","1.44","3000","1.26"
"000120","CJ대한통운 ","190000","-500","-0.26","1786","106.38",,,"103964","1.83","0","0.00"
"011150","CJ씨푸드 ","2415","-40","-1.63","127","19.02",,,"1662","1.45","0","0.00"
"011155","CJ씨푸드1우 ","27600","-550","-1.95",,,,,,,"0","0.00"
"001045","CJ우 ","56700","300","0.53",,,,,,,"1500","2.65"
"097950","CJ제일제당 ","322000","-1500","-0.46","26179","12.30",,,"232686","1.38","3000","0.93"
"097955","CJ제일제당 우 ","131000","0","0.00",,,,,,,"3050","2.33"
"051500","CJ프레시웨이 ","31400","-550","-1.72",,,,,"15181","2.07","200","0.64"
"037560","CJ헬로 ","9460","-70","-0.73","373","25.36",,,"12746","0.74","75","0.79"
"058820","CMG제약 ","4890","0","0.00",,,,,"929","5.26","0","0.00"
