종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","3045","115","3.92",,,,,"704","4.33","0","0.00"
"095570","AJ네트웍스 ","4680","-95","-1.99","1124","4.16",,,"7231","0.65","100","2.14"
"068400","AJ렌터카 ","10350","0","0.00","172","60.17",,,"11150","0.93","0","0.00"
"006840","AK홀딩스 ","41100","-150","-0.36","8224","5.00",,,"63797","0.64","750","1.82"
"054620","APS홀딩스 ","7650","490","6.84","64","119.53",,,"11083","0.69","0","0.00"
"265520","AP시스템 ","23650","650","2.83","1812","13.05",,,"6964","3.40","150","0.63"
"211270","AP위성 ","6470","120","1.89",,,,,"5428","1.19","0","0.00"
"027410","BGF ","6210","-140","-2.20","575","10.80",,,"15719","0.40","35","0.56"
"282330","BGF리테일 ","204500","-2000","-0.97","8925","22.91",,,"30182","6.78","2680","1.31"
"138930","BNK금융지주 ","7000","-90","-1.27","1475","4.75",,,"23400","0.30","300","4.29"
"001460","BYC ","224000","-10000","-4.27","10891","20.57",,,"485043","0.46","1000","0.45"
"001465","BYC우 ","128500","-8500","-6.20",,,,,,,"1050","0.82"
"001040","CJ ","93200","-300","-0.32","9180","10.15",,,"121743","0.77","1450","1.56"
"079160","CJ CGV ","34050","0","0.00",,,,,"5284","6.44","200","0.59"
"035760","CJ ENM ","165700","3500","2.16","12661","13.09",,,"126022","1.31","1200","0.72"
"000120","CJ대한통운 ","137000","3000","2.24","1996","68.64",,,"116702","1.17","0","0.00"
"011150","CJ씨푸드 ","2375","-10","-0.42","60","39.58",,,"1710","1.39","0","0.00"
"011155","CJ씨푸드1우 ","29900","1350","4.73",,,,,,,"0","0.00"
"001045","CJ우 ","51800","400","0.78",,,,,,,"1500","2.90"
"097950","CJ제일제당 ","285000","3000","1.06","55416","5.14",,,"291963","0.98","3500","1.23"
"097955","CJ제일제당 우 ","119500","1000","0.84",,,,,,,"3550","2.97"
"051500","CJ프레시웨이 ","29850","150","0.51","1154","25.87",,,"16496","1.81","200","0.67"
"037560","CJ헬로 ","5990","-70","-1.16","512","11.70",,,"13677","0.44","75","1.25"
"058820","CMG제약 ","2645","25","0.95","53","49.91",,,"911","2.90","0","0.00"
