종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","1850","-40","-2.12",,,,,"695","2.66","0","0.00"
"095570","AJ네트웍스 ","8340","30","0.36","288","28.96",,,"5980","1.39","60","0.72"
"068400","AJ렌터카 ","16700","-50","-0.30","362","46.13",,,"10537","1.58","0","0.00"
"006840","AK홀딩스 ","68200","-800","-1.16","5585","12.21",,,"46834","1.46","550","0.81"
"054620","APS홀딩스 ","8790","-150","-1.68","1749","5.03",,,"10544","0.83","0","0.00"
"265520","AP시스템 ","34650","-2150","-5.84",,,,,,,"0","0.00"
"211270","AP위성 ","7840","20","0.26","473","16.58",,,"5373","1.46","0","0.00"
"027410","BGF리테일 ","79100","0","0.00","3704","21.36",,,"18649","4.24","800","1.01"
"138930","BNK금융지주 ","9510","110","1.17","1522","6.25",,,"20810","0.46","230","2.42"
"001460","BYC ","327500","-2500","-0.76","27784","11.79",,,"468849","0.70","800","0.24"
"001465","BYC우 ","154000","1000","0.65",,,,,,,"850","0.55"
"032040","C&S자산관리 ","875","0","0.00",,,,,"1306","0.67","0","0.00"
"001040","CJ ","195500","3000","1.56","7837","24.95",,,"118834","1.65","1350","0.69"
"079160","CJ CGV ","71400","-1200","-1.65","583","122.47",,,"17654","4.04","350","0.49"
"130960","CJ E&M ","86000","-4000","-4.44","1611","53.38",,,"39922","2.15","200","0.23"
"000120","CJ대한통운 ","152000","1000","0.66","3166","48.01",,,"102843","1.48","0","0.00"
"011150","CJ씨푸드 ","2980","0","0.00","149","20.00",,,"1530","1.95","0","0.00"
"011155","CJ씨푸드1우 ","28500","-350","-1.21",,,,,,,"0","0.00"
"035760","CJ오쇼핑 ","224600","8900","4.13","3886","57.80",,,"147596","1.52","2500","1.11"
"001045","CJ우 ","85200","1400","1.67",,,,,,,"1400","1.64"
"097950","CJ제일제당 ","401000","-3000","-0.74","19522","20.54",,,"235302","1.70","2500","0.62"
"097955","CJ제일제당 우 ","171500","-500","-0.29",,,,,,,"2550","1.49"
"051500","CJ프레시웨이 ","36700","-1250","-3.29",,,,,"16021","2.29","200","0.54"
"037560","CJ헬로 ","6740","-60","-0.88","278","24.24",,,"12482","0.54","75","1.11"
"058820","CMG제약 ","7700","-500","-6.10","19","405.26",,,"930","8.28","0","0.00"
"023460","CNH ","1375","-5","-0.36","90","15.28",,,"2604","0.53","25","1.82"
"065770","CS ","1710","-5","-0.29",,,,,"1047","1.63","0","0.00"
"083660","CSA 코스믹 ","4180","-140","-3.24",,,,,"1641","2.55","0","0.00"
"000590","CS홀딩스 ","78300","-2100","-2.61","8045","9.73",,,"185295","0.42","500","0.64"
"012030","DB ","729","-12","-1.62",,,,,"832","0.88","0","0.00"
"016610","DB금융투자 ","4195","-10","-0.24","3","1398.33",,,"14326","0.29","0","0.00"
"045890","DB라이텍 ","1835","-10","-0.54","105","17.48",,,"2038","0.90","0","0.00"
